store_name,#맛집,#가성비,#양푸짐,#디저트맛집,#분위기깡패,#뷰맛집,#야경명소,#사진명소,#힙한,#조용한,#레트로,#주차편함,#대중교통편리,#넓은공간,#청결한,#친절해요,#웨이팅필수,#혼자가기좋은,#직원친절,#무료입장,#데이트코스,#가족과함께,#아이와함께,#반려동물동반,#친구랑,#힐링산책,#빵지순례,#실내데이트,#이색체험,#카공하기좋은
N서울타워,0.08551285,0.10955896,0.03304949,0.06578954,0.11974577,0.41256455,0.16967401,0.091723196,0.029528929,0.044144463,0.077171244,0.06961659,0.100638695,0.049384344,0.07328512,0.07584062,0.103606775,0.0273326,0.06361303,0.07421559,0.04690439,0.104715094,0.15175197,0.028308323,0.052474435,0.10904284,0.030701427,0.15550755,0.10158837,0.075066924
감천문화마을,0.05702075,0.03319933,0.022571437,0.07284754,0.08216044,0.18890865,0.049418177,0.1373877,0.020405667,0.03241901,0.06342831,0.05951439,0.08102981,0.039153785,0.04272649,0.07942836,0.050917305,0.01920129,0.069828674,0.034402784,0.027392136,0.0382935,0.059908137,0.017164156,0.03926249,0.07400459,0.022504592,0.0715571,0.13776931,0.05237084
경복궁,0.06994662,0.049705338,0.03306438,0.049529184,0.15308863,0.21922907,0.08342235,0.15148371,0.029910918,0.050824977,0.1064279,0.06108859,0.109236434,0.06615497,0.06317172,0.07036917,0.0856161,0.030104788,0.059822176,0.108399905,0.040970493,0.06353824,0.11801664,0.025404178,0.050143834,0.21229278,0.028717762,0.13892719,0.18199563,0.12615465
경주대릉원,0.061525773,0.047313217,0.032581076,0.048595373,0.18458247,0.3631631,0.07792969,0.24476983,0.029127264,0.05581499,0.07246687,0.086512946,0.08589666,0.065732546,0.076950856,0.03477575,0.058343306,0.027981898,0.027845532,0.1277267,0.03688998,0.049673084,0.059115216,0.026367486,0.035748523,0.38874388,0.026243744,0.1361906,0.12831502,0.29386494
경주월드,0.12635638,0.06825855,0.02864158,0.042660788,0.04956089,0.08755838,0.051704474,0.05451716,0.022049166,0.030396199,0.041940864,0.05460528,0.057368517,0.04439462,0.052745905,0.069649085,0.13506699,0.021433888,0.05833492,0.031430878,0.028545542,0.046087533,0.18698907,0.01768163,0.045693353,0.08283938,0.03420327,0.10907061,0.07502385,0.019997468
경포해변,0.064330205,0.030434774,0.023809025,0.039853428,0.12605517,0.38195318,0.06983111,0.07036285,0.018514628,0.03522016,0.04400709,0.059011616,0.059639275,0.057560164,0.09067027,0.03134113,0.03776902,0.018327978,0.025768984,0.037575535,0.02400178,0.04142626,0.046801835,0.01660807,0.02734454,0.19237778,0.020031603,0.14261141,0.06585032,0.1091478
광명동굴,0.07445265,0.10776486,0.046288397,0.058849726,0.115270846,0.10892856,0.0758876,0.115649134,0.033680715,0.046465557,0.08544644,0.102532476,0.0977141,0.080511495,0.09126376,0.08436958,0.08049285,0.030049011,0.076290615,0.10672005,0.052633278,0.11163212,0.27615768,0.025102487,0.051089756,0.13857538,0.032585967,0.34251127,0.35609108,0.059163097
광안리해수욕장,0.1324032,0.04005045,0.0317026,0.07748289,0.15693018,0.43204367,0.17100929,0.09579357,0.02661868,0.04896152,0.056776557,0.066946864,0.0983322,0.050941203,0.05248458,0.03518908,0.058266677,0.023687717,0.032575376,0.05188416,0.040571786,0.054427337,0.0652413,0.025066921,0.04110454,0.17684573,0.03223623,0.13011146,0.1329156,0.11569627
국립중앙박물관,0.08403264,0.067319654,0.04208287,0.052146398,0.11185117,0.16738573,0.059052724,0.09767168,0.030065361,0.04904443,0.12376483,0.086002104,0.15810832,0.091186084,0.081505515,0.08986008,0.088402025,0.027517145,0.07371013,0.11994515,0.04155527,0.062154673,0.14408183,0.023252955,0.03598065,0.112730235,0.030686544,0.15616882,0.56296176,0.07606257
낙산사,0.07994223,0.06422165,0.024285885,0.07330927,0.08188081,0.46867037,0.04870175,0.04393416,0.019084223,0.03424982,0.042826507,0.13557446,0.06937146,0.05186095,0.05490169,0.045997977,0.042282216,0.0176537,0.042165164,0.099474534,0.02530623,0.046342876,0.06024746,0.016874317,0.021990145,0.15317039,0.024557948,0.17390889,0.07027481,0.09421975
