store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
N서울타워,서울 용산구 남산공원길 105,먹쮜,남산 하늘숲길 데크길 따라서 편하게 따라 올라갔어요~!남산도서관 정류장에서 내리면 데크길 바로 보이고 정상까지 올라가는데 여유롭게 1시간도 안걸립니다!올라가면서 전망대 구경하는 재미가 있고 서울타워 정상에서 내려다보는 서울풍경도 이색적이에용,남산 하늘숲길 데크길 따라서 편하게 따라 올라갔어요!남산도서관 정류장에서 내리면 데크길 바로 보이고 정상까지 올라가는데 여유롭게 1시간도 안걸립니다!올라가면서 전망대 구경하는 재미가 있고 서울타워 정상에서 내려다보는 서울풍경도 이색적이에용,"['남산', '하늘', '숲길', '데크', '따라서', '편하다', '남산', '도서관', '정류장', '데크', '바로', '보이', '정상', '전망대', '구경', '재미', '있다', '서울', '타워', '정상', '풍경', '이색']",Positive,0.9711818099021912
N서울타워,서울 용산구 남산공원길 105,문라이트03,몇번 와봤지만 올 때마다 입장료가 비싸서 전망대까진 안 올라 갔었는데~진짜 오래간만에 타워 전망대까지 올라 갔다 왔는데~좋긴하네요~전망 보고 기념품 구경하고 질릴 때까지 보다 내려 왔습니다~근데 역시 절반이상이 외국 관광객분들이였고 한국분들은 적긴 했습니다~단풍 지기 전에 잘 보고 왔습니다~,몇번 와봤지만 올 때마다 입장료가 비싸서 전망대까진 안 올라 갔었는데진짜 오래간만에 타워 전망대까지 올라 갔다 왔는데좋긴하네요전망 보고 기념품 구경하고 질릴 때까지 보다 내려 왔습니다근데 역시 절반이상이 외국 관광객분들이였고 한국분들은 적긴 했습니다단풍 지기 전에 잘 보고 왔습니다,"['몇번', '입장료', '비싸다', '전망대', '진짜', '타워', '전망대', '좋다', '전망', '보고', '기념품', '구경', '역시', '절반', '이상', '외국', '관광객', '한국', '단풍', '지기', '보고']",Positive,0.9632587432861328
N서울타워,서울 용산구 남산공원길 105,헉의 그림,#유진라이브디톡스하우스 숲해설가와 함께하는 남산둘레길 이벤트에 당첨되어 다녀왔어요. 김포스 해설가님이 숲속에서 흔히 볼 수 있었지만 몰랐던 식물들에 대해 여러가지 알려주시고 친구와 함께 걸으며 힐링하는 시간이었어요감사합니다  유진라이브!!,유진라이브디톡스하우스 숲해설가와 함께하는 남산둘레길 이벤트에 당첨되어 다녀왔어요. 김포스 해설가님이 숲속에서 흔히 볼 수 있었지만 몰랐던 식물들에 대해 여러가지 알려주시고 친구와 함께 걸으며 힐링하는 시간이었어요감사합니다 유진라이브!!,"['유진', '라이브', '디톡스', '하우스', '남산', '둘레길', '이벤트', '당첨', '포스', '해설', '숲속', '흔하다', '있다', '식물', '대해', '여러가지', '친구', '힐링', '시간', '유진', '라이브']",Positive,0.9706403613090515
N서울타워,서울 용산구 남산공원길 105,슈퍼롱다리,평일에 다녀와서 생각보다 붐비지 않고 좋았는데 도서관에서 꼭대기 걸어가다가 심장마비오는줄 알았어요.셋이서 운동도 열심히하고 야경도 보고 즐거운 시간 보냈어요.,평일에 다녀와서 생각보다 붐비지 않고 좋았는데 도서관에서 꼭대기 걸어가다가 심장마비오는줄 알았어요.셋이서 운동도 열심히하고 야경도 보고 즐거운 시간 보냈어요.,"['평일', '생각', '좋다', '도서관', '꼭대기', '심장마비', '이서', '운동', '야경', '보고', '즐겁다', '시간']",Positive,0.9655407071113586
N서울타워,서울 용산구 남산공원길 105,류팀장,오랫만에 온 남산타워...예전에는 남산타워 보러 왔는데...이제는 남산타워 올라가는 길을 보러 와요...잊혀진 계절처럼 잊혀진 그때의 추억을 그녀를 그들을 떠올리며..,오랫만에 온 남산타워...예전에는 남산타워 보러 왔는데...이제는 남산타워 올라가는 길을 보러 와요...잊혀진 계절처럼 잊혀진 그때의 추억을 그녀를 그들을 떠올리며..,"['남산타워', '예전', '남산타워', '이제', '남산타워', '계절', '그때', '추억', '그녀']",Positive,0.9644129872322083
N서울타워,서울 용산구 남산공원길 105,anieyo,아이와 주말에 외출을 하려고 검색 중 마침 가을 단풍도 보고 야경도 볼겸 남산을 선택해서 방문하게 되었습니다~ 탁월한 선택이었어요. 주말은 차가 막혀 대중교통을 이용했는데 버스도 자주오고 사람은 많있지만 이용하기 편했어요. 가을 단풍도 너무 예쁘고 5시쯤 전망대에 올라가 밝을때부터 해가질 때까지 서울 모습을 위에서 내려다보며 좋은 시간을 보내고 왔습니다~ 기념품 보는 재미도 있고 화장실도 넘 재미있고 즐거운 나들이였어요. 봄꽃필때도 가고 계절마다 가보기로 했네요^^,아이와 주말에 외출을 하려고 검색 중 마침 가을 단풍도 보고 야경도 볼겸 남산을 선택해서 방문하게 되었습니다 탁월한 선택이었어요. 주말은 차가 막혀 대중교통을 이용했는데 버스도 자주오고 사람은 많있지만 이용하기 편했어요. 가을 단풍도 너무 예쁘고 5시쯤 전망대에 올라가 밝을때부터 해가질 때까지 서울 모습을 위에서 내려다보며 좋은 시간을 보내고 왔습니다 기념품 보는 재미도 있고 화장실도 넘 재미있고 즐거운 나들이였어요. 봄꽃필때도 가고 계절마다 가보기로 했네요,"['아이', '주말', '외출', '검색', '마침', '가을', '단풍', '보고', '야경', '볼겸', '남산', '선택', '방문', '탁월하다', '선택', '주말', '차갑다', '대중교통', '이용', '버스', '자주', '사람', '많다', '이용', '편하다', '가을', '단풍', '예쁘다', '전망대', '서울', '모습', '좋다', '시간', '기념품', '재미', '있다', '화장실', '재미있다', '즐겁다', '나들이', '봄꽃필때', '계절']",Positive,0.9712638854980469
N서울타워,서울 용산구 남산공원길 105,noza17,입구까지 올라오는 길에 탄 분홍색 남산순환버스도 귀엽고 인상적이에요. 교통도 편리해서 비 오는 날에도 부담 없이 방문할 수 있었어요.대중교통강추!!!  흐린날이었지만 서울전경을 한눈에 담았어요,입구까지 올라오는 길에 탄 분홍색 남산순환버스도 귀엽고 인상적이에요. 교통도 편리해서 비 오는 날에도 부담 없이 방문할 수 있었어요.대중교통강추!!! 흐린날이었지만 서울전경을 한눈에 담았어요,"['입구', '분홍색', '남산', '순환버스', '귀엽다', '인상', '교통', '편리하다', '부담', '방문', '있다', '대중교통', '강추', '전경', '한눈']",Positive,0.9741690754890442
N서울타워,서울 용산구 남산공원길 105,heachung,#아직_가을인줄_그런데_입동이라네#서울남산타워_#N서울타워#단풍_낙엽,아직가을인줄그런데입동이라네서울남산타워N서울타워단풍낙엽,"['입동', '남산타워', '서울', '타워', '단풍', '낙엽']",Negative,0.829397439956665
N서울타워,서울 용산구 남산공원길 105,먹고걷고햇빛듬뿍,"지난번에 방문을 했을때에 N타워 회전하는 음식점에서 식사를 했습니다, 오늘은 N서울타워 광장하고 전망대 팔각정정자둘러봅니다, 물론 케이팝데몬헌터스 애니메이션을 넷플릭스에서 N차 시청중입니다, 오늘 낙산공원 하고 N서울타워를보고가면 한번더 케이팝데몬헌터스 애니메이션을 다시한번삼성  스마트티비 QLED TV와 삼성 Q930 사운드바를 통해큰화면과 풍부한 음량으로  N차 관람을 합니다,♦️대한민국 도시거리와 둘레길을 걸어 다니면서 음식점과 경치를 소개하는 유튜버 & 리뷰어 입니다✔️✅️네이버 MY플레이스 리뷰어순위 TOP300등✅️TOP300등 안에드는 리뷰어 입니다.✅️리뷰 누적조회수 530만회 (2025-07)✅️리뷰어: 먹고걷고햇빛듬뿍 ✅️네이버 리뷰어검색: 먹고걷고햇빛듬뿍 ✅️네이버클립","지난번에 방문을 했을때에 N타워 회전하는 음식점에서 식사를 했습니다, 오늘은 N서울타워 광장하고 전망대 팔각정정자둘러봅니다, 물론 케이팝데몬헌터스 애니메이션을 넷플릭스에서 N차 시청중입니다, 오늘 낙산공원 하고 N서울타워를보고가면 한번더 케이팝데몬헌터스 애니메이션을 다시한번삼성 스마트티비 QLED TV와 삼성 Q930 사운드바를 통해큰화면과 풍부한 음량으로 N차 관람을 합니다,대한민국 도시거리와 둘레길을 걸어 다니면서 음식점과 경치를 소개하는 유튜버 리뷰어 입니다네이버 MY플레이스 리뷰어순위 TOP300등TOP300등 안에드는 리뷰어 입니다.리뷰 누적조회수 530만회 202507리뷰어 먹고걷고햇빛듬뿍 네이버 리뷰어검색 먹고걷고햇빛듬뿍 네이버클립","['지난번', '방문', '타워', '회전', '음식점', '식사', '오늘', '서울', '타워', '광장', '전망대', '팔각정', '정자', '케이팝', '데몬', '헌터스', '애니메이션', '넷플릭스', '시청', '이다', '오늘', '낙산', '공원', '타워', '한번', '케이팝', '데몬', '헌터스', '애니메이션', '다시', '한번', '삼성', '스마트', '티비', '삼성', '사운드', '통해', '화면', '풍부하다', '음량', '관람', '대한민국', '도시', '거리', '둘레길', '음식점', '경치', '소개', '유튜버', '리뷰', '이다', '네이버', '레이스', '리뷰', '순위', '에드', '리뷰', '이다', '리뷰', '누적', '회수', '리뷰', '햇빛', '듬뿍', '네이버', '리뷰', '검색', '햇빛', '듬뿍', '네이버', '클립']",Positive,0.9084993600845337
N서울타워,서울 용산구 남산공원길 105,천사사랑777,"연휴 덕분에 방문한 서울N타워(구. 남산타워)~!!!사람들 많네요~흐리지만 저멀리 북한산, 청와대까지 다 보이네요~추석 명절 모두모두 즐겁게 보내세요^^","연휴 덕분에 방문한 서울N타워구. 남산타워!!!사람들 많네요흐리지만 저멀리 북한산, 청와대까지 다 보이네요추석 명절 모두모두 즐겁게 보내세요","['연휴', '덕분', '방문', '서울', '타워', '남산타워', '사람', '많다', '멀리', '북한', '청와대', '추석', '명절', '모두', '즐겁다']",Positive,0.9739794135093689
