store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
경포해변,강원 강릉시 강문동 산1,도끼눈Duke최종혁,"가을이 깊어가는 지난 11월 22일 아침의 강릉 일출 풍경입니다. 전날인 11월 21일 저녁 풍경도 함께 만났답니다.끝없이 이어진 수평선.그 수평선을 뚫고 올라오는 멋진 태양의 모습이 한 폭의 그림같은 오메가 일출을 보여줬답니다. 강릉 여행 대표 코스, 경포해변에서 만난 아름다운 풍경이었답니다ㅣ","가을이 깊어가는 지난 11월 22일 아침의 강릉 일출 풍경입니다. 전날인 11월 21일 저녁 풍경도 함께 만났답니다.끝없이 이어진 수평선.그 수평선을 뚫고 올라오는 멋진 태양의 모습이 한 폭의 그림같은 오메가 일출을 보여줬답니다. 강릉 여행 대표 코스, 경포해변에서 만난 아름다운 풍경이었답니다ㅣ","['가을', '깊다', '지난', '아침', '강릉', '일출', '풍경', '이다', '전날', '저녁', '풍경', '이어진', '수평선', '수평선', '멋지다', '태양', '모습', '그림', '같다', '오메가', '일출', '강릉', '여행', '대표', '코스', '경포', '해변', '만난', '아름답다', '풍경']",Positive,0.9670484066009521
경포해변,강원 강릉시 강문동 산1,맛집바라기75,"11월의 경포해변은 한층 고요하고 차분한 매력이 느껴지는 곳이었습니다. 바람은 제법 차가웠지만 파도 소리가 맑고 시원하게 들려서 오래 머무르고 싶었어요. 관광객도 많지 않아 산책하기 좋았고, 해변 따라 걷다 보니 늦가을 특유의 쓸쓸한 분위기와 함께 여유가 느껴졌습니다. 일몰 시간에 맞춰 가면 하늘과 바다가 물드는 풍경이 정말 아름다워 추천하고 싶은 곳입니다.","11월의 경포해변은 한층 고요하고 차분한 매력이 느껴지는 곳이었습니다. 바람은 제법 차가웠지만 파도 소리가 맑고 시원하게 들려서 오래 머무르고 싶었어요. 관광객도 많지 않아 산책하기 좋았고, 해변 따라 걷다 보니 늦가을 특유의 쓸쓸한 분위기와 함께 여유가 느껴졌습니다. 일몰 시간에 맞춰 가면 하늘과 바다가 물드는 풍경이 정말 아름다워 추천하고 싶은 곳입니다.","['경포', '해변', '한층', '고요하다', '차분하다', '매력', '바람', '제법', '차갑다', '파도', '소리', '맑다', '시원하다', '관광객', '많다', '산책', '좋다', '해변', '늦가을', '특유', '쓸쓸하다', '분위기', '여유', '일몰', '시간', '가면', '하늘', '바다', '풍경', '정말', '아름답다', '추천', '이다']",Positive,0.9710937738418579
경포해변,강원 강릉시 강문동 산1,ldy7088,#경포해변가끔 동해바다를 가고 싶을때 제일 먼저 의도치않게 찾게 되는곳이 경포대해수욕장 같아요.왜냐하면 수도권에서 서울-양양고속도로가 생기기전에 영동고속도로를 타고 강릉 빠지면 제일 가까우면서 큰 해수욕장이 경포대해수욕장이라는 인식이 아직 있는거 같습니다.ㅎ🤭항상 비수기때 오는거 같아 주차는 큰문제없이 해수욕장 앞에 잘 주차하구요.중앙광장 근처에만 있다가 간적이 거의 다인데 오늘은 해수욕장 끝까지 걸어가봤는데요.은근 백사장 길이가 엄청 긴 곳이었네요.☺️비올까 걱정했는데...화창한 날씨는 아니라 아쉬웠지만...덥지도 춥지도 않은 날씨라 걸어다니기 좋은 온도였네요.ㅎ🥰,경포해변가끔 동해바다를 가고 싶을때 제일 먼저 의도치않게 찾게 되는곳이 경포대해수욕장 같아요.왜냐하면 수도권에서 서울양양고속도로가 생기기전에 영동고속도로를 타고 강릉 빠지면 제일 가까우면서 큰 해수욕장이 경포대해수욕장이라는 인식이 아직 있는거 같습니다.ㅎ항상 비수기때 오는거 같아 주차는 큰문제없이 해수욕장 앞에 잘 주차하구요.중앙광장 근처에만 있다가 간적이 거의 다인데 오늘은 해수욕장 끝까지 걸어가봤는데요.은근 백사장 길이가 엄청 긴 곳이었네요.비올까 걱정했는데...화창한 날씨는 아니라 아쉬웠지만...덥지도 춥지도 않은 날씨라 걸어다니기 좋은 온도였네요.ㅎ,"['경포', '해변', '가끔', '동해', '바다', '제일', '먼저', '의도', '경포대', '해수욕장', '같다', '수도권', '고속도로', '생기', '기전', '고속도로', '타고', '강릉', '제일', '가깝다', '해수욕장', '경포대', '해수욕장', '인식', '있다', '같다', '항상', '같다', '주차', '문제', '해수욕장', '주차', '중앙', '광장', '근처', '있다', '거의', '다인', '오늘', '해수욕장', '은근', '사장', '길이', '비올', '걱정', '화창하다', '날씨', '아니다', '아쉽다', '덥다', '날씨', '좋다', '온도']",Positive,0.9604551792144775
경포해변,강원 강릉시 강문동 산1,amor45,"이젠 영혼의 고향 같은 강릉 ʕ”̮ॽु⋆⁺₊⋆ ♡̷̷̷여름의 청량하고 눈부신 바다도 좋지만 서늘한 비바람이 스치는 가을의 밤바다도 정말 멋지네요. 마치 우리 각자의 쓸쓸하고 아픈 이면을 아름답게 되비춰주는 그런 느낌!혼자 하는 여행이 좋은 이유는,온전히 나 자신으로 존재할 수 있어서인 거 같아요.‘나는 나와 함께 할 때가 가장 좋아. 내가 나여서 좋아!’자연 속에 있을 때 제 안에서는 이렇게 아무런 애씀 없이 조건 없는 자기 사랑이 퐁-퐁 샘솟아요. 자연은 언제나 저를 있는 그대로 사랑해 주고 받아준다는 걸 또 한 번 느껴요. 그 사랑에 감사하는 마음으로 이번에도 힘을 낼래요.모두에게 평온한 나날이길🪽/안녕, 강릉!다음에는 또 다른 얼굴로 만나 🩵","이젠 영혼의 고향 같은 강릉 여름의 청량하고 눈부신 바다도 좋지만 서늘한 비바람이 스치는 가을의 밤바다도 정말 멋지네요. 마치 우리 각자의 쓸쓸하고 아픈 이면을 아름답게 되비춰주는 그런 느낌!혼자 하는 여행이 좋은 이유는,온전히 나 자신으로 존재할 수 있어서인 거 같아요.나는 나와 함께 할 때가 가장 좋아. 내가 나여서 좋아!자연 속에 있을 때 제 안에서는 이렇게 아무런 애씀 없이 조건 없는 자기 사랑이 퐁퐁 샘솟아요. 자연은 언제나 저를 있는 그대로 사랑해 주고 받아준다는 걸 또 한 번 느껴요. 그 사랑에 감사하는 마음으로 이번에도 힘을 낼래요.모두에게 평온한 나날이길안녕, 강릉!다음에는 또 다른 얼굴로 만나","['영혼', '고향', '같다', '강릉', '여름', '청량하다', '눈부시다', '바다', '좋다', '서늘하다', '비바람', '가을', '바다', '정말', '멋지다', '마치', '우리', '각자', '쓸쓸하다', '아프다', '이면', '아름답다', '그렇다', '느낌', '혼자', '여행', '좋다', '이유', '자신', '존재', '있다', '서인', '같다', '가장', '좋다', '좋다', '자연', '있다', '아무렇다', '조건', '없다', '자기', '사랑', '퐁퐁', '자연', '있다', '그대로', '사랑', '사랑', '마음', '이번', '모두', '평온하다', '나날이', '안녕', '강릉', '다음', '다른', '얼굴']",Positive,0.9642267823219299
경포해변,강원 강릉시 강문동 산1,민 별,"비 오는 날 찾은 경포해변의 밤바다는 정말 특별했어요.빗방울이 잔잔히 떨어지는 소리와 함께 바라본 바다는 에메랄드빛으로 반짝이고, 파도 소리는 시원하게 마음을 씻어주는 듯했어요. 사람도 많지 않아 한적하게 바다를 온전히 느낄 수 있었고, 어두운 하늘 아래 번지는 조명과 물빛이 너무 아름다워서 시간 가는 줄 몰랐어요. 비 오는 날의 경포해변, 분위기 하나만으로도 다시 찾고 싶을 만큼 매력적이었습니다. 🌊✨","비 오는 날 찾은 경포해변의 밤바다는 정말 특별했어요.빗방울이 잔잔히 떨어지는 소리와 함께 바라본 바다는 에메랄드빛으로 반짝이고, 파도 소리는 시원하게 마음을 씻어주는 듯했어요. 사람도 많지 않아 한적하게 바다를 온전히 느낄 수 있었고, 어두운 하늘 아래 번지는 조명과 물빛이 너무 아름다워서 시간 가는 줄 몰랐어요. 비 오는 날의 경포해변, 분위기 하나만으로도 다시 찾고 싶을 만큼 매력적이었습니다.","['경포', '해변', '바다', '정말', '특별하다', '빗방울', '잔잔하다', '소리', '바다', '에메랄드', '반짝', '파도', '소리', '시원하다', '마음', '사람', '많다', '한적하다', '바다', '있다', '두운', '하늘', '아래', '번지', '조명', '물빛', '아름답다', '시간', '경포', '해변', '분위기', '하나', '다시', '만큼', '매력']",Positive,0.9727884531021118
경포해변,강원 강릉시 강문동 산1,방화동 고양이,강문해변에서 도보교로 넘어올수 있는 경포해변아침에는 일출도 볼수 있어요,강문해변에서 도보교로 넘어올수 있는 경포해변아침에는 일출도 볼수 있어요,"['강문', '해변', '도보교', '있다', '경포', '해변', '아침', '일출', '있다']",Positive,0.9159591794013977
경포해변,강원 강릉시 강문동 산1,사진가 도발,"경포대해수욕장, 경포해변 바다는 가슴이 탁 트이는 시원함이 있어요. 주차하기가 조금 불편하기는 하지만 주차가 되면 일단 주변에는 먹거리 식당이 풍부하고 묵을 숙소도 있고 참 좋아요. 경포해변 앞에는 경포호 둘레길이 있어서 산책하기도 좋구요. 해변은 넓고 깨끗하고 괸리가 잘 되어 있어서 드넓은 해변 앞 바다를 고스런히 즐길 수가 있어요. 해변 가에는 소나무숲이 상가 거리 사이에 있는데 중간 중간 작은 넓이의 데크가 있어서 운이 좋다면 데크에 자리를 얻어 돋자리를 펴고 쉴수도 있어요. 해 질 무렵에 경포 해변에 나가보면 저쪽 한 끝으로 붉게 노을이 물들어가는 풍경이 뭔가 가슴이 울렁거릴 정도로 아름답고 서정적입니다. 경포해변 앞으로는 횟집과 식당들이 늘어서 있는데 가격이 싼지는 모르겠네요. 경포해변..으뜸입니다","경포대해수욕장, 경포해변 바다는 가슴이 탁 트이는 시원함이 있어요. 주차하기가 조금 불편하기는 하지만 주차가 되면 일단 주변에는 먹거리 식당이 풍부하고 묵을 숙소도 있고 참 좋아요. 경포해변 앞에는 경포호 둘레길이 있어서 산책하기도 좋구요. 해변은 넓고 깨끗하고 괸리가 잘 되어 있어서 드넓은 해변 앞 바다를 고스런히 즐길 수가 있어요. 해변 가에는 소나무숲이 상가 거리 사이에 있는데 중간 중간 작은 넓이의 데크가 있어서 운이 좋다면 데크에 자리를 얻어 돋자리를 펴고 쉴수도 있어요. 해 질 무렵에 경포 해변에 나가보면 저쪽 한 끝으로 붉게 노을이 물들어가는 풍경이 뭔가 가슴이 울렁거릴 정도로 아름답고 서정적입니다. 경포해변 앞으로는 횟집과 식당들이 늘어서 있는데 가격이 싼지는 모르겠네요. 경포해변..으뜸입니다","['경포대', '해수욕장', '경포', '해변', '바다', '가슴', '시원하다', '있다', '주차', '조금', '불편하다', '주차', '일단', '주변', '먹거리', '식당', '풍부하다', '숙소', '있다', '좋다', '경포', '해변', '경포호', '둘레길', '있다', '산책', '좋다', '해변', '넓다', '깨끗하다', '괸리', '있다', '드넓다', '해변', '바다', '수가', '있다', '해변', '나무숲', '상가', '거리', '사이', '있다', '중간', '중간', '작다', '넓이', '데크', '있다', '좋다', '데크', '자리', '자리', '있다', '무렵', '경포', '해변', '저쪽', '붉다', '노을', '풍경', '뭔가', '가슴', '정도', '아름답다', '서정', '이다', '경포', '해변', '횟집', '식당', '있다', '가격', '경포', '해변', '으뜸', '이다']",Positive,0.9635657668113708
경포해변,강원 강릉시 강문동 산1,솔과 장미,관광객이 물러간 경포는 맑고 좋아요,관광객이 물러간 경포는 맑고 좋아요,"['관광객', '경포', '맑다', '좋다']",Positive,0.9302491545677185
경포해변,강원 강릉시 강문동 산1,amor45,"생애 두 번째 ‘혼자 여행지’ 💗강릉엔 처음 가본 건데 차를 가지고 다닐 수 있고 어디든 주차공간도 충분해서 좋았어요. 또 바다가 어찌나 맑고 예쁜지 멍~하게 바라보고 있노라면 마치 내가 바다가 된 것처럼 자유로워지는 기분이었답니다. 바다만 바라보아도 여행의 모든 의미가 채워지는 것 같았어요. 다만 여행 후유증이 너무 커요, 눈 감으면 동해바다가 떠오르는 지경⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝.. 당장에라도 또 달려가고 싶을 정도로 아름답고 행복한 시간이었습니다. 자연이 제게 준 사랑을 끌어안고 다시 열심히 현실에 전념해볼게요!모두 고맙습니다 💗","생애 두 번째 혼자 여행지 강릉엔 처음 가본 건데 차를 가지고 다닐 수 있고 어디든 주차공간도 충분해서 좋았어요. 또 바다가 어찌나 맑고 예쁜지 멍하게 바라보고 있노라면 마치 내가 바다가 된 것처럼 자유로워지는 기분이었답니다. 바다만 바라보아도 여행의 모든 의미가 채워지는 것 같았어요. 다만 여행 후유증이 너무 커요, 눈 감으면 동해바다가 떠오르는 지경 .. 당장에라도 또 달려가고 싶을 정도로 아름답고 행복한 시간이었습니다. 자연이 제게 준 사랑을 끌어안고 다시 열심히 현실에 전념해볼게요!모두 고맙습니다","['생애', '혼자', '여행지', '강릉', '처음', '가지', '있다', '어디', '주차공간', '충분하다', '좋다', '바다', '맑다', '예쁘다', '멍하다', '있다', '마치', '바다', '자유롭다', '기분', '바다', '여행', '모든', '의미', '같다', '다만', '여행', '후유증', '동해', '바다', '지경', '당장', '정도', '아름답다', '행복하다', '시간', '자연', '사랑', '다시', '현실', '전념', '모두', '고맙다']",Positive,0.9708601236343384
경포해변,강원 강릉시 강문동 산1,봄조아용,밤에 경포해변파도소리와 야경그리고 불꽃놀이를 하는 가족들평화롭네요.,밤에 경포해변파도소리와 야경그리고 불꽃놀이를 하는 가족들평화롭네요.,"['경포', '해변', '파도', '소리', '야경', '불꽃놀이', '가족', '평화롭다']",Positive,0.9713952541351318
