store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
광한루원,전북 남원시 요천로 1447,사린몸매,남원뿐만 아니라 우리나라의 보물인 곳이네요 반복해서 걸어도 지루하지 않아요 광한루에도 직접 올라가서 둘러 볼 수 있어 좋아요 그 유명한 오작교도 건너보고 수양버들 고목 그늘어 앉아 연못에서 놀고 있는 원앙과 잉어들을 보다 보면 시간이 금새 흘러가네요 세월의 흔적을 직접 느낄 수 있어서 더 좋았어요,남원뿐만 아니라 우리나라의 보물인 곳이네요 반복해서 걸어도 지루하지 않아요 광한루에도 직접 올라가서 둘러 볼 수 있어 좋아요 그 유명한 오작교도 건너보고 수양버들 고목 그늘어 앉아 연못에서 놀고 있는 원앙과 잉어들을 보다 보면 시간이 금새 흘러가네요 세월의 흔적을 직접 느낄 수 있어서 더 좋았어요,"['남원', '아니다', '우리나라', '보물', '반복', '지루하다', '광한루', '직접', '있다', '좋다', '유명하다', '오작교', '건너', '보고', '수양버들', '고목', '그늘', '연못', '있다', '원앙', '잉어', '시간', '세월', '흔적', '직접', '있다', '좋다']",Positive,0.9734642505645752
광한루원,전북 남원시 요천로 1447,seayoan33,평안하네요.가을이 와서 단풍구경으로 일단 남원에 내려왔네요. 남원앞에 한식뷔페를 먹고 슬슬 3km걸어오니광한루에 왔네요. 이용요금.4천인데 지역사랑상품권 2천원으로 돌려주네요. 가을바람이 선선히 불어 앉아있으면 이 고즈넉한 분위기가 남원. 광한루만의 분위기입니다.햇살이 오늘은 따스하네요.의자에 앉아서...광한루에 앉아 청둥오리 수영하는거 바라보고 사람 반정도 크기의 잉어들 보면서 내가 여기 빠지면 나잡아먹진않겠지 ㅎ 말도안되는 상상도 하면서  ㅋㅋ거리며 멍때리는 DMN모드로 들어가며 수다떨며 시간이 금방흐르네요.잠시 광한루를 나가 켄싱턴리조트쪽 방향으로 크게 돌아산책하니 이런 멋진 풍경이 펼쳐지네요.날씨가 맞닿은 즐거운 산책과 우리가 다 못보는 남원의 풍경들을 접하면서 이 차분함이 평안하네요,평안하네요.가을이 와서 단풍구경으로 일단 남원에 내려왔네요. 남원앞에 한식뷔페를 먹고 슬슬 3km걸어오니광한루에 왔네요. 이용요금.4천인데 지역사랑상품권 2천원으로 돌려주네요. 가을바람이 선선히 불어 앉아있으면 이 고즈넉한 분위기가 남원. 광한루만의 분위기입니다.햇살이 오늘은 따스하네요.의자에 앉아서...광한루에 앉아 청둥오리 수영하는거 바라보고 사람 반정도 크기의 잉어들 보면서 내가 여기 빠지면 나잡아먹진않겠지 ㅎ 말도안되는 상상도 하면서 ㅋㅋ거리며 멍때리는 DMN모드로 들어가며 수다떨며 시간이 금방흐르네요.잠시 광한루를 나가 켄싱턴리조트쪽 방향으로 크게 돌아산책하니 이런 멋진 풍경이 펼쳐지네요.날씨가 맞닿은 즐거운 산책과 우리가 다 못보는 남원의 풍경들을 접하면서 이 차분함이 평안하네요,"['평안하다', '가을', '단풍', '구경', '일단', '남원', '남원', '한식', '뷔페', '슬슬', '광한루', '이용', '요금', '지역', '사랑', '상품권', '가을', '바람', '불어', '분위기', '남원', '광한루', '분위기', '이다', '햇살', '오늘', '따스하다', '의자', '광한루', '청둥오리', '수영', '사람', '반정', '크기', '잉어', '여기', '안되다', '상상', '거리', '모드', '수다', '시간', '금방', '잠시', '광한루', '켄싱턴', '리조트', '방향', '크게', '산책', '이렇다', '멋지다', '풍경', '날씨', '즐겁다', '산책', '우리', '남원', '풍경', '차분하다', '평안하다']",Positive,0.9630255103111267
광한루원,전북 남원시 요천로 1447,고라파덕0505,"어디서 사진을 찍던 배경이 너무 좋아서 너무 잘 나와요~ 광한루 위에서 보는 배경이 너무 이뻤어요~잉어 & 원앙 먹이가 2,000원인데.. 종이컵 한 가득 나와서.. 애들이 좋아해요~화장실도 따뜻한물 잘 나오고.. 비데도 있어요~","어디서 사진을 찍던 배경이 너무 좋아서 너무 잘 나와요 광한루 위에서 보는 배경이 너무 이뻤어요잉어 원앙 먹이가 2,000원인데.. 종이컵 한 가득 나와서.. 애들이 좋아해요화장실도 따뜻한물 잘 나오고.. 비데도 있어요","['사진', '배경', '좋다', '광한루', '배경', '이쁘다', '잉어', '원앙', '먹이', '종이컵', '가득', '좋아하다', '화장실', '따뜻하다', '비데', '있다']",Positive,0.9698424935340881
광한루원,전북 남원시 요천로 1447,불곰과 여왕벌,"전북 남원 최고의 관광명소 광한루원.춘향전의 주무대로 조선시대 대표적인 정원으로광한루, 완월정, 오작교, 삼신산등 고즈막하고 아름다운 누각과 연못, 다리가 너무 아름답고 멋져요 특히 광한루는 최고의 뷰와 포토존을 자랑하네요산책로와 체험시설이 잘되어 있어 가족들과 함께 즐기기 좋고 특히 야경뷰가 좋다고 하네요관람료 4천원중 2천원은 남원사랑권으로 돌려주네요","전북 남원 최고의 관광명소 광한루원.춘향전의 주무대로 조선시대 대표적인 정원으로광한루, 완월정, 오작교, 삼신산등 고즈막하고 아름다운 누각과 연못, 다리가 너무 아름답고 멋져요 특히 광한루는 최고의 뷰와 포토존을 자랑하네요산책로와 체험시설이 잘되어 있어 가족들과 함께 즐기기 좋고 특히 야경뷰가 좋다고 하네요관람료 4천원중 2천원은 남원사랑권으로 돌려주네요","['전북', '남원', '최고', '관광명소', '광한루원', '춘향전', '주무', '조선시대', '대표', '정원', '광한루', '완월정', '오작교', '산등', '아름답다', '누각', '연못', '다리', '아름답다', '멋지다', '광한루', '최고', '포토', '자랑', '산책로', '체험', '시설', '있다', '가족', '좋다', '야경', '좋다', '관람', '남원', '사랑']",Positive,0.9679855108261108
광한루원,전북 남원시 요천로 1447,juanito12,맑았던 하늘만큼 공기도 좋고 마음이 뻥 뚫리는 기분이었습니다. 잉어먹이는 오리가 다 뺏어먹네요 ㅋㅋㅋ직원분들 친절하게 관람동선과 의미에대해서 설명도 곁들여주셔서 더 유익했습니다. 감사합니다!,맑았던 하늘만큼 공기도 좋고 마음이 뻥 뚫리는 기분이었습니다. 잉어먹이는 오리가 다 뺏어먹네요 ㅋㅋㅋ직원분들 친절하게 관람동선과 의미에대해서 설명도 곁들여주셔서 더 유익했습니다. 감사합니다!,"['맑다', '하늘', '공기', '좋다', '마음', '기분', '잉어', '오리가', '직원', '친절하다', '관람', '동선', '의미', '대해', '설명', '유익하다']",Positive,0.9708587527275085
광한루원,전북 남원시 요천로 1447,먹고싶은건먹어야한다,큰 기대를 안 하고 남원에 간 김에 그냥 가벼운 마음으로방문한건데 생각보다 너무 좋아서 추천합니다.날이 흐려서 조금 아쉽긴 했지만 또 그건 그거대로고즈넉하니 좋더라고요~ 시설 관리도 잘 되는거 같고진짜 남원에 가시면 꼭 방문하시길네이버 예약하면 반값으로 들어갈 수 있으니꼭 네이버 예약으로 하고 들어가세요~,큰 기대를 안 하고 남원에 간 김에 그냥 가벼운 마음으로방문한건데 생각보다 너무 좋아서 추천합니다.날이 흐려서 조금 아쉽긴 했지만 또 그건 그거대로고즈넉하니 좋더라고요 시설 관리도 잘 되는거 같고진짜 남원에 가시면 꼭 방문하시길네이버 예약하면 반값으로 들어갈 수 있으니꼭 네이버 예약으로 하고 들어가세요,"['기대', '남원', '그냥', '가볍다', '마음', '방문', '생각', '좋다', '추천', '조금', '아쉽다', '거대', '하니', '좋다', '시설', '관리', '같다', '진짜', '남원', '가시', '방문', '네이버', '예약', '반값', '있다', '네이버', '예약']",Positive,0.969841480255127
광한루원,전북 남원시 요천로 1447,햇살좋은75,결혼하기전에 갔었는데 추석에  식구들과 여행하면서 다시한번 들렸어요 ~ 추석연휴 내내 비가 왔었는데 집에올라가는길에  날이 너무 좋아 ~ 광한루도 너무 이뻤어요 ^^ 추어탕 한그릇먹고 즐겁게 다녔답니다,결혼하기전에 갔었는데 추석에 식구들과 여행하면서 다시한번 들렸어요 추석연휴 내내 비가 왔었는데 집에올라가는길에 날이 너무 좋아 광한루도 너무 이뻤어요 추어탕 한그릇먹고 즐겁게 다녔답니다,"['결혼', '추석', '식구', '여행', '다시', '한번', '추석', '연휴', '내내', '좋다', '광한루', '이쁘다', '추어탕', '그릇', '즐겁다']",Positive,0.968031644821167
광한루원,전북 남원시 요천로 1447,태양SNS그룹,"남원 최고의 명소! 광한루에 왔습니다. 숲이 울창하게 우거지고 볼거리가 많아 매우 만족스럽게 탐방했네요. 성춘향과 이몽룡이 노닐던 곳이라니 참 감회가 새로웠습니다. 가족, 연인, 친구끼리 맘편히 그리고 넉넉히 쉬어갈 수 있는 정말 괜찮은 관광명소 인듯 싶습니다. 아직 방문 안해보신 분들께는 강추드리고 싶습니다.^^","남원 최고의 명소! 광한루에 왔습니다. 숲이 울창하게 우거지고 볼거리가 많아 매우 만족스럽게 탐방했네요. 성춘향과 이몽룡이 노닐던 곳이라니 참 감회가 새로웠습니다. 가족, 연인, 친구끼리 맘편히 그리고 넉넉히 쉬어갈 수 있는 정말 괜찮은 관광명소 인듯 싶습니다. 아직 방문 안해보신 분들께는 강추드리고 싶습니다.","['남원', '최고', '명소', '광한루', '울창', '우거지', '볼거리', '많다', '매우', '만족', '탐방', '성춘향', '이몽룡', '노닐던', '감회', '새롭다', '가족', '연인', '친구', '끼리', '편하다', '넉넉하다', '있다', '정말', '괜찮다', '관광명소', '방문', '강추']",Positive,0.9731243252754211
광한루원,전북 남원시 요천로 1447,Haveagoodtime,오랜만에 다시 온 광한루계절마다 바뀌는 풍경들이 아름다워서 여긴 계절별로 와보고 싶네요(현재 영화 촬영중이라 무료 개방으로 들어왔어요)연못에 원앙새와 잉어가 정말 많았고. 지금 가을이라 조금씩 나무에 단풍이 들기 시작했어요.오작교를 건너며 보는 풍경도 정말 아름답고.저녁 야경도 멋지니까 낮에도 한번.밤에도 한번 오세요:-),오랜만에 다시 온 광한루계절마다 바뀌는 풍경들이 아름다워서 여긴 계절별로 와보고 싶네요현재 영화 촬영중이라 무료 개방으로 들어왔어요연못에 원앙새와 잉어가 정말 많았고. 지금 가을이라 조금씩 나무에 단풍이 들기 시작했어요.오작교를 건너며 보는 풍경도 정말 아름답고.저녁 야경도 멋지니까 낮에도 한번.밤에도 한번 오세요,"['다시', '광한루', '계절', '풍경', '아름답다', '계절', '별로', '보고', '현재', '영화', '촬영', '무료', '개방', '연못', '원앙새', '잉어', '정말', '많다', '지금', '가을', '나무', '단풍', '시작', '오작교', '풍경', '정말', '아름답다', '저녁', '야경', '멋지다', '한번', '한번']",Positive,0.9712606072425842
광한루원,전북 남원시 요천로 1447,우당탕탕삐삐,너무 고즈넉하니 아름 다워서 여유자적  조상들의 숨결이 느껴지는거 같아 좋았어요 예전엔 눈이 쌓였을때 왔었는데 초록이 우거질때 오니 또다른 분위기에 기분좋은 시간 누리고 왔어요 관리가 잘되어 있어서 입장료도 하나도 아깝지 않고 더 잘 보존되어 졌으면 싶어요,너무 고즈넉하니 아름 다워서 여유자적 조상들의 숨결이 느껴지는거 같아 좋았어요 예전엔 눈이 쌓였을때 왔었는데 초록이 우거질때 오니 또다른 분위기에 기분좋은 시간 누리고 왔어요 관리가 잘되어 있어서 입장료도 하나도 아깝지 않고 더 잘 보존되어 졌으면 싶어요,"['하니', '아름', '유자', '조상', '숨결', '같다', '좋다', '예전', '초록', '거질때', '오니', '분위기', '기분', '좋다', '시간', '누리', '관리', '있다', '입장료', '하나', '아깝다', '보존']",Positive,0.9737633466720581
