store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
낙산사,강원 양양군 강현면 낙산사로 100,안전모드72,"이번에 아들 데리고 양양 낙산사에 갔다 오면서 속칭 3대 해수관음상 성지 방문을 성료했다 ^^낙산사는 석모도 보문사, 남해 보리암과 달리 높은 계단이 없어 둘러보기 아주 수월했고, 늦자락 가을이라 날씨마저 청량해 방문시기도 안성맞춤이었다해수관음상과 홍련암에서는 초를 구입하여 가족들 각자 소원을 적고 초 보관장소에 넣어 두었다. (발원문 예시가 없어 너무 초보적인 문구만 적은게 좀 멋쩍네 ^^)불교신자가 아니더라도 단순 관람을 위한 장소로 훌륭한 낙산사 추천!!!* 후문 주차장으로 방문하면 그나마 도보 거리를 더 줄일 수 있지만 이 좋은 계절에 그래도 이 정돈 걸어야지(주차비 5천원, 입장료 무료)** 보리암 해수관음상, 보문사 마애관음보살 예전 사진도 마지막에 첨부 ㅋㅋㅋ","이번에 아들 데리고 양양 낙산사에 갔다 오면서 속칭 3대 해수관음상 성지 방문을 성료했다 낙산사는 석모도 보문사, 남해 보리암과 달리 높은 계단이 없어 둘러보기 아주 수월했고, 늦자락 가을이라 날씨마저 청량해 방문시기도 안성맞춤이었다해수관음상과 홍련암에서는 초를 구입하여 가족들 각자 소원을 적고 초 보관장소에 넣어 두었다. 발원문 예시가 없어 너무 초보적인 문구만 적은게 좀 멋쩍네 불교신자가 아니더라도 단순 관람을 위한 장소로 훌륭한 낙산사 추천!!! 후문 주차장으로 방문하면 그나마 도보 거리를 더 줄일 수 있지만 이 좋은 계절에 그래도 이 정돈 걸어야지주차비 5천원, 입장료 무료 보리암 해수관음상, 보문사 마애관음보살 예전 사진도 마지막에 첨부 ㅋㅋㅋ","['이번', '아들', '데리', '양양', '낙산사', '속칭', '해수', '관음', '성지', '방문', '낙산사', '석모도', '보문사', '남해', '보리암', '달리', '높다', '계단', '없다', '둘러보기', '아주', '수월하다', '자락', '가을', '날씨', '청량하다', '방문', '기도', '안성맞춤', '해수', '관음', '홍련암', '구입', '가족', '각자', '소원', '보관', '장소', '원문', '예시', '없다', '초보', '문구', '멋쩍', '불교', '신자', '아니다', '단순', '관람', '장소', '훌륭하다', '낙산사', '추천', '후문', '주차장', '방문', '도보', '거리', '있다', '좋다', '계절', '정돈', '차비', '입장료', '무료', '보리암', '해수', '관음', '보문사', '마애', '관음보살', '예전', '사진', '마지막', '첨부']",Positive,0.9439265131950378
낙산사,강원 양양군 강현면 낙산사로 100,봄조아용,가을의 낙산사의상대에서 바라보는홍련암과 파도 소리그리고 해수관음상해수관음상에 소원을 빌고바다를 보며 생각에 잠긴다.아무것도 하지 않고 가만히~하늘도 파랗고 동해 바다도 파랗고낙산화는 빨갛게 여물어 파란 하늘과 잘 어울린다.법당에서 소원을 빌고관음지에도 소박한 소원을 빌어본다.오랜만의 낙산사는 평일이라 그런지 사람이 없다.산책하며 가을을 흠뻑 맞아본다.바람도 햇살도 하늘도 종소리도 좋다.,가을의 낙산사의상대에서 바라보는홍련암과 파도 소리그리고 해수관음상해수관음상에 소원을 빌고바다를 보며 생각에 잠긴다.아무것도 하지 않고 가만히하늘도 파랗고 동해 바다도 파랗고낙산화는 빨갛게 여물어 파란 하늘과 잘 어울린다.법당에서 소원을 빌고관음지에도 소박한 소원을 빌어본다.오랜만의 낙산사는 평일이라 그런지 사람이 없다.산책하며 가을을 흠뻑 맞아본다.바람도 햇살도 하늘도 종소리도 좋다.,"['가을', '낙산사', '의상대', '홍련암', '파도', '소리', '해수', '관음', '해수', '관음', '소원', '바다', '생각', '하늘', '파랗다', '동해', '바다', '파랗다', '낙산', '빨갛다', '물어', '파란', '하늘', '법당', '소원', '음지', '소박하다', '소원', '빌어', '낙산사', '평일', '그렇다', '사람', '없다', '산책', '가을', '흠뻑', '바람', '햇살', '하늘', '종소리', '좋다']",Positive,0.9648672342300415
낙산사,강원 양양군 강현면 낙산사로 100,흐르는 강물처럼36,"늦가을(?)에 오랜만에 사찰을 방문. 평일임에도 의외로 사람이 많아서 호젓한 분위기는 느낄 수 없었지만, 맑은 공기를 마시면서 가파른 언덕길을 오르내리며 운동. (낙산사 인근의 성게김밥에 꽂혀서 양양 & 속초로 여행 일정을 잡았는데..아쉽게도 성게알 맛이 써서 지금은 맛 볼 수가 없네..)","늦가을?에 오랜만에 사찰을 방문. 평일임에도 의외로 사람이 많아서 호젓한 분위기는 느낄 수 없었지만, 맑은 공기를 마시면서 가파른 언덕길을 오르내리며 운동. 낙산사 인근의 성게김밥에 꽂혀서 양양 속초로 여행 일정을 잡았는데..아쉽게도 성게알 맛이 써서 지금은 맛 볼 수가 없네..","['늦가을', '사찰', '방문', '평일', '사람', '많다', '호젓하다', '분위기', '없다', '맑은', '공기', '가파른', '언덕길', '운동', '낙산사', '인근', '성게', '김밥', '양양', '속초', '여행', '일정', '아쉽다', '성게', '지금', '수가', '없다']",Positive,0.7716976404190063
낙산사,강원 양양군 강현면 낙산사로 100,삼겹살 맛집 1등 꿀삼겹,"오랜만에 강릉에 들러서 낙산사에 다녀왔는데,역시 왜 많은 분들이 추천하는지 알겠더라고요.절 분위기도 너무 좋고, 바다까지 한눈에 내려다보여서여행 중 가장 힐링되는 순간이었습니다.기념품도 몇 가지만 가볍게 골라왔는데,작은 염주 팔찌 하나만으로도 만족도가 높았어요.컬러도 은은하고 묵직한 의미가 담겨 있어서여행 추억으로 딱 좋았습니다.낙산사 방문하신다면풍경도 좋고 분위기도 좋아서 마음이 편안해지고,기념으로 작은 소품 하나 챙기기에도 부담 없어서 추천드립니다.이번 여행 중 가장 마음이 편안해졌던 곳이었습니다 👍✨#꿀삼겹 #상봉맛집 #중랑구맛집#낙산사 #강릉여행 #힐링여행","오랜만에 강릉에 들러서 낙산사에 다녀왔는데,역시 왜 많은 분들이 추천하는지 알겠더라고요.절 분위기도 너무 좋고, 바다까지 한눈에 내려다보여서여행 중 가장 힐링되는 순간이었습니다.기념품도 몇 가지만 가볍게 골라왔는데,작은 염주 팔찌 하나만으로도 만족도가 높았어요.컬러도 은은하고 묵직한 의미가 담겨 있어서여행 추억으로 딱 좋았습니다.낙산사 방문하신다면풍경도 좋고 분위기도 좋아서 마음이 편안해지고,기념으로 작은 소품 하나 챙기기에도 부담 없어서 추천드립니다.이번 여행 중 가장 마음이 편안해졌던 곳이었습니다 꿀삼겹 상봉맛집 중랑구맛집낙산사 강릉여행 힐링여행","['강릉', '낙산사', '역시', '많다', '추천', '분위기', '좋다', '바다', '한눈', '여행', '가장', '힐링', '순간', '기념품', '가지', '가볍다', '작다', '염주', '팔찌', '하나', '만족도', '높다', '컬러', '은은하다', '묵직하다', '의미', '있다', '여행', '추억', '좋다', '낙산사', '방문', '풍경', '좋다', '분위기', '좋다', '마음', '편안하다', '기념', '작다', '소품', '하나', '기기', '부담', '없다', '추천', '이번', '여행', '가장', '마음', '편안하다', '삼겹', '상봉', '맛집', '중랑구', '맛집', '낙산사', '강릉', '여행', '힐링', '여행']",Positive,0.967727541923523
낙산사,강원 양양군 강현면 낙산사로 100,통통미,오랜만 다녀온 낙산사는 여전히 좋네요.  추운날씨에 잠시 쉬면서 마실수 있는 차도  준비되어있네요.ㅎㅎ둥글레차 정말 구수하고 맛있었습니다.티백은 아닌거 같고몸과마음까지 따사시 해지는 그란 하루오는길에 귀여운  동자승 세분도 함께 모셔왔어요~~~내년에도 무탈하길 바래봅니다.^^,오랜만 다녀온 낙산사는 여전히 좋네요. 추운날씨에 잠시 쉬면서 마실수 있는 차도 준비되어있네요.ㅎㅎ둥글레차 정말 구수하고 맛있었습니다.티백은 아닌거 같고몸과마음까지 따사시 해지는 그란 하루오는길에 귀여운 동자승 세분도 함께 모셔왔어요내년에도 무탈하길 바래봅니다.,"['낙산사', '여전하다', '좋다', '날씨', '잠시', '있다', '차도', '준비', '둥글레', '정말', '구수하다', '맛있다', '티백', '아니다', '같다', '마음', '사시', '해지', '하루', '귀엽다', '자승', '세분', '내년']",Positive,0.9724350571632385
낙산사,강원 양양군 강현면 낙산사로 100,축다,"해수관음상에서 바라보는 동해의 모습은 평온 그자체입니다.많은 분들이 이곳에서 답답한 마음을 내려놓는다고말씀하신 이유를 알 것 같습니다.산책하기에도 적당한 거리이며,홍련암도 꼭 가보시길 바랍니다.전 모르고 후문으로 들어왔는데여러분은 정문으로 방문하세요.!","해수관음상에서 바라보는 동해의 모습은 평온 그자체입니다.많은 분들이 이곳에서 답답한 마음을 내려놓는다고말씀하신 이유를 알 것 같습니다.산책하기에도 적당한 거리이며,홍련암도 꼭 가보시길 바랍니다.전 모르고 후문으로 들어왔는데여러분은 정문으로 방문하세요.!","['해수', '관음', '동해', '모습', '평온', '자체', '이다', '많다', '답답하다', '마음', '말씀', '이유', '같다', '산책', '적당하다', '거리', '홍련암', '후문', '여러분', '정문', '방문']",Positive,0.9744074940681458
낙산사,강원 양양군 강현면 낙산사로 100,소소짱11,처형가족들과는 강릉에서 헤어지고 저희는 1박을 더 잡은 상태라 어른들 모시고 낙산사 방문했습니다.7년전쯤 오고 다시 찾았는데 많이 바뀌었네요~~이곳저곳 너무 이쁘게 관리해서 볼거리가 정말 많았고 날씨가 너무 좋아 사진들이 진짜 이쁘게 나오네요^^즐거운 시간이였습니다♡♡♡♡,처형가족들과는 강릉에서 헤어지고 저희는 1박을 더 잡은 상태라 어른들 모시고 낙산사 방문했습니다.7년전쯤 오고 다시 찾았는데 많이 바뀌었네요이곳저곳 너무 이쁘게 관리해서 볼거리가 정말 많았고 날씨가 너무 좋아 사진들이 진짜 이쁘게 나오네요즐거운 시간이였습니다,"['처형', '가족', '강릉', '저희', '상태', '어른', '모시', '낙산사', '방문', '다시', '이쁘다', '관리', '볼거리', '정말', '많다', '날씨', '좋다', '사진', '진짜', '이쁘다', '즐겁다', '시간']",Positive,0.9736644625663757
낙산사,강원 양양군 강현면 낙산사로 100,렛츠고렛츠,한동안 낙산사를 못가서 너무 가고싶은거예요! 출발할때는 흐렸지만 도착하니까 비가 오더라구요~ 우산을 쓰고 둘러보았지만 마음이 편해져서 좋았어요! 그리고 항상 다녀오면 바라는 일이 멀지않은 시간에 이루어지는 것 같은.. 그래서 꿈이 이루어지는 낙산사잖아요~~^^ 열심히 절하고 초도 키고 기도해보았네요!,한동안 낙산사를 못가서 너무 가고싶은거예요! 출발할때는 흐렸지만 도착하니까 비가 오더라구요 우산을 쓰고 둘러보았지만 마음이 편해져서 좋았어요! 그리고 항상 다녀오면 바라는 일이 멀지않은 시간에 이루어지는 것 같은.. 그래서 꿈이 이루어지는 낙산사잖아요 열심히 절하고 초도 키고 기도해보았네요!,"['낙산사', '출발', '도착', '우산', '마음', '편하다', '좋다', '항상', '멀다', '시간', '같다', '낙산', '절하', '초도', '기도']",Positive,0.9719794988632202
낙산사,강원 양양군 강현면 낙산사로 100,레나레나시레나,낙산사 너무 잘 복원되었군요!! 아름다운 가을 날 방문해서 더욱 멋있게 잘 구경했어요. 의상대주차장에 주차하고 들어가니 조금 걸었어요! 천천히 여유롭게 둘러보며 한바퀴돌아보면 한시간반에서 두시간 정도 소요되는 듯해요. 너무 아름다워서 다욱 여유롭게 찻집애서 차도 드시고 즐겨보시길 추천합니다!,낙산사 너무 잘 복원되었군요!! 아름다운 가을 날 방문해서 더욱 멋있게 잘 구경했어요. 의상대주차장에 주차하고 들어가니 조금 걸었어요! 천천히 여유롭게 둘러보며 한바퀴돌아보면 한시간반에서 두시간 정도 소요되는 듯해요. 너무 아름다워서 다욱 여유롭게 찻집애서 차도 드시고 즐겨보시길 추천합니다!,"['낙산사', '복원', '아름답다', '가을', '방문', '더욱', '멋있다', '구경', '의상대', '주차장', '주차', '조금', '바퀴', '간반', '시간', '정도', '소요', '아름답다', '다욱', '찻집', '차도', '추천']",Positive,0.972082257270813
낙산사,강원 양양군 강현면 낙산사로 100,나는너의구세주,동해바다 오면 꼭 들리는 낙산사!! 토요일이라 사람도 많고주차는 살짝 기다려야하지만프리미엄급 풍경과 함께라서 기분 좋아요^^,동해바다 오면 꼭 들리는 낙산사!! 토요일이라 사람도 많고주차는 살짝 기다려야하지만프리미엄급 풍경과 함께라서 기분 좋아요,"['동해', '바다', '낙산사', '토요일', '사람', '많다', '주차', '살짝', '프리미엄', '풍경', '기분', '좋다']",Positive,0.9731840491294861
