store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
다대포해수욕장,부산 사하구 다대동,열정팩토리,"오늘 부산 동구 고관, 지하철 부산진역 근처에서 점심식사를 하고 나서 지하철도 가까이 있겠다 싶어 오랜만에 다대포해수욕장에 갔다 왔었어요ㅎㅎ 봄, 여름, 겨울 계절 시즌 왔었을 때 그 때 봤었던 다대포해수욕장과 다른 분위기, 풍경들을 볼 수 있어 좋았으며 마침 방문하였던 날이 평일이었던 만큼 부산의 여러 해수욕장 해운대, 광안리, 송정해수욕장 보다 관광객이 많이 없어 붐비지 않았습니다!! 게다가 석양을 볼 수 있는 다대포 앞면은 저번에 가봐서 몰운대 근처 여러 가지 생선회, 해산물을 즐길 수 있는 곳으로 가서 구경하였는데 다대포 왔었다고 할 수 있는 기념 사진 포토존들이 곳곳에 있었던 만큼 만약 부산여행하며 비교적 붐비지 않고 쾌적한 해수욕장들을 찾는다면 가족, 연인, 친구끼리 방문하기 좋은 해수욕장이예요~","오늘 부산 동구 고관, 지하철 부산진역 근처에서 점심식사를 하고 나서 지하철도 가까이 있겠다 싶어 오랜만에 다대포해수욕장에 갔다 왔었어요ㅎㅎ 봄, 여름, 겨울 계절 시즌 왔었을 때 그 때 봤었던 다대포해수욕장과 다른 분위기, 풍경들을 볼 수 있어 좋았으며 마침 방문하였던 날이 평일이었던 만큼 부산의 여러 해수욕장 해운대, 광안리, 송정해수욕장 보다 관광객이 많이 없어 붐비지 않았습니다!! 게다가 석양을 볼 수 있는 다대포 앞면은 저번에 가봐서 몰운대 근처 여러 가지 생선회, 해산물을 즐길 수 있는 곳으로 가서 구경하였는데 다대포 왔었다고 할 수 있는 기념 사진 포토존들이 곳곳에 있었던 만큼 만약 부산여행하며 비교적 붐비지 않고 쾌적한 해수욕장들을 찾는다면 가족, 연인, 친구끼리 방문하기 좋은 해수욕장이예요","['오늘', '부산', '동구', '고관', '지하철', '부산진', '근처', '점심식사', '지하철도', '가까이', '있다', '다대포해수욕장', '여름', '겨울', '계절', '시즌', '다대포해수욕장', '다른', '분위기', '풍경', '있다', '좋다', '마침', '방문', '평일', '만큼', '부산', '여러', '해수욕장', '해운대', '광안', '송정해수욕장', '관광객', '없다', '게다가', '석양', '있다', '다대', '저번', '근처', '여러', '가지', '생선회', '해산물', '있다', '구경', '다대', '있다', '기념', '사진', '포토', '곳곳', '있다', '만큼', '만약', '부산여행', '비교', '쾌적하다', '해수욕장', '가족', '연인', '친구', '끼리', '방문', '좋다', '해수욕장']",Positive,0.954056978225708
다대포해수욕장,부산 사하구 다대동,열정팩토리,"오랜만에 가을 바다 풍경들이 보고 싶기도 하고 추석 연휴가 막바지로 다가오고 있는 만큼 사상구, 사하구 근처 힐링할 수 있는 관광지들을 찾아보다가 인스타그램에서 자주 봤었던 다대포해수욕장이 생각 나서 다녀 왔었습니다ㅎㅎ 무엇보다 추석 연휴 끝자락 주말이었던 만큼 관광객들이 많이 방문하여 북적북적한데다가 아름다운 노을 풍경 명소라고 알려진 만큼 카메라를 들고 많은 분들이 노을 지는 모습들을 촬영하고 있었습니다!! 그리고 아름다운 노을 풍경 뿐만 아니라 기본적으로 갈대밭 산책로, 기념 사진들을 찍을 수 있는 포토존, 게다가 최근 2025 바다미술제가 개최되고 있는 만큼 야외 아름다운 예술 작품들도 하나하나 구경하기 좋았습니다~ 그래서 만약 부산 비교적 조용하고 노을 풍경들이 좋은 바닷가 방문하고 싶다면 좋아요!","오랜만에 가을 바다 풍경들이 보고 싶기도 하고 추석 연휴가 막바지로 다가오고 있는 만큼 사상구, 사하구 근처 힐링할 수 있는 관광지들을 찾아보다가 인스타그램에서 자주 봤었던 다대포해수욕장이 생각 나서 다녀 왔었습니다ㅎㅎ 무엇보다 추석 연휴 끝자락 주말이었던 만큼 관광객들이 많이 방문하여 북적북적한데다가 아름다운 노을 풍경 명소라고 알려진 만큼 카메라를 들고 많은 분들이 노을 지는 모습들을 촬영하고 있었습니다!! 그리고 아름다운 노을 풍경 뿐만 아니라 기본적으로 갈대밭 산책로, 기념 사진들을 찍을 수 있는 포토존, 게다가 최근 2025 바다미술제가 개최되고 있는 만큼 야외 아름다운 예술 작품들도 하나하나 구경하기 좋았습니다 그래서 만약 부산 비교적 조용하고 노을 풍경들이 좋은 바닷가 방문하고 싶다면 좋아요!","['가을', '바다', '풍경', '보고', '추석', '연휴', '막바지', '있다', '만큼', '사상구', '사하구', '근처', '힐링', '있다', '관광지', '인스타그램', '자주', '다대포해수욕장', '생각', '무엇', '추석', '연휴', '자락', '주말', '만큼', '관광객', '방문', '북적', '북적', '아름답다', '노을', '풍경', '명소', '만큼', '카메라', '많다', '노을', '모습', '촬영', '있다', '아름답다', '노을', '풍경', '아니다', '기본', '갈대', '산책로', '기념', '사진', '있다', '포토', '게다가', '최근', '바다', '미술', '개최', '있다', '만큼', '야외', '아름답다', '예술', '작품', '하나', '하나', '구경', '좋다', '만약', '부산', '비교', '조용하다', '노을', '풍경', '좋다', '바닷가', '방문', '좋다']",Positive,0.9576511979103088
다대포해수욕장,부산 사하구 다대동,햄찌와그레텔,"🌇 부산 대표 일몰 명소✍️ 해운대나 광안리가 불빛 많고 사람 북적이는 도시의 밤바다라면, 다대포는 조용히 앉아 바람 쐬기 좋은 낮의 바다예요. 여백이 많고 리듬이 느긋해요🌊 완만한 경사의 넓은 백사장, 얕은 수심, 따뜻한 수온으로 가족단위 방문객 많은 편🦶 잔잔히 밀려드는 파도를 밟으며 산책하기 좋아요💦 주차장에 세족장있어요🌟 바다와 강, 모래와 갯벌, 산과 숲까지 볼 수 있어요 🌾 조수 간만의 차가 커 갯벌과 갈대밭이 있고 산책할만한 생태탐방로와 해변공원이 있어요⛲️ 4월-10월 운영하는 낙조분수도 유명해요🅿️ 공영주차장 있고 가격 합리적. 10분당 200원, 일 최대 4,700원","부산 대표 일몰 명소 해운대나 광안리가 불빛 많고 사람 북적이는 도시의 밤바다라면, 다대포는 조용히 앉아 바람 쐬기 좋은 낮의 바다예요. 여백이 많고 리듬이 느긋해요 완만한 경사의 넓은 백사장, 얕은 수심, 따뜻한 수온으로 가족단위 방문객 많은 편 잔잔히 밀려드는 파도를 밟으며 산책하기 좋아요 주차장에 세족장있어요 바다와 강, 모래와 갯벌, 산과 숲까지 볼 수 있어요 조수 간만의 차가 커 갯벌과 갈대밭이 있고 산책할만한 생태탐방로와 해변공원이 있어요 4월10월 운영하는 낙조분수도 유명해요 공영주차장 있고 가격 합리적. 10분당 200원, 일 최대 4,700원","['부산', '대표', '일몰', '명소', '해운대', '광안', '리가', '불빛', '많다', '사람', '북적', '도시', '바다', '라면', '대포', '조용하다', '바람', '좋다', '바다', '여백', '많다', '리듬', '느긋하다', '완만', '경사', '넓다', '사장', '얕다', '수심', '따뜻하다', '수온', '가족', '단위', '방문객', '많다', '잔잔하다', '파도', '산책', '좋다', '주차장', '족장', '있다', '바다', '모래', '갯벌', '있다', '조수', '간만', '차갑다', '갯벌', '갈대', '있다', '산책', '생태', '탐방', '해변', '공원', '있다', '운영', '분수', '유명하다', '공영', '주차장', '있다', '가격', '합리', '최대']",Positive,0.9601726531982422
다대포해수욕장,부산 사하구 다대동,부산 Light painting,정말 오랜만에 다대포에 갔었네요.불꽃놀이도 보고 해변도 일몰도 사람들도 그대로 입니다.시간이 멈춰진듯한 늘 한결같은 다대포 해수욕장 이번주에 여기서 라이트 페인팅을 해보았습니다.볼꺼리도 많고 주차도 20분 기다리니 시간이 나고....잘 보고 갑니다.꼭 가보세요. 참 맞은편 동측 해수욕장도 오픈했답니다.,정말 오랜만에 다대포에 갔었네요.불꽃놀이도 보고 해변도 일몰도 사람들도 그대로 입니다.시간이 멈춰진듯한 늘 한결같은 다대포 해수욕장 이번주에 여기서 라이트 페인팅을 해보았습니다.볼꺼리도 많고 주차도 20분 기다리니 시간이 나고....잘 보고 갑니다.꼭 가보세요. 참 맞은편 동측 해수욕장도 오픈했답니다.,"['정말', '대포', '불꽃놀이', '보고', '해변', '일몰', '사람', '그대로', '이다', '시간', '한결같다', '다대', '해수욕장', '이번', '여기', '라이트', '페인팅', '많다', '주차', '시간', '보고', '맞은편', '동측', '해수욕장', '오픈']",Positive,0.9711475968360901
다대포해수욕장,부산 사하구 다대동,yoo****,"그저께 왔었는데. 제대로된 선셋을 보지 못해서 이틀만에 다시 왔어요. 우와~~오늘은 오후까지 비가 왔음에도 여느 해수욕장에서도 볼 수 없는 환상적인 선셋뷰를 즐기면서 원하는 사진 많이 찍었어요. 노을을 바라보며 쎄시봉영화를 보면서 추억의 노래를 들을 수 있다는 건 정말 커다란 행운이었죠. 저녁때 약속이 있어서 오늘의 초대가수 코요테의 무대를 보지 못하고 돌아와서 아쉬웠지만, 많은 사람들이 다대포의 노을과 음악분수쇼를 한번씩 꼭 보고 갔으면 좋겠다는 생각을 했어요~~♡","그저께 왔었는데. 제대로된 선셋을 보지 못해서 이틀만에 다시 왔어요. 우와오늘은 오후까지 비가 왔음에도 여느 해수욕장에서도 볼 수 없는 환상적인 선셋뷰를 즐기면서 원하는 사진 많이 찍었어요. 노을을 바라보며 쎄시봉영화를 보면서 추억의 노래를 들을 수 있다는 건 정말 커다란 행운이었죠. 저녁때 약속이 있어서 오늘의 초대가수 코요테의 무대를 보지 못하고 돌아와서 아쉬웠지만, 많은 사람들이 다대포의 노을과 음악분수쇼를 한번씩 꼭 보고 갔으면 좋겠다는 생각을 했어요","['그저께', '제대로', '선셋', '보지', '이틀', '다시', '오늘', '오후', '여느', '해수욕장', '없다', '환상', '선셋뷰', '원하다', '사진', '노을', '쎄다', '영화', '추억', '노래', '있다', '정말', '커다랗다', '행운', '저녁때', '약속', '있다', '오늘', '초대', '가수', '코요테', '무대', '보지', '아쉽다', '많다', '사람', '다대', '포의', '노을', '음악분수', '한번', '보고', '좋다', '생각']",Positive,0.9658464193344116
다대포해수욕장,부산 사하구 다대동,nan****,요즘 일몰구경에 빠졌네요ㅎ다대포는 여러번갔지만 신경써서  촬영해본건 처음이예요.예상치 못한 이쁜 목수국길도 발견했어요.조금 시들어가는 단계긴했지만 충분히 이뻤어요ㅎㅎ 시시각각으로 변하는 하늘과 바다가 너무 멋졌어요ㆍ컨셉포토 찍는 분들도 많구~사람들도 많았지만 파도소리가 높고 경관이 멋져서  산만하단 느낌은 없더라구요.아주 제대로된 눈호강을 했답니다~,요즘 일몰구경에 빠졌네요ㅎ다대포는 여러번갔지만 신경써서 촬영해본건 처음이예요.예상치 못한 이쁜 목수국길도 발견했어요.조금 시들어가는 단계긴했지만 충분히 이뻤어요ㅎㅎ 시시각각으로 변하는 하늘과 바다가 너무 멋졌어요컨셉포토 찍는 분들도 많구사람들도 많았지만 파도소리가 높고 경관이 멋져서 산만하단 느낌은 없더라구요.아주 제대로된 눈호강을 했답니다,"['요즘', '일몰', '구경', '대포', '신경', '촬영', '처음', '상치', '이쁘다', '수국', '길다', '발견', '조금', '충분하다', '이쁘다', '시시각각', '변하다', '하늘', '바다', '멋지다', '컨셉', '포토', '많다', '사람', '많다', '파도', '소리', '높다', '경관', '멋지다', '산만하다', '느낌', '없다', '아주', '제대로', '호강']",Positive,0.9726990461349487
다대포해수욕장,부산 사하구 다대동,나대로1,"일몰이 멋있고대중교통으로 접근하기 쉽고사람들이 많지않고해변 맨발걷기에도 최적의 장소에요몰운대 입구에서 걸어갈 수 있는 해변까지 약 30분 , 거의 2키로가 되서 왕복하면 1시간 넉넉히 걸을 수 있어요맨발걷기 하는 분들이 많아 좋아요~~!","일몰이 멋있고대중교통으로 접근하기 쉽고사람들이 많지않고해변 맨발걷기에도 최적의 장소에요몰운대 입구에서 걸어갈 수 있는 해변까지 약 30분 , 거의 2키로가 되서 왕복하면 1시간 넉넉히 걸을 수 있어요맨발걷기 하는 분들이 많아 좋아요!","['일몰', '멋있다', '대중교통', '접근', '사람', '많다', '해변', '맨발', '걷기', '최적', '장소', '입구', '있다', '해변', '거의', '키로', '왕복', '넉넉하다', '있다', '맨발', '걷기', '많다', '좋다']",Positive,0.969754695892334
다대포해수욕장,부산 사하구 다대동,yoo****,"노을뷰로 유명한 곳인데 오늘은 날이 조금 흐려서 아쉽게도 노을은 못봤어요.  다대포 선셋영화축제를 즐기러 갔는데 백사장에서 영화 애자를 상영중이었고, 볼거리 먹을거리 즐길거리 가득하고 행사도 많이 하네요. 놀이시설도 잘 되어 있어서 아이들이 뛰어놀기에도 넘 좋아요! 내일은 가수 장민호가, 모레는 코요테가 나온다고 주말을 노리는 사람들도 많아요. 또 일욜은 영화 쎄시봉도 상영하구요. 화려한 다대포 꿈의 낙조분수는 이번 주말은 안하고 담주부터 하나봐요~!","노을뷰로 유명한 곳인데 오늘은 날이 조금 흐려서 아쉽게도 노을은 못봤어요. 다대포 선셋영화축제를 즐기러 갔는데 백사장에서 영화 애자를 상영중이었고, 볼거리 먹을거리 즐길거리 가득하고 행사도 많이 하네요. 놀이시설도 잘 되어 있어서 아이들이 뛰어놀기에도 넘 좋아요! 내일은 가수 장민호가, 모레는 코요테가 나온다고 주말을 노리는 사람들도 많아요. 또 일욜은 영화 쎄시봉도 상영하구요. 화려한 다대포 꿈의 낙조분수는 이번 주말은 안하고 담주부터 하나봐요!","['노을', '유명하다', '오늘', '조금', '아쉽다', '노을', '다대', '선셋', '영화', '축제', '사장', '영화', '애자', '상영', '볼거리', '길거리', '가득하다', '행사', '놀이', '시설', '있다', '아이', '좋다', '내일', '가수', '장민호', '모레', '코요테', '주말', '사람', '많다', '일욜', '영화', '쎄다', '상영', '화려하다', '다대', '분수', '이번', '주말', '하나']",Positive,0.9490898847579956
다대포해수욕장,부산 사하구 다대동,오월애는,아름다운 해안  길 강추합니다. 연인과 데이트코스 딱이네요,아름다운 해안 길 강추합니다. 연인과 데이트코스 딱이네요,"['아름답다', '해안', '추하다', '연인', '데이트', '코스', '딱이다']",Positive,0.9677250981330872
다대포해수욕장,부산 사하구 다대동,Marge simpson 0410,부산 일몰맛집 다대포 해수욕장😎다대포 해수욕장에 18시50분쯤 도착했는데 해가 지기 시작했어요.와~우👍오~~호🎶 예~~😛정말 아름다워서 환호성이💘꼭 한번은 오셔서 멋진 광경을 감상하시기를~모래가 어찌나 고운지 신발 벗고 밀려오는 바닷물과 함께 걷는데그 어떤 감성도 따라올 수 없는 갬성폭발💌🎉,부산 일몰맛집 다대포 해수욕장다대포 해수욕장에 18시50분쯤 도착했는데 해가 지기 시작했어요.와우오호 예정말 아름다워서 환호성이꼭 한번은 오셔서 멋진 광경을 감상하시기를모래가 어찌나 고운지 신발 벗고 밀려오는 바닷물과 함께 걷는데그 어떤 감성도 따라올 수 없는 갬성폭발,"['부산', '일몰', '맛집', '다대', '해수욕', '대포', '해수욕장', '도착', '지기', '시작', '와우', '정말', '아름답다', '환호성', '한번', '멋지다', '광경', '감상', '모래', '운지', '신발', '바닷물', '어떻다', '감성', '없다', '폭발']",Positive,0.9705078601837158
