store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
대천해수욕장,충남 보령시 신흑동,밍크 인플루언서,"💜 대천해수욕장 : 대천역에서 택시 15분, 버스도 자주 다녀서 30분이면 도착하는 곳. 주말저녁 바닷가에서 버스킹 공연도 다양하게 열리고 먹거리가 넘쳐나네요.👍 화장실도 바다쪽에 중간중간 잘되어 있어서 이용하기 편리했구요. 특히, 노을질때 풍경이 몽환적이고 환상적입니다.🙏 바다를 봤을때 대천해수욕장 오른쪽 끝은 해양레일바이크와 짚라인이 있으니 참고해서 가보셔도 되고 대천항 수산물시장도 차로 5분거리로 가깝습니다.","대천해수욕장 대천역에서 택시 15분, 버스도 자주 다녀서 30분이면 도착하는 곳. 주말저녁 바닷가에서 버스킹 공연도 다양하게 열리고 먹거리가 넘쳐나네요. 화장실도 바다쪽에 중간중간 잘되어 있어서 이용하기 편리했구요. 특히, 노을질때 풍경이 몽환적이고 환상적입니다. 바다를 봤을때 대천해수욕장 오른쪽 끝은 해양레일바이크와 짚라인이 있으니 참고해서 가보셔도 되고 대천항 수산물시장도 차로 5분거리로 가깝습니다.","['대천해수욕장', '대천역', '택시', '버스', '자주', '도착', '주말', '저녁', '바닷가', '버스킹', '공연', '다양하다', '먹거리', '넘치다', '화장실', '바다', '중간', '중간', '있다', '이용', '편리하다', '노을', '질때', '풍경', '몽환', '환상', '이다', '바다', '대천해수욕장', '오른쪽', '해양', '레일바이크', '짚라인', '있다', '참고', '대천항', '수산물', '시장', '차로', '가깝다']",Positive,0.9635745286941528
대천해수욕장,충남 보령시 신흑동,여행배달부 노월,"대천 여행 필수 코스, 대천해수욕장 다녀왔어요~ 노을광장 쪽은 주차 공간이 있기는 하지만 차가 많아서 공영 주차장에 주차하고 걸어가시는 걸 추천드립니다💙날씨가 너무 좋아서 사진도 잘 나오고 파도 소리 들으니까 힐링되는 것 같았어요~ 근처에 식당이랑 카페도 많아서 바다 구경하고 놀기 좋을 것 같았습니다👍텐트나 돗자리 펴고 쉬시는 분들도 꽤 많아서 시간 여유 많으신 분들은 텐트 치고 물멍하다 가도 좋을 것 같더라고요😘바다 구경하실 분들은 노을광장 쪽으로 가시는 걸 추천드리고 스카이바이크 타실 분들은 분수광장이랑 머드광장 쪽으로 가시는 걸 추천드립니다💕","대천 여행 필수 코스, 대천해수욕장 다녀왔어요 노을광장 쪽은 주차 공간이 있기는 하지만 차가 많아서 공영 주차장에 주차하고 걸어가시는 걸 추천드립니다날씨가 너무 좋아서 사진도 잘 나오고 파도 소리 들으니까 힐링되는 것 같았어요 근처에 식당이랑 카페도 많아서 바다 구경하고 놀기 좋을 것 같았습니다텐트나 돗자리 펴고 쉬시는 분들도 꽤 많아서 시간 여유 많으신 분들은 텐트 치고 물멍하다 가도 좋을 것 같더라고요바다 구경하실 분들은 노을광장 쪽으로 가시는 걸 추천드리고 스카이바이크 타실 분들은 분수광장이랑 머드광장 쪽으로 가시는 걸 추천드립니다","['대천', '여행', '필수', '코스', '대천해수욕장', '노을', '광장', '주차', '공간', '있다', '차갑다', '많다', '공영', '주차장', '주차', '추천', '날씨', '좋다', '사진', '파도', '소리', '힐링', '같다', '근처', '식당', '카페', '많다', '바다', '구경', '좋다', '같다', '텐트', '돗자리', '많다', '시간', '여유', '많다', '텐트', '멍하다', '가도', '좋다', '같다', '바다', '구경', '노을', '광장', '추천', '스카이', '바이크', '분수', '광장', '머드', '광장', '추천']",Positive,0.936079204082489
대천해수욕장,충남 보령시 신흑동,Ajeet어짓,25.11.15일바닷바람 쐬러깔끔하고  시원한  바닷바람 맞으니 한결상쾌하다만리포도 좋은데대천도 규모도 크고  탁트여서 좋다게다가 컨택할수 있는 식당이나 그외도 좋다,25.11.15일바닷바람 쐬러깔끔하고 시원한 바닷바람 맞으니 한결상쾌하다만리포도 좋은데대천도 규모도 크고 탁트여서 좋다게다가 컨택할수 있는 식당이나 그외도 좋다,"['깔끔하다', '시원하다', '바람', '한결', '상쾌하다', '만리', '포도', '좋다', '천도', '규모', '좋다', '게다가', '컨택', '있다', '식당', '외도', '좋다']",Positive,0.9622066617012024
대천해수욕장,충남 보령시 신흑동,왈츠를 추는 분홍낮달맞이,대천해수욕장이 여름에만 좋은게 아니네요가을인데도  사람들이 꽤 많이 와서 즐기네요저녁에는 조개구이집마다 손님이 가득하네요,대천해수욕장이 여름에만 좋은게 아니네요가을인데도 사람들이 꽤 많이 와서 즐기네요저녁에는 조개구이집마다 손님이 가득하네요,"['대천해수욕장', '여름', '좋다', '아니다', '가을', '사람', '저녁', '조개', '이집', '손님', '가득하다']",Positive,0.9598968625068665
대천해수욕장,충남 보령시 신흑동,희지우성짱,힐링하기 좋은 대천해수욕장에서 행복한 추억 많이 만들고 눈에 담고 갑니다🙏🙏,힐링하기 좋은 대천해수욕장에서 행복한 추억 많이 만들고 눈에 담고 갑니다,"['힐링', '좋다', '대천해수욕장', '행복하다', '추억']",Positive,0.9694371223449707
대천해수욕장,충남 보령시 신흑동,눈에띄지않는나그네,대천해수욕장에 갔어요~ 연휴라 사람들이 많이 방문했어요~ 날씨는 화창했지만 습도가 높아서 더워요;; 그래도 사진이 잘 찍혔고 포토존이 많아서 찍을 곳이 많아요~ 근처에 식당이 많아서 먹거리가 많아요~ 또 대천항수산시장도 있어서 해산물도 구매할 수 있어요~ㅎㅎ,대천해수욕장에 갔어요 연휴라 사람들이 많이 방문했어요 날씨는 화창했지만 습도가 높아서 더워요 그래도 사진이 잘 찍혔고 포토존이 많아서 찍을 곳이 많아요 근처에 식당이 많아서 먹거리가 많아요 또 대천항수산시장도 있어서 해산물도 구매할 수 있어요ㅎㅎ,"['대천해수욕장', '연휴', '사람', '방문', '날씨', '화창하다', '습도', '높다', '덥다', '사진', '포토', '많다', '많다', '근처', '식당', '많다', '먹거리', '많다', '대천항', '수산시장', '있다', '해산물', '구매', '있다']",Positive,0.9435569047927856
대천해수욕장,충남 보령시 신흑동,사린몸매,서해안 최고의 휴양지가 맞는 것 같네요 해변 길이가 길어서 그런지 수평선이 보이지는 않지만 뻥 뚫린 기분을 느낄 수 있어요 모래사장 걷기도 좋고 먹거리도 다양해요 시원한 해풍이 계속 불어서 그늘만 있으면 앉아서 쉬기 좋아요,서해안 최고의 휴양지가 맞는 것 같네요 해변 길이가 길어서 그런지 수평선이 보이지는 않지만 뻥 뚫린 기분을 느낄 수 있어요 모래사장 걷기도 좋고 먹거리도 다양해요 시원한 해풍이 계속 불어서 그늘만 있으면 앉아서 쉬기 좋아요,"['서해안', '최고', '휴양지', '같다', '해변', '길이', '그렇다', '수평선', '보이', '기분', '있다', '모래사장', '걷기', '좋다', '먹거리', '다양하다', '시원하다', '해풍', '계속', '불어', '그늘', '있다', '좋다']",Positive,0.9713800549507141
대천해수욕장,충남 보령시 신흑동,여기저기탐험가,"맛있는 먹거리와 짚트랙과 스카이바이크 등  즐길거리가 가득한 명실상부 서해안 최고, 최대의 해수욕장!! 휴가철이지만  크게 붐비는 느낌은 아니여서 해수욕을 즐기기에 너무나 좋은!! 오래된 머드축제도 함께 즐기면 더 재미있을것 같고 무엇보다 몇년전 새로생긴 머드트레인은 탑승이 유료였던게 무료로 바뀌었고  상가앞 도로를 통제 운영하여 가볍게 해수욕장 산책하기도 너무나 좋아졌어요!  남북으로 해안선따라 곳곳을 즐기며 여름휴가 보내기 좋습니다!","맛있는 먹거리와 짚트랙과 스카이바이크 등 즐길거리가 가득한 명실상부 서해안 최고, 최대의 해수욕장!! 휴가철이지만 크게 붐비는 느낌은 아니여서 해수욕을 즐기기에 너무나 좋은!! 오래된 머드축제도 함께 즐기면 더 재미있을것 같고 무엇보다 몇년전 새로생긴 머드트레인은 탑승이 유료였던게 무료로 바뀌었고 상가앞 도로를 통제 운영하여 가볍게 해수욕장 산책하기도 너무나 좋아졌어요! 남북으로 해안선따라 곳곳을 즐기며 여름휴가 보내기 좋습니다!","['맛있다', '먹거리', '트랙', '스카이', '바이크', '거리', '가득하다', '명실', '상부', '서해안', '최고', '최대', '해수욕장', '휴가', '크게', '느낌', '아니다', '해수욕', '좋다', '오래되다', '머드', '축제', '재미있다', '같다', '무엇', '년전', '새롭다', '머드', '트레인', '탑승', '유료', '무료', '상가', '도로', '통제', '운영', '가볍다', '해수욕장', '산책', '남북', '해안선', '곳곳', '여름', '휴가', '좋다']",Positive,0.9680917263031006
대천해수욕장,충남 보령시 신흑동,샤방샤방엘리스,대천해수욕장은 머드광장 노을광장 분수광장으로 나뉘어져 있는데 분수광장옆에 있는스카이 바이크 타고 잠깐 갔는데요축제때 갔을때와는 또다른 분위기조용하니 차분한 분위기 기반시설과 각종 편의시설이 잘 갖추어져있어 사람들이 사계절  많이 찾나 보네요,대천해수욕장은 머드광장 노을광장 분수광장으로 나뉘어져 있는데 분수광장옆에 있는스카이 바이크 타고 잠깐 갔는데요축제때 갔을때와는 또다른 분위기조용하니 차분한 분위기 기반시설과 각종 편의시설이 잘 갖추어져있어 사람들이 사계절 많이 찾나 보네요,"['대천해수욕장', '머드', '광장', '노을', '광장', '분수', '광장', '있다', '분수', '광장', '있다', '스카이', '바이크', '타고', '잠깐', '축제', '분위기', '조용하다', '차분하다', '분위기', '기반시설', '각종', '편의', '시설', '사람', '사계절']",Positive,0.9482218027114868
대천해수욕장,충남 보령시 신흑동,jollaboy,"여름이면 보령 머드축제 방문겸 한번씩 오는곳인데 동해안과는 또다른 매력이있는 해수욕장이에요!물때에 따라 백사장이 전혀 다른 분위기, 특히 간조때는 3.5km나 되는 백사장이 엄청넓어져  방문객이 많은데도 여유로워보이네요. 주변에  행사나 즐길거리, 먹거리도 꽤있고 주차도 쉽게 가능, 그동안 한적하고 조용한 서해 해수욕장과는 다른 활기넘치는 서해 해수욕장.. 그리고 운치있는 노을은 역시","여름이면 보령 머드축제 방문겸 한번씩 오는곳인데 동해안과는 또다른 매력이있는 해수욕장이에요!물때에 따라 백사장이 전혀 다른 분위기, 특히 간조때는 3.5km나 되는 백사장이 엄청넓어져 방문객이 많은데도 여유로워보이네요. 주변에 행사나 즐길거리, 먹거리도 꽤있고 주차도 쉽게 가능, 그동안 한적하고 조용한 서해 해수욕장과는 다른 활기넘치는 서해 해수욕장.. 그리고 운치있는 노을은 역시","['여름', '이면', '보령', '머드', '축제', '방문', '한번', '동해안', '매력', '있다', '해수욕장', '물때', '백사', '전혀', '다른', '분위기', '간조', '백사', '방문객', '많다', '여유', '주변', '행사', '길거리', '먹거리', '있다', '주차', '가능', '그동안', '한적하다', '조용하다', '서해', '해수욕장', '다른', '활기', '넘치다', '서해', '해수욕장', '운치', '있다', '노을', '역시']",Positive,0.9715840220451355
