store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
동문시장,제주 제주시 동문로 16,kim****,"짧고 맛깔나게 오징어튀김 리뷰 써드릴게요!---겉은 바삭하고 속은 탱글한 오징어가 씹을수록 고소함이 터져요. 기름기 하나 없이 깔끔하게 튀겨져서 느끼함도 없고, 간도 적당해 계속 손이 가는 맛! 새우튀김 대신 이제 이 집 오징어튀김 찾을 듯!","짧고 맛깔나게 오징어튀김 리뷰 써드릴게요!겉은 바삭하고 속은 탱글한 오징어가 씹을수록 고소함이 터져요. 기름기 하나 없이 깔끔하게 튀겨져서 느끼함도 없고, 간도 적당해 계속 손이 가는 맛! 새우튀김 대신 이제 이 집 오징어튀김 찾을 듯!","['짧다', '맛깔나다', '오징어', '튀김', '리뷰', '바삭', '오징어', '고소하다', '기름기', '하나', '깔끔하다', '느끼하다', '없다', '간도', '적당하다', '계속', '새우', '튀김', '대신', '이제', '오징어', '튀김']",Positive,0.9663805961608887
동문시장,제주 제주시 동문로 16,앵두파탈,"제주에서 가장 크고 오래된 재래시장 중 하나.제주시 중심부(구제주 쪽)에 위치해 접근성도 좋고, 관광객과 지역 주민 모두에게 인기 있는 장소로점포 수는 약 300개 정도이며, 다양한 품목을 판매하는 큰 시장.수산물이 발달해 있고 제주 특산품은 꼭 구매해야 함.공항면세점보다 종류가 많고 가격도 저렴하다.","제주에서 가장 크고 오래된 재래시장 중 하나.제주시 중심부구제주 쪽에 위치해 접근성도 좋고, 관광객과 지역 주민 모두에게 인기 있는 장소로점포 수는 약 300개 정도이며, 다양한 품목을 판매하는 큰 시장.수산물이 발달해 있고 제주 특산품은 꼭 구매해야 함.공항면세점보다 종류가 많고 가격도 저렴하다.","['제주', '가장', '오래되다', '재래시장', '하나', '제주시', '중심부', '제주', '위치', '접근성', '좋다', '관광객', '지역', '주민', '모두', '인기', '있다', '장소', '점포', '정도', '다양하다', '품목', '판매', '시장', '수산물', '발달', '있다', '제주', '특산', '구매', '공항', '면세점', '종류', '많다', '가격', '저렴하다']",Positive,0.9523296356201172
동문시장,제주 제주시 동문로 16,견생99,고기국수와 김밥 빠르게 나오고 맛있어요,고기국수와 김밥 빠르게 나오고 맛있어요,"['고기국수', '김밥', '빠르다', '맛있다']",Positive,0.9731087684631348
동문시장,제주 제주시 동문로 16,화성인 식탐여교사의 먹스테이,"블랑제주 소품과 액세서리 예뻐요키링 6000원, 8000원짜리 헬멧쓴 강아지 넘 귀여워요","블랑제주 소품과 액세서리 예뻐요키링 6000원, 8000원짜리 헬멧쓴 강아지 넘 귀여워요","['제주', '소품', '액세서리', '예쁘다', '요키', '헬멧', '강아지', '귀엽다']",Positive,0.9704728126525879
동문시장,제주 제주시 동문로 16,Yammiyamyam,맛있어요!!!!,맛있어요!!!!,['맛있다'],Positive,0.9712782502174377
동문시장,제주 제주시 동문로 16,hky****,친구랑 골모찌세트 시켰는데 다양하게 맛볼 수 있어 즐거웠어요^^ 시장 구경하다 달콤한 힐링~,친구랑 골모찌세트 시켰는데 다양하게 맛볼 수 있어 즐거웠어요 시장 구경하다 달콤한 힐링,"['친구', '모찌', '세트', '다양하다', '있다', '즐겁다', '시장', '구경', '달콤하다', '힐링']",Positive,0.9688134789466858
동문시장,제주 제주시 동문로 16,chicken120184,너무너무 맛있어요 강추합니다 번창하세요 최고예요,너무너무 맛있어요 강추합니다 번창하세요 최고예요,"['맛있다', '추하다', '번창', '최고']",Positive,0.9743804335594177
동문시장,제주 제주시 동문로 16,Rnaepd,제주도 오기 전부터 먹고싶었어요사장님 넘 친절하시고 맛있어요말랑쫀득한데 안달아서 좋아요(한국인의 최고의 칭찬),제주도 오기 전부터 먹고싶었어요사장님 넘 친절하시고 맛있어요말랑쫀득한데 안달아서 좋아요한국인의 최고의 칭찬,"['제주도', '오기', '사장', '친절하다', '맛있다', '쫀득', '좋다', '한국인', '최고', '칭찬']",Positive,0.9733042120933533
동문시장,제주 제주시 동문로 16,깜지엄마51,젊은이들이 하는 맛집입니다다 맛있어요,젊은이들이 하는 맛집입니다다 맛있어요,"['젊은이', '맛집', '이다', '맛있다']",Positive,0.9734318256378174
동문시장,제주 제주시 동문로 16,강남별사탕,수박 한통에 3잔가격이 미쳤다😄사장님 엄청 친절하심❤️❤️❤️,수박 한통에 3잔가격이 미쳤다사장님 엄청 친절하심,"['수박', '가격', '미치다', '사장', '친절하다']",Positive,0.8420244455337524
동문시장,제주 제주시 동문로 16,퐁당up,간단하게 밥 먹기 좋네요,간단하게 밥 먹기 좋네요,"['간단하다', '먹기', '좋다']",Positive,0.9266905784606934
동문시장,제주 제주시 동문로 16,kmk****,아이 선물 팔찌 득템했어요 아기자기 어린이 소품도 많아서 좋네요! 다음에 또 올게용,아이 선물 팔찌 득템했어요 아기자기 어린이 소품도 많아서 좋네요! 다음에 또 올게용,"['아이', '선물', '팔찌', '득템', '아기자기', '어린이', '소품', '많다', '좋다', '다음']",Positive,0.9737899303436279
동문시장,제주 제주시 동문로 16,농구사랑,good,good,[],Positive,0.9194675087928772
동문시장,제주 제주시 동문로 16,mIMijEJe,다른곳에서는 못본 것 같은 너무 귀여운 뜨개똑딱이핀을 발견해서 바로 구입했어요:),다른곳에서는 못본 것 같은 너무 귀여운 뜨개똑딱이핀을 발견해서 바로 구입했어요,"['같다', '귀엽다', '개똑', '딱이다', '발견', '바로', '구입']",Positive,0.9730263352394104
동문시장,제주 제주시 동문로 16,지중해1103,제주여행의 맛있는 첫잔!신기하고 멋스러워요친절하시고~맛있는 술들이 많아요♡👍👍👍,제주여행의 맛있는 첫잔!신기하고 멋스러워요친절하시고맛있는 술들이 많아요,"['여행', '맛있다', '신기하다', '스럽다', '친절하다', '맛있다', '많다']",Positive,0.9746637344360352
동문시장,제주 제주시 동문로 16,기아짱,맛있어요,맛있어요,['맛있다'],Positive,0.9722048044204712
