store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,짚신70,"레고 덕후였던 부부와 아이들이 방문한 첫 레고랜드입니다.아내와 아이들 모두 만족해하며 즐거운 시간을 보냈습니다. 놀이기구는 기본 40분 이상이라 타지 못했지만, 다양하게 만들어놓은 레고와 뮤직페스티벌, 그리고 불꽃놀이까지 멋지게 보고 나왔습니다!","레고 덕후였던 부부와 아이들이 방문한 첫 레고랜드입니다.아내와 아이들 모두 만족해하며 즐거운 시간을 보냈습니다. 놀이기구는 기본 40분 이상이라 타지 못했지만, 다양하게 만들어놓은 레고와 뮤직페스티벌, 그리고 불꽃놀이까지 멋지게 보고 나왔습니다!","['레고', '덕후', '부부', '아이', '방문', '레고랜드', '이다', '아내', '아이', '모두', '만족하다', '즐겁다', '시간', '놀이기구', '기본', '이상', '타지', '다양하다', '레고', '뮤직페스티벌', '불꽃놀이', '멋지다', '보고']",Positive,0.9734253883361816
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,파워배추,날씨가 선선해지고 바람이 부니까 사람들이 제법 많이 찾아옵니다. 가을바람이 이렇게 좋네요. 여름에 올땐 너무나 더워서 힘들었는데 그래도 날씨가 도와주니 사람들이 즐겁게 구경도 하고 놀이기구도 타면서 즐거움을 만끽합니다. 새로운 어트랙션도 타보고 새로운 신상들의 레고 장난감도 보면서 하루가 정말 빨리 가네요. 11시에 오픈해서 7시에 마감합니다. 주차장도 넓어서 편하게 이용 가능하고 셔틀버스도 있어서 많이 걷지 않으셔도 돼요. 레고랜드에 오셔서는 각오하시고 걸어다니셔야 합니다ㅎㅎ 가족들도 아이들도 즐거운 시간을 내고 함께 보내서 행복해요. 다만 운영하지 않는 장소들이 꽤 있어 아쉬움이 있습니다. 그리고 주말 행사도 있으면 더 즐거움이 클 것 같아요.패스트푸드매장도 많이 운영해주시면 감사하겠습니다.!!,날씨가 선선해지고 바람이 부니까 사람들이 제법 많이 찾아옵니다. 가을바람이 이렇게 좋네요. 여름에 올땐 너무나 더워서 힘들었는데 그래도 날씨가 도와주니 사람들이 즐겁게 구경도 하고 놀이기구도 타면서 즐거움을 만끽합니다. 새로운 어트랙션도 타보고 새로운 신상들의 레고 장난감도 보면서 하루가 정말 빨리 가네요. 11시에 오픈해서 7시에 마감합니다. 주차장도 넓어서 편하게 이용 가능하고 셔틀버스도 있어서 많이 걷지 않으셔도 돼요. 레고랜드에 오셔서는 각오하시고 걸어다니셔야 합니다ㅎㅎ 가족들도 아이들도 즐거운 시간을 내고 함께 보내서 행복해요. 다만 운영하지 않는 장소들이 꽤 있어 아쉬움이 있습니다. 그리고 주말 행사도 있으면 더 즐거움이 클 것 같아요.패스트푸드매장도 많이 운영해주시면 감사하겠습니다.!!,"['날씨', '선선해지다', '바람', '사람', '제법', '가을', '바람', '좋다', '여름', '덥다', '힘들다', '날씨', '사람', '즐겁다', '구경', '놀이기구', '즐거움', '만끽', '새롭다', '어트랙션', '보고', '새롭다', '신상', '레고', '장난감', '하루', '정말', '오픈', '마감', '주차장', '넓다', '편하다', '이용', '가능하다', '셔틀버스', '있다', '레고랜드', '각오', '가족', '아이', '즐겁다', '시간', '행복하다', '다만', '운영', '장소', '있다', '아쉬움', '있다', '주말', '행사', '있다', '즐거움', '같다', '패스트푸드', '매장', '운영']",Positive,0.9658933281898499
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,똘똘한맘,놀이기구 무서워하는 우리 아이들 수준에 딱!!맞는 재미있는 레고랜드 다녀왔어요~아침 일찍 오픈런해서 기다리지않고 놀이기구 실컷탔어요~~  주말이라 그런지 오후되니까 사람이 꽤 많아졌어요~~주차장이 넓어서 주차하기 편해요~~  주차하고 레고랜드까지 5분정도걸어가는데 하늘도 예쁘고 단풍도 예쁘게 물들어 사진많이 찍으며 걸었어요~~오픈행사할때 아이들이 앞에 서서 댄스 따라하는데 엄청 신나하네요~놀이기구 수준이 아주 무섭지도 않고 유치하지도 않고..  적정해서 초등저학년아이들까지랑~  큰아이들중에 놀이기구 못타는 아이들까지 재미있게 놀수있는곳인것같아요~  곧 할로윈데이라 포토존도 잘꾸며져있고 공연도 몬스터가 주인공이네요~ 처음 와봤는데 또오고싶어지는곳이예요~~^^,놀이기구 무서워하는 우리 아이들 수준에 딱!!맞는 재미있는 레고랜드 다녀왔어요아침 일찍 오픈런해서 기다리지않고 놀이기구 실컷탔어요 주말이라 그런지 오후되니까 사람이 꽤 많아졌어요주차장이 넓어서 주차하기 편해요 주차하고 레고랜드까지 5분정도걸어가는데 하늘도 예쁘고 단풍도 예쁘게 물들어 사진많이 찍으며 걸었어요오픈행사할때 아이들이 앞에 서서 댄스 따라하는데 엄청 신나하네요놀이기구 수준이 아주 무섭지도 않고 유치하지도 않고.. 적정해서 초등저학년아이들까지랑 큰아이들중에 놀이기구 못타는 아이들까지 재미있게 놀수있는곳인것같아요 곧 할로윈데이라 포토존도 잘꾸며져있고 공연도 몬스터가 주인공이네요 처음 와봤는데 또오고싶어지는곳이예요,"['놀이기구', '무섭다', '우리', '아이', '수준', '재미있다', '레고랜드', '아침', '일찍', '오픈', '놀이기구', '실컷', '주말', '그렇다', '오후', '사람', '주차', '넓다', '주차', '편하다', '주차', '레고랜드', '하늘', '예쁘다', '단풍', '예쁘다', '사진', '오픈', '행사', '아이', '서서', '댄스', '신나다', '놀이기구', '수준', '아주', '무섭다', '유치하다', '적정하다', '초등', '저학년', '아이', '아이', '놀이기구', '아이', '재미있다', '놀수', '있다', '같다', '할로윈데이', '포토', '공연', '몬스터', '주인공', '처음']",Positive,0.9681203365325928
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,Maker chang,"아이 생일에 다시 찾은 레고랜드!레고랜드호텔 숙박객 2일권 구매해서 원없이 놀렸습니다:) 어른 6만원,아이 5만원 2일권 강추합니다첫날엔 물놀이 중심으로 폐장시간까지 쉬엄쉬엄 돌았는데 야경이 너무 예뻤구요둘째날엔 정말 더웠지만 실내에 있는 레고조립과 영화, 팽이 돌리기 콘테스트등 다양한 활동을 해서 좋았습니다저녁에 선선해졌을 때 느낌이 너무 좋아서 다음에도 2일권으로 와야겠어요초등학교 4학년 정도까진 여기만한데가 없을것 같아요다만 안에서 식음료는 비싼 편이에요입구 초입의 노란 인생네컷부스!제가 찍어본 인생네컷중 화질 제일 좋은것 같아요모든 체력을 쏟아붓고 빅샵에서 레고 하나, 맞은편 젤리가게에서 젤리 한봉지씩 사주고 오는길!완전히 뻗은 아이들 보면 뿌듯했습니다:)","아이 생일에 다시 찾은 레고랜드!레고랜드호텔 숙박객 2일권 구매해서 원없이 놀렸습니다 어른 6만원,아이 5만원 2일권 강추합니다첫날엔 물놀이 중심으로 폐장시간까지 쉬엄쉬엄 돌았는데 야경이 너무 예뻤구요둘째날엔 정말 더웠지만 실내에 있는 레고조립과 영화, 팽이 돌리기 콘테스트등 다양한 활동을 해서 좋았습니다저녁에 선선해졌을 때 느낌이 너무 좋아서 다음에도 2일권으로 와야겠어요초등학교 4학년 정도까진 여기만한데가 없을것 같아요다만 안에서 식음료는 비싼 편이에요입구 초입의 노란 인생네컷부스!제가 찍어본 인생네컷중 화질 제일 좋은것 같아요모든 체력을 쏟아붓고 빅샵에서 레고 하나, 맞은편 젤리가게에서 젤리 한봉지씩 사주고 오는길!완전히 뻗은 아이들 보면 뿌듯했습니다","['아이', '생일', '다시', '레고랜드', '레고랜드', '호텔', '숙박', '구매', '어른', '아이', '추하다', '첫날', '물놀이', '중심', '폐장', '시간', '쉬엄쉬엄', '야경', '예쁘다', '정말', '덥다', '실내', '있다', '레고', '조립', '영화', '팽이', '콘테스트', '다양하다', '활동', '좋다', '저녁', '선선해지다', '느낌', '좋다', '다음', '초등학교', '학년', '정도', '기만', '없다', '같다', '다만', '음료', '비싸다', '편이', '입구', '초입', '노랗다', '인생', '부스', '인생', '화질', '제일', '좋다', '같다', '모든', '체력', '빅샵', '레고', '하나', '맞은편', '젤리', '가게', '젤리', '봉지', '완전하다', '아이', '뿌듯하다']",Positive,0.9688572287559509
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,숨35,레고로만든 조형물들이 아주많아요 구경하면서 돌아다니기 너무좋고놀이기구는 딱 아이들을 위한것들이 많습니다성인들은 심심할수있어용,레고로만든 조형물들이 아주많아요 구경하면서 돌아다니기 너무좋고놀이기구는 딱 아이들을 위한것들이 많습니다성인들은 심심할수있어용,"['레고', '로만', '조형', '아주', '많다', '구경', '좋다', '놀이기구', '아이', '많다', '성인', '심심하다']",Positive,0.9690621495246887
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,달달한돼지력,"춘천대교 타고 섬에 있는 테마파크 레고랜드 다녀왔어요.3~4살 아이들이랑 다니기 좋아요.일단 테마파크가 전부 평지라서 에버랜드랑 다르게 걸어다니기 편해요.휴지통도 많고 화장실이랑 음식점이 다양하게 있어서 편의시설 사용하기 좋아요.휴일에 다녀왔는데 사람들도 적당해서 가장 긴 대기 시간이 40분정도였고 타고 싶었던 놀이기구는 다 탔어요.롤러코스터 2개 있는데 아이가 어려서 못탔는데 대기가 1시간이상 걸려요.도시락 포장해와서 테마파크 안에서 먹을 수 있어요.주차장이 걸어서 5분이상 걸리고 주차요금이 월 12,000원 나오는게 좀 아까워요.춘천역 공영주차장에 주차하고 셔틀버스 타고 오는것도 좋은 방법 같아요.3~4살 아이들이랑 오기에는 에버랜드보다 더 좋은 곳 같아요.18시에 문닫는게 별로예요.","춘천대교 타고 섬에 있는 테마파크 레고랜드 다녀왔어요.34살 아이들이랑 다니기 좋아요.일단 테마파크가 전부 평지라서 에버랜드랑 다르게 걸어다니기 편해요.휴지통도 많고 화장실이랑 음식점이 다양하게 있어서 편의시설 사용하기 좋아요.휴일에 다녀왔는데 사람들도 적당해서 가장 긴 대기 시간이 40분정도였고 타고 싶었던 놀이기구는 다 탔어요.롤러코스터 2개 있는데 아이가 어려서 못탔는데 대기가 1시간이상 걸려요.도시락 포장해와서 테마파크 안에서 먹을 수 있어요.주차장이 걸어서 5분이상 걸리고 주차요금이 월 12,000원 나오는게 좀 아까워요.춘천역 공영주차장에 주차하고 셔틀버스 타고 오는것도 좋은 방법 같아요.34살 아이들이랑 오기에는 에버랜드보다 더 좋은 곳 같아요.18시에 문닫는게 별로예요.","['춘천', '대교', '타고', '있다', '테마', '파크', '레고랜드', '아이', '좋다', '일단', '테마', '파크', '전부', '평지', '에버랜드', '다르다', '편하다', '휴지통', '많다', '화장실', '음식점', '다양하다', '있다', '편의', '시설', '사용', '좋다', '휴일', '사람', '적당하다', '가장', '대기', '시간', '타고', '놀이기구', '롤러코스터', '있다', '아이', '대기', '도시락', '포장', '테마', '파크', '있다', '주차장', '주차', '요금', '아깝다', '춘천역', '주차장', '주차', '셔틀버스', '타고', '좋다', '방법', '같다', '아이', '오기', '에버랜드', '좋다', '같다', '별로']",Positive,0.9462664127349854
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,박선정 오프라,"가을 가족 여행지! 할로윈파티 코스튬 재미있는 공연들까지! 아이들 어릴 때 오픈 연간 회원권 끊어 일년간 잘 다녔었는데 아이들 크고 오랜만에 갔는데 ""스핀짓주 마스터"" 롤러코스터도 새로 생겨서 진~짜 재미있게 잘 타고 왔어요! 드래곤 코스터 보다 더 무섭더라구요~~ 각종 할로윈 코스튬을 한 아이들도 많았고 포토존도 아주 다양해서 사진찍기 좋았어요~ 날씨도 좋아서 완전 최고였던 여행이었어요!",가을 가족 여행지! 할로윈파티 코스튬 재미있는 공연들까지! 아이들 어릴 때 오픈 연간 회원권 끊어 일년간 잘 다녔었는데 아이들 크고 오랜만에 갔는데 스핀짓주 마스터 롤러코스터도 새로 생겨서 진짜 재미있게 잘 타고 왔어요! 드래곤 코스터 보다 더 무섭더라구요 각종 할로윈 코스튬을 한 아이들도 많았고 포토존도 아주 다양해서 사진찍기 좋았어요 날씨도 좋아서 완전 최고였던 여행이었어요!,"['가을', '가족', '여행지', '할로윈', '파티', '코스튬', '재미있다', '공연', '아이', '오픈', '연간', '회원', '아이', '스핀', '마스터', '롤러코스터', '새롭다', '진짜', '재미있다', '타고', '드래곤', '코스터', '무섭다', '각종', '할로윈', '코스튬', '아이', '많다', '포토', '아주', '다양하다', '사진', '찍기', '좋다', '날씨', '좋다', '완전', '최고', '여행']",Positive,0.9718403220176697
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,홍홍1786,"레고랜드 안에 레고시티쪽 식당에서 매번 점심식사하는데요, 오늘 날씨가 약간 추워서 물놀이 놀이기구만 안되고, 나머지는 다 열려서 돌아다니기도 좋고, 식당에도 이제 김치도 팔고약간씩 메뉴도 달라지는 것같아 좋습니다~겨울에는 뜨끈한 쌀국수 같은거 팔면 더 좋겠습니다!","레고랜드 안에 레고시티쪽 식당에서 매번 점심식사하는데요, 오늘 날씨가 약간 추워서 물놀이 놀이기구만 안되고, 나머지는 다 열려서 돌아다니기도 좋고, 식당에도 이제 김치도 팔고약간씩 메뉴도 달라지는 것같아 좋습니다겨울에는 뜨끈한 쌀국수 같은거 팔면 더 좋겠습니다!","['레고랜드', '레고', '시티', '식당', '매번', '점심식사', '오늘', '날씨', '약간', '춥다', '물놀이', '놀이기구', '안되다', '나머지', '기도', '좋다', '식당', '이제', '김치', '팔고', '약간', '메뉴', '같다', '좋다', '겨울', '뜨끈하다', '쌀국수', '같다', '팔면', '좋다']",Positive,0.9606934189796448
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,유라신랑,"방문한 날 비가 많이와서시티 레스토랑에 사람들이 가득했습니다.ㅠ소불고기덮밥, 돈카스 카레라이스, 함박 토마토 파스타를주문했고 맛은 나름대로 괜찮았어요~~양도 1인분으로 충분해서 단품을 적당한 가격에 먹을 수 있었습니다.탄산음료 무한리필도 신청했는데..생각보다 아이들이 잘 마시지 않아서제가 콜라 2번 마셨습니다 ㅋ다른 곳은 간식인데..이곳에서는 밥을 먹일 수 있어서 좋았습니다.","방문한 날 비가 많이와서시티 레스토랑에 사람들이 가득했습니다.ㅠ소불고기덮밥, 돈카스 카레라이스, 함박 토마토 파스타를주문했고 맛은 나름대로 괜찮았어요양도 1인분으로 충분해서 단품을 적당한 가격에 먹을 수 있었습니다.탄산음료 무한리필도 신청했는데..생각보다 아이들이 잘 마시지 않아서제가 콜라 2번 마셨습니다 ㅋ다른 곳은 간식인데..이곳에서는 밥을 먹일 수 있어서 좋았습니다.","['방문', '많다', '시티', '레스토랑', '사람', '가득하다', '불고기', '카스', '카레라이스', '함박', '토마토', '파스타', '주문', '나름', '괜찮다', '양도', '인분', '충분하다', '적당하다', '가격', '있다', '탄산음료', '무한리필', '신청', '생각', '아이', '콜라', '다른', '간식', '있다', '좋다']",Positive,0.9552786946296692
레고랜드 코리아,강원 춘천시 하중도길 128 레고랜드 코리아 리조트,특기는돈빼고살모으기,2년만에 방문한 레고랜드 🎢아이는 나름 좋아하지만 하루종일 놀기에는뭐가 많이 없는 느낌이었어요.주차장과 거리도 먼 것 같고요~날씨가 많이 추운 탓도 있지만강원도라 그런지 유난히 바람도 차고너무 추워서 오래 못 놀고온 점이 많네요주변에 편의점이나아무것도 없는 공터지만자연이 예쁜 곳에 위치해있어서 힐링하고왔습니다^^,2년만에 방문한 레고랜드 아이는 나름 좋아하지만 하루종일 놀기에는뭐가 많이 없는 느낌이었어요.주차장과 거리도 먼 것 같고요날씨가 많이 추운 탓도 있지만강원도라 그런지 유난히 바람도 차고너무 추워서 오래 못 놀고온 점이 많네요주변에 편의점이나아무것도 없는 공터지만자연이 예쁜 곳에 위치해있어서 힐링하고왔습니다,"['방문', '레고랜드', '아이', '나름', '좋아하다', '하루', '종일', '없다', '주차장', '거리', '멀다', '같다', '날씨', '있다', '강원도', '그렇다', '바람', '차고', '춥다', '고온', '많다', '주변', '편의점', '없다', '공터', '자연', '예쁘다', '위치', '힐링']",Positive,0.9092404842376709
