store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
망원시장,서울 마포구 포은로6길 27 2층,꽃과천사,망원시장엔 맛있는게 넘많아요😍고추튀김 닭강정 수제돈까스 떡갈비 호박식혜 호떡까지👍🥰 포장해서 근처카페 가서 1인1음료 시키고 편하게 먹음😊,망원시장엔 맛있는게 넘많아요고추튀김 닭강정 수제돈까스 떡갈비 호박식혜 호떡까지 포장해서 근처카페 가서 1인1음료 시키고 편하게 먹음,"['망원', '시장', '맛있다', '많다', '고추', '튀김', '닭강정', '수제', '돈까스', '떡갈비', '호박', '식혜', '호떡', '포장', '근처', '카페', '음료', '편하다', '먹음']",Positive,0.8753353357315063
망원시장,서울 마포구 포은로6길 27 2층,4 8 8 5,위에 호랑이가 있어요😳,위에 호랑이가 있어요,"['호랑이', '있다']",Positive,0.5945732593536377
망원시장,서울 마포구 포은로6길 27 2층,piki5004,망원시장.  줄서는 돈가스맛집.  바삭마차.   소문대로. 바삭하고 맛있는 돈가스가. 있네요집에 가서 먹으려고. 포장해 밥니다,망원시장. 줄서는 돈가스맛집. 바삭마차. 소문대로. 바삭하고 맛있는 돈가스가. 있네요집에 가서 먹으려고. 포장해 밥니다,"['망원', '시장', '돈가스', '맛집', '바삭', '마차', '소문', '바삭', '맛있다', '돈가스', '있다', '포장', '밥니']",Positive,0.9320459961891174
망원시장,서울 마포구 포은로6길 27 2층,lov****,돈까스 맛있어요 최고입니다,돈까스 맛있어요 최고입니다,"['돈까스', '맛있다', '최고', '이다']",Positive,0.972464919090271
망원시장,서울 마포구 포은로6길 27 2층,하얀양31,맛나요,맛나요,[],Positive,0.9724807143211365
망원시장,서울 마포구 포은로6길 27 2층,아리283,맛있어요,맛있어요,['맛있다'],Positive,0.9722048044204712
망원시장,서울 마포구 포은로6길 27 2층,reviewer101,"망원떡갈비 24,000원('24.4.16)망원시장 합리적이고 맛있는거 많아요.","망원떡갈비 24,000원24.4.16망원시장 합리적이고 맛있는거 많아요.","['망원', '떡갈비', '망원', '시장', '합리', '맛있다', '많다']",Positive,0.9688757061958313
망원시장,서울 마포구 포은로6길 27 2층,은예맘,망원시장 무지싸고 다양한 물건들이  많아요.더불어  군것질 간식도 많인요,망원시장 무지싸고 다양한 물건들이 많아요.더불어 군것질 간식도 많인요,"['망원', '시장', '무지', '다양하다', '물건', '많다', '군것질', '간식', '많다']",Positive,0.970150351524353
망원시장,서울 마포구 포은로6길 27 2층,미미초우,돈가스 맛있어요,돈가스 맛있어요,"['돈가스', '맛있다']",Positive,0.970436692237854
망원시장,서울 마포구 포은로6길 27 2층,망꼬마,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
망원시장,서울 마포구 포은로6길 27 2층,진진6331,좋아용,좋아용,['좋다'],Positive,0.9715167284011841
망원시장,서울 마포구 포은로6길 27 2층,lemon92426,구워먹는 아이스크림 처음먹어봤는데 아이디어가 독특한거 같네요 맛있어요,구워먹는 아이스크림 처음먹어봤는데 아이디어가 독특한거 같네요 맛있어요,"['아이스크림', '처음', '아이디어', '독특하다', '같다', '맛있다']",Positive,0.9710723161697388
망원시장,서울 마포구 포은로6길 27 2층,mo****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
망원시장,서울 마포구 포은로6길 27 2층,체리8669,등심돈가스와 치즈롤까슥 맛나요,등심돈가스와 치즈롤까슥 맛나요,"['등심', '돈가스', '치즈']",Positive,0.9712105989456177
망원시장,서울 마포구 포은로6길 27 2층,호러91,아이스크림 가격은 비싸지만 특색있고 맛있어요,아이스크림 가격은 비싸지만 특색있고 맛있어요,"['아이스크림', '가격', '비싸다', '특색', '있다', '맛있다']",Positive,0.9716505408287048
망원시장,서울 마포구 포은로6길 27 2층,응봉공주,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,kym4686,맛있어요,맛있어요,['맛있다'],Positive,0.9722048044204712
망원시장,서울 마포구 포은로6길 27 2층,sy****,망원시장 주차장 자리가 부족합니다,망원시장 주차장 자리가 부족합니다,"['망원', '시장', '주차장', '자리', '부족하다']",Negative,0.8109556436538696
망원시장,서울 마포구 포은로6길 27 2층,달달구리40,망원시장 짱 좋으네요 ^^,망원시장 짱 좋으네요,"['망원', '시장', '좋다']",Positive,0.9702488780021667
망원시장,서울 마포구 포은로6길 27 2층,99****,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,꼼지락7851,친절해요,친절해요,['친절하다'],Positive,0.9661136269569397
망원시장,서울 마포구 포은로6길 27 2층,35기이숙희48,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,nar****,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,801****,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,도담37,좋아요!,좋아요!,['좋다'],Positive,0.9632229804992676
망원시장,서울 마포구 포은로6길 27 2층,za****,맛나요,맛나요,[],Positive,0.9724807143211365
망원시장,서울 마포구 포은로6길 27 2층,KongjI,주차장이 싸서 좋아요,주차장이 싸서 좋아요,"['주차장', '좋다']",Positive,0.9251614212989807
망원시장,서울 마포구 포은로6길 27 2층,민트오레오레오,전기차 반값주차. 너무좋습니다.,전기차 반값주차. 너무좋습니다.,"['전기차', '반값', '주차', '좋다']",Positive,0.972673773765564
망원시장,서울 마포구 포은로6길 27 2층,초록이미소,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
망원시장,서울 마포구 포은로6길 27 2층,bad****,망원시장내 죽집 포장방문살짝 짠맛나는 전복죽요,망원시장내 죽집 포장방문살짝 짠맛나는 전복죽요,"['망원', '장내', '죽집', '포장', '방문', '살짝', '짠맛', '전복죽']",Positive,0.671360194683075
망원시장,서울 마포구 포은로6길 27 2층,SSJJ51,👍,,[],Neutral,0.0
망원시장,서울 마포구 포은로6길 27 2층,sy****,주차 자리가 많이있지않아서 좀 기다려야해서 불편합니다,주차 자리가 많이있지않아서 좀 기다려야해서 불편합니다,"['주차', '자리', '있다', '야하다', '불편하다']",Negative,0.9203264117240906
망원시장,서울 마포구 포은로6길 27 2층,ISFP71,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,루시키드,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
망원시장,서울 마포구 포은로6길 27 2층,옥러브럽,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
망원시장,서울 마포구 포은로6길 27 2층,샤뿐샤뿐,알밤막걸리보다 대대포막걸리가 진짜 진짜 진짜 맛있네요!!이제 계속 대대포만 먹을거같아요❤️고추튀김과 맛있는 막걸리 덕분에 포르투갈전을 너무너무 잼있게 잘 봤어요!!!!,알밤막걸리보다 대대포막걸리가 진짜 진짜 진짜 맛있네요!!이제 계속 대대포만 먹을거같아요고추튀김과 맛있는 막걸리 덕분에 포르투갈전을 너무너무 잼있게 잘 봤어요!!!!,"['알밤', '막걸리', '대포', '막걸리', '진짜', '진짜', '진짜', '맛있다', '이제', '계속', '대포', '같다', '고추', '튀김', '맛있다', '막걸리', '덕분', '포르투갈']",Positive,0.9728929400444031
망원시장,서울 마포구 포은로6길 27 2층,꼼지락7851,친절해요,친절해요,['친절하다'],Positive,0.9661136269569397
망원시장,서울 마포구 포은로6길 27 2층,gyo****,예뻐요,예뻐요,['예쁘다'],Positive,0.9711402058601379
망원시장,서울 마포구 포은로6길 27 2층,놀자 놀자 더 놀자,망원시장 왔다 갑니다. 어서와. 한국은 처음이지?  이 프로 같은 느낌의 외국분들이 촬영하고 있더라구요,망원시장 왔다 갑니다. 어서와. 한국은 처음이지? 이 프로 같은 느낌의 외국분들이 촬영하고 있더라구요,"['망원', '시장', '어서', '한국', '처음', '프로', '같다', '느낌', '외국', '촬영', '있다']",Positive,0.9356789588928223
망원시장,서울 마포구 포은로6길 27 2층,귀륀,새롭긴 한데 맛은 그냥 그래요;;,새롭긴 한데 맛은 그냥 그래요,"['새롭다', '그냥', '그렇다']",Negative,0.9531881809234619
망원시장,서울 마포구 포은로6길 27 2층,ㄹㅁ82,옥수수별로임,옥수수별로임,"['옥수수', '별로']",Negative,0.9608311057090759
망원시장,서울 마포구 포은로6길 27 2층,몸부림,죽 종류가 많아요,죽 종류가 많아요,"['종류', '많다']",Positive,0.8259291648864746
망원시장,서울 마포구 포은로6길 27 2층,body93,품질 좋아요,품질 좋아요,"['품질', '좋다']",Positive,0.9660981297492981
망원시장,서울 마포구 포은로6길 27 2층,mat****,가성비가  좋고 다양한   상품들이   있어요 ~~,가성비가 좋고 다양한 상품들이 있어요,"['가성', '좋다', '다양하다', '상품', '있다']",Positive,0.8943797945976257
망원시장,서울 마포구 포은로6길 27 2층,닥터슐츠,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,lig****,"친절하고, 가성비가 좋아요","친절하고, 가성비가 좋아요","['친절하다', '가성', '좋다']",Positive,0.9294356107711792
망원시장,서울 마포구 포은로6길 27 2층,HelloJinny,맛있어요!!!,맛있어요!!!,['맛있다'],Positive,0.9702076315879822
망원시장,서울 마포구 포은로6길 27 2층,놀자 놀자 더 놀자,오늘도 옥수수 2500뤈,오늘도 옥수수 2500뤈,"['오늘', '옥수수']",Negative,0.8260742425918579
망원시장,서울 마포구 포은로6길 27 2층,SUN9934,좀 더 친절했으면 합니다.,좀 더 친절했으면 합니다.,['친절하다'],Negative,0.8562096357345581
망원시장,서울 마포구 포은로6길 27 2층,wal****,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,hee****,🙏🏻,,[],Neutral,0.0
망원시장,서울 마포구 포은로6길 27 2층,놀자 놀자 더 놀자,옥수수가 2500원이라니 너무 싸다요 <  맛도 단짠 단짠이라 좋았어요 쫀뜩하고 맛나요 우미락 고추퀴김은 안 맵고 바삭하고 포장이쁘고 초밥은 달걀이랑 흰살생선 좋았어요 모두 온누리모바일 상품권이 되다라구요 옥수수집 빼고  온누리상품권은 10% 할인 받고 충전하니 더 좋아여  (과일은 아직 안 먹어봤지만 신선하고 농활상품권 되서 좋았어요 ) 망원시장은 이용자가 젋더라구여,옥수수가 2500원이라니 너무 싸다요 맛도 단짠 단짠이라 좋았어요 쫀뜩하고 맛나요 우미락 고추퀴김은 안 맵고 바삭하고 포장이쁘고 초밥은 달걀이랑 흰살생선 좋았어요 모두 온누리모바일 상품권이 되다라구요 옥수수집 빼고 온누리상품권은 10 할인 받고 충전하니 더 좋아여 과일은 아직 안 먹어봤지만 신선하고 농활상품권 되서 좋았어요 망원시장은 이용자가 젋더라구여,"['옥수수', '좋다', '쫀뜩', '우미', '고추퀴김', '바삭', '포장', '이쁘다', '초밥', '달걀', '희다', '생선', '좋다', '모두', '온누리', '모바일', '상품권', '옥수', '수집', '온누리상품권', '할인', '충전', '좋다', '과일', '신선하다', '농활', '상품권', '좋다', '망원', '시장', '이용자', '젋더라구']",Positive,0.966738760471344
망원시장,서울 마포구 포은로6길 27 2층,노기4355,사람 넘 많아짐,사람 넘 많아짐,['사람'],Negative,0.9578912258148193
망원시장,서울 마포구 포은로6길 27 2층,jk****,쏘쏘,쏘쏘,[],Positive,0.8684324622154236
망원시장,서울 마포구 포은로6길 27 2층,오니엘,사장님 친절하세요,사장님 친절하세요,"['사장', '친절하다']",Positive,0.9655958414077759
망원시장,서울 마포구 포은로6길 27 2층,대동 안방마님,굿 ^^,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,좋은날5139,먹거리볼거리 즐길거리가   많았어요,먹거리볼거리 즐길거리가 많았어요,"['먹거리', '볼거리', '거리', '많다']",Positive,0.9272449612617493
망원시장,서울 마포구 포은로6길 27 2층,너두부,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,Lily6798,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
망원시장,서울 마포구 포은로6길 27 2층,kid****,굿,굿,[],Positive,0.9277362823486328
망원시장,서울 마포구 포은로6길 27 2층,jimin020904,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
