store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
메타프로방스,전남 담양군 담양읍 학동리 586-1,jollaboy,죽녹원 들렸다면 필수코스  유럽 작은 마을을 옮겨놓은 느낌  깔끔하고 소소한 먹거리나 카페도많고 기념품상점 아울렛도있어 가족여행이나 데이트 코스로 추천,죽녹원 들렸다면 필수코스 유럽 작은 마을을 옮겨놓은 느낌 깔끔하고 소소한 먹거리나 카페도많고 기념품상점 아울렛도있어 가족여행이나 데이트 코스로 추천,"['녹원', '필수', '코스', '유럽', '작다', '마을', '느낌', '깔끔하다', '소소하다', '먹거리', '카페', '많다', '기념품', '상점', '아울렛', '있다', '가족', '여행', '데이트', '코스', '추천']",Positive,0.9279984831809998
메타프로방스,전남 담양군 담양읍 학동리 586-1,kda****,많이 오픈은 안했는데 분위기가 좋아요,많이 오픈은 안했는데 분위기가 좋아요,"['오픈', '분위기', '좋다']",Positive,0.9633657932281494
메타프로방스,전남 담양군 담양읍 학동리 586-1,MY소확행,"편집샵이나 쇼핑할수있는 상점들이 많이 있네요^-^메타세콰이어길 구경하고 잠시 둘러봤는데,먹거리들도 맔고, 중간중간 사진찍을만한공간들이 있어요!","편집샵이나 쇼핑할수있는 상점들이 많이 있네요메타세콰이어길 구경하고 잠시 둘러봤는데,먹거리들도 맔고, 중간중간 사진찍을만한공간들이 있어요!","['편집', '쇼핑', '상점', '있다', '메타세콰이어', '구경', '잠시', '먹거리', '중간', '중간', '사진', '공간', '있다']",Positive,0.9603394269943237
메타프로방스,전남 담양군 담양읍 학동리 586-1,for****,"유럽풍 디자인의 가게와 분위기가 좋았습니다. 다만, 빈 점포들이 많아서 마음이 아프네요.","유럽풍 디자인의 가게와 분위기가 좋았습니다. 다만, 빈 점포들이 많아서 마음이 아프네요.","['유럽', '디자인', '가게', '분위기', '좋다', '다만', '점포', '많다', '마음', '아프다']",Positive,0.9388830065727234
메타프로방스,전남 담양군 담양읍 학동리 586-1,맛있으면 미친듯이 울리는 사이렌,에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에,에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에,[],Negative,0.8583816885948181
메타프로방스,전남 담양군 담양읍 학동리 586-1,lunayu1,여행중 잠깐 쉬어가기 좋은 곳 같아요.조형물이 이국적으로 느껴지고사진찍으며 놀기 좋아요.먹거리 가게들도 있어간식먹기도 좋구요.,여행중 잠깐 쉬어가기 좋은 곳 같아요.조형물이 이국적으로 느껴지고사진찍으며 놀기 좋아요.먹거리 가게들도 있어간식먹기도 좋구요.,"['여행', '잠깐', '좋다', '같다', '조형', '물이', '국적', '사진', '좋다', '먹거리', '가게', '있다', '간식', '먹기', '좋다']",Positive,0.9723673462867737
메타프로방스,전남 담양군 담양읍 학동리 586-1,리뷰탑티어,담양 가볼만한곳으로 메타세콰이어길과 함께 둘러보기 좋다하여 방문했어요. 이제는 식상한 프로방스마을이긴 하지만 주차도 편하고 마을 곳곳 볼거리나 사진찍기 좋아서 다닐만 하더라구요. 하지만 저녁식사도 하려고 갔는데 이른 저녁시간임에도 업체정보와는 달리 휴무이거나 오픈해놓고 사람이 없어 식사하기 마땅한 곳을 찾지 못하겠더라구요. 편의점에 들러 물어보니 평일 저녁엔 사람이 없어서 예고없이 문닫는 경우가 많다고 하네요. 날벌레가 너무 많아서 돌아다니느라 짜증났는데 밥집을 찾지 못하고 헛걸음 해서 아쉬움이 좀 남네요,담양 가볼만한곳으로 메타세콰이어길과 함께 둘러보기 좋다하여 방문했어요. 이제는 식상한 프로방스마을이긴 하지만 주차도 편하고 마을 곳곳 볼거리나 사진찍기 좋아서 다닐만 하더라구요. 하지만 저녁식사도 하려고 갔는데 이른 저녁시간임에도 업체정보와는 달리 휴무이거나 오픈해놓고 사람이 없어 식사하기 마땅한 곳을 찾지 못하겠더라구요. 편의점에 들러 물어보니 평일 저녁엔 사람이 없어서 예고없이 문닫는 경우가 많다고 하네요. 날벌레가 너무 많아서 돌아다니느라 짜증났는데 밥집을 찾지 못하고 헛걸음 해서 아쉬움이 좀 남네요,"['담양', '메타세콰이어', '둘러보기', '좋다', '방문', '이제', '식상하다', '프로방스', '마을', '주차', '편하다', '마을', '곳곳', '볼거리', '사진', '찍기', '좋다', '저녁식사', '저녁', '시간', '업체', '정보', '달리', '휴무', '거나', '오픈', '사람', '없다', '식사', '마땅하다', '편의점', '평일', '저녁', '사람', '없다', '예고', '경우', '많다', '벌레', '많다', '짜증나다', '밥집', '헛걸음', '아쉬움']",Negative,0.6186723709106445
메타프로방스,전남 담양군 담양읍 학동리 586-1,먹고보면,가게마다 소소한 볼거리와 먹거리가 있어 나들이하기 좋습니다,가게마다 소소한 볼거리와 먹거리가 있어 나들이하기 좋습니다,"['가게', '소소하다', '볼거리', '먹거리', '있다', '나들이', '좋다']",Positive,0.95941561460495
메타프로방스,전남 담양군 담양읍 학동리 586-1,가마솥식지로,"숙소도 바로 근처고, 담양에서 유명하다고 하니 오긴 왔는데, 평일이라고 해도 인적이... 문닫은 곳도 있고,  여기에 산타축제는 겨울에 열리는 거 아닌가요? 반년이 지났는데 축제 간판이 아직도.. 뭐 물론 개인적으로는 거닐면서 이것도 하고 저것도 하고 시간을 잘보내긴했습니다. 곧 바캉스, 성수기.. 주말에도 사람들이 많이 찾아오겠지요.🫠","숙소도 바로 근처고, 담양에서 유명하다고 하니 오긴 왔는데, 평일이라고 해도 인적이... 문닫은 곳도 있고, 여기에 산타축제는 겨울에 열리는 거 아닌가요? 반년이 지났는데 축제 간판이 아직도.. 뭐 물론 개인적으로는 거닐면서 이것도 하고 저것도 하고 시간을 잘보내긴했습니다. 곧 바캉스, 성수기.. 주말에도 사람들이 많이 찾아오겠지요.","['숙소', '바로', '근처', '담양', '유명하다', '하니', '평일', '해도', '인적', '곳도', '있다', '여기', '산타', '축제', '겨울', '아니다', '반년', '축제', '간판', '개인', '시간', '바캉스', '수기', '주말', '사람']",Positive,0.7470575571060181
메타프로방스,전남 담양군 담양읍 학동리 586-1,rose1004이야기,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
