store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,먹고자고싸고놀자,근대역사관이 1관 2관 다양한데소방시설공사인가? 사정으로 인해 1관만 보고왔어요.목포 근대 역사에 관해 알 수 있었던 시간이예요.,근대역사관이 1관 2관 다양한데소방시설공사인가? 사정으로 인해 1관만 보고왔어요.목포 근대 역사에 관해 알 수 있었던 시간이예요.,"['근대역사관', '다양하다', '소방시설', '공사', '사정', '인하다', '목포', '근대', '역사', '관해', '있다', '시간']",Positive,0.9644930362701416
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,나는마녀Solian,열정적인 설명까지 들으면서 목포 근대 역사관 둘러보게 되어 시간 여행 다녀온 듯 했어요. 도슨트 투어로 다녀오시면 더욱 의미 깊은 여정이 될 듯해요.,열정적인 설명까지 들으면서 목포 근대 역사관 둘러보게 되어 시간 여행 다녀온 듯 했어요. 도슨트 투어로 다녀오시면 더욱 의미 깊은 여정이 될 듯해요.,"['열정', '설명', '목포', '근대', '역사관', '시간', '여행', '도슨', '투어', '더욱', '의미', '깊다', '여정']",Positive,0.9719886183738708
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,Suelee6,근대역사관 설명이 잘 되어 있어요호텔 델루나 촬영지라 더욱 재미있네요,근대역사관 설명이 잘 되어 있어요호텔 델루나 촬영지라 더욱 재미있네요,"['근대역사관', '설명', '있다', '호텔', '델루', '촬영', '지라', '더욱', '재미있다']",Positive,0.9740841388702393
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,스콘맛집찾아요,목포역 주변에 코롬방/비엘씨/ 고호의책방/ 모여있는데 거기서 걸어서 10분도 안걸려요. 초행길이라 좀 더 걸린것 같은데 다음날 다시 걸어보니 진짜 가깝네요. 근대역사관1관 주변으로 적산가옥도 남아있는 곳 있고 카페도 많고 2관도 걸어서 3분 거리 완전 가까워서 목포 여행에 한번쯤 꼭 가볼만해요. 건물 뒤에는 방공호 있어서 함께 구경 잘했어요. 날이 너무 더웠지만 실내는 시원해서  여름 여행도 할만했어요 ^^ 높은 곳에 위치해 있어서 주변 시내를 내려다보기에도 좋고 이렇게 오래된 건물이 잘 보존되어 있는 것도 신기했어요.,목포역 주변에 코롬방비엘씨 고호의책방 모여있는데 거기서 걸어서 10분도 안걸려요. 초행길이라 좀 더 걸린것 같은데 다음날 다시 걸어보니 진짜 가깝네요. 근대역사관1관 주변으로 적산가옥도 남아있는 곳 있고 카페도 많고 2관도 걸어서 3분 거리 완전 가까워서 목포 여행에 한번쯤 꼭 가볼만해요. 건물 뒤에는 방공호 있어서 함께 구경 잘했어요. 날이 너무 더웠지만 실내는 시원해서 여름 여행도 할만했어요 높은 곳에 위치해 있어서 주변 시내를 내려다보기에도 좋고 이렇게 오래된 건물이 잘 보존되어 있는 것도 신기했어요.,"['목포역', '주변', '코롬방', '비엘', '호의', '책방', '거기', '초행길', '같다', '다음', '다시', '진짜', '가깝다', '근대역사관', '주변', '적산', '가옥', '있다', '카페', '많다', '관도', '거리', '완전', '가깝다', '목포', '여행', '한번', '만해', '건물', '방공호', '있다', '구경', '덥다', '실내', '시원하다', '여름', '여행', '높다', '위치', '있다', '주변', '시내', '좋다', '오래되다', '건물', '보존', '있다', '신기하다']",Positive,0.9676377177238464
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,얼룩고양이11,잊혀졌던 역사를 다시 되새기게되어 좋은 시간이었네요~좀 아쉬운 부분은 최소 영어로는 전체번역이 되어 있어서 외국인들도 모두 이해할수 있도록하면 좋을텐데 축약해서 설명이 되어 있거나 설명이 없는 부분이 많네요~,잊혀졌던 역사를 다시 되새기게되어 좋은 시간이었네요좀 아쉬운 부분은 최소 영어로는 전체번역이 되어 있어서 외국인들도 모두 이해할수 있도록하면 좋을텐데 축약해서 설명이 되어 있거나 설명이 없는 부분이 많네요,"['역사', '다시', '좋다', '시간', '아쉽다', '부분', '최소', '영어', '전체', '번역', '있다', '외국인', '모두', '이해', '있다', '좋다', '축약', '설명', '있다', '설명', '없다', '부분', '많다']",Positive,0.92343670129776
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,사계절맛집탐방중,전시가 유익했고 깔끔했으며 알찼습니다. 목포여행시 꼭 방문해야되는 필수코스중 하나인듯,전시가 유익했고 깔끔했으며 알찼습니다. 목포여행시 꼭 방문해야되는 필수코스중 하나인듯,"['전시', '유익하다', '깔끔하다', '알차다', '목포', '행시', '방문', '필수', '코스', '하나']",Positive,0.9755129814147949
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,travelingtogether,"목포근대역사1관은 한국관광공사가 뽑은 한국관광 100선에 뽑힌 곳입니다. 이 건물은 목포 개항이후 일본의 영사업무를 위해 1900년에 세워진 건물로 일본인들의 다양한 업무목적으로 사용되다 해방후 목포시청, 시립도서관 등으로 사용되다 현재 근대역사관으로 개관하였습니다.  바로앞에는 소녀상이 세워져있습니다. 건물뒷편에는 태평양전쟁시 사용한 방공호도 보실수 있습니다.","목포근대역사1관은 한국관광공사가 뽑은 한국관광 100선에 뽑힌 곳입니다. 이 건물은 목포 개항이후 일본의 영사업무를 위해 1900년에 세워진 건물로 일본인들의 다양한 업무목적으로 사용되다 해방후 목포시청, 시립도서관 등으로 사용되다 현재 근대역사관으로 개관하였습니다. 바로앞에는 소녀상이 세워져있습니다. 건물뒷편에는 태평양전쟁시 사용한 방공호도 보실수 있습니다.","['목포', '근대', '역사', '한국', '관광', '공사', '한국', '관광', '이다', '건물', '목포', '개항', '이후', '일본', '업무', '위해', '건물', '일본인', '다양하다', '업무', '목적', '사용', '해방', '목포시청', '시립', '도서관', '사용', '현재', '근대역사관', '개관', '바로', '소녀', '상이', '건물', '태평양', '전쟁', '사용', '방공호', '있다']",Positive,0.8134558200836182
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,행복한감사감사,목포에  있는 근대 역사관입니다.,목포에 있는 근대 역사관입니다.,"['목포', '있다', '근대', '역사관', '이다']",Positive,0.7125357985496521
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,더퍼스트스텝,목포여행을 가신다면?  여기는 반드시방문하셔야 합니다. 근대역사관은 1관 2관으로 나누어져있고...2관은 그냥 그랬어요1관은 꽤나 좋았습니다,목포여행을 가신다면? 여기는 반드시방문하셔야 합니다. 근대역사관은 1관 2관으로 나누어져있고...2관은 그냥 그랬어요1관은 꽤나 좋았습니다,"['목포', '여행', '반드시', '방문', '근대역사관', '그냥', '그렇다', '좋다']",Positive,0.9588052034378052
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,coutny77,목포의 역사와 체계적인 전시와 내용들로 유익한 시간이었어요😄😄😁,목포의 역사와 체계적인 전시와 내용들로 유익한 시간이었어요,"['목포', '역사', '체계', '전시', '내용', '유익하다', '시간']",Positive,0.9753065705299377
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,min****,좋아요.♡유익하고 좋아요.👍👍👍친절하세요!🤩😍😘🥰감사합니다.👍👍👍🩷🧡💚❤️💙🩵,좋아요.유익하고 좋아요.친절하세요!감사합니다.,"['좋다', '유익하다', '좋다', '친절하다']",Positive,0.9720045328140259
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,hmy****,호텔델루나촬영지기도하구요살짝들러볼만해요,호텔델루나촬영지기도하구요살짝들러볼만해요,"['호텔', '루나', '촬영', '기도', '살짝', '만해']",Positive,0.9494804739952087
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,찐한 에스프레소,연로하신 아버지가 많이 좋아하시네요.뜻깊은 시간이었네요!!!,연로하신 아버지가 많이 좋아하시네요.뜻깊은 시간이었네요!!!,"['연로', '아버지', '좋아하다', '깊다', '시간']",Positive,0.9737569093704224
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,1222joung,알차고 좋아요. 1관 2관이 분리되어 있어서 좀 그래요.,알차고 좋아요. 1관 2관이 분리되어 있어서 좀 그래요.,"['알차다', '좋다', '분리', '있다', '그렇다']",Positive,0.9742813110351562
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,리 리 린,호텔델루나 재밌게 보셨던 엄마가 너무 좋아하셨어요. 내부 전시로 일본에 대한 분노가 더 강해졌고 선조들의 힘듦이 느껴졌어요.,호텔델루나 재밌게 보셨던 엄마가 너무 좋아하셨어요. 내부 전시로 일본에 대한 분노가 더 강해졌고 선조들의 힘듦이 느껴졌어요.,"['호텔', '루나', '재밌다', '엄마', '좋아하다', '내부', '전시', '일본', '대한', '분노', '강하다', '선조', '힘들다']",Positive,0.9731236696243286
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,꿈꾸는세모집,목포여행 1볼거리주차 빼고는 다 좋네요.근대역사관 1관과 2관 표한장으로 둘다 관람 가능하고요.. 1관은 언덕에 2관은 평지에..1관은 뷰가 좋구요 뒷쪽에 방공호도 있고요2관쪽 거리가 아기자기 하니 예쁘네요.,목포여행 1볼거리주차 빼고는 다 좋네요.근대역사관 1관과 2관 표한장으로 둘다 관람 가능하고요.. 1관은 언덕에 2관은 평지에..1관은 뷰가 좋구요 뒷쪽에 방공호도 있고요2관쪽 거리가 아기자기 하니 예쁘네요.,"['목포', '여행', '볼거리', '주차', '좋다', '근대역사관', '한장', '관람', '가능하다', '언덕', '평지', '좋다', '뒷쪽', '방공호', '있다', '관쪽', '거리', '아기자기', '하니', '예쁘다']",Positive,0.9619240760803223
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,violet4695,목포 근대역사관역사를 알아야 한다,목포 근대역사관역사를 알아야 한다,"['목포', '근대역사관', '역사']",Positive,0.9531447887420654
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,하늘호수속으로,"목포에서 가장 오래된 건물인 근대역사관 방문! 근대역사관은 1관과 2관으로 되있는데 특이한게 건물이 나란히 있지않고 100여미터 떨어져 있어요. 1관이나 2관에서 매표를 하면 두관 모두 관람 가능! 저는 1관에 리뷰 올리지만 사진은 두곳 같이 올렸습니당. 1관은 주차장 따로 없고 2관에 상시 개방인 주차장이 있으니 2관에 주차하고 2관 먼저 관람 후 1관 관람하는 것도 좋을듯...특히 1관은 호텔델루나 촬영지로 알려지면서 많은 사람들이 찾았고 1층에는 포토존도 따로 있어요. 역사 유물과 함께 삐걱거리는 나무 계단, 위로 들어올리는 형태의 아치형 창문, 벽난로, 뒷마당의 방공호등 관람 후 2관으로 이동! 1층에 동양척식회사의 대형 금고에서 폭탄 던지는 게임...나포함 다들 진심 열심으로 던진다ㅋ. 유익했어요!","목포에서 가장 오래된 건물인 근대역사관 방문! 근대역사관은 1관과 2관으로 되있는데 특이한게 건물이 나란히 있지않고 100여미터 떨어져 있어요. 1관이나 2관에서 매표를 하면 두관 모두 관람 가능! 저는 1관에 리뷰 올리지만 사진은 두곳 같이 올렸습니당. 1관은 주차장 따로 없고 2관에 상시 개방인 주차장이 있으니 2관에 주차하고 2관 먼저 관람 후 1관 관람하는 것도 좋을듯...특히 1관은 호텔델루나 촬영지로 알려지면서 많은 사람들이 찾았고 1층에는 포토존도 따로 있어요. 역사 유물과 함께 삐걱거리는 나무 계단, 위로 들어올리는 형태의 아치형 창문, 벽난로, 뒷마당의 방공호등 관람 후 2관으로 이동! 1층에 동양척식회사의 대형 금고에서 폭탄 던지는 게임...나포함 다들 진심 열심으로 던진다ㅋ. 유익했어요!","['목포', '가장', '오래되다', '건물', '근대역사관', '방문', '근대역사관', '특이하다', '건물', '나란하다', '있다', '미터', '있다', '매표', '모두', '관람', '가능', '리뷰', '사진', '주차장', '없다', '상시', '개방', '주차장', '있다', '주차', '먼저', '관람', '관람', '좋다', '호텔', '루나', '촬영', '지로', '많다', '사람', '포토', '있다', '역사', '유물', '삐걱', '거리', '나무', '계단', '위로', '형태', '아치', '창문', '벽난로', '뒷마당', '방공호', '관람', '이동', '동양척식회사', '대형', '금고', '폭탄', '게임', '포함', '진심', '열심', '유익하다']",Positive,0.9420343637466431
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,키키구,목포 근대 역사 관련 전시물들을 구경할 수 있었습니다. 관람 규모가 크지는 않더라구요.,목포 근대 역사 관련 전시물들을 구경할 수 있었습니다. 관람 규모가 크지는 않더라구요.,"['목포', '근대', '역사', '관련', '전시', '구경', '있다', '관람', '규모']",Positive,0.9591843485832214
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,앨리7228,목포의 역사 많이 알게 됐어요,목포의 역사 많이 알게 됐어요,"['목포', '역사']",Positive,0.9746062755584717
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,그래그래8534,주차가불편함,주차가불편함,"['주차', '불편하다']",Negative,0.9629767537117004
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,pye****,역사공부가 됩니다 맘이 짠합니다,역사공부가 됩니다 맘이 짠합니다,"['역사', '공부', '짠하다']",Positive,0.9753422141075134
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,먹째이,👍,,[],Neutral,0.0
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,쪼꼬558,전시 넘 잘 봤어요!! 사진도 잘 나와요!!,전시 넘 잘 봤어요!! 사진도 잘 나와요!!,"['전시', '사진']",Positive,0.9733979105949402
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,김신은,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,따뜻한봄날햇살,호텔 델루나 촬영지라서 관심있었는데 역사에 대해서 여러가지 알게되었고 유익한 시간이였습니다^^해설 듣는거 추천해요^^,호텔 델루나 촬영지라서 관심있었는데 역사에 대해서 여러가지 알게되었고 유익한 시간이였습니다해설 듣는거 추천해요,"['호텔', '델루', '촬영', '라서', '관심', '있다', '역사', '대해', '여러가지', '유익하다', '시간', '해설', '추천']",Positive,0.9725484848022461
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,shj****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,Hina00,구경하기 딱 좋아요 ~~,구경하기 딱 좋아요,"['구경', '좋다']",Positive,0.9124600887298584
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,교과부,비싸요.,비싸요.,['비싸다'],Negative,0.9594427943229675
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,cyf****,쏘쏘,쏘쏘,[],Positive,0.8684324622154236
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,핑꾸쩡,유익했어요,유익했어요,['유익하다'],Positive,0.9727909564971924
목포근대역사관 1관,전남 목포시 영산로29번길 6 목포근대역사관,코라님,목포여행 중 한번쯤 들르기 좋은 곳입니다호텔 델루나 드라마 촬영한 곳이기도한가봐요목포의 역사와 일제 수탈에 대해 자세하게 설명되어 있어 아이들과 함께 온다면 역사 공부에도 도움이 될 것같아요건물 뒤편에 방공호도 꼭 들러보세요,목포여행 중 한번쯤 들르기 좋은 곳입니다호텔 델루나 드라마 촬영한 곳이기도한가봐요목포의 역사와 일제 수탈에 대해 자세하게 설명되어 있어 아이들과 함께 온다면 역사 공부에도 도움이 될 것같아요건물 뒤편에 방공호도 꼭 들러보세요,"['목포', '여행', '한번', '좋다', '이다', '호텔', '델루', '드라마', '촬영', '목포', '역사', '일제', '수탈', '대해', '자세하다', '설명', '있다', '아이', '역사', '공부', '도움', '같다', '건물', '뒤편', '방공호']",Positive,0.972631573677063
