store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,sun****,부모님과 방문했는데..너무 좋았어요~북항->유달산->고하도->유달산->북항..중간중간하차해서 산책하면서 구경도하니까 왕복 3시간정도 걸렸어요~주차하기도 좋고 3시간 할인적용해줘서 편했습니다.평일에 방문하니 대기도 없고 한적해서 좋았습니다.,부모님과 방문했는데..너무 좋았어요북항유달산고하도유달산북항..중간중간하차해서 산책하면서 구경도하니까 왕복 3시간정도 걸렸어요주차하기도 좋고 3시간 할인적용해줘서 편했습니다.평일에 방문하니 대기도 없고 한적해서 좋았습니다.,"['부모님', '방문', '좋다', '북항', '유달산', '고하도', '유달산', '북항', '중간', '중간', '하차', '산책', '도하', '왕복', '주차', '기도', '좋다', '할인', '용하다', '편하다', '평일', '방문', '대기', '없다', '한적하다', '좋다']",Positive,0.9711642265319824
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,루꼴롸,사실 별 기대 안하고 탔는데 코스 길이도 길고 색다른 경험이었어요 일몰때 타도 야경 감상하기 딱일거 같아요 북항에서 타서 고하도에서 조금 쉬다가 컴백했습니다 현장 발권보다  네이버나 온라인으로 구매하시는거 추천이요!3개월내 헌혈자는 최대 6천원까지 할인되니 참고하세요 가격대는 있어도 강추입니다,사실 별 기대 안하고 탔는데 코스 길이도 길고 색다른 경험이었어요 일몰때 타도 야경 감상하기 딱일거 같아요 북항에서 타서 고하도에서 조금 쉬다가 컴백했습니다 현장 발권보다 네이버나 온라인으로 구매하시는거 추천이요!3개월내 헌혈자는 최대 6천원까지 할인되니 참고하세요 가격대는 있어도 강추입니다,"['사실', '기대', '코스', '길이', '길다', '색다르다', '경험', '일몰', '타도', '야경', '감상', '딱이다', '같다', '북항', '고하도', '조금', '컴백', '현장', '발권', '네이버', '온라인', '구매', '추천', '개월내', '헌혈', '최대', '할인', '참고', '가격', '있다', '강추', '이다']",Positive,0.9630076885223389
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,기둥언니,"목포여행 필수코스. 운행시간이 길어서 좋아요. 여수, 부산, 원주 케이블카 타봤는데 길이는 여기가 최장인듯. 크리스탈은 줄이 길고 일반 캐빈은 바로 타고, 혼자 탔어요 ㅎㅎ 일몰시간 맞추려고 갔는데 날이 흐려져서 일몰은 실패 ㅜㅜ 고하도 해안산책로 시원하고 조용해서 좋아요. 엘리베이터 타고 내려가서, 용 포토존까지 갔다가 전망대는 계단으로 올라갔는데 계단이,,,,,고하대 전망대도 계단 ㅋ 덕분에 운동은 엄청 헸네유. 전남애서포터즈 가입하면 3천원 할인됩니다.  21,000원에 이용했슴당. 강추!","목포여행 필수코스. 운행시간이 길어서 좋아요. 여수, 부산, 원주 케이블카 타봤는데 길이는 여기가 최장인듯. 크리스탈은 줄이 길고 일반 캐빈은 바로 타고, 혼자 탔어요 ㅎㅎ 일몰시간 맞추려고 갔는데 날이 흐려져서 일몰은 실패 ㅜㅜ 고하도 해안산책로 시원하고 조용해서 좋아요. 엘리베이터 타고 내려가서, 용 포토존까지 갔다가 전망대는 계단으로 올라갔는데 계단이,,,,,고하대 전망대도 계단 ㅋ 덕분에 운동은 엄청 헸네유. 전남애서포터즈 가입하면 3천원 할인됩니다. 21,000원에 이용했슴당. 강추!","['목포', '여행', '필수', '코스', '운행', '시간', '좋다', '여수', '부산', '원주', '케이블카', '길이', '여기', '크리스탈', '길다', '일반', '캐빈', '바로', '타고', '혼자', '일몰', '시간', '일몰', '실패', '고하도', '해안', '산책로', '시원하다', '조용하다', '좋다', '엘리베이터', '타고', '포토', '전망대', '계단', '계단', '고하', '전망대', '계단', '덕분', '운동', '헸네유', '전남', '서포터즈', '가입', '할인', '이용', '강추']",Positive,0.9557496309280396
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,Gundam0711,북항승강장에서 타서 고하도승강장에서 내려서 고하도 전망대부터 올라가보았어요!! 시간대가 맞아서 노을도 봤는데 멋있어요👍다시 고하도승강장에서 타서 유달산승강장에서 하차해서 목포 야경까지 구경했어요!!케이블카가 엄청 길어서 구경하기 좋은 거 같아요,북항승강장에서 타서 고하도승강장에서 내려서 고하도 전망대부터 올라가보았어요!! 시간대가 맞아서 노을도 봤는데 멋있어요다시 고하도승강장에서 타서 유달산승강장에서 하차해서 목포 야경까지 구경했어요!!케이블카가 엄청 길어서 구경하기 좋은 거 같아요,"['북항', '승강장', '고하도', '승강장', '고하도', '전망대', '시간대', '노을', '멋있다', '다시', '고하도', '승강장', '유달산', '승강장', '하차', '목포', '야경', '구경', '케이블카', '구경', '좋다', '같다']",Positive,0.9685549736022949
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,핑크팬더8151,"시간대 잘맞춰서 붐비지도 않고 잘즐겼어요오후 4시 안되서ㅜ탔는데 해넘이 노을, 야경 다즐겼네요고하도 내려서 데크길 걷고 전망대가고유달산은 케이블카 전망대만 이용했는데시간이 3시간 가까이 보냈어요완전 추천","시간대 잘맞춰서 붐비지도 않고 잘즐겼어요오후 4시 안되서ㅜ탔는데 해넘이 노을, 야경 다즐겼네요고하도 내려서 데크길 걷고 전망대가고유달산은 케이블카 전망대만 이용했는데시간이 3시간 가까이 보냈어요완전 추천","['시간대', '오후', '안되다', '해넘이', '노을', '야경', '고하도', '데크', '전망대', '유달산', '케이블카', '전망대', '이용', '시간', '가까이', '완전', '추천']",Positive,0.9724137783050537
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,지구 별 여행자,"가족여행으로 목포는 처음인데 케이블카 생각보다 좋았어요~ 노을질때 시간 맞춰타니 딱이네요 ㅎㅎ왕복 예약했는데, 북항에서 고하도까지 가서 산책 좀 하고 구경하고 돌아오니 저녁 먹을 시간돼서 아주 알맞았네요 굿굿 👍 추천드려요","가족여행으로 목포는 처음인데 케이블카 생각보다 좋았어요 노을질때 시간 맞춰타니 딱이네요 ㅎㅎ왕복 예약했는데, 북항에서 고하도까지 가서 산책 좀 하고 구경하고 돌아오니 저녁 먹을 시간돼서 아주 알맞았네요 굿굿 추천드려요","['가족', '여행', '목포', '처음', '케이블카', '생각', '좋다', '노을', '질때', '시간', '딱이다', '왕복', '예약', '북항', '고하도', '산책', '구경', '저녁', '시간', '아주', '알맞다', '굿굿', '추천']",Positive,0.9653946757316589
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,달숲으로,"평일 오전에 다녀왔습니다~~ 평일이여서 기다리지 않고 바로 탑승했고 고하고 , 유달산 코스를 여유있게 구경했습니다~ 오후 되면서 케이블카 대기줄이 길어지고 있는데 여유로운 관광을 즐기신다면 평일 오전에 가보신 것을 추천합니다","평일 오전에 다녀왔습니다 평일이여서 기다리지 않고 바로 탑승했고 고하고 , 유달산 코스를 여유있게 구경했습니다 오후 되면서 케이블카 대기줄이 길어지고 있는데 여유로운 관광을 즐기신다면 평일 오전에 가보신 것을 추천합니다","['평일', '오전', '평일', '바로', '탑승', '고하', '유달산', '코스', '여유', '있다', '구경', '오후', '케이블카', '있다', '여유', '관광', '평일', '오전', '추천']",Positive,0.9514597654342651
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,sud****,목포 지인들의 추천으로 방문하게 되었는데요. 볼거리가 많고 (고하도 전망대)정보를 잘 알 수 있게 표시되어 있어서 좋았습니다. 이순신 포토존도 좋아요~  가을에 볼수있는 국화와 코스모스도 아름답고 좋았습니다.,목포 지인들의 추천으로 방문하게 되었는데요. 볼거리가 많고 고하도 전망대정보를 잘 알 수 있게 표시되어 있어서 좋았습니다. 이순신 포토존도 좋아요 가을에 볼수있는 국화와 코스모스도 아름답고 좋았습니다.,"['목포', '지인', '추천', '방문', '볼거리', '많다', '고하도', '전망대', '정보', '있다', '표시', '있다', '좋다', '이순신', '포토', '좋다', '가을', '국화', '코스모스', '아름답다', '좋다']",Positive,0.9742854833602905
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,고래와펭귄,"목포해상케이블카 북항 승강장은 목포 여행의 시작점으로 좋은 곳입니다. 넓은 주차장이 마련되어 있어 편리하며, 국내 최장 길이인 3.23km의 케이블카를 타고 유달산과 바다를 가로지르는 아름다운 풍경을 감상할 수 있습니다. 특히 북항 승강장에서 출발하면 유달산 정상부를 지나 바다 위를 건너 고하도까지 이어지는 코스를 즐길 수 있습니다. 케이블카를 타는 동안 목포대교와 다도해의 멋진 경치를 한눈에 담을 수 있으며, 특히 야경이 아름답습니다. 방문 당시 대기 시간이 10분 이내로 짧았고, 친구와 함께 즐거운 시간을 보냈습니다. 케이블카 탑승 시간은 왕복 약 40분 정도 소요됩니다.","목포해상케이블카 북항 승강장은 목포 여행의 시작점으로 좋은 곳입니다. 넓은 주차장이 마련되어 있어 편리하며, 국내 최장 길이인 3.23km의 케이블카를 타고 유달산과 바다를 가로지르는 아름다운 풍경을 감상할 수 있습니다. 특히 북항 승강장에서 출발하면 유달산 정상부를 지나 바다 위를 건너 고하도까지 이어지는 코스를 즐길 수 있습니다. 케이블카를 타는 동안 목포대교와 다도해의 멋진 경치를 한눈에 담을 수 있으며, 특히 야경이 아름답습니다. 방문 당시 대기 시간이 10분 이내로 짧았고, 친구와 함께 즐거운 시간을 보냈습니다. 케이블카 탑승 시간은 왕복 약 40분 정도 소요됩니다.","['목포', '해상', '케이블카', '북항', '승강장', '목포', '여행', '좋다', '이다', '넓다', '주차장', '마련', '있다', '편리하다', '국내', '길이', '케이블카', '타고', '유달산', '바다', '아름답다', '풍경', '감상', '있다', '북항', '승강장', '출발', '유달산', '정상', '지나', '바다', '건너', '고하도', '코스', '있다', '케이블카', '동안', '목포대교', '다도해', '멋지다', '경치', '한눈', '있다', '야경', '아름답다', '방문', '당시', '대기', '시간', '이내', '짧다', '친구', '즐겁다', '시간', '케이블카', '탑승', '시간', '왕복', '정도', '소요']",Positive,0.955032467842102
목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,dms****,성인2 아이2 8만원 비싼가했는데 충분이 제값하는 케이블카에요. 야경이 멋있다는데 아쉽긴했지만 단풍 마지막자락에 유달산도 멋지네요. 평일 점심시간전에 타니 바로 탔어요. 1시만되도 줄서서 타더라구요~ 목표 필수코스 케이블카 생애첫 방문인데 매우 만족 입니다:-),성인2 아이2 8만원 비싼가했는데 충분이 제값하는 케이블카에요. 야경이 멋있다는데 아쉽긴했지만 단풍 마지막자락에 유달산도 멋지네요. 평일 점심시간전에 타니 바로 탔어요. 1시만되도 줄서서 타더라구요 목표 필수코스 케이블카 생애첫 방문인데 매우 만족 입니다,"['성인', '아이', '비싸다', '충분', '케이블카', '야경', '멋있다', '아쉽다', '단풍', '마지막', '자락', '유달산', '멋지다', '평일', '점심시간', '바로', '서서', '목표', '필수', '코스', '케이블카', '생애', '방문', '매우', '만족', '이다']",Positive,0.9721517562866211
