store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
봉은사,서울 강남구 봉은사로 531 봉은사,바부야15,진여문 좌우측에 버티고 서 계신 사대천왕의 형상은 다소 위압적이나 인상은 부드럽다.법왕루를 올라 대웅전 마당에 서자 3층 석탑 앞까지 좌우에 노란 국화꽃 길을 내어 놓았고 대웅전 뜰에도 국화꽃이 아름답게 장식돼 있었다.뒤로 돌아 화각을 잡으면 코엑스 일원의 빌딩과 봉은사 옛 건물들이 시리도록 푸른 하늘과 한데 어우러져 멋진 장면을 연출한다.전통찻집 연화루와 종루도 멋지다.미륵대불을 찾아 가다가 미륵전 천장의 문양이 예뻐 사진으로 남겨 보았다.미륵광장과 미륵대불~높이 23m의 국내 최대 크기의 부처님을 모신 광장은 평소 신도들의 기도 장소이지만 때로 공연이나 문화 행사장으로도 사용한단다.가을 깊은 봉은사를 둘러보고 코엑스로 넘어간다.,진여문 좌우측에 버티고 서 계신 사대천왕의 형상은 다소 위압적이나 인상은 부드럽다.법왕루를 올라 대웅전 마당에 서자 3층 석탑 앞까지 좌우에 노란 국화꽃 길을 내어 놓았고 대웅전 뜰에도 국화꽃이 아름답게 장식돼 있었다.뒤로 돌아 화각을 잡으면 코엑스 일원의 빌딩과 봉은사 옛 건물들이 시리도록 푸른 하늘과 한데 어우러져 멋진 장면을 연출한다.전통찻집 연화루와 종루도 멋지다.미륵대불을 찾아 가다가 미륵전 천장의 문양이 예뻐 사진으로 남겨 보았다.미륵광장과 미륵대불높이 23m의 국내 최대 크기의 부처님을 모신 광장은 평소 신도들의 기도 장소이지만 때로 공연이나 문화 행사장으로도 사용한단다.가을 깊은 봉은사를 둘러보고 코엑스로 넘어간다.,"['진여', '좌우', '버티고', '계시다', '사대천왕', '형상', '다소', '위압', '인상', '부드럽다', '왕루', '대웅전', '마당', '서자', '석탑', '좌우', '노랗다', '국화', '대웅전', '국화', '아름답다', '장식', '있다', '화각', '코엑스', '일원', '빌딩', '봉은사', '건물', '시리다', '푸른', '하늘', '멋지다', '장면', '연출', '전통', '찻집', '연화루', '종루', '멋지다', '미륵', '대불', '가다가', '미륵', '천장', '예쁘다', '사진', '미륵', '광장', '미륵', '대불', '높이', '국내', '최대', '크기', '부처님', '광장', '평소', '신도', '기도', '장소', '공연', '문화', '행사', '사용', '가을', '깊다', '봉은사', '코엑스']",Positive,0.9593431949615479
봉은사,서울 강남구 봉은사로 531 봉은사,먹죽귀,삼성역 코엑스 인근에 위치한봉은사 다녀왔어요도심 한가운데 자리한 사찰이라접근성이 좋고 지하철역에서도도보로 금방 도착할 수 있었습니다입구를 지나면 도시의 소음이조금씩 잦아들고 고즈넉한 분위기가천천히 느껴졌어요경내는 깨끗하게 정돈되어 있었고가을 단풍이 절 주변을 물들여사진을 찍기에도 좋았습니다봉은사 대웅전은 웅장하면서도화려하지 않아 마음이 편안해졌고법당 내부의 불상과 조각들은정교하게 보존되어 있었습니다산책로를 따라 걷다 보면불교문화체험관과 전각들이 이어져잠시 머물며 쉬기 좋았어요관광객보다는 조용히 참배하러 오는사람들이 많아 전체적으로 차분한분위기가 유지되고 있었습니다도심 속에서도 잠시 마음을가라앉히고 싶은 분들께가볍게 들르기 좋은 사찰이었습니다,삼성역 코엑스 인근에 위치한봉은사 다녀왔어요도심 한가운데 자리한 사찰이라접근성이 좋고 지하철역에서도도보로 금방 도착할 수 있었습니다입구를 지나면 도시의 소음이조금씩 잦아들고 고즈넉한 분위기가천천히 느껴졌어요경내는 깨끗하게 정돈되어 있었고가을 단풍이 절 주변을 물들여사진을 찍기에도 좋았습니다봉은사 대웅전은 웅장하면서도화려하지 않아 마음이 편안해졌고법당 내부의 불상과 조각들은정교하게 보존되어 있었습니다산책로를 따라 걷다 보면불교문화체험관과 전각들이 이어져잠시 머물며 쉬기 좋았어요관광객보다는 조용히 참배하러 오는사람들이 많아 전체적으로 차분한분위기가 유지되고 있었습니다도심 속에서도 잠시 마음을가라앉히고 싶은 분들께가볍게 들르기 좋은 사찰이었습니다,"['삼성역', '코엑스', '인근', '위치', '봉은사', '도심', '한가운데', '자리', '사찰', '접근성', '좋다', '지하철역', '도보', '금방', '도착', '있다', '입구', '도시', '소음', '아들', '분위기', '경내', '깨끗하다', '정돈', '있다', '단풍', '주변', '사진', '찍기', '좋다', '봉은사', '대웅전', '웅장', '화려하다', '마음', '편안하다', '법당', '내부', '불상', '조각', '정교하다', '보존', '있다', '산책로', '불교', '문화', '체험', '전각', '잠시', '좋다', '관광객', '조용하다', '참배', '사람', '많다', '전체', '차분하다', '분위기', '유지', '있다', '도심', '잠시', '마음', '가볍다', '좋다', '사찰']",Positive,0.9645280838012695
봉은사,서울 강남구 봉은사로 531 봉은사,먹고걷고햇빛듬뿍,"봉은사절에 처음으로 방문을 했습니다, 스타필드 코엑스몰에 가서 별마당도서관 크리스마스 🎄 트리를 보고서나오는길에 봉은사 이정표가 보이길래 봉은사 갑니다사찰에 갈때는 입장순서가 있습니다, 그순서대로 입장해경건하게 둘러봅니다, 연말연시 동지 기도회를 준비하고있고 외국인들이 많습니다, 서래원 용품점에서 달마카드를 구입해서 지갑에 넣어둡니다, 잘보고갑니다 🙇‍♀️ 🙇‍♂️ 대한민국 방방곡곡 도시거리와 둘레길을 걸어다니면서 음식점 카페 빵집 풍경 경치를 소개하는 리뷰어 & 유튜버✅️ MY플레이스 리뷰어순위 TOP 30등✅️리뷰 총조회수 1,350만회  (0.1% 리뷰어)네이버 MY 플레이쓰 리뷰 총조회수1,4000만 되어서 순위상승 네이버순위 TOP30 저를 팔로우 해주시고리뷰 하나하나 반응을 다 눌러주시면","봉은사절에 처음으로 방문을 했습니다, 스타필드 코엑스몰에 가서 별마당도서관 크리스마스 트리를 보고서나오는길에 봉은사 이정표가 보이길래 봉은사 갑니다사찰에 갈때는 입장순서가 있습니다, 그순서대로 입장해경건하게 둘러봅니다, 연말연시 동지 기도회를 준비하고있고 외국인들이 많습니다, 서래원 용품점에서 달마카드를 구입해서 지갑에 넣어둡니다, 잘보고갑니다 대한민국 방방곡곡 도시거리와 둘레길을 걸어다니면서 음식점 카페 빵집 풍경 경치를 소개하는 리뷰어 유튜버 MY플레이스 리뷰어순위 TOP 30등리뷰 총조회수 1,350만회 0.1 리뷰어네이버 MY 플레이쓰 리뷰 총조회수1,4000만 되어서 순위상승 네이버순위 TOP30 저를 팔로우 해주시고리뷰 하나하나 반응을 다 눌러주시면","['봉은사', '처음', '방문', '스타', '필드', '코엑스몰', '마당', '도서관', '크리스마스', '트리', '보고서', '봉은사', '이정표', '봉은사', '사찰', '입장', '순서', '있다', '순서대로', '입장', '경건하다', '연말', '동지', '도회', '준비', '외국인', '많다', '용품', '달마', '카드', '구입', '지갑', '대한민국', '방방곡곡', '도시', '거리', '둘레길', '음식점', '카페', '빵집', '풍경', '경치', '소개', '리뷰', '유튜버', '레이스', '리뷰', '순위', '회수', '리뷰', '네이버', '플레이', '리뷰', '회수', '순위', '상승', '네이버', '순위', '팔로우', '해주시', '리뷰', '하나', '하나', '반응']",Positive,0.8981860876083374
봉은사,서울 강남구 봉은사로 531 봉은사,찬뷰,"처음 방문해봤는데 서울 강남 한복판, 코엑스 맞은 편에 이렇게 멋지고 큰 사찰이 있네요.신라시대때 지어져서 무려 1200여년의 역사를 간직하고 있습니다.입구를 지나서 들어가니 대웅전이 석탑과 조화롭게 자리 잡고 있었습니다. 사람들은 각자의 염원과 바람들을 담아 향을 피우고 촛불을켜고 연등에 적고 있습니다.봉은사의 랜드마크인 미륵대불은  웅장함을 간직한 채있고 사람들이 몇몇 사람들은 기도를 합니다.조용한 산사 분위기와 현대 도시의 풍경이 묘하게 어울어지는 곳이며, 잠시 들려서 마음을 가라앉히기 좋은 공간 입니다.시간이 나실 때 들리셔서 힐링하고 가셨으면 좋겠습니다.","처음 방문해봤는데 서울 강남 한복판, 코엑스 맞은 편에 이렇게 멋지고 큰 사찰이 있네요.신라시대때 지어져서 무려 1200여년의 역사를 간직하고 있습니다.입구를 지나서 들어가니 대웅전이 석탑과 조화롭게 자리 잡고 있었습니다. 사람들은 각자의 염원과 바람들을 담아 향을 피우고 촛불을켜고 연등에 적고 있습니다.봉은사의 랜드마크인 미륵대불은 웅장함을 간직한 채있고 사람들이 몇몇 사람들은 기도를 합니다.조용한 산사 분위기와 현대 도시의 풍경이 묘하게 어울어지는 곳이며, 잠시 들려서 마음을 가라앉히기 좋은 공간 입니다.시간이 나실 때 들리셔서 힐링하고 가셨으면 좋겠습니다.","['처음', '방문', '서울', '강남', '복판', '코엑스', '멋지다', '사찰', '있다', '신라시대', '무려', '역사', '간직', '있다', '입구', '대웅전', '석탑', '조화롭다', '자리', '잡고', '있다', '사람', '각자', '염원', '바람', '촛불', '연등', '있다', '봉은사', '랜드마크', '미륵', '대불', '웅장', '간직', '사람', '몇몇', '사람', '기도', '조용하다', '산사', '분위기', '현대', '도시', '풍경', '어울어', '잠시', '마음', '좋다', '공간', '이다', '시간', '힐링', '좋다']",Positive,0.9699054956436157
봉은사,서울 강남구 봉은사로 531 봉은사,진순언니,"봉은사는 소원을 빌 수 있는 곳이 다양하고, 11월부터 12월 말까지 내년 소원도 빌 수 있다고 하네요. 힘든 일 있거나 간절한 소원이 있다면 여기 와서 소원 비는 것 추천드립니다. 그리고 낮에는 사람이 많아 저녁에 오는 걸 추천해요. 저녁에는 조용하데요. 대웅전에서 10시까지 소원 빌 수 있다니까 시간되면 오시길 바랍니다. 가을 낙엽, 국화도 볼 수 있고, 멋진 전통을 볼 수 있으니 한 번쯤 와서 힐링하길 바랍니다. 외국인들도 많고, 우리나라 사람들도 많아요. 초는 크게 일반초, 띠별로 된 초 등이 있는데 일반초는 3천원, 띠별로 된 초는 5천원입니다.소원등은 만 원 서원지는 5천원이니까 보시고 참고 바랍니다.물은 사무실에서 먹을 수 있고, 빵도 팔아요. 화장실은 입구쪽에 초록색 지붕이 보일거예요.","봉은사는 소원을 빌 수 있는 곳이 다양하고, 11월부터 12월 말까지 내년 소원도 빌 수 있다고 하네요. 힘든 일 있거나 간절한 소원이 있다면 여기 와서 소원 비는 것 추천드립니다. 그리고 낮에는 사람이 많아 저녁에 오는 걸 추천해요. 저녁에는 조용하데요. 대웅전에서 10시까지 소원 빌 수 있다니까 시간되면 오시길 바랍니다. 가을 낙엽, 국화도 볼 수 있고, 멋진 전통을 볼 수 있으니 한 번쯤 와서 힐링하길 바랍니다. 외국인들도 많고, 우리나라 사람들도 많아요. 초는 크게 일반초, 띠별로 된 초 등이 있는데 일반초는 3천원, 띠별로 된 초는 5천원입니다.소원등은 만 원 서원지는 5천원이니까 보시고 참고 바랍니다.물은 사무실에서 먹을 수 있고, 빵도 팔아요. 화장실은 입구쪽에 초록색 지붕이 보일거예요.","['봉은사', '소원', '있다', '다양하다', '내년', '소원', '있다', '힘드다', '있다', '간절하다', '소원', '있다', '여기', '소원', '추천', '사람', '많다', '저녁', '추천', '저녁', '조용하다', '대웅전', '소원', '있다', '시간', '가을', '낙엽', '국화도', '있다', '멋지다', '전통', '있다', '힐링', '외국인', '많다', '우리나라', '사람', '많다', '크게', '반초', '별로', '있다', '반초', '별로', '서원', '보시', '참고', '사무실', '있다', '화장실', '입구', '초록색', '지붕']",Positive,0.9160767197608948
봉은사,서울 강남구 봉은사로 531 봉은사,불량주부되기,동생과 2박3일 호캉스로 웨스틴 파르나스에 숙소를 정하고 찾은곳~ 도심 중앙에 이렇게 예쁜 절이 있다니 안 가볼수 없지요. 호텔에 짐을 풀고 바로 가봤지요. 우리나라 수도 한복판에 위치한만큼 찾는분들도 많더라구요. 절 둘레에는 산책로도 잘되어 있어서 운동삼아 걸어보니 넘 좋더라구요.,동생과 2박3일 호캉스로 웨스틴 파르나스에 숙소를 정하고 찾은곳 도심 중앙에 이렇게 예쁜 절이 있다니 안 가볼수 없지요. 호텔에 짐을 풀고 바로 가봤지요. 우리나라 수도 한복판에 위치한만큼 찾는분들도 많더라구요. 절 둘레에는 산책로도 잘되어 있어서 운동삼아 걸어보니 넘 좋더라구요.,"['동생', '호캉스', '웨스', '파르나스', '숙소', '도심', '중앙', '예쁘다', '있다', '없다', '호텔', '바로', '우리나라', '수도', '복판', '위치', '만큼', '많다', '둘레', '산책로', '있다', '운동', '좋다']",Positive,0.9733752012252808
봉은사,서울 강남구 봉은사로 531 봉은사,바부야15,가을 비 치고는 많이 내리는 날 선정릉의 수호사찰(원찰) 봉은사에 다녀왔다.비 그친다 길래 우산도 없이 왔더니 지금은 소나기 수준이다.이런 궂은 날씨에도 불구하고 관광객들의 방문이 꽤 많다.코엑스와 가깝고 교통 접근성이 뛰어나 내국인은 물론 외국인 관광객들에게 특히 인기가 많다.각자 생경스럽거나 친근한 느낌으로 경내의 다양한 풍경을 휴대폰 카메라에 담던 사람들이 굵은 빗줄기가 내리자 각 건물의 추녀 아래 모여들어 비를 피한다.봉은사에서도 지대가 높은 미륵대불 입구의 미륵전 추녀 아래에서 비를 피하며 범종각 너머의 코엑스쪽 스카이라인과 허공을 응시하고 비 내리는 소리에 귀 기울인 채 잠시 속세를 떠나본다.,가을 비 치고는 많이 내리는 날 선정릉의 수호사찰원찰 봉은사에 다녀왔다.비 그친다 길래 우산도 없이 왔더니 지금은 소나기 수준이다.이런 궂은 날씨에도 불구하고 관광객들의 방문이 꽤 많다.코엑스와 가깝고 교통 접근성이 뛰어나 내국인은 물론 외국인 관광객들에게 특히 인기가 많다.각자 생경스럽거나 친근한 느낌으로 경내의 다양한 풍경을 휴대폰 카메라에 담던 사람들이 굵은 빗줄기가 내리자 각 건물의 추녀 아래 모여들어 비를 피한다.봉은사에서도 지대가 높은 미륵대불 입구의 미륵전 추녀 아래에서 비를 피하며 범종각 너머의 코엑스쪽 스카이라인과 허공을 응시하고 비 내리는 소리에 귀 기울인 채 잠시 속세를 떠나본다.,"['가을', '선정릉', '수호', '사찰', '봉은사', '우산도', '지금', '소나기', '수준', '이렇다', '날씨', '불구', '관광객', '방문', '많다', '코엑스', '가깝다', '교통', '접근성', '뛰어나다', '외국인', '관광객', '인기', '많다', '각자', '생경', '스럽다', '친근하다', '느낌', '경내', '다양하다', '풍경', '휴대폰', '카메라', '사람', '굵다', '빗줄기', '리자', '건물', '추녀', '아래', '봉은사', '지대', '높다', '미륵', '대불', '입구', '미륵', '추녀', '아래', '피하', '종각', '너머', '코엑스', '스카이라인', '허공', '응시', '소리', '잠시', '속세']",Positive,0.9176830649375916
봉은사,서울 강남구 봉은사로 531 봉은사,MoonShot9,도심 한복판에 이런 멋진 곳이 있다니! 마음이 평온하고 경건해 지는 곳입니다. 대웅전이나 입구 기념품 가게에는 정말 사람이 많은데 맨 안 쪽에 위치한 큰 불상은 오히려 사람이 적고 일부 외국인 방문객만 간혹 있어요. 다들 조용히 이 멋진 공간에서 각자의 생각을 정리하고 또 가족들의 건강과 평화를 기원하는 분위기.. 빙둘러 앉을 수 있는 나무 벤치도 있어서 거대한 불상을 보며 마음을 가다듬을 수 있습니다. 그리고 작은 불상들의 모습 하나하나도 각자 다 색다른 것도 재밌어요. 편안하고 조용하지만 또 구경하는 재미가 있습니다. 봉은사 로고도 예쁘고 등불이 막 알록달록 하지 않은 것도 센스있어요 그리고 봉은사를 빙둘러 1km 좀 넘는 명상길이 있는데 정말 숲속 걷는 것처럼 조용하고 한적해요. 즐거운 경험이었습니다.,도심 한복판에 이런 멋진 곳이 있다니! 마음이 평온하고 경건해 지는 곳입니다. 대웅전이나 입구 기념품 가게에는 정말 사람이 많은데 맨 안 쪽에 위치한 큰 불상은 오히려 사람이 적고 일부 외국인 방문객만 간혹 있어요. 다들 조용히 이 멋진 공간에서 각자의 생각을 정리하고 또 가족들의 건강과 평화를 기원하는 분위기.. 빙둘러 앉을 수 있는 나무 벤치도 있어서 거대한 불상을 보며 마음을 가다듬을 수 있습니다. 그리고 작은 불상들의 모습 하나하나도 각자 다 색다른 것도 재밌어요. 편안하고 조용하지만 또 구경하는 재미가 있습니다. 봉은사 로고도 예쁘고 등불이 막 알록달록 하지 않은 것도 센스있어요 그리고 봉은사를 빙둘러 1km 좀 넘는 명상길이 있는데 정말 숲속 걷는 것처럼 조용하고 한적해요. 즐거운 경험이었습니다.,"['도심', '복판', '이렇다', '멋지다', '있다', '마음', '평온하다', '경건하다', '이다', '대웅전', '입구', '기념품', '가게', '정말', '사람', '많다', '위치', '불상', '오히려', '사람', '일부', '외국인', '방문객', '간혹', '있다', '조용하다', '멋지다', '공간', '각자', '생각', '정리', '가족', '건강', '평화', '기원', '분위기', '있다', '나무', '벤치', '있다', '거대하다', '불상', '마음', '있다', '작다', '불상', '모습', '하나', '하나', '각자', '색다르다', '재밌다', '편안하다', '조용하다', '구경', '재미', '있다', '봉은사', '로고', '예쁘다', '등불', '알록달록', '센스', '있다', '봉은사', '명상', '길이', '있다', '정말', '숲속', '조용하다', '한적하다', '즐겁다', '경험']",Positive,0.9711573123931885
봉은사,서울 강남구 봉은사로 531 봉은사,괜찮아 잘될 거야,"일요일 이른 아침에 봉은사에 연꽃 보러 다녀왔어요. 올해는 봉은사 연꽃 축제 기간이 6월 20일부터 9월중이라고 합니다.지금은 연꽃 화분에 띄엄띄엄 한 송이씩 아름답게 피어있네요.이른 시간이라 봉은사 찾은 사람들이 아직은 많지 않아 녹음이 우거진 명상길 호젓하게 걷고 명상길 중간에 있는 쉼터 의자에 앉아 잠시 쉬기도 하고 잘 거닐고 갑니다.연꽃 외에도 능소화, 나무수국, 메꽃, 박주가리 같우 여름꽃들도 예쁘게 피어 있어요.봉은사는 불교 신자 아니라도 꽃 좋아하는 사람들이 봄에는 홍매화를, 여름에는 연꽃 보러 오기도 좋은 강남 도심의 사찰입니다.","일요일 이른 아침에 봉은사에 연꽃 보러 다녀왔어요. 올해는 봉은사 연꽃 축제 기간이 6월 20일부터 9월중이라고 합니다.지금은 연꽃 화분에 띄엄띄엄 한 송이씩 아름답게 피어있네요.이른 시간이라 봉은사 찾은 사람들이 아직은 많지 않아 녹음이 우거진 명상길 호젓하게 걷고 명상길 중간에 있는 쉼터 의자에 앉아 잠시 쉬기도 하고 잘 거닐고 갑니다.연꽃 외에도 능소화, 나무수국, 메꽃, 박주가리 같우 여름꽃들도 예쁘게 피어 있어요.봉은사는 불교 신자 아니라도 꽃 좋아하는 사람들이 봄에는 홍매화를, 여름에는 연꽃 보러 오기도 좋은 강남 도심의 사찰입니다.","['일요일', '아침', '봉은사', '연꽃', '올해', '봉은사', '연꽃', '축제', '기간', '지금', '연꽃', '화분', '띄엄띄엄', '송이', '아름답다', '시간', '봉은사', '사람', '많다', '녹음', '명상', '호젓하다', '명상', '중간', '있다', '의자', '잠시', '기도', '연꽃', '능소화', '나무', '수국', '메꽃', '박주가리', '같다', '여름', '예쁘다', '피어', '있다', '봉은사', '불교', '신자', '아니다', '좋아하다', '사람', '매화', '여름', '연꽃', '오기', '좋다', '강남', '도심', '사찰', '이다']",Positive,0.954379141330719
봉은사,서울 강남구 봉은사로 531 봉은사,진진진888,"도심속 고즈넉한 사찰,  명상하며 산책하기 좋아요.","도심속 고즈넉한 사찰, 명상하며 산책하기 좋아요.","['도심', '사찰', '명상', '산책', '좋다']",Positive,0.9704772233963013
