store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,비니빈츠콩,아이와 함께 방문 했어요매표소에 계신 분이 사장님이실까요?? 입장할 때 아이 사탕도 챙겨주시고 나갈 때 풍선도 챙겨주셔서 감사했어요☺️딸이어도 공룡을 무척 좋아해서 방문했는데 공룡들이 입구부터 쭉~ 있어서 아이가 굉장히 좋아했고 꼬리나 머리쪽 눈도 움직이니 신기해하더라구요 매점에도 장난감이 준비되어 있어서 쉬면서 아이는 놀기 좋았고 공연 대기홀 안으로 들어가면 또 구경할 수 있게끔 꾸며져 있어서 지루하지 않고 좋았어요 마을처럼 꾸며진 것도 사진찍기 너무 좋아서 시간 가는 줄 몰랐네요 ㅎㅎ 아이와 함께 좋은 추억 만들어 갑니당,아이와 함께 방문 했어요매표소에 계신 분이 사장님이실까요?? 입장할 때 아이 사탕도 챙겨주시고 나갈 때 풍선도 챙겨주셔서 감사했어요딸이어도 공룡을 무척 좋아해서 방문했는데 공룡들이 입구부터 쭉 있어서 아이가 굉장히 좋아했고 꼬리나 머리쪽 눈도 움직이니 신기해하더라구요 매점에도 장난감이 준비되어 있어서 쉬면서 아이는 놀기 좋았고 공연 대기홀 안으로 들어가면 또 구경할 수 있게끔 꾸며져 있어서 지루하지 않고 좋았어요 마을처럼 꾸며진 것도 사진찍기 너무 좋아서 시간 가는 줄 몰랐네요 ㅎㅎ 아이와 함께 좋은 추억 만들어 갑니당,"['아이', '방문', '매표소', '계시다', '사장', '입장', '아이', '사탕', '풍선', '공룡', '무척', '좋아하다', '방문', '공룡', '입구', '있다', '아이', '굉장하다', '좋아하다', '꼬리', '머리', '신기하다', '매점', '장난감', '준비', '있다', '아이', '좋다', '공연', '대기', '구경', '있다', '있다', '지루하다', '좋다', '마을', '사진', '찍기', '좋다', '시간', '아이', '좋다', '추억']",Positive,0.9660745859146118
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,내가 누군지 아니,공연도 볼수있고 아기들과 좋은 추억쌓을수 있는거같아서 너무 좋습니당💗💗,공연도 볼수있고 아기들과 좋은 추억쌓을수 있는거같아서 너무 좋습니당,"['공연', '아기', '좋다', '추억', '있다', '같다', '좋다']",Positive,0.9705485105514526
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,tjs****,아이가 공룡을 좋아해서 대구에서 왔어요! 들어오자마자 보이는 티라노에 너무 좋아하네요! 중간에 하는 마술쇼도 있는데 아이가 어려 걱정했지만 집중 잘하고 봤어요!!!! 공룡도 보고 마술쇼도 보고 풍선도 받고 재밌는 시간이였습니다!,아이가 공룡을 좋아해서 대구에서 왔어요! 들어오자마자 보이는 티라노에 너무 좋아하네요! 중간에 하는 마술쇼도 있는데 아이가 어려 걱정했지만 집중 잘하고 봤어요!!!! 공룡도 보고 마술쇼도 보고 풍선도 받고 재밌는 시간이였습니다!,"['아이', '공룡', '좋아하다', '대구', '티라노', '좋아하다', '중간', '마술', '있다', '아이', '걱정', '집중', '공룡', '보고', '마술', '보고', '풍선', '재밌다', '시간']",Positive,0.9731094241142273
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,MERIEL79,지인 추천으로 왔는데 공룡이 진짜 다 움직여요! 공연진짜 완전 강추 ㅋ 공연장도 크고 내용도 큰 아이들까지도 좋아하더라구요. 공연시간도 꼭 맞춰보세요! 오자마자 공연부터 봤는데 너무 즐거웠어요! 시설도 깔끔하게 다 잘되있어서 편리하고 좋았어요. 멀리서도 올만합니다.,지인 추천으로 왔는데 공룡이 진짜 다 움직여요! 공연진짜 완전 강추 ㅋ 공연장도 크고 내용도 큰 아이들까지도 좋아하더라구요. 공연시간도 꼭 맞춰보세요! 오자마자 공연부터 봤는데 너무 즐거웠어요! 시설도 깔끔하게 다 잘되있어서 편리하고 좋았어요. 멀리서도 올만합니다.,"['지인', '추천', '공룡', '진짜', '공연', '진짜', '완전', '강추', '공연장', '내용', '아이', '좋아하다', '시간', '자마자', '공연', '즐겁다', '시설', '깔끔하다', '편리하다', '좋다', '멀리', '서도']",Positive,0.9743639230728149
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,박빌51,주말 공연보고 공룡도 보고 했는데 기대 이상으로 너무 재밌고 알차요ㅎㅎ 또올것같아요ㅎ 아이들도 재밌어하고 재미있습니다ㅎ,주말 공연보고 공룡도 보고 했는데 기대 이상으로 너무 재밌고 알차요ㅎㅎ 또올것같아요ㅎ 아이들도 재밌어하고 재미있습니다ㅎ,"['주말', '공연', '보고', '공룡', '보고', '기대', '이상', '재밌다', '알차다', '같다', '아이', '재밌다', '재미있다']",Positive,0.974400520324707
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,은서8286,아이들이랑 두 번째 방문이에요~~평일에 왔을때는 한가해서 좋았는데 주말은 주말 나름대로 마술공연도 있고 재밌었어요~~~ 아이들이 신기해하고 풍선도 받고 너무 좋아했어요  다음에도 공연 보러 또 방문할게요~~~♥,아이들이랑 두 번째 방문이에요평일에 왔을때는 한가해서 좋았는데 주말은 주말 나름대로 마술공연도 있고 재밌었어요 아이들이 신기해하고 풍선도 받고 너무 좋아했어요 다음에도 공연 보러 또 방문할게요,"['아이', '방문', '평일', '한가하다', '좋다', '주말', '주말', '나름', '마술', '공연', '있다', '재밌다', '아이', '신기하다', '풍선', '좋아하다', '다음', '공연', '방문']",Positive,0.9720463156700134
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,chl****,다양한 공룡들 구경할 수 있어서 좋았습니다아이가 너무 좋아해요마술쇼도 있어서 관람하기 좋아요넓어서 이리저리 다니느라 오늘 꿀잠 예약이네요,다양한 공룡들 구경할 수 있어서 좋았습니다아이가 너무 좋아해요마술쇼도 있어서 관람하기 좋아요넓어서 이리저리 다니느라 오늘 꿀잠 예약이네요,"['다양하다', '공룡', '구경', '있다', '좋다', '아이', '좋아하다', '마술', '있다', '관람', '좋다', '넓다', '오늘', '꿀잠', '예약']",Positive,0.9725310206413269
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,이나5596,"마술, 풍선쇼 너무 재밌었고 아이도 집중하며 잘봤어요❤️ 처음 방문했는데 공룡도 많고 아이가 좋아하니 다음번에 또 오고싶네요👍🏻👍🏻","마술, 풍선쇼 너무 재밌었고 아이도 집중하며 잘봤어요 처음 방문했는데 공룡도 많고 아이가 좋아하니 다음번에 또 오고싶네요","['마술', '풍선', '재밌다', '아이', '집중', '처음', '방문', '공룡', '많다', '아이', '좋아하다', '다음']",Positive,0.9731413722038269
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,kim****,크지 않은 규모여서 어린아이들이 구석구석 보기 좋았고2층에 야외공간이 있어서아이들이 공룡구경하면서 뛰놀수 있어서 좋았어요추가로 마술쇼랑풍선쇼 봤는데아이들이 좋아했습니다!,크지 않은 규모여서 어린아이들이 구석구석 보기 좋았고2층에 야외공간이 있어서아이들이 공룡구경하면서 뛰놀수 있어서 좋았어요추가로 마술쇼랑풍선쇼 봤는데아이들이 좋아했습니다!,"['규모', '아이', '구석구석', '보기', '좋다', '야외', '공간', '있다', '아이', '공룡', '구경', '있다', '좋다', '추가', '마술', '풍선', '아이', '좋아하다']",Positive,0.9727733731269836
비봉공룡공원,전남 보성군 득량면 공룡로 822-51,000646,직원분들도 너무 친절하시고 아이들이 너무 즐거워 했어요 ㅎㅎ마술공연은 엄마아빠인 저희도 너무 재밌게 같이 즐겼네요 😂😂,직원분들도 너무 친절하시고 아이들이 너무 즐거워 했어요 ㅎㅎ마술공연은 엄마아빠인 저희도 너무 재밌게 같이 즐겼네요,"['직원', '친절하다', '아이', '즐겁다', '마술', '공연', '엄마', '아빠', '저희', '재밌다']",Positive,0.9739072322845459
