store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
산굼부리,제주 제주시 조천읍 비자림로 768,독립독서인,억새가 예뻤고 늦은 오후 햇빛이 산책하기 좋았어요.,억새가 예뻤고 늦은 오후 햇빛이 산책하기 좋았어요.,"['억새', '예쁘다', '오후', '햇빛', '산책', '좋다']",Positive,0.9696109890937805
산굼부리,제주 제주시 조천읍 비자림로 768,gofirst13,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
산굼부리,제주 제주시 조천읍 비자림로 768,우이끼끼,아직 억새 상태가 좋어요,아직 억새 상태가 좋어요,"['억새', '상태', '좋다']",Positive,0.9299435615539551
산굼부리,제주 제주시 조천읍 비자림로 768,별름달름,너무좋았어요!다음에또갈거에요,너무좋았어요!다음에또갈거에요,"['좋다', '다음']",Positive,0.9741092324256897
산굼부리,제주 제주시 조천읍 비자림로 768,하루이천끼,화창한 날씨에 섴선한 바람 불고 너무 좋았어요!,화창한 날씨에 섴선한 바람 불고 너무 좋았어요!,"['화창하다', '날씨', '섴선', '바람', '좋다']",Positive,0.9706060290336609
산굼부리,제주 제주시 조천읍 비자림로 768,게보린47,오랜만에 다시 왔는데 너무 좋았어요.갈까말까 고민 중이라면 무조건 가보시는 것을 추천 합니다.,오랜만에 다시 왔는데 너무 좋았어요.갈까말까 고민 중이라면 무조건 가보시는 것을 추천 합니다.,"['다시', '좋다', '고민', '중이', '라면', '무조건', '추천']",Positive,0.973487138748169
산굼부리,제주 제주시 조천읍 비자림로 768,dosign,"가족여행으로 감, 유료 갈대는 돈 값을 했고 가볍게 다녀올 수 있음 그만큼 압축 돼있는 곳","가족여행으로 감, 유료 갈대는 돈 값을 했고 가볍게 다녀올 수 있음 그만큼 압축 돼있는 곳","['가족', '여행', '유료', '갈대', '가볍다', '있다', '압축']",Positive,0.9589282274246216
산굼부리,제주 제주시 조천읍 비자림로 768,hyunthwn84,날씨가 다 한 산굼부리! 처음 와봤는데 풍경이 너무 멋있어서 감탄하며 산책했습니다!,날씨가 다 한 산굼부리! 처음 와봤는데 풍경이 너무 멋있어서 감탄하며 산책했습니다!,"['날씨', '산굼부리', '처음', '풍경', '멋있다', '감탄', '산책']",Positive,0.9728496074676514
산굼부리,제주 제주시 조천읍 비자림로 768,쏭수,굳굳 좋아용!,굳굳 좋아용!,"['굳다', '굳다', '좋다']",Positive,0.9722065329551697
산굼부리,제주 제주시 조천읍 비자림로 768,sorrowsay,억새를 보고싶어서 방문했는데.. 너무 장관이었습니다!!바람도 많이 불어서 더 멋있었네요~~ㅎㅎ,억새를 보고싶어서 방문했는데.. 너무 장관이었습니다!!바람도 많이 불어서 더 멋있었네요ㅎㅎ,"['억새', '방문', '장관', '바람', '불어', '멋있다']",Positive,0.9729728698730469
산굼부리,제주 제주시 조천읍 비자림로 768,맘쮸야,너무 멋있었어요가길 너무 잘했어요ㅎㅎ,너무 멋있었어요가길 너무 잘했어요ㅎㅎ,['멋있다'],Positive,0.9728732109069824
산굼부리,제주 제주시 조천읍 비자림로 768,태엽 새,한번쯤 가볼만해요 억새있을때 가보세요멋져요,한번쯤 가볼만해요 억새있을때 가보세요멋져요,"['한번', '만해', '억새', '있다', '멋지다']",Positive,0.9742894768714905
산굼부리,제주 제주시 조천읍 비자림로 768,jupiter2254,정말 입이다물어지지않는 경관입니다 ㅎㅎ,정말 입이다물어지지않는 경관입니다 ㅎㅎ,"['정말', '경관', '이다']",Positive,0.971977710723877
산굼부리,제주 제주시 조천읍 비자림로 768,Suinyi,가을이라 억새밭 보러 갔는데 경치가 너무 멋있었어요!큰기대는 없었는데 정상에 올라가서 보는 분화구가 압도적이고 멋있었어요!!!!,가을이라 억새밭 보러 갔는데 경치가 너무 멋있었어요!큰기대는 없었는데 정상에 올라가서 보는 분화구가 압도적이고 멋있었어요!!!!,"['가을', '경치', '멋있다', '없다', '정상', '분화구', '압도', '멋있다']",Positive,0.9719076752662659
산굼부리,제주 제주시 조천읍 비자림로 768,2dm09,"일기예보에 날이 흐리고 비가 내린다고해서 아쉬운 마음에 방문했는데, 화창한 날씨가 반겨줘서 행복한 하루였습니다.","일기예보에 날이 흐리고 비가 내린다고해서 아쉬운 마음에 방문했는데, 화창한 날씨가 반겨줘서 행복한 하루였습니다.","['일기예보', '아쉽다', '마음', '방문', '화창하다', '날씨', '행복하다', '하루']",Positive,0.9510487914085388
산굼부리,제주 제주시 조천읍 비자림로 768,휴양림탐방,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
산굼부리,제주 제주시 조천읍 비자림로 768,스노우래빗꼰쥬,"2025.11.24 월따라비오름으로 억새보러갔는데 이미 베어버리고 없어서 급하게 전화하고 찾아간 산굼부리.네이버로 예약해서 할인받아 입장~함께 간 시어머님과 남편이 억새 예쁘다고 칭찬해줘서 좋았어요.저는 산굼부리에 두번 방문했는데 작년 11월초에는 억새가 활짝 피지 않았었어요.오늘은 조금 진듯한 느낌이어서 11월 중순이 억새보기엔 좋은 시기일 것 같아요.코스는 정비가 잘되어 있는데요, 관람은 오른쪽 억새밭으로 크게 돌아 정상에서 분화구와 한라산 뷰보고 왼쪽으로 내려가 구상나무길까지 돌아 보는 것을 추천합니다.입장료만큼 관리가 잘 되어있는 산굼부리에 내년에는 아이들과 다시 오려고요😊","2025.11.24 월따라비오름으로 억새보러갔는데 이미 베어버리고 없어서 급하게 전화하고 찾아간 산굼부리.네이버로 예약해서 할인받아 입장함께 간 시어머님과 남편이 억새 예쁘다고 칭찬해줘서 좋았어요.저는 산굼부리에 두번 방문했는데 작년 11월초에는 억새가 활짝 피지 않았었어요.오늘은 조금 진듯한 느낌이어서 11월 중순이 억새보기엔 좋은 시기일 것 같아요.코스는 정비가 잘되어 있는데요, 관람은 오른쪽 억새밭으로 크게 돌아 정상에서 분화구와 한라산 뷰보고 왼쪽으로 내려가 구상나무길까지 돌아 보는 것을 추천합니다.입장료만큼 관리가 잘 되어있는 산굼부리에 내년에는 아이들과 다시 오려고요","['따라비오름', '억새', '없다', '급하다', '전화하다', '산굼부리', '네이버', '예약', '할인', '입장', '어머님', '남편', '억새', '예쁘다', '칭찬', '좋다', '산굼부리', '방문', '작년', '억새', '활짝', '피지', '오늘', '조금', '느낌', '중순', '보기', '좋다', '기일', '같다', '코스', '정비', '있다', '관람', '오른쪽', '크게', '정상', '분화구', '한라산', '보고', '왼쪽', '구상나무', '추천', '입장료', '관리', '산굼부리', '내년', '아이', '다시']",Positive,0.9511199593544006
산굼부리,제주 제주시 조천읍 비자림로 768,som****,조용히 산책하기 좋아요,조용히 산책하기 좋아요,"['조용하다', '산책', '좋다']",Positive,0.9620551466941833
산굼부리,제주 제주시 조천읍 비자림로 768,소소한행복28,^^,,[],Neutral,0.0
산굼부리,제주 제주시 조천읍 비자림로 768,오로라64,"기차는 25분 정도 소요가 되고, 빠르지도 느리지도 않은 기차를 타고 가을에 제주도를 만끽하는 것은 정말 행복한 시간이었습니다. 가족들이 모두 즐거워하고 아이들도 탈 수 있어 꼭 추천합니다.","기차는 25분 정도 소요가 되고, 빠르지도 느리지도 않은 기차를 타고 가을에 제주도를 만끽하는 것은 정말 행복한 시간이었습니다. 가족들이 모두 즐거워하고 아이들도 탈 수 있어 꼭 추천합니다.","['기차', '정도', '소요', '빠르다', '느리다', '기차', '타고', '가을', '제주도', '만끽', '정말', '행복하다', '시간', '가족', '모두', '즐겁다', '아이', '있다', '추천']",Positive,0.9731544852256775
산굼부리,제주 제주시 조천읍 비자림로 768,갬성뽀찌,가을 억새가 최고인 산굼부리. ~. 힘들지않은 코스라서. 부모님 어린아이들 모두 손쉽게 오를수 있어요.  날씨가 너무 좋아서. 한라산도 잘 보였어요,가을 억새가 최고인 산굼부리. . 힘들지않은 코스라서. 부모님 어린아이들 모두 손쉽게 오를수 있어요. 날씨가 너무 좋아서. 한라산도 잘 보였어요,"['가을', '억새', '최고', '산굼부리', '힘들다', '코스', '부모님', '아이', '모두', '손쉽다', '있다', '날씨', '좋다', '한라산']",Positive,0.9739102125167847
산굼부리,제주 제주시 조천읍 비자림로 768,PSY96,날씨도 좋고 뷰도 좋고 입장료가 하나도 아깝지 않았습니다~,날씨도 좋고 뷰도 좋고 입장료가 하나도 아깝지 않았습니다,"['날씨', '좋다', '좋다', '입장료', '하나', '아깝다']",Positive,0.9133080840110779
산굼부리,제주 제주시 조천읍 비자림로 768,tsmsims,현장구매보다 인터넷 구매가 더 저렴해서 좋았어요매년 가는데 뷰가 너무 좋아요이번에는 해설을 들었는데 재밌게 잘 이해할 수 있도록 설명해 주셔서 좋았어요,현장구매보다 인터넷 구매가 더 저렴해서 좋았어요매년 가는데 뷰가 너무 좋아요이번에는 해설을 들었는데 재밌게 잘 이해할 수 있도록 설명해 주셔서 좋았어요,"['현장', '구매', '인터넷', '구매', '저렴하다', '좋다', '매년', '좋다', '이번', '해설', '재밌다', '이해', '있다', '설명', '좋다']",Positive,0.9738247394561768
산굼부리,제주 제주시 조천읍 비자림로 768,와인삼겹살,관리가 잘 되고 있는 관광지.드넓게 펼쳐진 억새밭이 매력적.뒤에 오름들과 어우러짐이 환상적.산굼부리 분화구 또한 매력적.산책로가 잘 되어 있어요. 30~40분이면 들러볼 수 있어 남녀노소 즐길 수 있음.제주도 꼭 들러봐야 할 곳 중 하나.,관리가 잘 되고 있는 관광지.드넓게 펼쳐진 억새밭이 매력적.뒤에 오름들과 어우러짐이 환상적.산굼부리 분화구 또한 매력적.산책로가 잘 되어 있어요. 3040분이면 들러볼 수 있어 남녀노소 즐길 수 있음.제주도 꼭 들러봐야 할 곳 중 하나.,"['관리', '있다', '관광지', '드넓다', '매력', '오름', '환상', '산굼부리', '분화구', '또한', '매력', '산책로', '있다', '있다', '남녀', '노소', '있다', '제주도', '하나']",Positive,0.9733591675758362
산굼부리,제주 제주시 조천읍 비자림로 768,맨날비와요,산굼부리는 올때마다 감동이에요억새와 하늘이 너무 아름다운 곳!!,산굼부리는 올때마다 감동이에요억새와 하늘이 너무 아름다운 곳!!,"['산굼부리', '감동', '억새', '하늘', '아름답다']",Positive,0.9739564657211304
산굼부리,제주 제주시 조천읍 비자림로 768,바다디다,억새 구경하러 가기 너무 좋은 곳입니다. 분화구도 멋지고 구상나무길도 꼭 들려보세요!!,억새 구경하러 가기 너무 좋은 곳입니다. 분화구도 멋지고 구상나무길도 꼭 들려보세요!!,"['억새', '구경', '가기', '좋다', '이다', '분화구', '멋지다', '구상나무', '길다']",Positive,0.9741214513778687
산굼부리,제주 제주시 조천읍 비자림로 768,Won255,가을 억세 보기 너무 좋아요:),가을 억세 보기 너무 좋아요,"['가을', '억세다', '보기', '좋다']",Positive,0.9722803235054016
