store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,매일Christmas,"나홀로 뚜벅 여행천제연폭포에서 202번을 타고 한 번에 도착했습니다.네이버로 예약하여 방문하였고 기본 목욕(실내탕) 비용만 지불된 금액입니다.목욕탕만 이용 시 4시간 이내, 찜질방 이용 시 6시간 이내, 야외 노천탕 이용 시 5시간 이용 제한이 있습니다.찜질방 이용은 2,000원 추가하시면 찜질복을 주시고 야외 노천탕 이용은 5,000원 추가하시면 됩니다. 야외 노천탕은 래쉬가드나 반바지, 반팔 티를 입고 입장하시면 됩니다.저녁 시간 전에는 사람이 굉장히 많고, 저녁 6시쯤 지나면 좀 한산해졌습니다.세신사님들은 7시 퇴근이시라 6시쯤에는 예약하셔야 될 것 같아요.온천하고 찜질하고 오니 마사지 받은 것보다 몸이 잘 풀렸습니다. 😊👍","나홀로 뚜벅 여행천제연폭포에서 202번을 타고 한 번에 도착했습니다.네이버로 예약하여 방문하였고 기본 목욕실내탕 비용만 지불된 금액입니다.목욕탕만 이용 시 4시간 이내, 찜질방 이용 시 6시간 이내, 야외 노천탕 이용 시 5시간 이용 제한이 있습니다.찜질방 이용은 2,000원 추가하시면 찜질복을 주시고 야외 노천탕 이용은 5,000원 추가하시면 됩니다. 야외 노천탕은 래쉬가드나 반바지, 반팔 티를 입고 입장하시면 됩니다.저녁 시간 전에는 사람이 굉장히 많고, 저녁 6시쯤 지나면 좀 한산해졌습니다.세신사님들은 7시 퇴근이시라 6시쯤에는 예약하셔야 될 것 같아요.온천하고 찜질하고 오니 마사지 받은 것보다 몸이 잘 풀렸습니다.","['홀로', '뚜벅', '여행', '천제연폭포', '타고', '도착', '네이버', '예약', '방문', '기본', '목욕실', '비용', '지불', '금액', '이다', '목욕탕', '이용', '이내', '찜질방', '이용', '이내', '야외', '노천', '이용', '이용', '제한', '있다', '찜질방', '이용', '추가', '찜질', '주시', '야외', '노천', '이용', '추가', '야외', '노천', '가드', '반바지', '입장', '저녁', '시간', '사람', '굉장하다', '많다', '저녁', '한산하다', '신사', '퇴근', '시라', '예약', '같다', '온천', '찜질', '오니', '마사지']",Positive,0.6954064965248108
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,nowddong,"오늘은 제주산방산탄산온천에 왔습니당!!!야외 노천탕은 패스(다음에 꼭 갑니다!!)대신 찜질복 대여해서~ 불가마 들어갔다 나왔다 반복하다 편히 쉬고 왔어요:-)여기는 이름 그대로 탄산 온천물이 포인트!효과를 제대로 보려면✔️ 온탕 5분 → 탄산원탕 10분이렇게 반복하는 게 좋다고 해서 그대로 따라 해봤는데…와… 결과 완전 만족 😌✨탄산원탕이 생각보다 꽤 차가워서 처음엔 깜짝 놀랐지만,하다 보니 몸이 확 풀리는 느낌!제주 와서 힐링까지 챙기고 싶으면온천 한 번은 꼭 다녀와야 합니다♨️여기, 추천합니다!!!★★★네이버로 미리 예약하시면 15%? 저렴하게 이용할수 있어요!!!!!!다시 올게 제주도!그때는 노천탕까지 ㄱㄱ!!!","오늘은 제주산방산탄산온천에 왔습니당!!!야외 노천탕은 패스다음에 꼭 갑니다!!대신 찜질복 대여해서 불가마 들어갔다 나왔다 반복하다 편히 쉬고 왔어요여기는 이름 그대로 탄산 온천물이 포인트!효과를 제대로 보려면 온탕 5분 탄산원탕 10분이렇게 반복하는 게 좋다고 해서 그대로 따라 해봤는데와 결과 완전 만족 탄산원탕이 생각보다 꽤 차가워서 처음엔 깜짝 놀랐지만,하다 보니 몸이 확 풀리는 느낌!제주 와서 힐링까지 챙기고 싶으면온천 한 번은 꼭 다녀와야 합니다여기, 추천합니다!!!네이버로 미리 예약하시면 15? 저렴하게 이용할수 있어요!!!!!!다시 올게 제주도!그때는 노천탕까지 ㄱㄱ!!!","['오늘', '산방산', '탄산', '온천', '야외', '노천', '패스', '다음', '대신', '찜질', '대여', '불가', '반복', '편하다', '이름', '그대로', '탄산', '온천', '물이', '포인트', '효과', '제대로', '탄산', '반복', '좋다', '그대로', '결과', '완전', '만족', '탄산', '생각', '차갑다', '처음', '깜짝', '느낌', '제주', '힐링', '온천', '번은', '여기', '추천', '네이버', '미리', '예약', '저렴하다', '이용', '있다', '다시', '제주도', '그때', '노천']",Positive,0.9622232913970947
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,매일Christmas,"나홀로 뚜벅 여행제주도의 마지막 날은 온천으로 정했습니다.세 번째 이용인데 올 때마다 개운하고 좋았습니다^^저의 꿀팁(?)인데 찜질하시고 나오시면 명당자리가 있어요. 거기서 창문 열고 누워 얼굴에 바람 쐬면 천국입니다ㅎㅎ 주차장은 넓어서 편하게 이용하실 수 있을 것 같고, 흡연구역은 영상에 올렸습니다.음식은 안 먹어봐서 모르겠지만 커피는 얼음물에 녹은 싱거운 커피 맛이었습니다. 야외 온천은 이용 안 해봤는데 나중에 해봐야겠어요. 오늘은 세신 받아봤는데요, 예약을 일찍 안 하시면 못 하실 수도 있을 것 같아요. 세신사분이 3분 이셨고 너무 대충 해주셔서 추천은 안 하겠습니다. 오늘은 밀려서 그러신지 8시까지 하셨습니다. 마사지 받고 찜질 온천하고 나니 온몸의 피로가 풀립니다.😊","나홀로 뚜벅 여행제주도의 마지막 날은 온천으로 정했습니다.세 번째 이용인데 올 때마다 개운하고 좋았습니다저의 꿀팁?인데 찜질하시고 나오시면 명당자리가 있어요. 거기서 창문 열고 누워 얼굴에 바람 쐬면 천국입니다ㅎㅎ 주차장은 넓어서 편하게 이용하실 수 있을 것 같고, 흡연구역은 영상에 올렸습니다.음식은 안 먹어봐서 모르겠지만 커피는 얼음물에 녹은 싱거운 커피 맛이었습니다. 야외 온천은 이용 안 해봤는데 나중에 해봐야겠어요. 오늘은 세신 받아봤는데요, 예약을 일찍 안 하시면 못 하실 수도 있을 것 같아요. 세신사분이 3분 이셨고 너무 대충 해주셔서 추천은 안 하겠습니다. 오늘은 밀려서 그러신지 8시까지 하셨습니다. 마사지 받고 찜질 온천하고 나니 온몸의 피로가 풀립니다.","['홀로', '뚜벅', '여행', '제주도', '마지막', '온천', '이용', '개운하다', '좋다', '꿀팁', '찜질', '명당', '있다', '거기', '창문', '얼굴', '바람', '천국', '이다', '주차장', '넓다', '편하다', '이용', '있다', '같다', '흡연', '구역', '영상', '음식', '커피', '얼음', '싱겁다', '커피', '야외', '온천', '이용', '나중', '오늘', '예약', '일찍', '수도', '있다', '같다', '신사', '대충', '추천', '오늘', '러신', '마사지', '찜질', '온천', '나니', '온몸', '피로']",Positive,0.9510825276374817
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,나라메,"목욕탕인 만큼 장소를 많이 찍을수 없었다. 노후하고 오래된 목욕탕이다. 근데, 가성비와 구성은 짱이다. 야외 주차장. 낡은 수건과 찜복. 그래도 추천한다. 물이 좋고, 시설이 알차다. 불한증막도 하나 있네도 알차다. 땀도 잘나고, 천구도 높다. 시설물이 노후하고, 낡은 티가 나지만, 있을건 다 있고, 알차다. 찜방에서 쉬고, 노천탕에서 야외운치도 즐기고, 내부에도 여러개의 탕이 있다. 사람이 많다. 외국인도 많다. 23시면 목욕탕 닫고, 노천과 찜방은 22시면 마친다는데, 21시 넘어 나오는데도 입장을 계속 갈만하다. ㅋ찜방 매점에서 분식류며 다양하게 먹을수 있고, 찜방엔 땀도 잘 나고, 세신이모님들도 잘한다. 제주 여행의 마무리를 잘가지도 않는 목욕으로 마무리 했는데, 잘했다 싶다~!! 좋다~!","목욕탕인 만큼 장소를 많이 찍을수 없었다. 노후하고 오래된 목욕탕이다. 근데, 가성비와 구성은 짱이다. 야외 주차장. 낡은 수건과 찜복. 그래도 추천한다. 물이 좋고, 시설이 알차다. 불한증막도 하나 있네도 알차다. 땀도 잘나고, 천구도 높다. 시설물이 노후하고, 낡은 티가 나지만, 있을건 다 있고, 알차다. 찜방에서 쉬고, 노천탕에서 야외운치도 즐기고, 내부에도 여러개의 탕이 있다. 사람이 많다. 외국인도 많다. 23시면 목욕탕 닫고, 노천과 찜방은 22시면 마친다는데, 21시 넘어 나오는데도 입장을 계속 갈만하다. ㅋ찜방 매점에서 분식류며 다양하게 먹을수 있고, 찜방엔 땀도 잘 나고, 세신이모님들도 잘한다. 제주 여행의 마무리를 잘가지도 않는 목욕으로 마무리 했는데, 잘했다 싶다!! 좋다!","['목욕탕', '만큼', '장소', '없다', '노후하다', '오래되다', '목욕탕', '가성', '구성은', '야외', '주차장', '낡다', '수건', '찜복', '추천', '물이', '좋다', '시설', '알차다', '한증막', '하나', '있다', '알차다', '잘나다', '천구', '높다', '시설', '물이', '노후하다', '낡다', '있다', '있다', '알차다', '찜방', '노천', '야외', '운치', '내부', '있다', '사람', '많다', '외국인', '많다', '목욕탕', '노천', '찜방', '입장', '계속', '만하', '찜방', '매점', '분식', '다양하다', '있다', '찜방', '이모', '제주', '여행', '마무리', '목욕', '마무리', '좋다']",Positive,0.9610149264335632
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,망고구아바쥬스,날씨가 우중충하니 몸이 찌뿌둥하여 온천을 가봤다위치는 산방산과 가까웠고 이 겨울에 노천탕을즐기 수 있다는게 넘나 매력적이엿다!막 노천탕 규모가 엄청 크고 그러지않지만야외서 이쁜풍경보면서 뜨근하니 몸을 담구고 잇는자체만으로 좋았다,날씨가 우중충하니 몸이 찌뿌둥하여 온천을 가봤다위치는 산방산과 가까웠고 이 겨울에 노천탕을즐기 수 있다는게 넘나 매력적이엿다!막 노천탕 규모가 엄청 크고 그러지않지만야외서 이쁜풍경보면서 뜨근하니 몸을 담구고 잇는자체만으로 좋았다,"['날씨', '우중충하다', '찌뿌둥하', '온천', '위치', '산방산', '가깝다', '겨울', '노천', '있다', '매력', '노천', '규모', '그렇다', '야외', '이쁘다', '풍경', '하니', '자체', '좋다']",Positive,0.9731332659721375
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,옹삭이,"제주 한달살이 중 피곤함을 풀고자 방문한 탄산온천입니다원래있는 숙소에서 무려 1시간 30분이 걸려 도착했지만, 너무 만족스러워서 이동시간 생각도 안났어요노천온천은 규모가 썩 크지않아서 그리 추천하지는 않지만 한번쯤 방문해볼만 합니다불가마찜질 너무 좋고 식당에서 다양한 종류의 음식을 팔고있어서 끼니 해결하기에도 너무 좋습니다실내온천도 너무 좋았습니다 탄산온천과 온탕을 번갈아가며 담구면 피로가 풀리는 느낌이 들어요제주에 온다면 강추입니다","제주 한달살이 중 피곤함을 풀고자 방문한 탄산온천입니다원래있는 숙소에서 무려 1시간 30분이 걸려 도착했지만, 너무 만족스러워서 이동시간 생각도 안났어요노천온천은 규모가 썩 크지않아서 그리 추천하지는 않지만 한번쯤 방문해볼만 합니다불가마찜질 너무 좋고 식당에서 다양한 종류의 음식을 팔고있어서 끼니 해결하기에도 너무 좋습니다실내온천도 너무 좋았습니다 탄산온천과 온탕을 번갈아가며 담구면 피로가 풀리는 느낌이 들어요제주에 온다면 강추입니다","['제주', '살이', '피곤하다', '방문', '탄산', '온천', '이다', '원래', '있다', '숙소', '무려', '도착', '만족스럽다', '이동', '시간', '생각', '노천온천', '규모', '추천', '한번', '방문', '불가', '찜질', '좋다', '식당', '다양하다', '종류', '음식', '끼니', '해결', '좋다', '실내', '온천', '좋다', '탄산', '온천', '번갈아', '피로', '느낌', '제주', '강추', '이다']",Positive,0.9695047736167908
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,fri****,제주도 여러번 여행 왔지만 산방산온천은 처음 와봤어요. 너무나 멋진 풍경을 보면서 스파 찜질 물놀이까지 한큐에!이 정도면 가성비 최고인것같습니다. 시설 정말 깨끗 깔끔하고 직원분들도 많이 계셔서 친절하시고 주차장 넓고!주민분들도 많이 오시는 듯 해요!여유로운 힐링의 시간보내고 마사지코스까지 저렴하게 이용하고 식당도 맛있었어요!,제주도 여러번 여행 왔지만 산방산온천은 처음 와봤어요. 너무나 멋진 풍경을 보면서 스파 찜질 물놀이까지 한큐에!이 정도면 가성비 최고인것같습니다. 시설 정말 깨끗 깔끔하고 직원분들도 많이 계셔서 친절하시고 주차장 넓고!주민분들도 많이 오시는 듯 해요!여유로운 힐링의 시간보내고 마사지코스까지 저렴하게 이용하고 식당도 맛있었어요!,"['제주도', '여행', '산방산', '온천', '처음', '멋지다', '풍경', '스파', '찜질', '물놀이', '정도', '가성', '최고', '같다', '시설', '정말', '깨끗', '깔끔하다', '직원', '계시다', '친절하다', '주차장', '넓다', '주민', '오시', '여유', '힐링', '시간', '마사지', '코스', '저렴하다', '이용', '식당', '맛있다']",Positive,0.9738120436668396
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,이러고81,탄산온천 목욕만이용해보다가 야외까지나가보았는데 규모가 생각보다 작고 사람들이많아  탕을이용하려면 눈치게임을 해야하네요 아이들은 냉탕에서 잘 놀더라고요 뷰는 너무좋아요 바람불면 시원하고 몸으따뜻하고 좋긴하네요,탄산온천 목욕만이용해보다가 야외까지나가보았는데 규모가 생각보다 작고 사람들이많아 탕을이용하려면 눈치게임을 해야하네요 아이들은 냉탕에서 잘 놀더라고요 뷰는 너무좋아요 바람불면 시원하고 몸으따뜻하고 좋긴하네요,"['탄산', '온천', '목욕', '이용', '야외', '규모', '생각', '작고', '사람', '많다', '이용', '눈치', '게임', '아이', '냉탕', '좋다', '바람', '불면', '시원하다', '따뜻하다', '좋다']",Positive,0.9302696585655212
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,MinniM,여행이 막바지라서 뜨뜻한 온천 방문했어요.실내탕도 넓고 노천탕도 잘되어있어서  피로가 풀리는듯했어요,여행이 막바지라서 뜨뜻한 온천 방문했어요.실내탕도 넓고 노천탕도 잘되어있어서 피로가 풀리는듯했어요,"['여행', '막바지', '뜨뜻하다', '온천', '방문', '실내', '넓다', '노천', '피로']",Positive,0.9743865728378296
산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,빵순이 먹킷,탄산탕이 있어서 신기했어요 제주도 올때마다 이용하는 곳이에요 다음엔 노천온천탕도 이용해봐야겠어요 좋아요,탄산탕이 있어서 신기했어요 제주도 올때마다 이용하는 곳이에요 다음엔 노천온천탕도 이용해봐야겠어요 좋아요,"['탄산', '있다', '신기하다', '제주도', '이용', '다음', '노천온천', '이용', '좋다']",Positive,0.9734621047973633
