store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
서귀포매일올레시장,제주 서귀포시 서귀동 340,조우진9592,주차장 아저씨… 교육 좀 하세요…깔보듯이 눈 내리깔고 쳐다보고 혹시나 현금이 더 괜찮을까싶어 현금으로 드릴까요? 했더니 손을 휙휙 하더니 반말로 카드카드 이러고 결재 후에 나가서 왼쪽 왼쪽… 또 반말… 나이 50을 앞두고 반말을 들어야 하는게 참… 가족들이 있어서 그냥 참았지만 혼자있었으면 진짜 후려갈기고 싶었네요…,주차장 아저씨 교육 좀 하세요깔보듯이 눈 내리깔고 쳐다보고 혹시나 현금이 더 괜찮을까싶어 현금으로 드릴까요? 했더니 손을 휙휙 하더니 반말로 카드카드 이러고 결재 후에 나가서 왼쪽 왼쪽 또 반말 나이 50을 앞두고 반말을 들어야 하는게 참 가족들이 있어서 그냥 참았지만 혼자있었으면 진짜 후려갈기고 싶었네요,"['주차장', '아저씨', '교육', '혹시', '현금', '괜찮다', '현금', '드릴', '휙휙', '반말', '카드', '카드', '결재', '왼쪽', '왼쪽', '반말', '나이', '반말', '가족', '있다', '그냥', '혼자', '있다', '진짜', '후려', '갈기']",Negative,0.885041356086731
서귀포매일올레시장,제주 서귀포시 서귀동 340,걱정말아그대여,조아요,조아요,['좋다'],Positive,0.9475513100624084
서귀포매일올레시장,제주 서귀포시 서귀동 340,yjh8088,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
서귀포매일올레시장,제주 서귀포시 서귀동 340,sec****,주차장이 제주시에 있는 시장보다 저렴했어요. 사람도 그만큼 적긴 한데 있을 건 다 있어요. 음식 맛있고 과일모찌 파는 떡집에 사람 진짜 많아요.,주차장이 제주시에 있는 시장보다 저렴했어요. 사람도 그만큼 적긴 한데 있을 건 다 있어요. 음식 맛있고 과일모찌 파는 떡집에 사람 진짜 많아요.,"['주차장', '제주시', '있다', '시장', '저렴하다', '사람', '있다', '있다', '음식', '맛있다', '과일', '모찌', '떡집', '사람', '진짜', '많다']",Positive,0.9641077518463135
서귀포매일올레시장,제주 서귀포시 서귀동 340,smilegag,저녁에 가니 사람 정말 많네요!! 초콜렛이랑 이것저것 선물들과 횟거리 사러갔어요!! 주차장은 넉넉한데 주차하는데 시간이 쫌 걸리네요ㅠㅠ 땅콩 초콜렛이랑 회랑 샀네요 ㅎㅎ 초콜렛은 맛있어요!! 회는 추천 받아서 갓어요!! 신선하고 다 좋은데 회를 너무 작게 썰어줘서 아쉬움 ㅜㅜ 아 버터 오징어도 샀어요!!! 맛있어요. 늦은 시간에 가면 품절되요ㅎㅎ 7시에 마지막으로 삼ㅋㅋ,저녁에 가니 사람 정말 많네요!! 초콜렛이랑 이것저것 선물들과 횟거리 사러갔어요!! 주차장은 넉넉한데 주차하는데 시간이 쫌 걸리네요ㅠㅠ 땅콩 초콜렛이랑 회랑 샀네요 ㅎㅎ 초콜렛은 맛있어요!! 회는 추천 받아서 갓어요!! 신선하고 다 좋은데 회를 너무 작게 썰어줘서 아쉬움 ㅜㅜ 아 버터 오징어도 샀어요!!! 맛있어요. 늦은 시간에 가면 품절되요ㅎㅎ 7시에 마지막으로 삼ㅋㅋ,"['저녁', '사람', '정말', '많다', '초콜렛', '선물', '거리', '주차장', '넉넉하다', '주차', '시간', '땅콩', '초콜렛', '회랑', '초콜렛', '맛있다', '추천', '어요', '신선하다', '좋다', '작다', '아쉬움', '버터', '오징어', '맛있다', '시간', '가면', '품절', '마지막']",Positive,0.9449061155319214
서귀포매일올레시장,제주 서귀포시 서귀동 340,Dan23,공영주차장 이용했고 저렴해서 좋아요.,공영주차장 이용했고 저렴해서 좋아요.,"['공영', '주차장', '이용', '저렴하다', '좋다']",Positive,0.9678606390953064
서귀포매일올레시장,제주 서귀포시 서귀동 340,맨도,10월 31일 금요일 서귀포 매일올레시장에서..처음에는 간단하게 딱새우만 먹으려고 했는데 모듬회까지 구매해서 시장안 밴치에서 먹었다.오매기 떡도 먹고 귤모찌도 먹고..근처에 이중섭거리가 있어서 소화시킬겸 해서 걸었다..무료 주차장까지도 있네.. 만두도 맛있어 보여 사먹었다.둘만 있을때는 시도해볼수 없었던일.. 5명이되니 이것저것 많이 맛볼수있어 좋다..ㅋㅋ,10월 31일 금요일 서귀포 매일올레시장에서..처음에는 간단하게 딱새우만 먹으려고 했는데 모듬회까지 구매해서 시장안 밴치에서 먹었다.오매기 떡도 먹고 귤모찌도 먹고..근처에 이중섭거리가 있어서 소화시킬겸 해서 걸었다..무료 주차장까지도 있네.. 만두도 맛있어 보여 사먹었다.둘만 있을때는 시도해볼수 없었던일.. 5명이되니 이것저것 많이 맛볼수있어 좋다..ㅋㅋ,"['금요일', '서귀포', '레시', '처음', '간단하다', '새우', '모듬회', '구매', '장안', '매기', '모찌', '근처', '이중섭', '거리', '있다', '소화', '무료', '주차장', '있다', '만두', '맛있다', '있다', '시도', '없다', '좋다']",Positive,0.9561288356781006
서귀포매일올레시장,제주 서귀포시 서귀동 340,제이스Js,굿굿굿!!,굿굿굿!!,['굿굿굿'],Positive,0.9682802557945251
서귀포매일올레시장,제주 서귀포시 서귀동 340,마케터일상,올레시장 가면 블루 하우스 꼭 가세요 그리고 썸머밀크티인가 아이스크림 올라간 거 꼭 드세요! 진심 맛남 👍,올레시장 가면 블루 하우스 꼭 가세요 그리고 썸머밀크티인가 아이스크림 올라간 거 꼭 드세요! 진심 맛남,"['올레', '시장', '가면', '블루', '하우스', '가세', '썸머', '밀크', '아이스크림', '진심', '맛남']",Positive,0.9706034064292908
서귀포매일올레시장,제주 서귀포시 서귀동 340,이1800,굿,굿,[],Positive,0.9277362823486328
