store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
서피비치,강원 양양군 현북면 하조대해안길 119,SkyHigher,강릉 속초 양양에 3년만에 여자친구와 여름휴가 왔는데양양 서피비치의 낮과 밤은 여전히 핫하네요🔥낮에는 덥지만 밤에는 시원한 바닷바람이 좋았고서피비치 바에도 마실거리와 먹을거리가 많았어요👌예전에 왔을땐 주차장과 인근도로가 상태가 안좋았는데이번에 왔을땐 도로포장도 잘되어있고 주차도 편했어요담번에도 양양쪽으로 휴가오면 여름의 양양 재방문각!😎,강릉 속초 양양에 3년만에 여자친구와 여름휴가 왔는데양양 서피비치의 낮과 밤은 여전히 핫하네요낮에는 덥지만 밤에는 시원한 바닷바람이 좋았고서피비치 바에도 마실거리와 먹을거리가 많았어요예전에 왔을땐 주차장과 인근도로가 상태가 안좋았는데이번에 왔을땐 도로포장도 잘되어있고 주차도 편했어요담번에도 양양쪽으로 휴가오면 여름의 양양 재방문각!,"['강릉', '속초', '양양', '여자친구', '여름', '휴가', '양양', '피비', '치의', '여전하다', '덥다', '시원하다', '바람', '좋다', '비치', '거리', '거리', '많다', '예전', '주차장', '인근', '도로', '상태', '안좋다', '이번', '도로포장', '주차', '편하다', '담번', '양쪽', '휴가', '여름', '양양', '방문']",Positive,0.9686779975891113
서피비치,강원 양양군 현북면 하조대해안길 119,나야아아아나,서핑을 하고 싶어서 양양으로 여름휴가를 알아보던 중후기를 보고 예약하고 깄는데 3년전에 해보고 오랜만에 했는데 강사님이 유쾌하게 잘 알려주시고 못해도 잘한다고 해주시고 너무너무 재미있었어요!! 다음에 또 올게용😊,서핑을 하고 싶어서 양양으로 여름휴가를 알아보던 중후기를 보고 예약하고 깄는데 3년전에 해보고 오랜만에 했는데 강사님이 유쾌하게 잘 알려주시고 못해도 잘한다고 해주시고 너무너무 재미있었어요!! 다음에 또 올게용,"['서핑', '양양', '여름', '휴가', '중후', '보고', '예약', '깄는데', '강사', '유쾌하다', '해주시', '재미있다', '다음']",Positive,0.9731025099754333
서피비치,강원 양양군 현북면 하조대해안길 119,나답게 0509,서피비치서핑 2번째 서핑도 대만족입니다이번엔 친구들도 함께해서 더 만족했던 서핑이였어요강사님 너무 친절하시고 자세히 안전하게 지도해주셔서 아이들이 너무 좋아했습니다가족그룹으로5명 묵어서 수업했는데 처음하는 친구들도 서핑매력에 푹 빠졌답니다이제 양양 올때마다 서피비치는 무조건 오게되는곳이네요! 올해 시간내서 한번 더 꼭 갈려고합니다안전하게 지도해주셔서 감사해요,서피비치서핑 2번째 서핑도 대만족입니다이번엔 친구들도 함께해서 더 만족했던 서핑이였어요강사님 너무 친절하시고 자세히 안전하게 지도해주셔서 아이들이 너무 좋아했습니다가족그룹으로5명 묵어서 수업했는데 처음하는 친구들도 서핑매력에 푹 빠졌답니다이제 양양 올때마다 서피비치는 무조건 오게되는곳이네요! 올해 시간내서 한번 더 꼭 갈려고합니다안전하게 지도해주셔서 감사해요,"['비치', '서핑', '서핑', '만족', '이다', '이번', '친구', '만족하다', '서핑', '강사', '친절하다', '자세하다', '안전하다', '지도', '아이', '좋아하다', '가족', '그룹', '수업', '처음', '친구', '서핑', '매력', '이제', '양양', '피비', '무조건', '올해', '시간', '한번', '안전하다', '지도']",Positive,0.9733988046646118
서피비치,강원 양양군 현북면 하조대해안길 119,dnrl02,"고1, 중2 조카들 서핑강습 예약했는데 파도가 좀 높아 많이 걱정했는데 강사님 넘 친절하게 무엇보다 완전 안전하게 잘 챙겨주면서 강습해 주시더라구요강습생이 청소년이라 힘이 쎄지 않아 강사님 넘 힘드셨을꺼 같아서 고맙고 미안하더라구요🙈🤭강습 끝나고 햄버거와 피자도 맛있게 먹었고😋 이번주에 페스티벌 열려서 덤으로 체험도 하고 선물도 많이 받아 왔습니다~~역시 서피비치!!!!!👍🏾👍🏾💃🏾감사합니다🙏🏾😊","고1, 중2 조카들 서핑강습 예약했는데 파도가 좀 높아 많이 걱정했는데 강사님 넘 친절하게 무엇보다 완전 안전하게 잘 챙겨주면서 강습해 주시더라구요강습생이 청소년이라 힘이 쎄지 않아 강사님 넘 힘드셨을꺼 같아서 고맙고 미안하더라구요강습 끝나고 햄버거와 피자도 맛있게 먹었고 이번주에 페스티벌 열려서 덤으로 체험도 하고 선물도 많이 받아 왔습니다역시 서피비치!!!!!감사합니다","['조카', '서핑', '강습', '예약', '파도', '높다', '걱정', '강사', '친절하다', '무엇', '완전', '안전하다', '강습', '강습', '청소년', '쎄다', '강사', '힘들다', '같다', '고맙다', '미안하다', '강습', '햄버거', '피자', '맛있다', '이번', '페스티벌', '체험', '선물', '역시', '비치']",Positive,0.9689485430717468
서피비치,강원 양양군 현북면 하조대해안길 119,EG01ST 꼬맹이,"여름의 핫한 태양 만큼이나 핫한 비치 서피비치🏝🏝Surf all day! Party all night!☀️☀️양양 바다의 낮과 밤은 젊은 친구들의 성지답게 이곳을 즐기려는 분들로 핫핫 그 자체.🔥🔥🔥젊음 청춘 낭만 바다 그리고 음악과 맛좋은 술들이 분위기 더해주고. 1km 구간에 걸쳐 펼쳐진 서핑전용 해변과 스위밍존, 빈백존, 해먹존, 칠링존 등 온전한 휴식을 즐길 수 있는 공간으로 구성된 서피비치⛱️⛱️🏝🏝이국적인 풍광의 릴렉스 비치이자 바이브 넘치는 짜릿한 자유를 만끽할 수 있는 모두를 위한 플레이 그라운드로 손색없어요~♥️♥️▫️다양한 팝업 이벤트는 덤!!🎉🎉▫️","여름의 핫한 태양 만큼이나 핫한 비치 서피비치Surf all day! Party all night!양양 바다의 낮과 밤은 젊은 친구들의 성지답게 이곳을 즐기려는 분들로 핫핫 그 자체.젊음 청춘 낭만 바다 그리고 음악과 맛좋은 술들이 분위기 더해주고. 1km 구간에 걸쳐 펼쳐진 서핑전용 해변과 스위밍존, 빈백존, 해먹존, 칠링존 등 온전한 휴식을 즐길 수 있는 공간으로 구성된 서피비치이국적인 풍광의 릴렉스 비치이자 바이브 넘치는 짜릿한 자유를 만끽할 수 있는 모두를 위한 플레이 그라운드로 손색없어요다양한 팝업 이벤트는 덤!!","['여름', '태양', '비치', '비치', '양양', '바다', '젊다', '친구', '핫핫', '자체', '젊음', '청춘', '낭만', '바다', '음악', '좋다', '분위기', '구간', '서핑', '전용', '해변', '스위밍', '해먹', '링존', '온전', '휴식', '있다', '공간', '구성', '피비', '국적', '렉스', '비치', '이자', '바이브', '넘치다', '짜릿하다', '자유', '만끽', '있다', '모두', '플레이', '라운드', '손색', '없다', '다양하다', '팝업', '이벤트']",Positive,0.961144745349884
서피비치,강원 양양군 현북면 하조대해안길 119,순간의 여유,양양에서 그야말로 핫한 곳 중 하나. 해수욕장 개장 직전인데도 제법 사람들이 많이 오네요. 수영복 차림으로 아무렇지도 않게 다니는 분위기라 시선처리가 약간 힘들 수도. 하지만 의외로 가족단위로도 많이 찾고 있고 아이들도 간간히 보이네요. 폭염일 때 햇빛을 피해 선셋바에서 음료 한 잔하면서 쉬기도 좋아요.,양양에서 그야말로 핫한 곳 중 하나. 해수욕장 개장 직전인데도 제법 사람들이 많이 오네요. 수영복 차림으로 아무렇지도 않게 다니는 분위기라 시선처리가 약간 힘들 수도. 하지만 의외로 가족단위로도 많이 찾고 있고 아이들도 간간히 보이네요. 폭염일 때 햇빛을 피해 선셋바에서 음료 한 잔하면서 쉬기도 좋아요.,"['양양', '하나', '해수욕장', '개장', '직전', '제법', '사람', '수영복', '차림', '아무렇다', '분위기', '시선', '처리', '약간', '힘들다', '수도', '가족', '위로', '있다', '아이', '폭염', '햇빛', '피해', '선셋바', '음료', '기도', '좋다']",Positive,0.9669206142425537
서피비치,강원 양양군 현북면 하조대해안길 119,나답게 0509,서핑을 처음해보는거라 첫 선택이 너무 중요했어요서피비치를 늘 사진만찍으러 갔었는데 이번연휴엔 서핑신청을 했는데 날씨도 바람도 너무 좋아서 첫서핑이 너무 만족스럽습니다! 딸과 아빠랑 신청했는데 정말 너무 신이나서 안 나오더라구요 머리긴 남자 선생님께서 눈높이에맞춰 잘 설명해주셔서 너무 좋았다고해요올여름은 서핑이라며 휴가때도 서피비치로 오자고하네요! 휴일에 시간될때 또 서핑하러올께요그때도 잘 부탁드립니다,서핑을 처음해보는거라 첫 선택이 너무 중요했어요서피비치를 늘 사진만찍으러 갔었는데 이번연휴엔 서핑신청을 했는데 날씨도 바람도 너무 좋아서 첫서핑이 너무 만족스럽습니다! 딸과 아빠랑 신청했는데 정말 너무 신이나서 안 나오더라구요 머리긴 남자 선생님께서 눈높이에맞춰 잘 설명해주셔서 너무 좋았다고해요올여름은 서핑이라며 휴가때도 서피비치로 오자고하네요! 휴일에 시간될때 또 서핑하러올께요그때도 잘 부탁드립니다,"['서핑', '처음', '선택', '중요하다', '피비', '사진', '이번', '연휴', '서핑', '신청', '날씨', '바람', '좋다', '서핑', '만족스럽다', '아빠', '신청', '정말', '이나', '머리', '남자', '선생님', '눈높이', '설명', '좋다', '고해', '올여름', '서핑', '라며', '휴가', '비치', '휴일', '시간', '서핑', '그때', '부탁드리다']",Positive,0.9702944755554199
서피비치,강원 양양군 현북면 하조대해안길 119,리엔75,매년여름가게되네요 너무좋아요합리적인가격과 편리한시설 친절한서비스올해도 너무 만족하고 왓어요 내년에 또 재방문의사있음다^^,매년여름가게되네요 너무좋아요합리적인가격과 편리한시설 친절한서비스올해도 너무 만족하고 왓어요 내년에 또 재방문의사있음다,"['매년', '여름', '가게', '좋다', '합리', '가격', '편리하다', '시설', '친절하다', '서비스', '올해', '만족하다', '왓어', '내년', '방문']",Positive,0.9742090106010437
서피비치,강원 양양군 현북면 하조대해안길 119,whv****,"오늘 서핑스쿨 우수 강습생 딩첨!! 진짜 돈 하나도 안 아까울 정도로 너무너무 재밌었어요. 100퍼센트! 바다가 무서웠던 분들도 재미있게 하고 갈 수 있고, 도파민이 넘치는 하루였어요. 추가로 액티비티 좋아하시면 무조건 추천입니다.","오늘 서핑스쿨 우수 강습생 딩첨!! 진짜 돈 하나도 안 아까울 정도로 너무너무 재밌었어요. 100퍼센트! 바다가 무서웠던 분들도 재미있게 하고 갈 수 있고, 도파민이 넘치는 하루였어요. 추가로 액티비티 좋아하시면 무조건 추천입니다.","['오늘', '서핑', '스쿨', '우수', '강습', '딩첨', '진짜', '하나', '아깝다', '정도', '재밌다', '퍼센트', '바다', '무섭다', '재미있다', '있다', '도파민', '넘치다', '하루', '추가', '티비', '좋아하다', '무조건', '추천', '이다']",Positive,0.9734196066856384
서피비치,강원 양양군 현북면 하조대해안길 119,디디네,저녁에 도착하자마자 본 풍경~~~역시 실망주지 않네요  3시간을 달려온 보람 있어요!!,저녁에 도착하자마자 본 풍경역시 실망주지 않네요 3시간을 달려온 보람 있어요!!,"['저녁', '도착', '자마자', '풍경', '역시', '실망', '주지', '보람', '있다']",Positive,0.9716910719871521
