store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
성산일출봉,제주 서귀포시 성산읍 성산리 1,금광회선창,"제주도의 명소 중 하나인 성산일출봉입니다~!올라가는게 쪼오금(?) 힘들지만, 올라갈만합니다 ^0^ ㅎㅎ","제주도의 명소 중 하나인 성산일출봉입니다!올라가는게 쪼오금? 힘들지만, 올라갈만합니다 0 ㅎㅎ","['제주도', '명소', '하나', '성산일출봉', '이다', '오금', '힘들다']",Positive,0.9718639850616455
성산일출봉,제주 서귀포시 성산읍 성산리 1,캠프왕 멕반장 맛집 여행기,🇨🇦 캐나다에서 🇰🇷한국여행온 친구와 함께 제주여행 성산일출봉 다녀옵니다. 너무 아름답기에 말료 표현 할 수 없네요제주여행 시작과 끝! 성산일출봉에서 아름다움을 담아갑니다!,캐나다에서 한국여행온 친구와 함께 제주여행 성산일출봉 다녀옵니다. 너무 아름답기에 말료 표현 할 수 없네요제주여행 시작과 끝! 성산일출봉에서 아름다움을 담아갑니다!,"['캐나다', '한국', '행온', '친구', '제주', '여행', '성산일출봉', '아름답다', '말료', '표현', '없다', '제주', '여행', '시작', '성산일출봉', '아름답다']",Positive,0.9717392325401306
성산일출봉,제주 서귀포시 성산읍 성산리 1,hoya39raye,밥먹고 올라가다 토함 빡시게 올라가다가 갑자기 정상이란다 아직 단풍 구경하려면 더 있어야 하나보다 외국인들도 많이 구경오신다,밥먹고 올라가다 토함 빡시게 올라가다가 갑자기 정상이란다 아직 단풍 구경하려면 더 있어야 하나보다 외국인들도 많이 구경오신다,"['토함', '갑자기', '정상', '단풍', '구경', '있다', '하나', '외국인', '구경오']",Negative,0.8107355833053589
성산일출봉,제주 서귀포시 성산읍 성산리 1,Angelinaw,"5천년의 역사, 신비로운 성산일출봉.나우다앱 무료입장.","5천년의 역사, 신비로운 성산일출봉.나우다앱 무료입장.","['역사', '신비롭다', '성산일출봉', '나우', '무료', '입장']",Positive,0.9539989233016968
성산일출봉,제주 서귀포시 성산읍 성산리 1,싱싱싱v,왜 일출봉이라고 하는지 제대로 알겠어요일출이 장관입니다,왜 일출봉이라고 하는지 제대로 알겠어요일출이 장관입니다,"['일출봉', '제대로', '일출', '장관', '이다']",Positive,0.8068490624427795
성산일출봉,제주 서귀포시 성산읍 성산리 1,eht509,#제주도 가을여행#성산일출봉#4번째 방문#정상까지 오른건 처음^^#올라와보길 잘했네요,제주도 가을여행성산일출봉4번째 방문정상까지 오른건 처음올라와보길 잘했네요,"['제주도', '가을', '여행', '성산일출봉', '방문', '정상', '처음']",Positive,0.7728800177574158
성산일출봉,제주 서귀포시 성산읍 성산리 1,주니핀,일출은 못 봤지만행복한 가족분들은 많이 봤어요~,일출은 못 봤지만행복한 가족분들은 많이 봤어요,"['일출', '행복하다', '가족']",Positive,0.9658954739570618
성산일출봉,제주 서귀포시 성산읍 성산리 1,jyh****,멋진 성산일출봉,멋진 성산일출봉,"['멋지다', '성산일출봉']",Positive,0.9688724279403687
성산일출봉,제주 서귀포시 성산읍 성산리 1,기치고99,일출을 보기위해 성산쪽에 숙소를 잡고 새벽에 성산일출봉까지 걸어갔어요 컴컴해서 계단오를때  핸드폰 라이트를키고 걸어야했고요  운동부족인 저는 한계단 한계단 힘들었고 중간 중간 쉬엄쉬엄 오르니  30분정도 걸린듯요  구름에 가려 멋진 일출은 보질 못했지만 정상 풍경은 장관이고 사람들도 꽤나  많았답니다   내려올때는 체감상 10분도 안걸린듯 싶어요,일출을 보기위해 성산쪽에 숙소를 잡고 새벽에 성산일출봉까지 걸어갔어요 컴컴해서 계단오를때 핸드폰 라이트를키고 걸어야했고요 운동부족인 저는 한계단 한계단 힘들었고 중간 중간 쉬엄쉬엄 오르니 30분정도 걸린듯요 구름에 가려 멋진 일출은 보질 못했지만 정상 풍경은 장관이고 사람들도 꽤나 많았답니다 내려올때는 체감상 10분도 안걸린듯 싶어요,"['일출', '보기', '위해', '성산', '숙소', '잡고', '새벽', '성산일출봉', '컴컴하다', '계단', '핸드폰', '라이트', '야하다', '운동', '부족', '계단', '계단', '힘들다', '중간', '중간', '쉬엄쉬엄', '구름', '멋지다', '일출', '정상', '풍경', '장관', '사람', '많다', '체감']",Positive,0.9396341443061829
성산일출봉,제주 서귀포시 성산읍 성산리 1,keemjena,계속 오르막이라서 처음엔 힘들지만 정상에 올라오면 힘든 거 다 사라지고 장관이 펼쳐집니다~! 지금 날씨에 다녀오기 너무 좋아요 뷰 맛집 🍊🍊🍊🏞️🏞️,계속 오르막이라서 처음엔 힘들지만 정상에 올라오면 힘든 거 다 사라지고 장관이 펼쳐집니다! 지금 날씨에 다녀오기 너무 좋아요 뷰 맛집,"['계속', '오르막', '처음', '힘들다', '정상', '힘드다', '장관', '지금', '날씨', '좋다', '맛집']",Positive,0.9703295826911926
