store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
성심당 본점,대전 중구 대종로480번길 15,l m y,말차튀소가 넘 먹구시픈데도룡동 성심당은 넘 빨리 품절되더라구요?오빠가 전화해보니도룡동보다 본점이 말차튀소를 더 많이 찍어낸다고해서 시간난 김에 본점으로 왔더니 말차튀소가 뙇 확실히 본점은 평일인데도사람이 진짜 너무 많아서빵고르는 시간보다 계산대 줄 서있는 시간이 더 걸렸지만뿌듯한 이 마음 ㅎㅎ기대만큼은 아니었지만부들부들 풍성한 크림에달콤쌉싸름한 맛이저는 냉장고에 넣어놨다 차갑게 먹으니 아이스크림같고훨씬 맛있더라구요기대만큼은 아니었지만특색있구 좋았어요. 저는 먹어본것에 의의를 두려구 합니다.말차튀소 먹어보고싶은 분들은시간대 잘 맞춰서본점으로 가시길..성심당 고객센터에 확인해본결과본점이 갯수를 더 많이 만든다구 하니방문하실분들은 참고하시길 바랍니다.,말차튀소가 넘 먹구시픈데도룡동 성심당은 넘 빨리 품절되더라구요?오빠가 전화해보니도룡동보다 본점이 말차튀소를 더 많이 찍어낸다고해서 시간난 김에 본점으로 왔더니 말차튀소가 뙇 확실히 본점은 평일인데도사람이 진짜 너무 많아서빵고르는 시간보다 계산대 줄 서있는 시간이 더 걸렸지만뿌듯한 이 마음 ㅎㅎ기대만큼은 아니었지만부들부들 풍성한 크림에달콤쌉싸름한 맛이저는 냉장고에 넣어놨다 차갑게 먹으니 아이스크림같고훨씬 맛있더라구요기대만큼은 아니었지만특색있구 좋았어요. 저는 먹어본것에 의의를 두려구 합니다.말차튀소 먹어보고싶은 분들은시간대 잘 맞춰서본점으로 가시길..성심당 고객센터에 확인해본결과본점이 갯수를 더 많이 만든다구 하니방문하실분들은 참고하시길 바랍니다.,"['말차', '소가', '픈데도룡', '성심당', '품절', '오빠', '전화', '룡동', '본점', '말차', '시간', '본점', '말차', '소가', '확실하다', '본점', '평일', '사람', '진짜', '많다', '시간', '계산', '시간', '뿌듯하다', '마음', '기대', '아니다', '부들부들', '성하다', '크림', '달콤', '쌉싸름하다', '냉장고', '차갑다', '아이스크림', '같다', '맛있다', '기대', '아니다', '특색', '있다', '좋다', '의의', '말차', '시간대', '본점', '성심당', '고객', '센터', '확인', '결과', '본점', '갯수', '하니', '방문', '참고']",Positive,0.9578418135643005
성심당 본점,대전 중구 대종로480번길 15,축다,대전에서의 3일 여행.!3일 동안 매일 왔습니다. 늦은 시간에 오니까빵이 없는 것이 있어서 아쉬웠거든요.마지막 날은 6시 20분 쯤 오니 거의 모든 빵이다 있었기에 선택의 폭이 넓었습니다.이전에 먹어보았던 시그니처 메뉴들은 패스하고안 먹어 본 빵 위주로 3일간 빵을 골라 먹었습니다.저는 치아바타를 좋아하는 데 깔끔하게 맛있어요.고소하고 겉바속쫀이었어요.크기도 상당하였는데 가격 또한 좋아서대만족하였습니다.3일간 성심당 빵 순례를 잘 즐겼습니다.,대전에서의 3일 여행.!3일 동안 매일 왔습니다. 늦은 시간에 오니까빵이 없는 것이 있어서 아쉬웠거든요.마지막 날은 6시 20분 쯤 오니 거의 모든 빵이다 있었기에 선택의 폭이 넓었습니다.이전에 먹어보았던 시그니처 메뉴들은 패스하고안 먹어 본 빵 위주로 3일간 빵을 골라 먹었습니다.저는 치아바타를 좋아하는 데 깔끔하게 맛있어요.고소하고 겉바속쫀이었어요.크기도 상당하였는데 가격 또한 좋아서대만족하였습니다.3일간 성심당 빵 순례를 잘 즐겼습니다.,"['대전', '여행', '동안', '매일', '시간', '없다', '있다', '아쉽다', '마지막', '오니', '거의', '모든', '있다', '선택', '넓다', '이전', '메뉴', '패스', '위주', '치아바타', '좋아하다', '깔끔하다', '맛있다', '고소하다', '겉바', '크기', '상당하다', '가격', '또한', '좋다', '만족하다', '성심당', '순례']",Positive,0.9672640562057495
성심당 본점,대전 중구 대종로480번길 15,홍탐정 먹탐방,"월요일인데도 점심 12시에 방문하니 웨이팅이 30분이 넘더라고요😭저는 성심당 본점 지하 샌드위치정거장 먼저 방문했어요🙏🏻입구가 다르고 웨이팅도 별도라서 케익부띠끄, 본점, 샌드위치정거장 중 웨이팅 없는 순서대로 방문하는 것도 전략이에요‼️성심당에서 만든 샌드위치 전문매장답게 직원분들 손놀림이 장난 아니시더라고요🔥✔️반미샌드위치(6.7) ✔️애플바질잠봉(9.0) ✔️왕관샌드위치(10.0) 다른 샌드위치집 가면 만오천원 넘는 제품들이 재료도 푸짐하고 신선한데 가성비 대박이에요👍🏻성심당 본점은 요즘 핫한 신메뉴 ✔️말차튀소(3.0)부터 ✔️후렌치파이(2.0) ✔️튀김소보로(1.7) ✔️크림치즈화이트번(3.3)까지 베스트 메뉴는 다 있었어요😄지정주차장 가시면 무료주차도 지원가능하고, 온누리상품권 결제 가능해요🩷","월요일인데도 점심 12시에 방문하니 웨이팅이 30분이 넘더라고요저는 성심당 본점 지하 샌드위치정거장 먼저 방문했어요입구가 다르고 웨이팅도 별도라서 케익부띠끄, 본점, 샌드위치정거장 중 웨이팅 없는 순서대로 방문하는 것도 전략이에요성심당에서 만든 샌드위치 전문매장답게 직원분들 손놀림이 장난 아니시더라고요반미샌드위치6.7 애플바질잠봉9.0 왕관샌드위치10.0 다른 샌드위치집 가면 만오천원 넘는 제품들이 재료도 푸짐하고 신선한데 가성비 대박이에요성심당 본점은 요즘 핫한 신메뉴 말차튀소3.0부터 후렌치파이2.0 튀김소보로1.7 크림치즈화이트번3.3까지 베스트 메뉴는 다 있었어요지정주차장 가시면 무료주차도 지원가능하고, 온누리상품권 결제 가능해요","['월요일', '점심', '방문', '웨이팅', '성심당', '본점', '지하', '샌드위치', '정거장', '먼저', '방문', '입구', '다르다', '웨이팅', '별도', '케익', '부띠', '본점', '샌드위치', '정거장', '웨이', '없다', '순서대로', '방문', '전략', '성심당', '샌드위치', '매장', '직원', '놀림', '장난', '아니다', '반미', '샌드위치', '애플', '바질', '잠봉', '왕관', '샌드위치', '다른', '샌드위치', '가면', '만오천원', '제품', '재료', '신선하다', '가성', '대박', '성심당', '본점', '요즘', '메뉴', '말차', '부터', '후렌치', '파이', '튀김', '소보', '크림', '치즈', '화이트', '베스트', '메뉴', '있다', '지정', '주차장', '가시', '무료', '주차', '지원', '가능하다', '온누리상품권', '결제', '가능하다']",Positive,0.9329239726066589
성심당 본점,대전 중구 대종로480번길 15,MoonShot9,"퇴근길 성심당 잠봉뵈르가 생각나면 슥 들러서 트레이에 샌드위치 하나 무심히 툭 담아 올 수 있는 대전러의 삶😎 가성비 최고 잠봉뵈르 맛나게 잘 먹었습니다! 평일 애매한 오후 시간대에는 줄 거의 없어서 편하게 이용 가능해요. 요즘 핫한 말차튀소!! 쓸어가시는 분들이 있는지 1인 6개 한정이라네요. 트렌드를 따라가면서도 맛과 전통을 잊지 않는 성심당! 🍞 🥯 🥐 🥖 맛깔난 빵들 너무 많고 대부분 하나씩 맛 본 적 있다는게 대전사람으로서 자부심 입니다ㅎㅎ 새로운 메뉴를 계속 개발해 내면서 기존 메뉴의 품질도 이어가고, 풍성하고 푸짐하고 맛있는 빵으로 많은 사람을 행복하게 해주는 성심당! 잘 되는 이유가 있어요😃","퇴근길 성심당 잠봉뵈르가 생각나면 슥 들러서 트레이에 샌드위치 하나 무심히 툭 담아 올 수 있는 대전러의 삶 가성비 최고 잠봉뵈르 맛나게 잘 먹었습니다! 평일 애매한 오후 시간대에는 줄 거의 없어서 편하게 이용 가능해요. 요즘 핫한 말차튀소!! 쓸어가시는 분들이 있는지 1인 6개 한정이라네요. 트렌드를 따라가면서도 맛과 전통을 잊지 않는 성심당! 맛깔난 빵들 너무 많고 대부분 하나씩 맛 본 적 있다는게 대전사람으로서 자부심 입니다ㅎㅎ 새로운 메뉴를 계속 개발해 내면서 기존 메뉴의 품질도 이어가고, 풍성하고 푸짐하고 맛있는 빵으로 많은 사람을 행복하게 해주는 성심당! 잘 되는 이유가 있어요","['퇴근길', '성심당', '잠봉뵈르', '트레이', '샌드위치', '하나', '무심하다', '있다', '가성', '최고', '잠봉뵈르', '평일', '애매하다', '오후', '시간대', '거의', '없다', '편하다', '이용', '가능하다', '요즘', '말차', '있다', '정이', '트렌드', '전통', '성심당', '맛깔나다', '많다', '대부분', '하나', '있다', '사람', '자부심', '이다', '새롭다', '메뉴', '계속', '개발', '내면', '기존', '메뉴', '품질', '어가', '성하다', '맛있다', '많다', '사람', '행복하다', '성심당', '이유', '있다']",Positive,0.9717479348182678
성심당 본점,대전 중구 대종로480번길 15,핫도그퍼먹이,"성심당 45주년 기념으로 출시한 말차 튀소 3,000원1인 5개 한정 구매 가능기본 튀김소보로 맛에 말차 크림이 가득해요. 겉에 말차 가루 있어서 완전 향긋함성심당 빵은 맛도 있고 가격도 착해서 좋아요평일에 오니까 한산해서 좋네요","성심당 45주년 기념으로 출시한 말차 튀소 3,000원1인 5개 한정 구매 가능기본 튀김소보로 맛에 말차 크림이 가득해요. 겉에 말차 가루 있어서 완전 향긋함성심당 빵은 맛도 있고 가격도 착해서 좋아요평일에 오니까 한산해서 좋네요","['성심당', '주년', '기념', '출시', '말차', '한정', '구매', '가능', '기본', '튀김', '소보', '말차', '크림', '가득하다', '말차', '가루', '있다', '완전', '성심당', '있다', '가격', '착하다', '좋다', '평일', '한산하다', '좋다']",Positive,0.9607162475585938
성심당 본점,대전 중구 대종로480번길 15,열정소녀15,토요일 오전 10시 성심당 방문후기녹차튀소 사러 방문했는데케익부띠끄 100여명 대기/본점은 줄이 너무너무너무 길~~~~어~~~포기하고 샌드위치 정거장으로 입장. 샌드위치 정거장은 기다림없이 입장했음루콜라샌드위치/매콤치킨포차카 (각각 5000원씩)사서 성심 문화원으로 이동. 거기도 사람많아 야외테이블에서 냠냠. 성심이 사진 찍고 튀소45주년 기념티셔츠 구입해서 집으로..성심당 샌드위치 강추♡맛♡  착한가격♡  비주얼♡ 기다림no***디지털온누리 상품권 사용하면 10~15%할인 효과***#성심당 # 성심당샌드워치정거장 #대전빵투어#튀소탄생45주년티셔츠#대전여행,토요일 오전 10시 성심당 방문후기녹차튀소 사러 방문했는데케익부띠끄 100여명 대기본점은 줄이 너무너무너무 길어포기하고 샌드위치 정거장으로 입장. 샌드위치 정거장은 기다림없이 입장했음루콜라샌드위치매콤치킨포차카 각각 5000원씩사서 성심 문화원으로 이동. 거기도 사람많아 야외테이블에서 냠냠. 성심이 사진 찍고 튀소45주년 기념티셔츠 구입해서 집으로..성심당 샌드위치 강추맛 착한가격 비주얼 기다림no디지털온누리 상품권 사용하면 1015할인 효과성심당 성심당샌드워치정거장 대전빵투어튀소탄생45주년티셔츠대전여행,"['토요일', '오전', '성심당', '방문', '후기', '녹차', '방문', '케익', '부띠', '여명', '본점', '길다', '포기', '샌드위치', '정거장', '입장', '샌드위치', '정거장', '기다림', '입장', '콜라', '샌드위치', '매콤', '치킨', '포차', '각각', '성심', '문화원', '이동', '거기', '사람', '많다', '야외', '테이블', '성심', '사진', '주년', '기념', '티셔츠', '구입', '성심당', '샌드위치', '강추맛', '착하다', '가격', '비주', '기다림', '디지털', '온누리', '상품권', '사용', '할인', '효과', '성심당', '성심당', '샌드', '워치', '정거장', '투어', '탄생', '주년', '티셔츠', '대전', '여행']",Positive,0.8193747401237488
성심당 본점,대전 중구 대종로480번길 15,영수증빌런,간만에 성심당 가서 빵으로 힐링 ❤️성심당 꿀팁평일 오전 8시 오픈 하며오전 9시 이전에웨이팅 없이 바로 입장 가능!서울 부산 새벽 첫차로 출발하여도착하자마자 대전역에서 성심당 가면 됨두번째 팁!웨이팅이 부담 된다면대전역점과 DCC점도 있는데DCC점도 추천!물론 거기도 웨이팅 있음 😆❤️영수증빌런의 개인 원픽 맛돌이 추천!❤️명란 바게트튀김 소보로 좋지만성심당 야채고로케 정말 맛돌이빵 얇은데 소는 꽉꽉…이것이 진짜 고 로 케!그리고 사람들이 본점바로 아래있는샌드위치 정거장 잘 모르는데성심당 샌드위치도 숨겨진 맛도리!꼭 드셔보세요웨이팅 못하겠다?샌드위치 추천 👍함 드셔봐유드루와 드루와 ❤️,간만에 성심당 가서 빵으로 힐링 성심당 꿀팁평일 오전 8시 오픈 하며오전 9시 이전에웨이팅 없이 바로 입장 가능!서울 부산 새벽 첫차로 출발하여도착하자마자 대전역에서 성심당 가면 됨두번째 팁!웨이팅이 부담 된다면대전역점과 DCC점도 있는데DCC점도 추천!물론 거기도 웨이팅 있음 영수증빌런의 개인 원픽 맛돌이 추천!명란 바게트튀김 소보로 좋지만성심당 야채고로케 정말 맛돌이빵 얇은데 소는 꽉꽉이것이 진짜 고 로 케!그리고 사람들이 본점바로 아래있는샌드위치 정거장 잘 모르는데성심당 샌드위치도 숨겨진 맛도리!꼭 드셔보세요웨이팅 못하겠다?샌드위치 추천 함 드셔봐유드루와 드루와,"['간만', '성심당', '힐링', '성심당', '꿀팁', '평일', '오전', '오픈', '이전', '웨이', '바로', '입장', '가능', '서울', '부산', '새벽', '차로', '출발', '착하다', '전역', '성심당', '가면', '두번째', '웨이팅', '부담', '대전', '역점', '점도', '있다', '점도', '추천', '거기', '웨이', '있다', '영수증', '빌런', '개인', '원픽', '돌이', '추천', '명란', '바게트', '튀김', '소보', '좋다', '성심당', '야채', '고로케', '정말', '돌이', '얇다', '진짜', '사람', '본점', '바로', '아래', '있다', '샌드위치', '정거장', '성심당', '샌드위치', '도리', '웨이', '샌드위치', '추천', '드루', '드루']",Positive,0.9073609113693237
성심당 본점,대전 중구 대종로480번길 15,모나코55,"월요일 오후 1시쯤에 가니 줄이 그리 길지않고, 금세 살 수 있었습니다. 선물로도 좋은 튀소세트와 파이와 소금빵, 작은 메아리 등을 샀습니다.입장 줄은 순서대로고, 입장 후 고르는 건 줄 없으므로 빠르게 다니며 사고 계산대도 한 곳이 아니므로 잘 선택해 계산하면 빠릅니다.","월요일 오후 1시쯤에 가니 줄이 그리 길지않고, 금세 살 수 있었습니다. 선물로도 좋은 튀소세트와 파이와 소금빵, 작은 메아리 등을 샀습니다.입장 줄은 순서대로고, 입장 후 고르는 건 줄 없으므로 빠르게 다니며 사고 계산대도 한 곳이 아니므로 잘 선택해 계산하면 빠릅니다.","['월요일', '오후', '길다', '금세', '있다', '선물', '좋다', '세트', '파이', '소금', '작다', '메아리', '입장', '순서대로', '입장', '없다', '빠르다', '사고', '계산', '대도', '아니다', '선택', '계산', '빠르다']",Positive,0.9513324499130249
성심당 본점,대전 중구 대종로480번길 15,축다,"오랜만에 온 성심당.!시간이 흐름에 따라 빵의 성지로 변해가네요.예전에 이곳에서 대학 다니던 시절에는 줄은 안 섰었는데.!칼국수만 유명하던 대전이 이제 빵의 성지가 되었네요.대전역에서 내려 광장으로 나오는 길에 거짓말 없이성심당 포장을 든 사람이 50%는 넘는 것 같아요.저도 오늘 대전에 온 김에 방문하게 되었는데 9시가 지난 시간에도아직 많은 빵 러버분들이 많이 계셨습니다.다소 매장 안은 혼잡스러워서 과감하게 빵을 고르지 못 한다면빵 고르는데 시간이 많이 소비될 수 있다고 생각이 듭니다.고소한 빵의 향에 후각은 취하고, 눈은 빵을 스캔하기 바쁩니다.그렇게 평소에 좋아라하는 빵 두 개를 구매 후가져와서 맛을보니 고소하니 맛이 좋네요.그리고 가격 또한 매우 만족입니다. 잘 먹었습니다.","오랜만에 온 성심당.!시간이 흐름에 따라 빵의 성지로 변해가네요.예전에 이곳에서 대학 다니던 시절에는 줄은 안 섰었는데.!칼국수만 유명하던 대전이 이제 빵의 성지가 되었네요.대전역에서 내려 광장으로 나오는 길에 거짓말 없이성심당 포장을 든 사람이 50는 넘는 것 같아요.저도 오늘 대전에 온 김에 방문하게 되었는데 9시가 지난 시간에도아직 많은 빵 러버분들이 많이 계셨습니다.다소 매장 안은 혼잡스러워서 과감하게 빵을 고르지 못 한다면빵 고르는데 시간이 많이 소비될 수 있다고 생각이 듭니다.고소한 빵의 향에 후각은 취하고, 눈은 빵을 스캔하기 바쁩니다.그렇게 평소에 좋아라하는 빵 두 개를 구매 후가져와서 맛을보니 고소하니 맛이 좋네요.그리고 가격 또한 매우 만족입니다. 잘 먹었습니다.","['성심당', '시간', '흐름', '성지', '변하다', '예전', '대학', '시절', '칼국수', '유명하다', '대전', '이제', '성지', '전역', '광장', '거짓말', '성심당', '포장', '사람', '같다', '오늘', '대전', '방문', '지난', '시간', '많다', '러버', '계시다', '다소', '매장', '혼잡', '스럽다', '과감', '시간', '소비', '있다', '생각', '듭니', '고소하다', '후각', '취하', '스캔', '바쁘다', '평소', '좋다', '아라하', '구매', '고소하다', '좋다', '가격', '또한', '매우', '만족', '이다']",Positive,0.961377739906311
성심당 본점,대전 중구 대종로480번길 15,대박이713,"(내💰내💳🧾)세번째 방문했을때는 줄이너~~~~~~~~무길어 패스평일인데도 웨이팅작렬🤣🤣🤣(이정도면 건물몇개사서넓히는게 낫지싶네요🤣🤣🤣🤣성심당 골목거리로 만드시는게~)성심당 회장님?관계자분들께성심당 골목거리 만들어주세요~웨이팅 않하구편하게 빵 살수있게요👏👏👏케익줄도 어마무시줄슨게 아까워서잔뜩사왔더니 2틀동안🍞🥐🥖🫓🥨🥯🥞🧇🥪🌮🫔🥙만묵었네요🤣🤣🤣가격은저렴하구요.옛날보다 빵이 맛있어진거같아요(개취)튀소구마는 달고 노맛(개취)다른빵들은 다 맛있었네요,샌드위치매장을 따로있어서거기만 줄않스고 구매가능~웨이팅 없음또가고싶은곳~","내내세번째 방문했을때는 줄이너무길어 패스평일인데도 웨이팅작렬이정도면 건물몇개사서넓히는게 낫지싶네요성심당 골목거리로 만드시는게성심당 회장님?관계자분들께성심당 골목거리 만들어주세요웨이팅 않하구편하게 빵 살수있게요케익줄도 어마무시줄슨게 아까워서잔뜩사왔더니 2틀동안만묵었네요가격은저렴하구요.옛날보다 빵이 맛있어진거같아요개취튀소구마는 달고 노맛개취다른빵들은 다 맛있었네요,샌드위치매장을 따로있어서거기만 줄않스고 구매가능웨이팅 없음또가고싶은곳","['내세', '방문', '길다', '패스', '평일', '웨이', '작렬', '정도', '건물', '개사', '성심당', '골목', '거리', '성심당', '회장', '관계자', '성심당', '골목', '거리', '웨이', '편하다', '케익', '어마', '아깝다', '잔뜩', '동안', '가격', '저렴하다', '옛날', '맛있다', '같다', '개취', '구마', '노맛', '개취', '맛있다', '샌드위치', '매장', '있다', '거기', '줄않스', '구매', '가능', '웨이', '없다']",Positive,0.5973036885261536
