store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
소래포구종합어시장,인천 남동구 소래역로 12,Really07,소래포구 주차비 너무 비싸요ㅠㅠ,소래포구 주차비 너무 비싸요ㅠㅠ,"['소래포구', '차비', '비싸다']",Negative,0.945816695690155
소래포구종합어시장,인천 남동구 소래역로 12,혼자야 어 아직 싱글이야,40만원을 써도 주차비는 나와요 ㅋ,40만원을 써도 주차비는 나와요 ㅋ,['차비'],Negative,0.6027663946151733
소래포구종합어시장,인천 남동구 소래역로 12,나4036,주차비 아까워요이용을 건물에서 다했는데...잉,주차비 아까워요이용을 건물에서 다했는데...잉,"['차비', '아깝다', '이용', '건물']",Negative,0.8365873098373413
소래포구종합어시장,인천 남동구 소래역로 12,esperansa33,식사 안하거나 물건 안사면 주차요금이 비싸용새우먹고 꽃게사고 2시간 주차할인 받았습니다~식사하시거나 물건 구매하시면 바드시 주차바코드 챙기세요!,식사 안하거나 물건 안사면 주차요금이 비싸용새우먹고 꽃게사고 2시간 주차할인 받았습니다식사하시거나 물건 구매하시면 바드시 주차바코드 챙기세요!,"['식사', '물건', '안사면', '주차', '요금', '비싸다', '새우', '꽃게', '사고', '주차', '할인', '식사', '물건', '구매', '주차', '바코드']",Negative,0.5141565799713135
소래포구종합어시장,인천 남동구 소래역로 12,뚠뚜니98,주차장 좁고 습함. 별로임,주차장 좁고 습함. 별로임,"['주차장', '좁다', '습하다', '별로']",Negative,0.9654272794723511
소래포구종합어시장,인천 남동구 소래역로 12,gol****,굿,굿,[],Positive,0.9277362823486328
소래포구종합어시장,인천 남동구 소래역로 12,쑴쑤밍,굿,굿,[],Positive,0.9277362823486328
소래포구종합어시장,인천 남동구 소래역로 12,브레드님,여기말고 공영주차장 좋아요.공영주차장이 더 쌉니다.,여기말고 공영주차장 좋아요.공영주차장이 더 쌉니다.,"['여기', '공영', '주차장', '좋다', '주차']",Positive,0.6480441689491272
소래포구종합어시장,인천 남동구 소래역로 12,샴푸의  요정,굿,굿,[],Positive,0.9277362823486328
소래포구종합어시장,인천 남동구 소래역로 12,달코마니,2시간 조금 아쉽다,2시간 조금 아쉽다,"['조금', '아쉽다']",Negative,0.788017213344574
소래포구종합어시장,인천 남동구 소래역로 12,kkang2334,조개구이집 방문,조개구이집 방문,"['조개', '이집', '방문']",Negative,0.9189780354499817
소래포구종합어시장,인천 남동구 소래역로 12,kb****,조아요,조아요,['좋다'],Positive,0.9475513100624084
소래포구종합어시장,인천 남동구 소래역로 12,수락산마녀,비싸요,비싸요,['비싸다'],Negative,0.9579653143882751
소래포구종합어시장,인천 남동구 소래역로 12,Hkln,좋습니다.,좋습니다.,['좋다'],Positive,0.9694398045539856
소래포구종합어시장,인천 남동구 소래역로 12,하하2121님,키오스크 결재라 편함. 근데 어르신들은 바코드 영수증 사용법 익숙지 않아서 어려워 하심,키오스크 결재라 편함. 근데 어르신들은 바코드 영수증 사용법 익숙지 않아서 어려워 하심,"['오스', '결재', '편하다', '어르신', '바코드', '영수증', '용법', '익숙', '어렵다']",Negative,0.7349192500114441
소래포구종합어시장,인천 남동구 소래역로 12,tim****,굿,굿,[],Positive,0.9277362823486328
소래포구종합어시장,인천 남동구 소래역로 12,븅화,"2시간 주차 무료, 그 후 추가요금 2,000원!","2시간 주차 무료, 그 후 추가요금 2,000원!","['주차', '무료', '추가', '요금']",Negative,0.8854418396949768
소래포구종합어시장,인천 남동구 소래역로 12,빛날79,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
소래포구종합어시장,인천 남동구 소래역로 12,jae****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
소래포구종합어시장,인천 남동구 소래역로 12,greenann,소래자주 방문합니다언론에서 바가지라 기사 많이 나지만10년 넘게 방문하면서 그런거 느낀적 한번도 없어요젤라또아이스크림도 너무 맛있어요광장쪽 아이스크림집 파라솔들 있을때가 분위기가 더 좋았던거 같네요~ 서울 가까이 이런곳이 있어서 너무 좋아요~ 소래 계속 방문할거예요🎆🎇🎊,소래자주 방문합니다언론에서 바가지라 기사 많이 나지만10년 넘게 방문하면서 그런거 느낀적 한번도 없어요젤라또아이스크림도 너무 맛있어요광장쪽 아이스크림집 파라솔들 있을때가 분위기가 더 좋았던거 같네요 서울 가까이 이런곳이 있어서 너무 좋아요 소래 계속 방문할거예요,"['소래', '자주', '방문', '언론', '바가지', '기사', '방문', '그렇다', '한번', '없다', '젤라또', '아이스크림', '맛있다', '광장', '아이스크림', '파라솔', '있다', '분위기', '좋다', '같다', '서울', '가까이', '있다', '좋다', '소래', '계속', '방문']",Positive,0.9729255437850952
소래포구종합어시장,인천 남동구 소래역로 12,푸아미,"가게 깔끔하고 넓었어요해물짬뽕라면 시켰는데 양은 국물까지 푸짐한데요그냥 한강물이었어요, 저정도 물에 그냥 라면하나와 해물 넣어주신 맛..만원 입니다. 서빙해주시는 분께 얘기드렸고 어차피 기분 망칠 생각은 없고 알고는 계시라고 저희는 그냥 먹겠다 말씀드렸는데 서빙하시는 분이 사장님께 말하고 꿈쩍하지 않으셔서인지 저희 보고 민망해하시고 난처해하시는 제스처를 보이셔서 괜히 미안하더라고요 서빙해주시는 분만 저희 한번씩 보고 다른데 서빙 갈 때마다 난처해하셨고 사장님이신지 계산하러나 와서야  뭐가 싱거웠냐고 직원 분에 대한(?) 이상한 표현을 하셔서 그냥 나왔습니다 ㅎㅎ","가게 깔끔하고 넓었어요해물짬뽕라면 시켰는데 양은 국물까지 푸짐한데요그냥 한강물이었어요, 저정도 물에 그냥 라면하나와 해물 넣어주신 맛..만원 입니다. 서빙해주시는 분께 얘기드렸고 어차피 기분 망칠 생각은 없고 알고는 계시라고 저희는 그냥 먹겠다 말씀드렸는데 서빙하시는 분이 사장님께 말하고 꿈쩍하지 않으셔서인지 저희 보고 민망해하시고 난처해하시는 제스처를 보이셔서 괜히 미안하더라고요 서빙해주시는 분만 저희 한번씩 보고 다른데 서빙 갈 때마다 난처해하셨고 사장님이신지 계산하러나 와서야 뭐가 싱거웠냐고 직원 분에 대한? 이상한 표현을 하셔서 그냥 나왔습니다 ㅎㅎ","['가게', '깔끔하다', '넓다', '해물짬뽕', '라면', '양은', '국물', '그냥', '강물', '정도', '그냥', '라면', '하나', '해물', '만원', '이다', '서빙', '얘기', '어차피', '기분', '생각', '없다', '계시', '저희', '그냥', '서빙', '사장', '꿈쩍', '인지', '저희', '보고', '민망하다', '난처하다', '제스처', '미안하다', '서빙', '분만', '저희', '한번', '보고', '다르다', '서빙', '난처하다', '사장', '신지', '계산', '싱겁다', '직원', '대한', '이상하다', '표현', '그냥']",Negative,0.5942333340644836
소래포구종합어시장,인천 남동구 소래역로 12,WELCOME,주차장 넓어서 굿,주차장 넓어서 굿,"['주차장', '넓다']",Positive,0.9274992942810059
소래포구종합어시장,인천 남동구 소래역로 12,달콤한 꿀이,편리해요,편리해요,['편리하다'],Positive,0.9695680737495422
소래포구종합어시장,인천 남동구 소래역로 12,jmh****,주차비 비쌈,주차비 비쌈,"['차비', '비싸다']",Negative,0.9525673389434814
소래포구종합어시장,인천 남동구 소래역로 12,쑥8087,⭐⭐,,[],Neutral,0.0
소래포구종합어시장,인천 남동구 소래역로 12,리아17,친절해요,친절해요,['친절하다'],Positive,0.9661136269569397
소래포구종합어시장,인천 남동구 소래역로 12,꽃 Jin,오랜만에 조개구이가 먹고싶어서 정말 원없이 맛나게 먹었네요 싱싱하고 탱글하니 맛났답니다,오랜만에 조개구이가 먹고싶어서 정말 원없이 맛나게 먹었네요 싱싱하고 탱글하니 맛났답니다,"['개구', '정말', '싱싱하다']",Positive,0.9714016318321228
소래포구종합어시장,인천 남동구 소래역로 12,시리21,ㅎㅎㅎ,ㅎㅎㅎ,[],Positive,0.9497714042663574
소래포구종합어시장,인천 남동구 소래역로 12,amk****,조개구이먹구싶어 친정맘모시고갔는데 코스요리가 엉망이네요  조개는 빈껍질이많고 서빙하시는 직원 아주머니는 불친절하고 답이없으시네요 배가많이고파먹긴했지만 다시는 가고싶지안네요   바가지요금 넘심한거같아 기분이 썩 좋지안네요  그런식으로 해서는 안돼지안나요  양심있는 가격과 서비스가 발전되기를 바랍니다,조개구이먹구싶어 친정맘모시고갔는데 코스요리가 엉망이네요 조개는 빈껍질이많고 서빙하시는 직원 아주머니는 불친절하고 답이없으시네요 배가많이고파먹긴했지만 다시는 가고싶지안네요 바가지요금 넘심한거같아 기분이 썩 좋지안네요 그런식으로 해서는 안돼지안나요 양심있는 가격과 서비스가 발전되기를 바랍니다,"['개구', '친정', '모시', '코스', '요리', '엉망', '조개', '껍질', '많다', '서빙', '직원', '아주머니', '불친절하다', '없다', '많다', '바가지요금', '심하다', '같다', '기분', '좋다', '양심', '있다', '가격', '서비스', '발전']",Negative,0.9448246955871582
소래포구종합어시장,인천 남동구 소래역로 12,미똥이짱,좋아요!!!,좋아요!!!,['좋다'],Positive,0.960344135761261
소래포구종합어시장,인천 남동구 소래역로 12,심수민59,오늘 두번이나 들른곳입니다!1층 360호 서산집 앞 입니당서산집과 연결되어있고 여사장님이 너무 친절하세요🩷새우랑 꽃게찜 회까지 다 먹어봤는데요 수율이 진짜 짱짱하고 가격도 적당해서 전 여기 추천드립니다!,오늘 두번이나 들른곳입니다!1층 360호 서산집 앞 입니당서산집과 연결되어있고 여사장님이 너무 친절하세요새우랑 꽃게찜 회까지 다 먹어봤는데요 수율이 진짜 짱짱하고 가격도 적당해서 전 여기 추천드립니다!,"['오늘', '이다', '서산', '이다', '서산', '연결', '사장', '친절하다', '새우', '꽃게', '진짜', '짱짱하다', '가격', '적당하다', '여기', '추천']",Positive,0.9699212312698364
소래포구종합어시장,인천 남동구 소래역로 12,호식이62,괜찮았어요,괜찮았어요,['괜찮다'],Positive,0.9702643752098083
