store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
소쇄원,전남 담양군 가사문학면 소쇄원길 17,nagus9,규모가 크진 않지만 자연에서 힐링 제대로 할 수 있었어요정자에 앉아 풍경을 바라보고 바람을 느끼니 시간 가는 줄 몰랐어요날 좋은 날에는 사진도 정말 잘 나오고 멋있어요오히려 많이 안 돌아다녀도 돼서 부담도 적고 좋았어요,규모가 크진 않지만 자연에서 힐링 제대로 할 수 있었어요정자에 앉아 풍경을 바라보고 바람을 느끼니 시간 가는 줄 몰랐어요날 좋은 날에는 사진도 정말 잘 나오고 멋있어요오히려 많이 안 돌아다녀도 돼서 부담도 적고 좋았어요,"['규모', '자연', '힐링', '제대로', '있다', '정자', '풍경', '바람', '시간', '좋다', '사진', '정말', '멋있다', '오히려', '부담', '좋다']",Positive,0.971255362033844
소쇄원,전남 담양군 가사문학면 소쇄원길 17,스페셜소소,"갑자기 가게 된 담양여행. 15여년만에 간 소쇄원, 고즈넉하고 푸릇푸릇하며 시원스러운 물소리가 여전히 편안함을 안겨주네요. '소쇄, 소쇄, 소쇄' 소리가 힘차게 흐르는 물소리와 닮아 더 마음에 안정감이 느껴지는 곳. 푸른 대나무숲에 힐링이 되는 곳입니다. 관광지에 흔히 보이는 눈쌀찌푸려지는 인공 조형물 하나 없이 자연그대로, 또 옛 모습 그대로의 건축물(정자)이 보존되고 지켜지는 곳이라 개인적으로는 더욱 호감이었어요!^^ 비오는 연휴라 그나마 방문객이 적어 주차하기도 편리했어요~","갑자기 가게 된 담양여행. 15여년만에 간 소쇄원, 고즈넉하고 푸릇푸릇하며 시원스러운 물소리가 여전히 편안함을 안겨주네요. 소쇄, 소쇄, 소쇄 소리가 힘차게 흐르는 물소리와 닮아 더 마음에 안정감이 느껴지는 곳. 푸른 대나무숲에 힐링이 되는 곳입니다. 관광지에 흔히 보이는 눈쌀찌푸려지는 인공 조형물 하나 없이 자연그대로, 또 옛 모습 그대로의 건축물정자이 보존되고 지켜지는 곳이라 개인적으로는 더욱 호감이었어요! 비오는 연휴라 그나마 방문객이 적어 주차하기도 편리했어요","['갑자기', '가게', '담양', '여행', '소쇄원', '푸릇푸릇하', '시원스럽다', '물소', '리가', '여전하다', '편안함', '소쇄', '소쇄', '소쇄', '소리', '힘차다', '소리', '마음', '안정감', '푸른', '나무숲', '힐링', '이다', '관광지', '흔하다', '눈쌀', '인공', '조형', '하나', '자연', '그대로', '모습', '그대로', '건축물', '정자', '보존', '개인', '더욱', '호감', '연휴', '방문객', '주차', '편리하다']",Positive,0.9701182842254639
소쇄원,전남 담양군 가사문학면 소쇄원길 17,hdgood,"담양 소쇄원은 자연과 조화된 한국 전통 정원의 아름다움을 느낄 수 있는 곳이에요. 푸른 대숲 사이로 흐르는 물소리와 고즈넉한 정자들이 어우러져 마음이 절로 평온해집니다. 조선 선비들의 멋과 사유가 깃든 공간이라 산책만으로도 힐링이 돼요. 계절마다 다른 풍경이 매력적인, 꼭 한 번은 방문해야 할 명소입니다.","담양 소쇄원은 자연과 조화된 한국 전통 정원의 아름다움을 느낄 수 있는 곳이에요. 푸른 대숲 사이로 흐르는 물소리와 고즈넉한 정자들이 어우러져 마음이 절로 평온해집니다. 조선 선비들의 멋과 사유가 깃든 공간이라 산책만으로도 힐링이 돼요. 계절마다 다른 풍경이 매력적인, 꼭 한 번은 방문해야 할 명소입니다.","['담양', '소쇄원', '자연', '조화', '한국', '전통', '정원', '아름답다', '있다', '푸른', '대숲', '사이', '소리', '정자', '마음', '절로', '평온하다', '조선', '선비', '사유', '공간', '산책', '힐링', '계절', '다른', '풍경', '매력', '번은', '방문', '명소', '이다']",Positive,0.9731361865997314
소쇄원,전남 담양군 가사문학면 소쇄원길 17,맛있는솜사탕탕,물도 흐르고 간단히 산책하기 좋은곳 입니다 그렇게 볼건 없어도 고즈넉하니 한적이 좋습니다!,물도 흐르고 간단히 산책하기 좋은곳 입니다 그렇게 볼건 없어도 고즈넉하니 한적이 좋습니다!,"['간단하다', '산책', '좋다', '이다', '없다', '하니', '한적', '좋다']",Positive,0.9716928601264954
소쇄원,전남 담양군 가사문학면 소쇄원길 17,공연조아,규모가 크지는 않지만 주차도 편하고 대나무숲도 있고 아기자기하면서도 옛스런 낭만이 있는 곳.입장료 2천원이면 주차료도 별도로 없기에 합리적임.,규모가 크지는 않지만 주차도 편하고 대나무숲도 있고 아기자기하면서도 옛스런 낭만이 있는 곳.입장료 2천원이면 주차료도 별도로 없기에 합리적임.,"['규모', '주차', '편하다', '나무숲', '있다', '아기자기하다', '옛스럽다', '낭만', '있다', '입장료', '주차', '별도', '없다', '합리', '적임']",Positive,0.9691317677497864
소쇄원,전남 담양군 가사문학면 소쇄원길 17,싹쓰리70,벌레가 많았지만중요한건 벌레가아니고넘 좋았어요대나무숲도멋지고 가는곳마다감탄이 절로나오더군요,벌레가 많았지만중요한건 벌레가아니고넘 좋았어요대나무숲도멋지고 가는곳마다감탄이 절로나오더군요,"['벌레', '많다', '중요하다', '벌레', '아니다', '좋다', '나무숲', '멋지다', '감탄', '절로']",Positive,0.9738659858703613
소쇄원,전남 담양군 가사문학면 소쇄원길 17,문화맛객,"지금가기 너무 좋은 곳이에요.보라색 오동나무꽃은 온 산천에 흐드러지고 불두화와, 작약이 피어나는 계절대나무와 나무 이끼는 신선한 초록이여서 눈도 마음도 가득차요.더운 여름에 오는  정신적 방전 대비하기 위해선 오월에 초록 에너지를 많이 채워두기♡우리 햇님이도 너무 좋아하는 계절","지금가기 너무 좋은 곳이에요.보라색 오동나무꽃은 온 산천에 흐드러지고 불두화와, 작약이 피어나는 계절대나무와 나무 이끼는 신선한 초록이여서 눈도 마음도 가득차요.더운 여름에 오는 정신적 방전 대비하기 위해선 오월에 초록 에너지를 많이 채워두기우리 햇님이도 너무 좋아하는 계절","['지금', '가기', '좋다', '보라색', '오동나무', '산천', '드럽다', '작약', '계절', '대나무', '나무', '이끼', '신선하다', '초록', '마음', '가득', '차요', '덥다', '여름', '정신', '방전', '대비', '위해', '오월', '초록', '에너지', '우리', '햇님', '좋아하다', '계절']",Positive,0.9731956720352173
소쇄원,전남 담양군 가사문학면 소쇄원길 17,68 전국구,날 더운 날꼭 가보고 싶다는 울 짝지 덕분에고즈넉한 분위기와 팔 벌리니 소매끝으로 들어오는시원한 바람 한번 느껴보고 돌아갑니다.천천히 걸어도 30분이면 한바퀴 넉넉합니다.,날 더운 날꼭 가보고 싶다는 울 짝지 덕분에고즈넉한 분위기와 팔 벌리니 소매끝으로 들어오는시원한 바람 한번 느껴보고 돌아갑니다.천천히 걸어도 30분이면 한바퀴 넉넉합니다.,"['덥다', '날꼭', '덕분', '분위기', '시원하다', '바람', '한번', '보고', '바퀴', '넉넉하다']",Positive,0.9700350761413574
소쇄원,전남 담양군 가사문학면 소쇄원길 17,자수정21,산책히기좋은 아기자기한 예쁜곳이네요!,산책히기좋은 아기자기한 예쁜곳이네요!,"['산책', '좋다', '아기자기하다', '예쁘다']",Positive,0.9716326594352722
소쇄원,전남 담양군 가사문학면 소쇄원길 17,브랜디son,"담양 소세원은 산속에 조용히 자리한 작은 한옥 마을 느낌의 공간으로, 대나무 숲과 소나무 숲이 어우러진 감성적인 풍경이 인상 깊었어요. 특히 시냇물을 중심으로 걸을 때마다 달라지는 시점에서 다양한 느낌을 주는 곳이라, 작은 공간이지만 결코 지루하지 않았어요. 강아지와 함께 산책할 수 있는 것도 큰 장점이고요. 바람이 살랑이는 봄날에 방문하니 기분이 절로 맑아지는 느낌! 담양 가신다면 소세원은 꼭 한 번 들러보세요.","담양 소세원은 산속에 조용히 자리한 작은 한옥 마을 느낌의 공간으로, 대나무 숲과 소나무 숲이 어우러진 감성적인 풍경이 인상 깊었어요. 특히 시냇물을 중심으로 걸을 때마다 달라지는 시점에서 다양한 느낌을 주는 곳이라, 작은 공간이지만 결코 지루하지 않았어요. 강아지와 함께 산책할 수 있는 것도 큰 장점이고요. 바람이 살랑이는 봄날에 방문하니 기분이 절로 맑아지는 느낌! 담양 가신다면 소세원은 꼭 한 번 들러보세요.","['담양', '세원', '산속', '조용하다', '자리', '작다', '마을', '느낌', '공간', '대나무', '소나무', '감성', '풍경', '인상', '깊다', '시냇물', '중심', '시점', '다양하다', '느낌', '작다', '공간', '결코', '지루하다', '강아지', '산책', '있다', '장점', '고요', '바람', '봄날', '방문', '기분', '절로', '맑다', '느낌', '담양', '세원']",Positive,0.9727678298950195
