store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
송도 센트럴파크,인천 연수구 컨벤시아대로 160,홍탐정 먹탐방,"뉴옥 센트럴파크를 모티브로 한 국내 최초의 해수공원🏝️주차는 공영주차장 이용하시면 되시고 주치요금은 30분당 1,000원으로 정말 저렴해요전철 센트럴파크역으로 오시면 대중교통 이용 편리해요~🥹공원은 다섯 개의 테마 정원(선셋, 감성, 초지, 산책, 테라스)로 이루어져 있어요! 특히 저녁에 인공수로로 다니는 둥둥배들이 너무 예쁘더라고요~ ‼️ 사슴정원에는 멋진 사슴도 있어서 아이들이랑 같이 오기 좋아요 냄새는 좀 나더라고요 ㅠㅠ😭공원 서쪽에서 문보트랑 패밀리보트 탈 수 있고 수도권에서 야경 명소로 손꼽히는 곳이라 정말 아름다웠어요! 😀 포스코타워쪽 보면 정말 아름다운 힐링 코스였어요🩷이국적인 모습 느끼고 싶을 때 와보세요👍🏻","뉴옥 센트럴파크를 모티브로 한 국내 최초의 해수공원주차는 공영주차장 이용하시면 되시고 주치요금은 30분당 1,000원으로 정말 저렴해요전철 센트럴파크역으로 오시면 대중교통 이용 편리해요공원은 다섯 개의 테마 정원선셋, 감성, 초지, 산책, 테라스로 이루어져 있어요! 특히 저녁에 인공수로로 다니는 둥둥배들이 너무 예쁘더라고요 사슴정원에는 멋진 사슴도 있어서 아이들이랑 같이 오기 좋아요 냄새는 좀 나더라고요 ㅠㅠ공원 서쪽에서 문보트랑 패밀리보트 탈 수 있고 수도권에서 야경 명소로 손꼽히는 곳이라 정말 아름다웠어요! 포스코타워쪽 보면 정말 아름다운 힐링 코스였어요이국적인 모습 느끼고 싶을 때 와보세요","['뉴옥', '센트럴', '파크', '모티브', '국내', '최초', '해수', '공원', '주차', '공영', '주차장', '이용', '주치', '요금', '정말', '저렴하다', '전철', '센트럴파크역', '오시', '대중교통', '이용', '편리하다', '공원', '다섯', '테마', '정원', '선셋', '감성', '초지', '산책', '테라스', '있다', '저녁', '인공', '수로', '둥둥', '예쁘다', '사슴', '정원', '멋지다', '사슴', '있다', '아이', '오기', '좋다', '냄새', '공원', '서쪽', '보트', '패밀리', '보트', '있다', '수도권', '야경', '명소', '정말', '아름답다', '포스코', '타워', '정말', '아름답다', '힐링', '코스', '국적', '모습']",Positive,0.9680263996124268
송도 센트럴파크,인천 연수구 컨벤시아대로 160,먹고걷고햇빛듬뿍,"인천지하철 1호선 에서 내려서 밖으로 나오면 센트럴파크 공원이 나옵니다, 3번출구 방향에서 뒤쪽으로 트라이보울을 건너서 국립세계문자박물관 방향으로 향합니다, 주변을둘러봅니다, 강과 다리 조형물 G타워 IFEZ 홍보관 전망대주변의 크고높은 건물들이 있습니다, 강에는 작은 보트도운행을 하고있어요~여러분들의 많은 관심덕분에 리뷰 총조회수가 800만회가되었고 그래서 네이버리뷰 순위가 TOP 100등 되었습니다넘치는 사랑 감사드립니다 앞으로도 많은 관심 부탁드립니다.❤1)유튜버 검색: 음식먹고햇빛듬뿍 💚핸들:  @Lets-Eat-Sunshine 💚영상주제: 음식점,카페 소개❤2)유튜버 검색: 걸으면서햇빛가득💚핸들:  @Lets-Walk-Sunshine 💚영상주제: 도시풍경 & 둘레길풍경","인천지하철 1호선 에서 내려서 밖으로 나오면 센트럴파크 공원이 나옵니다, 3번출구 방향에서 뒤쪽으로 트라이보울을 건너서 국립세계문자박물관 방향으로 향합니다, 주변을둘러봅니다, 강과 다리 조형물 G타워 IFEZ 홍보관 전망대주변의 크고높은 건물들이 있습니다, 강에는 작은 보트도운행을 하고있어요여러분들의 많은 관심덕분에 리뷰 총조회수가 800만회가되었고 그래서 네이버리뷰 순위가 TOP 100등 되었습니다넘치는 사랑 감사드립니다 앞으로도 많은 관심 부탁드립니다.1유튜버 검색 음식먹고햇빛듬뿍 핸들 LetsEatSunshine 영상주제 음식점,카페 소개2유튜버 검색 걸으면서햇빛가득핸들 LetsWalkSunshine 영상주제 도시풍경 둘레길풍경","['인천', '지하철', '호선', '센트럴', '파크', '공원', '출구', '방향', '뒤쪽', '이보', '국립', '세계', '문자', '박물관', '방향', '향합', '주변', '다리', '조형', '타워', '홍보', '전망대', '주변', '높다', '건물', '있다', '작다', '보트', '운행', '여러분', '많다', '관심', '덕분', '리뷰', '회수', '네이버', '리뷰', '순위', '넘치다', '사랑', '감사', '많다', '관심', '부탁드리다', '유튜버', '검색', '음식', '햇빛', '듬뿍', '핸들', '영상', '주제', '음식점', '카페', '소개', '유튜버', '검색', '햇빛', '가득', '핸들', '영상', '주제', '도시', '풍경', '둘레길', '풍경']",Positive,0.9029958248138428
송도 센트럴파크,인천 연수구 컨벤시아대로 160,walwaly,조경이 너무 멋진 공원이에요~ 화장실도 깨끗하고 시설관리도 잘 되어 있습니다.  지금은 타지역에 거주하지만 인천 살 때에 외지인들이 나들이 오시면 꼭 추천하는 곳이었어요~,조경이 너무 멋진 공원이에요 화장실도 깨끗하고 시설관리도 잘 되어 있습니다. 지금은 타지역에 거주하지만 인천 살 때에 외지인들이 나들이 오시면 꼭 추천하는 곳이었어요,"['조경이', '멋지다', '공원', '화장실', '깨끗하다', '시설', '관리', '있다', '지금', '지역', '거주', '인천', '외지', '나들이', '오시', '추천']",Positive,0.9744794964790344
송도 센트럴파크,인천 연수구 컨벤시아대로 160,chms0313,외국같은 느낌이. 들고건물이 높게 올라가 멋지며 호수에 반영되는모습이 넘 예쁘다숲속 산책길도 좋았고주변에 유명한 음식점도있고한옥이 있어 옛것과 빌딩의 어울림이 좋아요잔디와 나무들이 푸릇푸릇 아주 예뻐요호수에 배도 떠 있고. 배룡나무와 수국이 예쁘게 피었어요주차비는 생각보다 비싸요,외국같은 느낌이. 들고건물이 높게 올라가 멋지며 호수에 반영되는모습이 넘 예쁘다숲속 산책길도 좋았고주변에 유명한 음식점도있고한옥이 있어 옛것과 빌딩의 어울림이 좋아요잔디와 나무들이 푸릇푸릇 아주 예뻐요호수에 배도 떠 있고. 배룡나무와 수국이 예쁘게 피었어요주차비는 생각보다 비싸요,"['외국', '같다', '느낌', '건물', '높다', '멋지다', '호수', '반영', '모습', '예쁘다', '숲속', '산책길', '좋다', '주변', '유명하다', '음식점', '있다', '있다', '빌딩', '어울림', '좋다', '잔디', '나무', '푸릇푸릇', '아주', '예쁘다', '호수', '있다', '배룡나무', '수국', '예쁘다', '차비', '생각', '비싸다']",Positive,0.9726919531822205
송도 센트럴파크,인천 연수구 컨벤시아대로 160,happyday77,산책하기 너무 좋은곳.. 가을날씨 흐린듯하지만 산책하기 딱 좋은시기 👍 외국인 단체 관광객들 시민들 귀여운 유치원생들 단체로 나들이..  G타워 33층 구경도 함께 추천해요,산책하기 너무 좋은곳.. 가을날씨 흐린듯하지만 산책하기 딱 좋은시기 외국인 단체 관광객들 시민들 귀여운 유치원생들 단체로 나들이.. G타워 33층 구경도 함께 추천해요,"['산책', '좋다', '가을', '날씨', '산책', '좋다', '시기', '외국인', '단체', '관광객', '시민', '귀엽다', '유치원', '단체', '나들이', '타워', '구경', '추천']",Positive,0.9735822081565857
송도 센트럴파크,인천 연수구 컨벤시아대로 160,럭키비키세잎클로버,"송도 센트럴파크에 다녀왔어요! 선선한 가을, 지금 딱 나들이하기 좋은 공원입니다 👍🏻","송도 센트럴파크에 다녀왔어요! 선선한 가을, 지금 딱 나들이하기 좋은 공원입니다","['송도', '센트럴', '파크', '선선', '가을', '지금', '나들이', '좋다', '공원', '이다']",Positive,0.9750075340270996
송도 센트럴파크,인천 연수구 컨벤시아대로 160,피로44,아이랑 뛰놀기 좋은 곳이에요,아이랑 뛰놀기 좋은 곳이에요,"['아이', '좋다']",Positive,0.9645315408706665
송도 센트럴파크,인천 연수구 컨벤시아대로 160,은혜ro,"센트럴파크 공원의 야경입니다^^여기서서 풍경을 바라보면 건물들의 빛, 배가 보이고, 사람들의 설레임이 느껴져요.  산책로에는 야경을 배경으로 러닝하는 사람들, 강아지들과 느린걸음으로 템포를 맞추며 걷는 이들, 예쁜 연인들의 모습이 보이고요.좀 더 고요해지는 밤에는 야생너구리도 볼 수있는데,그애와 저, 둘이 마주쳤을 때 그녀석은 몸을 세우며 가질않은채 저와 서로 마주보고 십분이나 서있었어요.","센트럴파크 공원의 야경입니다여기서서 풍경을 바라보면 건물들의 빛, 배가 보이고, 사람들의 설레임이 느껴져요. 산책로에는 야경을 배경으로 러닝하는 사람들, 강아지들과 느린걸음으로 템포를 맞추며 걷는 이들, 예쁜 연인들의 모습이 보이고요.좀 더 고요해지는 밤에는 야생너구리도 볼 수있는데,그애와 저, 둘이 마주쳤을 때 그녀석은 몸을 세우며 가질않은채 저와 서로 마주보고 십분이나 서있었어요.","['센트럴', '파크', '공원', '야경', '이다', '여기', '서서', '풍경', '건물', '보이', '사람', '설레임', '산책로', '야경', '배경', '러닝', '사람', '강아지', '느리다', '걸음', '템포', '예쁘다', '연인', '모습', '고요하다', '야생', '너구리', '있다', '녀석', '서로', '마주', '보고', '십분']",Positive,0.9578597545623779
송도 센트럴파크,인천 연수구 컨벤시아대로 160,신나갱,산책하기 좋은 센트럴파크🌿▪️쾌적하고 깨끗한 공원▪️공원 주변에 맛집이 많아요▪️사슴도 볼 수 있어요송도에서 밥 먹으면잊지 않고 방문하는 센트럴파크!갈 때마다 느끼는거지만공원 관리가 참 잘 되어 있고야경이 너무 멋진 것 같아요😍이제 날이 많이 선선해져서저녁에 산책하니 너무 좋네요!,산책하기 좋은 센트럴파크쾌적하고 깨끗한 공원공원 주변에 맛집이 많아요사슴도 볼 수 있어요송도에서 밥 먹으면잊지 않고 방문하는 센트럴파크!갈 때마다 느끼는거지만공원 관리가 참 잘 되어 있고야경이 너무 멋진 것 같아요이제 날이 많이 선선해져서저녁에 산책하니 너무 좋네요!,"['산책', '좋다', '센트럴', '파크', '쾌적하다', '깨끗하다', '공원', '공원', '주변', '맛집', '많다', '사슴', '있다', '송도', '방문', '센트럴', '파크', '공원', '관리', '있다', '경이', '멋지다', '같다', '이제', '선선해지다', '저녁', '산책', '좋다']",Positive,0.973168134689331
송도 센트럴파크,인천 연수구 컨벤시아대로 160,토끼 아지매,주말 오전에 산책하기 좋아요.일요일이라 그런지 러닝하시는 분들도 많고 산책하는 분들도 많네요.언제가도 깔끔하고 계절별로 시간대별로 눈이 즐거워지는 공원입니다.비가 분무기 뿌리듯 와도 운치있어 좋네요^^,주말 오전에 산책하기 좋아요.일요일이라 그런지 러닝하시는 분들도 많고 산책하는 분들도 많네요.언제가도 깔끔하고 계절별로 시간대별로 눈이 즐거워지는 공원입니다.비가 분무기 뿌리듯 와도 운치있어 좋네요,"['주말', '오전', '산책', '좋다', '일요일', '그렇다', '러닝', '많다', '산책', '많다', '가도', '깔끔하다', '계절', '별로', '시간대', '별로', '즐겁다', '공원', '이다', '분무기', '운치', '있다', '좋다']",Positive,0.9739943146705627
