store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
순천 낙안읍성,전남 순천시 낙안면 충민길 30,레인보우연수,일부 도시와 자매결연해서 입장료 반값그외지역은 1인당4천원다른지역은 지역상품권을 주던데이곳은 그런게 없다.오후 시간에 가니 참여프로그램도 마감상태성곽을 한바퀴 도는걸 추천합니다최근 새롭게 시작된 MBC 드라마이강에 달이 흐른다여기에서 찍었네요.드라마보다가 리뷰수정해요,일부 도시와 자매결연해서 입장료 반값그외지역은 1인당4천원다른지역은 지역상품권을 주던데이곳은 그런게 없다.오후 시간에 가니 참여프로그램도 마감상태성곽을 한바퀴 도는걸 추천합니다최근 새롭게 시작된 MBC 드라마이강에 달이 흐른다여기에서 찍었네요.드라마보다가 리뷰수정해요,"['일부', '도시', '자매', '결연하다', '입장료', '반값', '외지', '역다', '지역', '상품권', '그렇다', '없다', '오후', '시간', '참여', '프로그램', '마감', '상태', '성곽', '바퀴', '는걸', '추천', '최근', '새롭다', '시작', '드라마', '이강', '달이', '여기', '드라마', '리뷰', '정해']",Positive,0.6278541088104248
순천 낙안읍성,전남 순천시 낙안면 충민길 30,핏빛호악,주말에 가서 사람 많았어요ㅎㅎ그리고 가야금 무슨 대회가 열리고 있어서 구경도 하고 사진 찍을 곳 은근히 많아요^^다 제가 껴있어서 사진 못 올렸는데 아이들과 함께 가기 좋을듯 해요ㅎㅎ국민학교 때 민속촌에서 본 초가집 이후로 오랜만이라 반갑고 정겨웠어요^^참고로 전 30대 후반 입니다^^;,주말에 가서 사람 많았어요ㅎㅎ그리고 가야금 무슨 대회가 열리고 있어서 구경도 하고 사진 찍을 곳 은근히 많아요다 제가 껴있어서 사진 못 올렸는데 아이들과 함께 가기 좋을듯 해요ㅎㅎ국민학교 때 민속촌에서 본 초가집 이후로 오랜만이라 반갑고 정겨웠어요참고로 전 30대 후반 입니다,"['주말', '사람', '많다', '가야금', '무슨', '대회', '있다', '구경', '사진', '은근', '많다', '사진', '아이', '가기', '좋다', '국민학교', '민속촌', '초가집', '이후', '만이', '반갑다', '정겹다', '참고', '후반', '이다']",Positive,0.9735899567604065
순천 낙안읍성,전남 순천시 낙안면 충민길 30,TommyChan,安東の民俗村にも行きましたが、私はこっちの方が見応えがあって好きです！広い城郭の中に藁葺き屋根の家々が並んでいて、歩くだけでタイムスリップしたような気分。家ごとに工芸体験やイベントが開かれていて、観光地でありながら“生きた村”として今も暮らしが続いているのを垣間見られるのが魅力的でした。韓国の伝統的な生活を感じられる貴重な場所なので、一度は訪れてみて欲しいスポットです👍,,[],Neutral,0.0
순천 낙안읍성,전남 순천시 낙안면 충민길 30,문화맛객,지금 가기에 너무 이쁘고 볼거리도 풍성해요.한국적 가을 만끽하기 너무 좋고 작은 강아지도 입장 가능하여 정말 좋았어요. 계절마다 느낌이 다 다르고 체력 약한 아이들도 전통가옥 체험하고 둘러보기에 정말 좋아요. 다 둘러보고 산책하는데  1시간이면 충분해요. 전통 체험도 있으니까 꼭 가보세요.,지금 가기에 너무 이쁘고 볼거리도 풍성해요.한국적 가을 만끽하기 너무 좋고 작은 강아지도 입장 가능하여 정말 좋았어요. 계절마다 느낌이 다 다르고 체력 약한 아이들도 전통가옥 체험하고 둘러보기에 정말 좋아요. 다 둘러보고 산책하는데 1시간이면 충분해요. 전통 체험도 있으니까 꼭 가보세요.,"['지금', '가기', '이쁘다', '볼거리', '성해', '한국', '가을', '만끽', '좋다', '작다', '강아지', '입장', '가능하다', '정말', '좋다', '계절', '느낌', '다르다', '체력', '약하다', '아이', '전통', '가옥', '체험', '둘러보기', '정말', '좋다', '산책', '충분하다', '전통', '체험', '있다']",Positive,0.9729592204093933
순천 낙안읍성,전남 순천시 낙안면 충민길 30,부산준우맘,"낙안읍성 다녀왔어요◡̈.꾀넓어서 놀랬고, 한마을이있는 느낌?민박하는 곳도 많아서 여행오셨다면 한두달전미리 예약후 오셔서 주막에서 막걸리에 파전한잔하심 좋을것 같아요!민박 비용도저렴해서 예약이 금방 빠진다는점참고 하셔요! 나들이가기 좋은 곳입니다 ꈍ◡ꈍ","낙안읍성 다녀왔어요.꾀넓어서 놀랬고, 한마을이있는 느낌?민박하는 곳도 많아서 여행오셨다면 한두달전미리 예약후 오셔서 주막에서 막걸리에 파전한잔하심 좋을것 같아요!민박 비용도저렴해서 예약이 금방 빠진다는점참고 하셔요! 나들이가기 좋은 곳입니다","['낙안읍성', '넓다', '놀래다', '마을', '있다', '느낌', '민박하다', '곳도', '많다', '여행', '미리', '예약', '주막', '막걸리', '파전', '한잔', '좋다', '같다', '민박', '비용', '저렴하다', '예약', '금방', '참고', '나들이', '가기', '좋다', '이다']",Positive,0.9568232297897339
순천 낙안읍성,전남 순천시 낙안면 충민길 30,pos****,"전라남도 순천시 낙안면에 소재한 읍성. 해미읍성, 고창읍성과 함께 현재에도 원형이 잘 남아있는 대표적인 조선 시대의 음성이다. 한가지 덧붙이면 해미읍성,고창읍성에서 민가,건물이 거의 없지만 낙안읍성은 성내 실제 생활주거공간이며 숙박도 가능하다.","전라남도 순천시 낙안면에 소재한 읍성. 해미읍성, 고창읍성과 함께 현재에도 원형이 잘 남아있는 대표적인 조선 시대의 음성이다. 한가지 덧붙이면 해미읍성,고창읍성에서 민가,건물이 거의 없지만 낙안읍성은 성내 실제 생활주거공간이며 숙박도 가능하다.","['전라남도', '순천시', '낙안면', '소재', '읍성', '해미읍성', '고창읍성', '현재', '원형', '대표', '조선', '시대', '음성', '한가지', '해미읍성', '고창읍성', '민가', '건물', '거의', '없다', '낙안읍성', '성내', '실제', '생활', '주거', '공간', '숙박', '가능하다']",Positive,0.9427584409713745
순천 낙안읍성,전남 순천시 낙안면 충민길 30,그린다51,순천 세계유산 시티투어를 통해 다녀왔어요. 전에 갔던 곳인데 해설사님 설명 들으며 다시 보니 새롭게 알게 되는 것도 있었어요. 가을 날씨가 좋아서 읍성길을 걸으며 보는 옛 시골 풍경이 편안하고 좋았어요. 겨울에 눈 쌓였을 때 와도 멋질 것 같아요.,순천 세계유산 시티투어를 통해 다녀왔어요. 전에 갔던 곳인데 해설사님 설명 들으며 다시 보니 새롭게 알게 되는 것도 있었어요. 가을 날씨가 좋아서 읍성길을 걸으며 보는 옛 시골 풍경이 편안하고 좋았어요. 겨울에 눈 쌓였을 때 와도 멋질 것 같아요.,"['순천', '세계', '유산', '시티투어', '통해', '해설', '설명', '다시', '새롭다', '있다', '가을', '날씨', '좋다', '읍성', '시골', '풍경', '편안하다', '좋다', '겨울', '멋지다', '같다']",Positive,0.9735735654830933
순천 낙안읍성,전남 순천시 낙안면 충민길 30,퀸조,옛날로돌아간것같은 마을실제사람들이 사는곳이라그런지 더 활기가넘쳤어요중간중간 체험할수있는곳도 좋았는데돌담길을 마냥 걷는것 그자체만으로도 좋았어요먹거리지날때 어찌나맛있는냄새가 나던지아침밥안먹었으면 한상시킬뻔했네요넓어서 사람에 엄청 치이지않아 반려견과 다닐때도 편했어요,옛날로돌아간것같은 마을실제사람들이 사는곳이라그런지 더 활기가넘쳤어요중간중간 체험할수있는곳도 좋았는데돌담길을 마냥 걷는것 그자체만으로도 좋았어요먹거리지날때 어찌나맛있는냄새가 나던지아침밥안먹었으면 한상시킬뻔했네요넓어서 사람에 엄청 치이지않아 반려견과 다닐때도 편했어요,"['옛날', '같다', '마을', '실제', '사람', '그렇다', '활기', '넘치다', '중간', '중간', '체험', '곳도', '좋다', '돌담', '마냥', '자체', '좋다', '먹거리', '맛있다', '냄새', '아침밥', '뻔하다', '넓다', '사람', '반려견', '편하다']",Positive,0.9732819199562073
순천 낙안읍성,전남 순천시 낙안면 충민길 30,끄라사비찌,여기너무 좋네요고즈늑한 가을을 한껏 느끼고 올 수 있었던 곳인 것 같습니다. 행사가 있는 앞날이라 준비하는 과정들을 볼 수 있어. 또 하나의 재미를 느끼고 왔습니다. 깨끗하게 잘 관리되어 사람들이 살고 있는 걸 보니 너무너무 새롭더라고요. 성곽을 따라 걸으며 사진도 찍고 동네를 한 번에 볼 수 있어서 여긴 다시 꼭 방문하고 싶습니다. 너무너무 좋았습니다. 옛날 대장간도 그대로 있고 식당 가도 맛있는 것들이 많아 좋았어요. 엿을 구입했는데 엿도 굉장히 맛있네요,여기너무 좋네요고즈늑한 가을을 한껏 느끼고 올 수 있었던 곳인 것 같습니다. 행사가 있는 앞날이라 준비하는 과정들을 볼 수 있어. 또 하나의 재미를 느끼고 왔습니다. 깨끗하게 잘 관리되어 사람들이 살고 있는 걸 보니 너무너무 새롭더라고요. 성곽을 따라 걸으며 사진도 찍고 동네를 한 번에 볼 수 있어서 여긴 다시 꼭 방문하고 싶습니다. 너무너무 좋았습니다. 옛날 대장간도 그대로 있고 식당 가도 맛있는 것들이 많아 좋았어요. 엿을 구입했는데 엿도 굉장히 맛있네요,"['여기', '좋다', '늑한', '가을', '있다', '같다', '행사', '있다', '앞날', '준비', '과정', '있다', '하나', '재미', '깨끗하다', '관리', '사람', '있다', '새롭다', '성곽', '사진', '동네', '있다', '다시', '방문', '좋다', '옛날', '대장간', '그대로', '있다', '식당', '가도', '맛있다', '많다', '좋다', '구입', '굉장하다', '맛있다']",Positive,0.9708099961280823
순천 낙안읍성,전남 순천시 낙안면 충민길 30,축다,산책 혹은 데이트 장소로 최적입니다.고도 높낮이가 걷기 좋습니다.연인과 니가 오자해서 힘들다 뭐다 이야기 나올 수 없습니다.편하게 거닐 수 있고 성 안에는 초가집이 시선을 사로잡고성 밖은 산이 시선을 잡습니다.각종 체험 시설이 있으나저는 조금 늦은 시간에 도착해서 그런지 체험할 수 없었지먼 성 내부 한 번 돌고성벽을 도니 좋았습니다. 성벽 주변으로 고목이 많아시원한 그늘도 만들어 주었습니다.성 내부 민박은 손님분들이 상당히 있어요리하는 냄새가 올라옵니다. 즐거운 시간이었습니다.,산책 혹은 데이트 장소로 최적입니다.고도 높낮이가 걷기 좋습니다.연인과 니가 오자해서 힘들다 뭐다 이야기 나올 수 없습니다.편하게 거닐 수 있고 성 안에는 초가집이 시선을 사로잡고성 밖은 산이 시선을 잡습니다.각종 체험 시설이 있으나저는 조금 늦은 시간에 도착해서 그런지 체험할 수 없었지먼 성 내부 한 번 돌고성벽을 도니 좋았습니다. 성벽 주변으로 고목이 많아시원한 그늘도 만들어 주었습니다.성 내부 민박은 손님분들이 상당히 있어요리하는 냄새가 올라옵니다. 즐거운 시간이었습니다.,"['산책', '데이트', '장소', '최적', '이다', '고도', '높낮이', '걷기', '좋다', '연인', '오자', '힘들다', '이야기', '없다', '편하다', '있다', '초가집', '시선', '고성', '산이', '시선', '각종', '체험', '시설', '있다', '조금', '시간', '도착', '그렇다', '체험', '없다', '멀다', '내부', '성벽', '도니', '좋다', '성벽', '주변', '고목', '많다', '시원하다', '그늘', '내부', '민박', '손님', '상당하다', '있다', '요리', '냄새', '즐겁다', '시간']",Positive,0.971235990524292
