store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
순천드라마촬영장,전남 순천시 비례골길 24,퓨논,개인적으로 너무 만족스러웠습니다!오전엔 낙안읍성 다녀왔는데 생각보다 별거 없어서 기분이 다운된 상태였고 생각보다 별로 기대 안하고 왔거든요?와 근데 진짜 실전 압축 근육마냥 작지만 정말 알차고 정겹고 이쁜곳이였어여 그 짱구 극장판 어른제국의 역습에 나오는 빌런이 과거를 좋아하는 빌런이 있는데 그 기분을 알겠드라구요 저도 드라마 촬영지가 80년대 배경인데도 여기 오니깐 없던 정이 생겨나는거 같은거에요 저도 02년생이라 그시대를 살진 않았지만 어르신 분들이 왜 그때를 그리워 하는지 몸소 알겠드라구요 약간 가슴 한구석이채워지는 가슴 따뜻해지는 정겨움이랄까요? 길거리에서 남녀노소 할것없이 딱지치고 제기차고 굴렁쇠 굴리고 진짜 저도 어릴때 초등학생 시절로 돌아간거같아 행복했습니다 ㅠㅅㅠ,개인적으로 너무 만족스러웠습니다!오전엔 낙안읍성 다녀왔는데 생각보다 별거 없어서 기분이 다운된 상태였고 생각보다 별로 기대 안하고 왔거든요?와 근데 진짜 실전 압축 근육마냥 작지만 정말 알차고 정겹고 이쁜곳이였어여 그 짱구 극장판 어른제국의 역습에 나오는 빌런이 과거를 좋아하는 빌런이 있는데 그 기분을 알겠드라구요 저도 드라마 촬영지가 80년대 배경인데도 여기 오니깐 없던 정이 생겨나는거 같은거에요 저도 02년생이라 그시대를 살진 않았지만 어르신 분들이 왜 그때를 그리워 하는지 몸소 알겠드라구요 약간 가슴 한구석이채워지는 가슴 따뜻해지는 정겨움이랄까요? 길거리에서 남녀노소 할것없이 딱지치고 제기차고 굴렁쇠 굴리고 진짜 저도 어릴때 초등학생 시절로 돌아간거같아 행복했습니다 ㅠㅅㅠ,"['개인', '만족스럽다', '오전', '낙안읍성', '생각', '별거', '없다', '기분', '다운', '상태', '생각', '별로', '기대', '진짜', '실전', '압축', '근육', '마냥', '정말', '알차다', '정겹다', '이쁘다', '짱구', '극장판', '어른', '제국', '역습', '빌런', '과거', '좋아하다', '빌런', '있다', '기분', '드라마', '촬영', '배경', '여기', '없다', '정이', '같다', '시대', '어르신', '그때', '그립다', '몸소', '약간', '가슴', '한구석', '가슴', '따뜻하다', '정겹다', '길거리', '남녀', '노소', '딱지', '제기', '차고', '굴렁쇠', '굴리', '진짜', '초등학생', '시절', '같다', '행복하다']",Positive,0.9713572263717651
순천드라마촬영장,전남 순천시 비례골길 24,추적60초,추석 연휴에 가족들과 순천 드라마세트장을 다녀왔습니다.옛날 골목길과 촬영 세트가 잘 보존되어 있어서 아이들과 부모님 모두 즐겁게 구경할 수 있었어요.사진 찍기 좋은 포인트도 많아 가족 기념사진 남기기에도 딱이었습니다.추석 명절 분위기와 함께 과거로 여행한 듯한 기분을 느낄 수 있어서 특별한 하루였습니다. 추천합니다!,추석 연휴에 가족들과 순천 드라마세트장을 다녀왔습니다.옛날 골목길과 촬영 세트가 잘 보존되어 있어서 아이들과 부모님 모두 즐겁게 구경할 수 있었어요.사진 찍기 좋은 포인트도 많아 가족 기념사진 남기기에도 딱이었습니다.추석 명절 분위기와 함께 과거로 여행한 듯한 기분을 느낄 수 있어서 특별한 하루였습니다. 추천합니다!,"['추석', '연휴', '가족', '순천', '드라마', '세트', '옛날', '골목길', '촬영', '세트', '보존', '있다', '아이', '부모님', '모두', '즐겁다', '구경', '있다', '사진', '찍기', '좋다', '포인트', '많다', '가족', '기념', '사진', '기기', '딱이다', '추석', '명절', '분위기', '과거', '여행', '기분', '있다', '특별하다', '하루', '추천']",Positive,0.9712876081466675
순천드라마촬영장,전남 순천시 비례골길 24,퀸조,입장료도 저렴한데 관리도 잘되있구 반려견동반인점도 좋았어요 일부러 실내까진 촘촘히안보고 크게돌았는데넓고 스탬프찍기도해서 강아지샴푸 받았어요갓만들기체험도하고ㅋㅋ더운날씨여서 힘들었지만 구경할게 많아서 좋아요,입장료도 저렴한데 관리도 잘되있구 반려견동반인점도 좋았어요 일부러 실내까진 촘촘히안보고 크게돌았는데넓고 스탬프찍기도해서 강아지샴푸 받았어요갓만들기체험도하고ㅋㅋ더운날씨여서 힘들었지만 구경할게 많아서 좋아요,"['입장료', '저렴하다', '관리', '반려견', '동반', '점도', '좋다', '일부러', '실내', '안보', '크게', '넓다', '스탬프', '찍기', '도해', '강아지', '샴푸', '만들기', '체험', '도하', '덥다', '날씨', '힘들다', '구경', '많다', '좋다']",Positive,0.9719365239143372
순천드라마촬영장,전남 순천시 비례골길 24,k i m m i,비가 애매하게 부슬부슬 내리던 날이라..우산 펴고 접길 반복하느라 불편하긴 했지만ㅜ 산책하듯이 걸어다니면서 구경하기 좋았어요.십년 전에 남편과 데이트 했었는데~ㅎㅎ이번엔 초딩아들 데리고 함께 왔어요.황량했그던 예전에 비해 많이 가꿔진 느낌으로 변했네요.ㅎ 구석구석 구경하는 재미가 있어요.,비가 애매하게 부슬부슬 내리던 날이라..우산 펴고 접길 반복하느라 불편하긴 했지만ㅜ 산책하듯이 걸어다니면서 구경하기 좋았어요.십년 전에 남편과 데이트 했었는데ㅎㅎ이번엔 초딩아들 데리고 함께 왔어요.황량했그던 예전에 비해 많이 가꿔진 느낌으로 변했네요.ㅎ 구석구석 구경하는 재미가 있어요.,"['애매하다', '부슬부슬', '우산', '반복', '불편하다', '산책', '듯이', '구경', '좋다', '십년', '남편', '데이트', '이번', '초딩', '아들', '데리', '황량', '예전', '느낌', '변하다', '구석구석', '구경', '재미', '있다']",Positive,0.9711520075798035
순천드라마촬영장,전남 순천시 비례골길 24,스펀지의다짐,70~80년대 풍경을 재현했다고 하네요. 풍경이 좋아요,7080년대 풍경을 재현했다고 하네요. 풍경이 좋아요,"['풍경', '재현', '풍경', '좋다']",Positive,0.9731554985046387
순천드라마촬영장,전남 순천시 비례골길 24,Lovit,산책겸 다녀왔다70~80년대의 모습이 있었고..많은 드라마와 영화가 이곳에서 촬영했던 곳이었다.,산책겸 다녀왔다7080년대의 모습이 있었고..많은 드라마와 영화가 이곳에서 촬영했던 곳이었다.,"['산책', '모습', '있다', '많다', '드라마', '영화', '촬영']",Positive,0.9722512364387512
순천드라마촬영장,전남 순천시 비례골길 24,djw****,부모님 모시고 가기 좋아요~엄빠 젊었을때 이야기도하고 지금은 안에 카페도 생겨서 구경하다 쉴수있어서  더 좋아졌어요65세이상이면 무료에욯여순광 주민이면 50프로할인도되요ㅎ,부모님 모시고 가기 좋아요엄빠 젊었을때 이야기도하고 지금은 안에 카페도 생겨서 구경하다 쉴수있어서 더 좋아졌어요65세이상이면 무료에욯여순광 주민이면 50프로할인도되요ㅎ,"['부모님', '모시', '가기', '좋다', '엄빠', '젊다', '야기도', '지금', '카페', '구경', '이상', '무료', '주민', '이면', '프로', '할인']",Positive,0.9611313939094543
순천드라마촬영장,전남 순천시 비례골길 24,wjddks4864,순천 드라마  촬영장    정리가 잘되어 잇어요  볼만 합니다 1박2일 통합권으로 갓다왓어요,순천 드라마 촬영장 정리가 잘되어 잇어요 볼만 합니다 1박2일 통합권으로 갓다왓어요,"['순천', '드라마', '촬영장', '정리', '통합', '다왓']",Positive,0.974388837814331
순천드라마촬영장,전남 순천시 비례골길 24,zzi****,순천 여행 오면 한번 가봐도 좋을 것 같아요 🥰구경 거리가 많아서 좋네요~!,순천 여행 오면 한번 가봐도 좋을 것 같아요 구경 거리가 많아서 좋네요!,"['순천', '여행', '한번', '좋다', '같다', '구경', '거리', '많다', '좋다']",Positive,0.9731253385543823
순천드라마촬영장,전남 순천시 비례골길 24,황금꽁치,강아지랑 아이들이랑 같이 가기 좋은곳명절때마다 올꺼같아요,강아지랑 아이들이랑 같이 가기 좋은곳명절때마다 올꺼같아요,"['강아지', '아이', '가기', '좋다', '명절', '같다']",Positive,0.9738379716873169
순천드라마촬영장,전남 순천시 비례골길 24,에코초록숲,잘 관리되어 있고 볼거리도 많아요옛날 산동네 재연이 최고였어요,잘 관리되어 있고 볼거리도 많아요옛날 산동네 재연이 최고였어요,"['관리', '있다', '볼거리', '많다', '옛날', '산동', '재연', '최고']",Positive,0.973559558391571
순천드라마촬영장,전남 순천시 비례골길 24,yoo****,순천드라마촬영장에 왔는데 완전히 추억의 공간이었어요. 그 옛날 모습을 고스란히 간직하고 있어서 과거를 떠올리며 얼마나 즐거운 시간이었는지 몰라요. 지금은 찾아보기 힘들 정도로 다닥다닥 붙어있는 완전 고불고불 올라가는 달동네길도 얼마나 정겨운지요..  요즘 뜨는 폭싹 속았수다 드라마 촬영장으로도 유명하네요~♡,순천드라마촬영장에 왔는데 완전히 추억의 공간이었어요. 그 옛날 모습을 고스란히 간직하고 있어서 과거를 떠올리며 얼마나 즐거운 시간이었는지 몰라요. 지금은 찾아보기 힘들 정도로 다닥다닥 붙어있는 완전 고불고불 올라가는 달동네길도 얼마나 정겨운지요.. 요즘 뜨는 폭싹 속았수다 드라마 촬영장으로도 유명하네요,"['드라마', '촬영장', '완전하다', '추억', '공간', '옛날', '모습', '고스', '간직', '있다', '과거', '얼마나', '즐겁다', '시간', '지금', '힘들다', '정도', '완전', '달동네', '길다', '얼마나', '정겹다', '요즘', '폭싹', '수다', '드라마', '촬영장', '유명하다']",Positive,0.9735761880874634
순천드라마촬영장,전남 순천시 비례골길 24,여행가J,밑에만 촬영장이고 위에는 달동네인가 했는데 위에도 촬영장이였어요 하마터면 위에는 못 보고 갈뻔했네요!관리도 잘 되어있고 구경 잘 하고 가요:),밑에만 촬영장이고 위에는 달동네인가 했는데 위에도 촬영장이였어요 하마터면 위에는 못 보고 갈뻔했네요!관리도 잘 되어있고 구경 잘 하고 가요,"['촬영장', '달동네', '촬영', '보고', '뻔하다', '관리', '구경', '가요']",Positive,0.9523738622665405
순천드라마촬영장,전남 순천시 비례골길 24,깔끔한 신희237,오랜만에 남편과 딸하고 즐거운 여행이었어요 볼거리가 많아서 좋았습니다,오랜만에 남편과 딸하고 즐거운 여행이었어요 볼거리가 많아서 좋았습니다,"['남편', '즐겁다', '여행', '볼거리', '많다', '좋다']",Positive,0.9721857905387878
순천드라마촬영장,전남 순천시 비례골길 24,육식동물87,보는 재미 쏠쏠 한데 건물안에 들어가면 더워서 그런지특유의 오래된 목조건물 냄새가 있음넘 더울때는 못 갈듯 볼게 많고 추억여행하기 좋은데너무 더워서 보기가 힘들었음,보는 재미 쏠쏠 한데 건물안에 들어가면 더워서 그런지특유의 오래된 목조건물 냄새가 있음넘 더울때는 못 갈듯 볼게 많고 추억여행하기 좋은데너무 더워서 보기가 힘들었음,"['재미', '쏠쏠', '건물', '덥다', '유의', '오래되다', '목조', '건물', '냄새', '있다', '덥다', '많다', '추억', '여행', '좋다', '덥다', '보기', '힘들다']",Positive,0.9456148743629456
순천드라마촬영장,전남 순천시 비례골길 24,yin****,가성비 좋은 여행지 추천해요~소원 꼭 이루어지길,가성비 좋은 여행지 추천해요소원 꼭 이루어지길,"['가성', '좋다', '여행지', '추천', '소원']",Positive,0.9551792740821838
순천드라마촬영장,전남 순천시 비례골길 24,하잇999,생각보다 좁지도 넓지도 않고 좋아용 한시간?두시간? 둘러보기좋아요 ㅎㅎ,생각보다 좁지도 넓지도 않고 좋아용 한시간?두시간? 둘러보기좋아요 ㅎㅎ,"['생각', '좁다', '넓다', '좋다', '시간', '시간', '둘러보기', '좋다']",Positive,0.972167432308197
