store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
스카이라인루지 통영,경남 통영시 발개로 178,sexy pretty1004,통영 루지는 두번째 가보는데 코스도 길고 재밌어서 시간 가는줄 모르고 타요ㅎㅎ4회권 끊고 탔는데 너무 재밋었어요!!~^^아는 언니랑 갔는데 언니는 처음 타본다해서 설명해줬어요ㅎ케이블카 타고 가서 입장권 보여주면 할인되서 케이블카 입장권은 버리지 마세요ㅎㅋㅎㅋ,통영 루지는 두번째 가보는데 코스도 길고 재밌어서 시간 가는줄 모르고 타요ㅎㅎ4회권 끊고 탔는데 너무 재밋었어요!!아는 언니랑 갔는데 언니는 처음 타본다해서 설명해줬어요ㅎ케이블카 타고 가서 입장권 보여주면 할인되서 케이블카 입장권은 버리지 마세요ㅎㅋㅎㅋ,"['통영', '루지', '두번째', '코스', '길다', '재밌다', '시간', '타요', '재밋었어', '언니', '언니', '처음', '다해', '설명', '케이블카', '타고', '입장권', '할인', '케이블카', '입장권']",Positive,0.9711219668388367
스카이라인루지 통영,경남 통영시 발개로 178,Tajany,통영가볼만한곳으로 오션뷰와함께 즐기는 루지는 코스도 다양하고 오전에 방문해 대기줄이 짧아 만족도 높은 이색체험장소로 추천합니다,통영가볼만한곳으로 오션뷰와함께 즐기는 루지는 코스도 다양하고 오전에 방문해 대기줄이 짧아 만족도 높은 이색체험장소로 추천합니다,"['통영', '오션', '루지', '코스', '다양하다', '오전', '방문', '짧다', '만족도', '높다', '이색', '체험', '장소', '추천']",Positive,0.9686898589134216
스카이라인루지 통영,경남 통영시 발개로 178,lhy****,스카이라인 루지.너~~무 재미있어요.3회 코스기간동안 다양하게 재미 있었어요.한적하게 가족끼리 탈 수 있어서 좋았어요.,스카이라인 루지.너무 재미있어요.3회 코스기간동안 다양하게 재미 있었어요.한적하게 가족끼리 탈 수 있어서 좋았어요.,"['스카이라인', '루지', '재미있다', '코스', '기간', '동안', '다양하다', '재미', '있다', '한적하다', '가족', '끼리', '있다', '좋다']",Positive,0.9746915698051453
스카이라인루지 통영,경남 통영시 발개로 178,눈누난나0723,아이들이 좋아해서 주기적으로 오는 곳이에요. 대기 없이 탈 수 있고 코스가 길어서 재밌어 하네요.,아이들이 좋아해서 주기적으로 오는 곳이에요. 대기 없이 탈 수 있고 코스가 길어서 재밌어 하네요.,"['아이', '좋아하다', '기적', '대기', '있다', '코스', '재밌다']",Positive,0.9723899960517883
스카이라인루지 통영,경남 통영시 발개로 178,sm5mm,70대부모님들 첨타보시고 너무재밌으셔했어요생각했던것보다 다들 잘타시드라구요다만 마지막 종착지직원들 진짜 말 하시는게 기분 나쁘게하십니다 안전을위해서라지만일어나시는게 남들보다 2초만늦어도빨리일어나서나가라고 그러시고 기분좋게타고내려왔다가 기분더럽게만드시는분들두번째부터는 부모님언능 손잡아서 일으켜세워드렸어요다른곳다다녀봤지만 이렇게 불친절한곳은 통영뿐인거같아요,70대부모님들 첨타보시고 너무재밌으셔했어요생각했던것보다 다들 잘타시드라구요다만 마지막 종착지직원들 진짜 말 하시는게 기분 나쁘게하십니다 안전을위해서라지만일어나시는게 남들보다 2초만늦어도빨리일어나서나가라고 그러시고 기분좋게타고내려왔다가 기분더럽게만드시는분들두번째부터는 부모님언능 손잡아서 일으켜세워드렸어요다른곳다다녀봤지만 이렇게 불친절한곳은 통영뿐인거같아요,"['부모님', '보시', '재밌다', '생각', '시드라', '다만', '마지막', '종착', '직원', '진짜', '기분', '나쁘다', '안전', '위해', '라지', '러시', '기분', '좋다', '타고', '기분', '더럽다', '두번째', '부모님', '다다', '불친절하다', '통영', '같다']",Negative,0.8779072165489197
스카이라인루지 통영,경남 통영시 발개로 178,Norrnan,"너무 재미있었어요,,😀 가족과 함께 즐거운 추억 만들기 완전 성공적 진짜.. 최고에요!!! 코스도 길고, 시원하고 루지탑승하기위해서 위로 올라갈때 뷰도 최강입니다.","너무 재미있었어요,, 가족과 함께 즐거운 추억 만들기 완전 성공적 진짜.. 최고에요!!! 코스도 길고, 시원하고 루지탑승하기위해서 위로 올라갈때 뷰도 최강입니다.","['재미있다', '가족', '즐겁다', '추억', '만들기', '완전', '성공', '진짜', '최고', '코스', '길다', '시원하다', '루지', '탑승', '위해', '위로', '최강', '이다']",Positive,0.9738079905509949
스카이라인루지 통영,경남 통영시 발개로 178,tjw****,2번째 방문입니다.레전드 코스와 익스프레스였나 익스트림이였나 가물 가물하네요.거기를 가장 추천합니다.가족 단위 방문시 자동차 떼빙하듯이 같이 움직이시면 가족 사진 가능합니다. ^^:처음에 가시는 분이라면 가급적 4회 이상 타셔요. 코스가 4개인지라 아쉬울 수 있습니다.리프트도 재밌고 루지도 재밌습니다.다음에는 통영루지외 부산루지를 타고자 합니다.통영루지는 3번 방문하여 새로운 코스를 타보고자 함입니다.추천 추천드립니다.참 재밌습니다.,2번째 방문입니다.레전드 코스와 익스프레스였나 익스트림이였나 가물 가물하네요.거기를 가장 추천합니다.가족 단위 방문시 자동차 떼빙하듯이 같이 움직이시면 가족 사진 가능합니다. 처음에 가시는 분이라면 가급적 4회 이상 타셔요. 코스가 4개인지라 아쉬울 수 있습니다.리프트도 재밌고 루지도 재밌습니다.다음에는 통영루지외 부산루지를 타고자 합니다.통영루지는 3번 방문하여 새로운 코스를 타보고자 함입니다.추천 추천드립니다.참 재밌습니다.,"['방문', '이다', '레전드', '코스', '익스', '프레', '익스트림', '가물', '가물', '거기', '가장', '추천', '가족', '단위', '방문', '자동차', '빙하', '듯이', '가족', '사진', '가능하다', '처음', '이상', '코스', '개인', '지라', '아쉽다', '있다', '리프트', '재밌다', '루지', '재밌다', '다음', '통영', '루지', '부산', '루지', '타고', '통영', '루지', '방문', '새롭다', '코스', '보고', '이다', '추천', '추천', '재밌다']",Positive,0.9638187289237976
스카이라인루지 통영,경남 통영시 발개로 178,굿굿굿29,날씨가 너무좋아서 사진찍으니 잘나오네용ㅋㅋ4번탔는데도 아이는 아쉬워하네요ㅋㅋ일찍가서 대기없이 신나게 타고왔습니다.안전하게 설명도 잘해주시고 좋아요ㅎㅎ,날씨가 너무좋아서 사진찍으니 잘나오네용ㅋㅋ4번탔는데도 아이는 아쉬워하네요ㅋㅋ일찍가서 대기없이 신나게 타고왔습니다.안전하게 설명도 잘해주시고 좋아요ㅎㅎ,"['날씨', '좋다', '사진', '아이', '아쉽다', '일찍', '대기', '신나다', '타고', '안전하다', '설명', '좋다']",Positive,0.9721451997756958
스카이라인루지 통영,경남 통영시 발개로 178,이히힛555,아이 어릴때 와보구 다커서 다시 왔는데 다른 재미가 있네요바람이 시원해서 더 좋아요,아이 어릴때 와보구 다커서 다시 왔는데 다른 재미가 있네요바람이 시원해서 더 좋아요,"['아이', '보구', '커서', '다시', '다른', '재미', '있다', '바람', '시원하다', '좋다']",Positive,0.9708451628684998
스카이라인루지 통영,경남 통영시 발개로 178,os****,통영 루지 트랙이 좋아요. 스로프및 노면 포장상태가좋아서 재미있습니다,통영 루지 트랙이 좋아요. 스로프및 노면 포장상태가좋아서 재미있습니다,"['통영', '루지', '트랙', '좋다', '로프', '노면', '포장', '상태', '좋다', '재미있다']",Positive,0.9720394611358643
스카이라인루지 통영,경남 통영시 발개로 178,in0****,3년전에 뉴질랜드에서 방문하고 뭔가 익숙하다 했더니 같은 브랜드라 너무 반가웠던 스카이라인 루지! 코스도 비슷한 것 같더라고요?! 추억돋고 좋았어요 .. 🥺 저는 3번으로 충분했던 것 같아요 풍경도 예쁘구 사진 찍는 구간도 은근 많아서 재밌고 평일에 사람이 많이 없어서 좋았는데 하나 아쉬운게 있다면 *현금없으면 사물함 이용불가*라는 점 입니다 .. 멀리서 뚜벅이로 왔는데 동전 필요한 사물함 계좌이체 안됨 카드결제 안됨 데스크에서 짐 맡겨주는거 불가 가방이 많았는데 캐리어가 아니니 들고타라고 하시더라고요 ㅜㅜ,3년전에 뉴질랜드에서 방문하고 뭔가 익숙하다 했더니 같은 브랜드라 너무 반가웠던 스카이라인 루지! 코스도 비슷한 것 같더라고요?! 추억돋고 좋았어요 .. 저는 3번으로 충분했던 것 같아요 풍경도 예쁘구 사진 찍는 구간도 은근 많아서 재밌고 평일에 사람이 많이 없어서 좋았는데 하나 아쉬운게 있다면 현금없으면 사물함 이용불가라는 점 입니다 .. 멀리서 뚜벅이로 왔는데 동전 필요한 사물함 계좌이체 안됨 카드결제 안됨 데스크에서 짐 맡겨주는거 불가 가방이 많았는데 캐리어가 아니니 들고타라고 하시더라고요 ㅜㅜ,"['뉴질랜드', '방문', '뭔가', '익숙하다', '같다', '브랜드', '반갑다', '스카이라인', '루지', '코스', '비슷하다', '같다', '추억', '좋다', '충분하다', '같다', '풍경', '예쁘다', '사진', '구간', '은근', '많다', '재밌다', '평일', '사람', '없다', '좋다', '하나', '아쉽다', '있다', '현금', '없다', '사물함', '이용', '불가', '이다', '멀리', '뚜벅', '동전', '필요하다', '사물함', '계좌', '이체', '안되다', '카드', '결제', '안되다', '데스크', '불가', '가방', '많다', '캐리어', '아니다', '고타']",Positive,0.9591386914253235
스카이라인루지 통영,경남 통영시 발개로 178,40****,"추석 연휴에 가족과 함께 거제,통영 여행하면서 스카이라인 루지에 방문했는데... 아들과 함께 5번 타면서 시간을 보냈습니다. 아들이 많이 좋아하네요. 본인도 재미있게 타면서 즐겼던 것 같네요. 스키 타는 것 만큼 스릴 있습니다.","추석 연휴에 가족과 함께 거제,통영 여행하면서 스카이라인 루지에 방문했는데... 아들과 함께 5번 타면서 시간을 보냈습니다. 아들이 많이 좋아하네요. 본인도 재미있게 타면서 즐겼던 것 같네요. 스키 타는 것 만큼 스릴 있습니다.","['추석', '연휴', '가족', '거제', '통영', '여행', '스카이라인', '루지', '방문', '아들', '시간', '아들', '좋아하다', '본인', '재미있다', '같다', '스키', '만큼', '스릴', '있다']",Positive,0.9725145697593689
스카이라인루지 통영,경남 통영시 발개로 178,냉정한 음식사랑,이번 통영 여행에서 아이 만족도를  루지 하나 만으로도  여행 만족도를 확실히  올렸네요.. 가격이 부담스럽긴 하지만 통영에 오신다면 한번 타 볼만 합니다..,이번 통영 여행에서 아이 만족도를 루지 하나 만으로도 여행 만족도를 확실히 올렸네요.. 가격이 부담스럽긴 하지만 통영에 오신다면 한번 타 볼만 합니다..,"['이번', '통영', '여행', '아이', '만족도', '루지', '하나', '여행', '만족도', '확실하다', '가격', '부담스럽다', '통영', '한번']",Positive,0.9728266000747681
스카이라인루지 통영,경남 통영시 발개로 178,짱1972,너무 재밌어요이른시간에  가야 덜 추울듯하네요오후 늦게 갔더니  쫌 추웠어요장갑은 필수입니다,너무 재밌어요이른시간에 가야 덜 추울듯하네요오후 늦게 갔더니 쫌 추웠어요장갑은 필수입니다,"['재밌다', '시간', '가야', '오후', '춥다', '장갑', '필수', '이다']",Positive,0.9650932550430298
