store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,tab****,맛있어요^^,맛있어요,['맛있다'],Positive,0.9722048044204712
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,gta****,바로 만들어서 너무 맛있어요,바로 만들어서 너무 맛있어요,"['바로', '맛있다']",Positive,0.9745293259620667
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,찐뽕07,팝업으로 들어옹 휘낭시에 이스터 서울~휘낭시에 맛있어요!!👍👍,팝업으로 들어옹 휘낭시에 이스터 서울휘낭시에 맛있어요!!,"['팝업', '낭시', '이스터', '낭시', '맛있다']",Positive,0.9694346189498901
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,jinijins,아메리카노 먹었는데 고소한게 맛있네요사람도 많고 분위기도 예쁘더라구요,아메리카노 먹었는데 고소한게 맛있네요사람도 많고 분위기도 예쁘더라구요,"['아메리카노', '고소하다', '맛있다', '사람', '많다', '분위기', '예쁘다']",Positive,0.969890832901001
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,딸기라떼조하,스타필드에 새로들어온 빠우매장~~̆̈~̆̈도넛츠가 진짜크고 맛있을거 같아요!!빠우 도넛이 기대가 되용~~~~̆̈~̆̈!!!,스타필드에 새로들어온 빠우매장도넛츠가 진짜크고 맛있을거 같아요!!빠우 도넛이 기대가 되용!!!,"['스타', '필드', '새롭다', '빠우매장도넛츠', '진짜', '맛있다', '같다', '빠우', '도넛', '기대']",Positive,0.973676860332489
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,jjyeongfood,잇토피아 규모 진짜 크고 맛있는 음식들이 다양하게 있도라고용 다 맛집이고 너무 든든한 한끼 먹을 수 있어서 너무 좋았어여!,잇토피아 규모 진짜 크고 맛있는 음식들이 다양하게 있도라고용 다 맛집이고 너무 든든한 한끼 먹을 수 있어서 너무 좋았어여!,"['토피아', '규모', '진짜', '맛있다', '음식', '다양하다', '있다', '고용', '맛집', '든든하다', '있다', '좋다']",Positive,0.9737786054611206
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,ims****,언커먼 안경 두번째 구매인데 기존 안경이 만족스러워서 일상용으로 한개 더 구매하였습니다. 기존 안경이 헐렁해졌는데 교정 및 안경 코받힘부분도 수리해주셔서 감사드립니다.  친절하게 추천해주시고 시력 측정도 해주셔서 만족도가 높았습니다.,언커먼 안경 두번째 구매인데 기존 안경이 만족스러워서 일상용으로 한개 더 구매하였습니다. 기존 안경이 헐렁해졌는데 교정 및 안경 코받힘부분도 수리해주셔서 감사드립니다. 친절하게 추천해주시고 시력 측정도 해주셔서 만족도가 높았습니다.,"['커먼', '안경', '두번째', '구매', '기존', '안경', '만족스럽다', '상용', '구매', '기존', '안경', '헐렁하다', '교정', '안경', '부분', '수리', '감사', '친절하다', '추천', '시력', '측정', '만족도', '높다']",Positive,0.9639166593551636
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,멍멍4580,이이플레이스에서 모자 할인 되서 저렴하게 득템햇어요사구싶엇던 옷 잇는데 브랜드 이름을 못보고 와서 아숩,이이플레이스에서 모자 할인 되서 저렴하게 득템햇어요사구싶엇던 옷 잇는데 브랜드 이름을 못보고 와서 아숩,"['이이', '레이스', '모자', '할인', '저렴하다', '득템', '덥다', '브랜드', '이름', '아숩']",Positive,0.9283591508865356
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,jek4152,맛있게 먹었어요^^,맛있게 먹었어요,['맛있다'],Positive,0.9726374745368958
스타필드 수원,경기 수원시 장안구 수성로 175 스타필드 수원,포키41,맛잇아요!,맛잇아요!,[],Positive,0.9727126955986023
