store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,vob****,딸아이가 즐겨먹는 스테이크덮밥이 아주 맛있네요!,딸아이가 즐겨먹는 스테이크덮밥이 아주 맛있네요!,"['딸아이', '스테이크', '아주', '맛있다']",Positive,0.9695549607276917
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,BlackBananaBread,"🎄☃️ 스타필드 안성 🎅🤶지난번엔 트리 사진을 찍었는데, 오늘은 크리스마스 소품 판매 매장을 둘러봤어요.2층 위니비니 캔디 매장에서 귀여운 양말(간식 4개 포함) 상품을 샀어요. 양말 외에도 아기자기한 인형들이 많았어요.2층 영풍문고에도 다양한 크리스마스 소품이 있고, 접이식 카드가 예뻐서 구매했어요. 2026년 다이어리도 다양하게 출시되었어요.2층 폴 바셋은 친절했고, 음료 스탬프 15잔을 채워 폴 바셋 X 포인트오브 뷰가 함께 콜라보로 제작한 다이어리를 예약했어요. 3층 사과당 자리에 연백 딸기모찌가 생겨서 먹어봤어요.","스타필드 안성 지난번엔 트리 사진을 찍었는데, 오늘은 크리스마스 소품 판매 매장을 둘러봤어요.2층 위니비니 캔디 매장에서 귀여운 양말간식 4개 포함 상품을 샀어요. 양말 외에도 아기자기한 인형들이 많았어요.2층 영풍문고에도 다양한 크리스마스 소품이 있고, 접이식 카드가 예뻐서 구매했어요. 2026년 다이어리도 다양하게 출시되었어요.2층 폴 바셋은 친절했고, 음료 스탬프 15잔을 채워 폴 바셋 X 포인트오브 뷰가 함께 콜라보로 제작한 다이어리를 예약했어요. 3층 사과당 자리에 연백 딸기모찌가 생겨서 먹어봤어요.","['스타', '필드', '안성', '지난번', '트리', '사진', '오늘', '크리스마스', '소품', '판매', '매장', '위니', '비니', '캔디', '매장', '귀엽다', '양말', '간식', '포함', '상품', '양말', '아기자기하다', '인형', '많다', '영풍문고', '다양하다', '크리스마스', '소품', '있다', '접이식', '카드', '예쁘다', '구매', '다이어리', '다양하다', '출시', '바셋', '친절하다', '음료', '스탬프', '바셋', '포인트', '오브', '콜라보', '제작', '다이어리', '예약', '사과', '자리', '연백', '딸기모찌']",Positive,0.9482943415641785
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,dongc81,오픈하자 마자 방문해서 점퍼너무맘에들어서 애들꺼랑 와이프꺼까지  세벌 사버렸네요 직원분너무친절하셔서 즐겁게 쇼핑했어요서비스 많이  보내주신다고해서  기대가 살짝 됩니다 ㅎㅎ,오픈하자 마자 방문해서 점퍼너무맘에들어서 애들꺼랑 와이프꺼까지 세벌 사버렸네요 직원분너무친절하셔서 즐겁게 쇼핑했어요서비스 많이 보내주신다고해서 기대가 살짝 됩니다 ㅎㅎ,"['오픈', '마자', '방문', '점퍼', '와이프', '세벌', '직원', '친절하다', '즐겁다', '쇼핑', '서비스', '기대', '살짝']",Positive,0.9718322157859802
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,임블리v,👍,,[],Neutral,0.0
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,Luii42,옷 가짓수가 많지 않아서 아쉽지만다행히 맘에 드는게 있어 샀어요.,옷 가짓수가 많지 않아서 아쉽지만다행히 맘에 드는게 있어 샀어요.,"['가짓수', '많다', '아쉽다', '다행하다', '있다']",Positive,0.9561910629272461
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,써니앤마로,고구마튀김 바삭하니 달달해요,고구마튀김 바삭하니 달달해요,"['고구마', '튀김', '바삭', '달달']",Positive,0.9722485542297363
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,BlackBananaBread,"🎅🤶 스타필드 안성🎄☃️  겨울 분위기로 가득 바뀐 매장 곳곳에서 크리스마스 감성을 느낄 수 있었어요.업종과 상관없이 다양한 매장들이 예쁜 소품들로 꾸며져 있어 사진 찍는 재미가 있고, 보는 내내 기분이 좋아졌습니다.아이들과 함께 즐거운 시간을 보내기에 정말 좋은 공간이에요.또, 팝업 매장에 CCTV가 설치되어 있어 안전까지 신경 쓴 모습이 인상적이었습니다.3층 랑데자뷰 자리에는 새롭게 스타벅스가 들어서네요~! 🎉 벌써부터 기대가 많이 되고, 오픈하면 꼭 방문할 거예요. (2025.12.26 오픈)2층 폴바셋에서 주문받아주신 직원분이 친절했어요.1층 스타벅스에 YAVA 그래놀라(1,800원) 신제품이 나왔어요. 리저브 매장에서 아포가토를 주문해 그래놀라를 토핑해 드셔 보세요. 맛있어요.","스타필드 안성 겨울 분위기로 가득 바뀐 매장 곳곳에서 크리스마스 감성을 느낄 수 있었어요.업종과 상관없이 다양한 매장들이 예쁜 소품들로 꾸며져 있어 사진 찍는 재미가 있고, 보는 내내 기분이 좋아졌습니다.아이들과 함께 즐거운 시간을 보내기에 정말 좋은 공간이에요.또, 팝업 매장에 CCTV가 설치되어 있어 안전까지 신경 쓴 모습이 인상적이었습니다.3층 랑데자뷰 자리에는 새롭게 스타벅스가 들어서네요! 벌써부터 기대가 많이 되고, 오픈하면 꼭 방문할 거예요. 2025.12.26 오픈2층 폴바셋에서 주문받아주신 직원분이 친절했어요.1층 스타벅스에 YAVA 그래놀라1,800원 신제품이 나왔어요. 리저브 매장에서 아포가토를 주문해 그래놀라를 토핑해 드셔 보세요. 맛있어요.","['스타', '필드', '안성', '겨울', '분위기', '가득', '매장', '곳곳', '크리스마스', '감성', '있다', '업종', '상관없다', '다양하다', '매장', '예쁘다', '소품', '있다', '사진', '재미', '있다', '내내', '기분', '아이', '즐겁다', '시간', '정말', '좋다', '공간', '팝업', '매장', '설치', '있다', '안전', '신경', '모습', '인상', '데자뷰', '자리', '새롭다', '스타벅스', '벌써', '기대', '오픈', '방문', '오픈', '폴바', '주문', '직원', '친절하다', '스타벅스', '그렇다', '신제품', '리저', '매장', '아포가토', '주문', '그렇다', '토핑해', '맛있다']",Positive,0.9683776497840881
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,물흐르듯이빡세게,2층 폴바셋에서 라떼 얼음 적게 주문했는데이렇게 주고다시 타드려요?다시 타드릴 테니 비교할래요?이딴 식으로 대답함직원 교육이나 제대로 하시길말장난하면서 기싸움하지 말고,2층 폴바셋에서 라떼 얼음 적게 주문했는데이렇게 주고다시 타드려요?다시 타드릴 테니 비교할래요?이딴 식으로 대답함직원 교육이나 제대로 하시길말장난하면서 기싸움하지 말고,"['폴바', '라떼', '얼음', '주문', '다시', '드릴', '비교', '대답', '직원', '교육', '제대로', '말장난', '싸움']",Negative,0.9071339964866638
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,ijm,행사장 계신분 친절해요,행사장 계신분 친절해요,"['행사', '신분', '친절하다']",Positive,0.969041645526886
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,맛있는고등어1,레고로 크리스마스 트리를 만들었어요.거울방에 가서 사진 잔뜩 찍고왔네요.매장이 굉장히 넓어요 ㅎㅎ,레고로 크리스마스 트리를 만들었어요.거울방에 가서 사진 잔뜩 찍고왔네요.매장이 굉장히 넓어요 ㅎㅎ,"['레고', '크리스마스', '트리', '거울', '사진', '잔뜩', '매장', '굉장하다', '넓다']",Positive,0.9376046061515808
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,쿠핫89,맛있고 양도 괜찮아요.아이가 좋아하네요추천합니다,맛있고 양도 괜찮아요.아이가 좋아하네요추천합니다,"['맛있다', '양도', '괜찮다', '아이', '좋아하다', '요추', '천하다']",Positive,0.9747248888015747
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,게몽,비싼만큼 가치가 있습니다.,비싼만큼 가치가 있습니다.,"['비싸다', '가치', '있다']",Positive,0.9665461778640747
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,다모클래스,굳,굳,['굳다'],Positive,0.9499149918556213
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,짐승Paul,친절하고 맘에듭니다. 원스탑쇼핑 편해요,친절하고 맘에듭니다. 원스탑쇼핑 편해요,"['친절하다', '맘에듭니', '스탑', '쇼핑', '편하다']",Positive,0.9733009934425354
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,FERRY,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,BogoBogo,따끈한 국물이 생각나는 계절이라서 닭반마리 점심으로 주문했는데 육수도 깔끔하고 맛있네요.~,따끈한 국물이 생각나는 계절이라서 닭반마리 점심으로 주문했는데 육수도 깔끔하고 맛있네요.,"['따끈하다', '국물', '계절', '마리', '점심', '주문', '육수', '깔끔하다', '맛있다']",Positive,0.9713886976242065
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,Hunkydorys2,아몬드 겟또➰🫶🏻,아몬드 겟또,"['아몬드', '겟또']",Positive,0.8090670108795166
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,dominic nn,맛있고 멋있는곳이지요,맛있고 멋있는곳이지요,"['맛있다', '멋있다', '이지']",Positive,0.9713323712348938
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,레모나큰언니,짱좋음,짱좋음,['좋다'],Positive,0.9726482629776001
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,말랑먼ㅈl,👍,,[],Neutral,0.0
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,she****,굿,굿,[],Positive,0.9277362823486328
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,아리7341,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,눈물up는saㄹ5,좋아요~~~친절해요~~~맛있어요~~,좋아요친절해요맛있어요,"['좋다', '친절하다', '맛있다']",Positive,0.9735612869262695
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,w0mbatindaeyong,레고로 크리스마스 분위기에 맞춰 꾸며놔서 너무 기엽구 이뻐요,레고로 크리스마스 분위기에 맞춰 꾸며놔서 너무 기엽구 이뻐요,"['레고', '크리스마스', '분위기', '기엽구', '이쁘다']",Positive,0.9730257987976074
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,als****,니트티. 니트치마,니트티. 니트치마,"['니트', '니트', '치마']",Negative,0.8270003199577332
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,maai,맛있게 잘먹었어요 :),맛있게 잘먹었어요,['맛있다'],Positive,0.9719407558441162
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,pbo0921,아그라에서 점심 먹고 트리랑 사진 찍었어요! 너무 이뻐요!! 레고로 만든 트리 웅장합니다!,아그라에서 점심 먹고 트리랑 사진 찍었어요! 너무 이뻐요!! 레고로 만든 트리 웅장합니다!,"['아그라', '점심', '트리', '사진', '이쁘다', '레고', '트리', '웅장']",Positive,0.973717212677002
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,써니앤마로,구성이 좋아요 😀,구성이 좋아요,"['구성', '좋다']",Positive,0.9717689752578735
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,라하새욱,"금요일 아무도 없고,좋네예~~가드분들도 계시니 맘이 놓입니다.아!커피가 ...라떼가 안되여ㅜㅜㅜ","금요일 아무도 없고,좋네예가드분들도 계시니 맘이 놓입니다.아!커피가 ...라떼가 안되여ㅜㅜㅜ","['금요일', '아무', '없다', '좋다', '가드', '계시다', '커피', '라떼', '안되다']",Positive,0.956721842288971
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,lee****,파스타랑 파스타 맛있고 깔끔해요! 추천해요~,파스타랑 파스타 맛있고 깔끔해요! 추천해요,"['파스타', '파스타', '맛있다', '깔끔하다', '추천']",Positive,0.9710173010826111
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,여름별맘,(((ＵωＵ｀ *)(* ´ＵωＵ))),,[],Neutral,0.0
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,떠오르는Star,갈때마다 너무 즐거워요ㅎ,갈때마다 너무 즐거워요ㅎ,['즐겁다'],Positive,0.9740195274353027
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,MJ298,굳,굳,['굳다'],Positive,0.9499149918556213
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,빛나는 별 s,아이점퍼랑 부츠 잘 샀어요,아이점퍼랑 부츠 잘 샀어요,"['아이', '점퍼', '부츠']",Positive,0.9620299935340881
스타필드 안성,경기 안성시 공도읍 서동대로 3930-39 1층,jjungjk,브롤스타즈 경기에서 결승까지 올라갔어요. 즐거운 경험이었습니다.,브롤스타즈 경기에서 결승까지 올라갔어요. 즐거운 경험이었습니다.,"['브롤', '스타즈', '경기', '결승', '즐겁다', '경험']",Positive,0.9732383489608765
