store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,Aaa6367,대림상회 맛있었어요 짭쪼름 매콤 해요 칠리새우 존맛,대림상회 맛있었어요 짭쪼름 매콤 해요 칠리새우 존맛,"['대림', '상회', '맛있다', '짭쪼름', '매콤', '칠리', '새우', '존맛']",Positive,0.9514182209968567
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,박창서40,좋아요.,좋아요.,['좋다'],Positive,0.9603385329246521
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,dus연,따뜻하게  비빔밥 한그릇^_^,따뜻하게 비빔밥 한그릇,"['따뜻하다', '비빔밥', '그릇']",Negative,0.5604339838027954
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,dih****,직원분들 친절하세요~,직원분들 친절하세요,"['직원', '친절하다']",Positive,0.9600904583930969
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,젠타의맛집,굿,굿,[],Positive,0.9277362823486328
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,언제까지나함께,굿,굿,[],Positive,0.9277362823486328
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,클로이유,올드페리 도넛이 너무 맛있어요,올드페리 도넛이 너무 맛있어요,"['페리', '도넛', '맛있다']",Positive,0.9718363881111145
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,진유ㅇ,굿,굿,[],Positive,0.9277362823486328
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,진유ㅇ,블랙프라이데이라 세일 하네오~~~,블랙프라이데이라 세일 하네오,['블랙프라이데이'],Positive,0.8724843263626099
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,흐흐32,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,미정이22,^^~~~,,[],Neutral,0.0
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,cho****,편하고 이쁘네요,편하고 이쁘네요,"['편하다', '이쁘다']",Positive,0.961292028427124
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,화5232,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,kwo****,굿,굿,[],Positive,0.9277362823486328
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,Alice5594,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,놀랍다1인,세일해요,세일해요,['일해'],Positive,0.9034768342971802
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,lmi****,린넨셔츠 세탁법좋네요,린넨셔츠 세탁법좋네요,"['린넨', '셔츠', '세탁', '좋다']",Positive,0.9686377048492432
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,백종업,좋습니다,좋습니다,['좋다'],Positive,0.9652580618858337
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,세식구,굿~,굿,[],Positive,0.9277362823486328
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,us****,할인품목많고 물건이 많아요!,할인품목많고 물건이 많아요!,"['할인', '품목', '많다', '물건', '많다']",Positive,0.9548503756523132
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,단호박2933,쇼핑하기도 애들놀기도 딱좋아요,쇼핑하기도 애들놀기도 딱좋아요,"['쇼핑', '딱좋다']",Positive,0.9617366194725037
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,HR07,처음 가봤는데 여주아울렛보다 훨씬 작네요~ 그래도 몇가지 득템했어요~~~,처음 가봤는데 여주아울렛보다 훨씬 작네요 그래도 몇가지 득템했어요,"['처음', '아울렛', '작다', '가지', '득템']",Positive,0.683898389339447
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,튼튼이14,.,.,[],Negative,0.6441146731376648
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,원퀸,나이키 아디다스는 이제 할인이 상시인거 같고. 주차장이 직원배치가 안되서 그런지 입구진입이 매우 자주 어렵네요. 저렴 매대도 많으나 고급 브랜드가 특색있게 들어와 있진 않아 아쉽네요. 스벅 두개는 있어 좋아해요,나이키 아디다스는 이제 할인이 상시인거 같고. 주차장이 직원배치가 안되서 그런지 입구진입이 매우 자주 어렵네요. 저렴 매대도 많으나 고급 브랜드가 특색있게 들어와 있진 않아 아쉽네요. 스벅 두개는 있어 좋아해요,"['나이키', '아디다스', '이제', '할인', '상시인', '같다', '주차장', '직원', '배치', '안되다', '그렇다', '입구', '진입', '매우', '자주', '어렵다', '저렴', '대도', '많다', '고급', '브랜드', '특색', '있다', '있다', '아쉽다', '스벅', '있다', '좋아하다']",Negative,0.6465696692466736
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,다인9887,"리바이스 청바지 세일 이벤트로 좋은 가격에 구입을 했네요. 아쉽게도 스키니진은 잘 보이진 않았지만, 부츠컷으로 새로운 패션에 도전해보게 되었네요... 날씨가 흐리지만, 추석 연휴와 함께 나이키 파격세일 이벤트와 겹쳐서 사람이 꽤 많이 붐빕니다.","리바이스 청바지 세일 이벤트로 좋은 가격에 구입을 했네요. 아쉽게도 스키니진은 잘 보이진 않았지만, 부츠컷으로 새로운 패션에 도전해보게 되었네요... 날씨가 흐리지만, 추석 연휴와 함께 나이키 파격세일 이벤트와 겹쳐서 사람이 꽤 많이 붐빕니다.","['리바이스', '청바지', '이벤트', '좋다', '가격', '구입', '아쉽다', '스키니진', '부츠', '새롭다', '패션', '도전', '날씨', '추석', '연휴', '나이키', '파격', '이벤트', '사람']",Positive,0.9521313905715942
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,이지아9867,조아요,조아요,['좋다'],Positive,0.9475513100624084
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,가치돌이,그릇 좋아요,그릇 좋아요,"['그릇', '좋다']",Positive,0.9595059156417847
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,Reviewdori,어제 고속도로에서 보고 우연히 들렀는데깔끔하고 매장도 많고 좋네요,어제 고속도로에서 보고 우연히 들렀는데깔끔하고 매장도 많고 좋네요,"['어제', '고속도로', '보고', '깔끔하다', '매장', '많다', '좋다']",Positive,0.967738151550293
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,vvlionvv,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,먼데이33,디자인이 이쁘고 친절하세요,디자인이 이쁘고 친절하세요,"['디자인', '이쁘다', '친절하다']",Positive,0.912813663482666
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,미 부,탠디 신발 세일해서 샀어요좋아요,탠디 신발 세일해서 샀어요좋아요,"['탠디', '신발', '일해', '좋다']",Positive,0.9743843078613281
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,hak****,쇼핑하러 왔다가당충전이 필요할때오세요.!!,쇼핑하러 왔다가당충전이 필요할때오세요.!!,"['쇼핑', '충전', '필요하다']",Negative,0.6639840006828308
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,SOEYA,맛있어요,맛있어요,['맛있다'],Positive,0.9722048044204712
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,아카봉,굳,굳,['굳다'],Positive,0.9499149918556213
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,int****,좋은것같아요!,좋은것같아요!,"['좋다', '같다']",Positive,0.9721484780311584
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,로또1등될단지,많이 지난 이월이지만신세계 팩토리에서 아이 옷과 아버님 옷샀어요~,많이 지난 이월이지만신세계 팩토리에서 아이 옷과 아버님 옷샀어요,"['지난', '이월', '신세계', '팩토리', '아이', '아버님']",Positive,0.9159649014472961
시흥프리미엄아울렛,경기 시흥시 서해안로 699 시흥프리미엄아울렛,roq****,굿굿,굿굿,['굿굿'],Positive,0.9560064077377319
