store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,도끼눈Duke최종혁,"패키지(관람+ARTR CAFE)로 입장. Flower로 시작되는 미디어 아트 공간 꽃이 흐르고, 피고,지고, 피아노 위로 떨어지는 꽃잎과 나비, 분홍 토끼가 여행객을 반겨줍니다. 페이퍼 전등으로 환상적인 공간을 연출해주는 STAR에서 인물 사진 담기에 좋고, 웅장한 폭포, 고래와  파도가 물결치는 비치, 분홍 달빛속에서 인생사진 남기기. 직접 그림을 그려 인식하면 넓은 스크린에 재현되는 체험. 환상적인 동굴, 얼굴을 찍으면 영상으로 재현되는 체험도 있고, 가든에서 펼쳐지는 명화와 아름다운 음악이 함께 하는 미디어아트가 아주좋습니다. 시간이 부족해 가든의 모든 영상을 다 보지 못해서 아쉬웠답니다. ARTE Cafe에서 밀크티를 마시며, 찻잔 위로 날아다니는 나비의 영상까지 아이랑 가볼만한 실내 여행지","패키지관람ARTR CAFE로 입장. Flower로 시작되는 미디어 아트 공간 꽃이 흐르고, 피고,지고, 피아노 위로 떨어지는 꽃잎과 나비, 분홍 토끼가 여행객을 반겨줍니다. 페이퍼 전등으로 환상적인 공간을 연출해주는 STAR에서 인물 사진 담기에 좋고, 웅장한 폭포, 고래와 파도가 물결치는 비치, 분홍 달빛속에서 인생사진 남기기. 직접 그림을 그려 인식하면 넓은 스크린에 재현되는 체험. 환상적인 동굴, 얼굴을 찍으면 영상으로 재현되는 체험도 있고, 가든에서 펼쳐지는 명화와 아름다운 음악이 함께 하는 미디어아트가 아주좋습니다. 시간이 부족해 가든의 모든 영상을 다 보지 못해서 아쉬웠답니다. ARTE Cafe에서 밀크티를 마시며, 찻잔 위로 날아다니는 나비의 영상까지 아이랑 가볼만한 실내 여행지","['패키지', '관람', '입장', '시작', '미디어', '아트', '공간', '피고', '지고', '피아노', '위로', '꽃잎', '나비', '분홍', '토끼', '여행객', '페이퍼', '전등', '환상', '공간', '연출', '인물', '사진', '좋다', '웅장', '폭포', '고래', '파도', '물결', '비치', '분홍', '달빛', '인생', '사진', '직접', '그림', '인식', '넓다', '스크린', '재현', '체험', '환상', '동굴', '얼굴', '영상', '재현', '체험', '있다', '가든', '명화', '아름답다', '음악', '미디어아트', '아주', '좋다', '시간', '부족하다', '가든', '모든', '영상', '보지', '아쉽다', '밀크', '찻잔', '위로', '나비', '영상', '아이', '실내', '여행지']",Positive,0.9616926312446594
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,꽃마리53,겨울에 강릉에 가 볼 만 한 곳!강릉 아르떼 뮤지엄 추천해요시간 가는줄 모르고 잘 즐겼던거 같아요테마도 좋고 각 테마 마다 나는 향도 좋고좋은 추억 남기고 왔어요저는 할인 받아서 다녀왔는데 그래서 더더욱 만족이요,겨울에 강릉에 가 볼 만 한 곳!강릉 아르떼 뮤지엄 추천해요시간 가는줄 모르고 잘 즐겼던거 같아요테마도 좋고 각 테마 마다 나는 향도 좋고좋은 추억 남기고 왔어요저는 할인 받아서 다녀왔는데 그래서 더더욱 만족이요,"['겨울', '강릉', '강릉', '아르떼', '지엄', '추천', '시간', '같다', '테마', '좋다', '테마', '마다', '좋다', '좋다', '추억', '할인', '더욱', '만족']",Positive,0.9745518565177917
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,바삭감튀,규모가 엄청 크진 않지만 보고 즐기다보면 1시간 반정도는 걸리는 것 같아요. 공기도 시원하고 각 섹션마다 공간에 뿌려지는 향도 다른 것 같네요ㅎㅎ 마지막 전시 공간이 제일 인상 깊었어요! 강추!무료 짐 보관함도 있어서 편해요,규모가 엄청 크진 않지만 보고 즐기다보면 1시간 반정도는 걸리는 것 같아요. 공기도 시원하고 각 섹션마다 공간에 뿌려지는 향도 다른 것 같네요ㅎㅎ 마지막 전시 공간이 제일 인상 깊었어요! 강추!무료 짐 보관함도 있어서 편해요,"['규모', '보고', '정도', '같다', '공기', '시원하다', '섹션', '공간', '다른', '같다', '마지막', '전시', '공간', '제일', '인상', '깊다', '강추', '무료', '보관', '있다', '편하다']",Positive,0.9737623333930969
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,Ulsio45,전국여행 돌면서 가장 기억에 남는 장소 중 하나였어요!다양한 테마와 거울을 정말 효과적으로 잘썼고 개인적으로는 마지막 전시관에 세계명화코스가 제일 좋았어요!전국에 3군데가 더 있다고하니 다른곳도 다 가보고싶어지네요!,전국여행 돌면서 가장 기억에 남는 장소 중 하나였어요!다양한 테마와 거울을 정말 효과적으로 잘썼고 개인적으로는 마지막 전시관에 세계명화코스가 제일 좋았어요!전국에 3군데가 더 있다고하니 다른곳도 다 가보고싶어지네요!,"['전국', '여행', '가장', '기억', '장소', '하나', '다양하다', '테마', '거울', '정말', '효과', '개인', '마지막', '전시관', '계명', '코스', '제일', '좋다', '전국', '군데', '있다', '곳도']",Positive,0.9743638038635254
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,배부른춘식잉,"멋있고 웅장한 디스플레이가 많았습니다 생각보다 관람하는데 오래 걸렸어요ㅎㅎ 사진 찍으면서 추억남기기 좋은 곳입니다 직접 색칠한 그림을 화면에 띄우는 체험도 할 수 있어요외국인, 어르신들이 많았는데 아이와 함께 오면 좋아할 것 같아요 건물 바로 앞에 무료주차 가능합니다 마지막엔 기념품 구경하고 카페도 함께 이용해보세요","멋있고 웅장한 디스플레이가 많았습니다 생각보다 관람하는데 오래 걸렸어요ㅎㅎ 사진 찍으면서 추억남기기 좋은 곳입니다 직접 색칠한 그림을 화면에 띄우는 체험도 할 수 있어요외국인, 어르신들이 많았는데 아이와 함께 오면 좋아할 것 같아요 건물 바로 앞에 무료주차 가능합니다 마지막엔 기념품 구경하고 카페도 함께 이용해보세요","['멋있다', '웅장', '디스플레이', '많다', '생각', '관람', '사진', '추억', '좋다', '이다', '직접', '색칠', '그림', '화면', '체험', '있다', '외국인', '어르신', '많다', '아이', '좋아하다', '같다', '건물', '바로', '무료', '주차', '가능하다', '마지막', '기념품', '구경', '카페', '이용']",Positive,0.9729486107826233
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,Candyjieun84,뻔한 강릉여행만 하던중 알게된 아르떼뮤지엄!전시관은 오랜만이라 기대 잔뜩하고 갔는데이게왠일!! 생각보다 더 예쁘고 볼게 많은거 있죠??아이들과 가도 넘 좋을거같아요❤️눈으로보고 소리도 듣고 눈호강제대로하고 왔어요!다음에 또 좋은 전시관있으면 가고싶네여~암튼 좋은 경험했습니다😍👍,뻔한 강릉여행만 하던중 알게된 아르떼뮤지엄!전시관은 오랜만이라 기대 잔뜩하고 갔는데이게왠일!! 생각보다 더 예쁘고 볼게 많은거 있죠??아이들과 가도 넘 좋을거같아요눈으로보고 소리도 듣고 눈호강제대로하고 왔어요!다음에 또 좋은 전시관있으면 가고싶네여암튼 좋은 경험했습니다,"['뻔하다', '강릉', '여행', '아르떼', '지엄', '전시관', '만이', '기대', '잔뜩', '생각', '예쁘다', '많다', '있다', '아이', '가도', '좋다', '같다', '보고', '소리', '호강', '제대로', '다음', '좋다', '전시관', '있다', '좋다', '경험']",Positive,0.9724453091621399
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,민 별,"비 오는 날 강릉 여행 중 들른 아르떼뮤지엄! 입장하자마자 다른 세상에 온 듯한 몰입감과 좋은 향이 느껴졌어요. 공간마다 테마가 다르고, 파도·숲·빛·꽃 등 자연을 주제로 한 영상과 음악이 어우러져 정말 황홀했어요. 특히 ‘WAVE’ 존에서 파도 속에 들어간 듯한 느낌은 아직도 잊히지 않아요.비가 와서 여행중에 바다도 제대로 못 봤는데🤣조명과 거울이 어우러진 전시라 사진 찍기에도 정말 좋았고, 곳곳이 포토존이라 시간 가는 줄 몰랐어요. 관람 후에는 카페에서 여운을 즐기며 한 잔의 커피로 마무리했어요. 강릉에서 색다른 감성을 느끼고 싶다면 꼭 방문 추천합니다. 가족, 연인, 친구 누구와 가도 좋은 곳이에요✨","비 오는 날 강릉 여행 중 들른 아르떼뮤지엄! 입장하자마자 다른 세상에 온 듯한 몰입감과 좋은 향이 느껴졌어요. 공간마다 테마가 다르고, 파도숲빛꽃 등 자연을 주제로 한 영상과 음악이 어우러져 정말 황홀했어요. 특히 WAVE 존에서 파도 속에 들어간 듯한 느낌은 아직도 잊히지 않아요.비가 와서 여행중에 바다도 제대로 못 봤는데조명과 거울이 어우러진 전시라 사진 찍기에도 정말 좋았고, 곳곳이 포토존이라 시간 가는 줄 몰랐어요. 관람 후에는 카페에서 여운을 즐기며 한 잔의 커피로 마무리했어요. 강릉에서 색다른 감성을 느끼고 싶다면 꼭 방문 추천합니다. 가족, 연인, 친구 누구와 가도 좋은 곳이에요","['강릉', '여행', '아르떼', '지엄', '입장', '자마자', '다른', '세상', '몰입', '좋다', '공간', '테마', '다르다', '파도', '숲빛꽃', '자연', '주제', '영상', '음악', '정말', '황홀하다', '파도', '느낌', '여행', '바다', '제대로', '조명', '거울', '전시', '사진', '찍기', '정말', '좋다', '곳곳이', '포토', '시간', '관람', '카페', '여운', '커피', '마무리', '강릉', '색다르다', '감성', '방문', '추천', '가족', '연인', '친구', '누구', '가도', '좋다']",Positive,0.9725573658943176
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,Mikkuraji33,몰입형 미디어 아트 전시관.핫 핑크색 태양 조형물 인증 사진은 신발을 벗고 계단을 올라가야 해서 대기 줄보다 시간은 좀 소요됐지만 재미있는 경험이었음.조명이 어두워도 사진이 잘 나오는 편~강릉에서 비 오거나 너무 추운 날 실내의 갈 만한 곳 찾는다면 강추.내돈내산으로 2번 방문했기에 더이상은 안 가도 원이 없음.,몰입형 미디어 아트 전시관.핫 핑크색 태양 조형물 인증 사진은 신발을 벗고 계단을 올라가야 해서 대기 줄보다 시간은 좀 소요됐지만 재미있는 경험이었음.조명이 어두워도 사진이 잘 나오는 편강릉에서 비 오거나 너무 추운 날 실내의 갈 만한 곳 찾는다면 강추.내돈내산으로 2번 방문했기에 더이상은 안 가도 원이 없음.,"['몰입', '미디어', '아트', '전시관', '핑크색', '태양', '조형', '인증', '사진', '신발', '계단', '대기', '시간', '소요', '재미있다', '경험', '조명', '어둡다', '사진', '강릉', '오거', '실내', '강추', '방문', '이상은', '가도', '없다']",Positive,0.9708989858627319
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,VIEW,"미디어 아트. 테마별  다양한 무드들. 인생샷 찍을 스팟이 아주 많네요빛과 소리 거울, 향으로 다양하고 풍성한 표현오감자극이 남녀노소 모두에게 흥미거리예요. 비오는 날씨나너무 더운 날씨에 야외활동이 제한되는날 특히 더 추천할만 합니다. 전시관람 한시간 남짓 소요시간 걸렸고 사진도 충분히 찍었습니다. 다만 깜깜한 실내에 향이 좀 강해서 향에 민감한 분이나 갇힌 공간이 힘든분들은 불편할 수 있어요","미디어 아트. 테마별 다양한 무드들. 인생샷 찍을 스팟이 아주 많네요빛과 소리 거울, 향으로 다양하고 풍성한 표현오감자극이 남녀노소 모두에게 흥미거리예요. 비오는 날씨나너무 더운 날씨에 야외활동이 제한되는날 특히 더 추천할만 합니다. 전시관람 한시간 남짓 소요시간 걸렸고 사진도 충분히 찍었습니다. 다만 깜깜한 실내에 향이 좀 강해서 향에 민감한 분이나 갇힌 공간이 힘든분들은 불편할 수 있어요","['미디어', '아트', '테마', '다양하다', '무드들', '인생', '스팟', '아주', '많다', '빛과', '소리', '거울', '다양하다', '성하다', '감자', '남녀', '노소', '모두', '흥미', '거리', '날씨', '덥다', '날씨', '야외', '활동', '제한', '추천', '전시', '관람', '시간', '남짓', '소요', '시간', '사진', '충분하다', '다만', '깜깜', '실내', '강하다', '민감하다', '공간', '힘드다', '불편하다', '있다']",Positive,0.9655229449272156
아르떼뮤지엄 강릉,강원 강릉시 난설헌로 131,이씨남매맘51,"가족과 함께 방문한 아르떼뮤지엄, 다양한 미디어아트를 잘 구경하고 갑니다. 사진보다 영상을 찍으시길 추천합니다.제일 마지막 작품은 10분마다 영상이 계속 바뀌는 것 같은데~~~아들이 나가고 싶어해서 잠시 보고 나와서 아쉽더라고요.기회가 되면 또 가고 싶네요.","가족과 함께 방문한 아르떼뮤지엄, 다양한 미디어아트를 잘 구경하고 갑니다. 사진보다 영상을 찍으시길 추천합니다.제일 마지막 작품은 10분마다 영상이 계속 바뀌는 것 같은데아들이 나가고 싶어해서 잠시 보고 나와서 아쉽더라고요.기회가 되면 또 가고 싶네요.","['가족', '방문', '아르떼', '지엄', '다양하다', '미디어아트', '구경', '사진', '영상', '추천', '제일', '마지막', '작품', '영상', '계속', '같다', '아들', '잠시', '보고', '아쉽다', '기회']",Positive,0.9587221741676331
