store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,제이제이7165,"중3아들과 방문했습니다. 제주공항서 버스로 가기는 무리가 있어 택시로 갔고, 올때는 버스 타자 싶었습니다. 관람은 사실 초고학년까지가 정말 좋을거 같았는데 나오는 길에 입구쪽 관리자 어르신 덕분에 제주 여행에서 제일 행복한 순간이 되었습니다..아들과 나가는 길인데 어르신이 택시 잡았냐며 먼저 물어 봐주시고 버스 노선 시간까지 찾아봐주신 다음..근처 버스정류장까지 시간 촉박하다고 가지고 계신 오토바이로 태워주셨습니다..인류애 뿜뿜ㅎㅎ 아들도 행복해했고 저도 다시 한번 좋은 어른이 되자 다짐한 기회가 되었습니다. 어르신 감사했고 건강하시길 바랍니다 (__) ♡♡","중3아들과 방문했습니다. 제주공항서 버스로 가기는 무리가 있어 택시로 갔고, 올때는 버스 타자 싶었습니다. 관람은 사실 초고학년까지가 정말 좋을거 같았는데 나오는 길에 입구쪽 관리자 어르신 덕분에 제주 여행에서 제일 행복한 순간이 되었습니다..아들과 나가는 길인데 어르신이 택시 잡았냐며 먼저 물어 봐주시고 버스 노선 시간까지 찾아봐주신 다음..근처 버스정류장까지 시간 촉박하다고 가지고 계신 오토바이로 태워주셨습니다..인류애 뿜뿜ㅎㅎ 아들도 행복해했고 저도 다시 한번 좋은 어른이 되자 다짐한 기회가 되었습니다. 어르신 감사했고 건강하시길 바랍니다","['아들', '방문', '공항', '버스', '가기', '무리', '있다', '택시', '버스', '타자', '관람', '사실', '초고', '학년', '정말', '좋다', '같다', '입구', '관리자', '어르신', '덕분', '제주', '여행', '제일', '행복하다', '순간', '아들', '어르신', '택시', '먼저', '물어', '버스', '노선', '시간', '다음', '근처', '버스정류장', '시간', '촉박하다', '가지', '계시다', '오토바이', '인류', '뿜뿜', '아들', '행복하다', '다시', '한번', '좋다', '어른', '다짐', '기회', '어르신', '건강하다']",Positive,0.9644678831100464
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,코스모스3654,공항가기전 마지막날 방문 전시관람 1시간걸려요. 주차장 넓고 무료.강릉 아르떼뮤지엄에 이어 제주 아르떼뮤지엄에 방문했어요. 강릉아르떼뮤지엄과 많이 비슷하지만  제주에서만 볼 수 있는 가든에서 하는 제주만의 감성  미디어는 좋았어요. 안에 많이 어두워요. 후레시 끄고 사진찍어야 예쁘게 나와요.  아이들은 자신이 그린 그림이 스크린에 나타나는 미디어를 즐거워해요.사진 찍기도 좋고 미디어 아트 보면 힐링도 돼요. 더운 날씨나 비 오는 날이나 실내놀이로 추천드려요.  아르떼뮤지엄 입구쪽 갈대밭에서도 사진 찍기 좋았어요. #아르떼뮤지엄제주 #가족과함께#아이와함께#제주실내놀이#제주여행,공항가기전 마지막날 방문 전시관람 1시간걸려요. 주차장 넓고 무료.강릉 아르떼뮤지엄에 이어 제주 아르떼뮤지엄에 방문했어요. 강릉아르떼뮤지엄과 많이 비슷하지만 제주에서만 볼 수 있는 가든에서 하는 제주만의 감성 미디어는 좋았어요. 안에 많이 어두워요. 후레시 끄고 사진찍어야 예쁘게 나와요. 아이들은 자신이 그린 그림이 스크린에 나타나는 미디어를 즐거워해요.사진 찍기도 좋고 미디어 아트 보면 힐링도 돼요. 더운 날씨나 비 오는 날이나 실내놀이로 추천드려요. 아르떼뮤지엄 입구쪽 갈대밭에서도 사진 찍기 좋았어요. 아르떼뮤지엄제주 가족과함께아이와함께제주실내놀이제주여행,"['공항', '기전', '마지막', '방문', '전시', '관람', '주차장', '넓다', '무료', '강릉', '아르떼', '지엄', '제주', '아르떼', '지엄', '방문', '강릉', '아르떼', '지엄', '비슷하다', '제주', '있다', '가든', '제주', '감성', '미디어', '좋다', '어둡다', '레시', '사진', '예쁘다', '아이', '자신', '그린', '그림', '스크린', '미디어', '즐겁다', '사진', '찍기', '좋다', '미디어', '아트', '힐링', '덥다', '날씨', '실내', '추천', '아르떼', '지엄', '입구', '갈대', '사진', '찍기', '좋다', '아르떼', '지엄', '제주', '가족', '아이', '제주', '실내', '제주', '여행']",Positive,0.962253987789154
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,kxyeon,"연인, 가족, 친구 모두와 함께 오기 좋은 뮤지엄으로 추천드려요! 가장 하이라이트였던 노을에 바다가 파도치는 곳은 꼭 사진찍어야하는 곳입니다요☺️ 아이와 함께 놀 수 있는 동물 그림 체험하는 공간도 있었고 무엇보다 메인은 40분동안 3개의 테마로 나오는 공간이 있는데 시간 넉넉히 잡고 오시면 다 보는걸 추천드려요! 저는 마지막 날에 방문해서 시간이 여유롭지않아 다 못본게 한이에요ㅠㅠ 제주에 이런 뮤지엄도 있고 정말 의미있는 공간이라고 생각해요!","연인, 가족, 친구 모두와 함께 오기 좋은 뮤지엄으로 추천드려요! 가장 하이라이트였던 노을에 바다가 파도치는 곳은 꼭 사진찍어야하는 곳입니다요 아이와 함께 놀 수 있는 동물 그림 체험하는 공간도 있었고 무엇보다 메인은 40분동안 3개의 테마로 나오는 공간이 있는데 시간 넉넉히 잡고 오시면 다 보는걸 추천드려요! 저는 마지막 날에 방문해서 시간이 여유롭지않아 다 못본게 한이에요ㅠㅠ 제주에 이런 뮤지엄도 있고 정말 의미있는 공간이라고 생각해요!","['연인', '가족', '친구', '모두', '오기', '좋다', '지엄', '추천', '가장', '하이라이트', '노을', '바다', '사진', '야하다', '이다', '아이', '있다', '동물', '그림', '체험', '공간', '있다', '무엇', '메인', '테마', '공간', '있다', '시간', '넉넉하다', '잡고', '오시', '추천', '마지막', '방문', '시간', '제주', '이렇다', '지엄', '있다', '정말', '의미', '있다', '공간', '생각']",Positive,0.9705745577812195
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,바갈라,진짜 사진찍기 너무너무 좋은곳!!전 저 혼자 방문했는데 너무 아쉬울정도로 예쁜곳이 많았어요ㅎㅎ거울들이 곳곳에 있어 셀카찍기 좋았지만 혼자가서 너무 아쉽..ㅠ나중에 친구랑 재방문할거예요ㅎㅎ,진짜 사진찍기 너무너무 좋은곳!!전 저 혼자 방문했는데 너무 아쉬울정도로 예쁜곳이 많았어요ㅎㅎ거울들이 곳곳에 있어 셀카찍기 좋았지만 혼자가서 너무 아쉽..ㅠ나중에 친구랑 재방문할거예요ㅎㅎ,"['진짜', '사진', '찍기', '좋다', '혼자', '방문', '아쉽다', '정도', '예쁘다', '많다', '거울', '곳곳', '있다', '셀카', '찍기', '좋다', '혼자', '아쉽다', '나중', '친구', '방문']",Positive,0.9719989895820618
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,어부바9,제주에서 아르떼 뮤지엄은 제 기억 속에서 너무너무 환상적인 아름다움을 선사했어요! 이렇게 멋진 곳이 있다는 걸 여지껏 왜 몰랐을까요? 제주에서 오면 자연환경만 보고 갔지. 아르떼뮤지엄을 올 생각을 못 했거든요~제주오시는 분들은 아랫데 뮤지엄 꼭 오시고 패키지로 아르떼 뮤지엄에서 차 1잔 마시는 게 있는데 그것도 선택하셔서 꼭 마셔보세요. 너무너무 환상적으로 예쁜 나비가 컵 안에서 춤을 춘답니다~👏👏👏👏👏,제주에서 아르떼 뮤지엄은 제 기억 속에서 너무너무 환상적인 아름다움을 선사했어요! 이렇게 멋진 곳이 있다는 걸 여지껏 왜 몰랐을까요? 제주에서 오면 자연환경만 보고 갔지. 아르떼뮤지엄을 올 생각을 못 했거든요제주오시는 분들은 아랫데 뮤지엄 꼭 오시고 패키지로 아르떼 뮤지엄에서 차 1잔 마시는 게 있는데 그것도 선택하셔서 꼭 마셔보세요. 너무너무 환상적으로 예쁜 나비가 컵 안에서 춤을 춘답니다,"['제주', '아르떼', '지엄', '기억', '환상', '아름답다', '선사', '멋지다', '있다', '여지', '제주', '자연환경', '보고', '아르떼', '지엄', '생각', '오시', '지엄', '오시', '패키지', '아르떼', '지엄', '있다', '그것', '선택', '환상', '예쁘다', '나비']",Positive,0.9689520001411438
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,대니얼90,갔다 오길 잘 한 것 같아요!! 미디어 아트 간만에 재밌게 구경했습니다~! 특히 한국 전통 영상과 제주 영상으로 꾸민 곳이 진짜 백미였습니다~!,갔다 오길 잘 한 것 같아요!! 미디어 아트 간만에 재밌게 구경했습니다! 특히 한국 전통 영상과 제주 영상으로 꾸민 곳이 진짜 백미였습니다!,"['같다', '미디어', '아트', '간만', '재밌다', '구경', '한국', '전통', '영상', '제주', '영상', '진짜', '백미']",Positive,0.9733615517616272
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,Presentti,"기대한 것보다 배로 좋았던 곳!명화를 좋아하신다면 꼬옥 방문하시는 걸 추천드려요. 명화에 어울리는 음악과 함께 즐길 수 있고, 사진을 찍기에도 좋았어요. 그래도 줄서서 사진만 찍고 끝나는 전시가 아니라 예술 속으로 빠져드는 느낌이라 만족했습니다~~","기대한 것보다 배로 좋았던 곳!명화를 좋아하신다면 꼬옥 방문하시는 걸 추천드려요. 명화에 어울리는 음악과 함께 즐길 수 있고, 사진을 찍기에도 좋았어요. 그래도 줄서서 사진만 찍고 끝나는 전시가 아니라 예술 속으로 빠져드는 느낌이라 만족했습니다","['기대하다', '좋다', '명화', '좋아하다', '방문', '추천', '명화', '음악', '있다', '사진', '찍기', '좋다', '서서', '사진', '전시', '아니다', '예술', '느낌', '만족하다']",Positive,0.9723463654518127
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,엘리8389,"아르떼뮤지엄 꼭 가보고싶어서~^^남편이랑 제주도 여행와서 들렸어요.이것저것 볼게 많네요^^페이스북에서 토끼를 봤는데,제주도에서는 가까이에서 사진을 찍을 수 없네요.아마도 페이스북에 나왔던 곳은 다른 곳이었나봐요.애들이랑 다같이 다시 와보고 싶네요^^*","아르떼뮤지엄 꼭 가보고싶어서남편이랑 제주도 여행와서 들렸어요.이것저것 볼게 많네요페이스북에서 토끼를 봤는데,제주도에서는 가까이에서 사진을 찍을 수 없네요.아마도 페이스북에 나왔던 곳은 다른 곳이었나봐요.애들이랑 다같이 다시 와보고 싶네요","['아르떼', '지엄', '남편', '제주도', '여행', '많다', '페이스북', '토끼', '제주도', '가까이', '사진', '없다', '페이스북', '다른', '다시', '보고']",Positive,0.972116231918335
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,맛있거나 화났을 때 리뷰,육지에서 좋았던 기억을 가지고 제주 와서 재방문 했습니다. 가든 홀(메인 홀) 파트1 제외하고 육지와 완전 똑같아요. 가든 홀 파트 1은 보다가 지루해서 나왔습니다. 굳이 제주까지 오셔서 보실 필요는 없을거 같습니다.사람은 많이 없어서 편하게 관람 했습니다.,육지에서 좋았던 기억을 가지고 제주 와서 재방문 했습니다. 가든 홀메인 홀 파트1 제외하고 육지와 완전 똑같아요. 가든 홀 파트 1은 보다가 지루해서 나왔습니다. 굳이 제주까지 오셔서 보실 필요는 없을거 같습니다.사람은 많이 없어서 편하게 관람 했습니다.,"['육지', '좋다', '기억', '가지', '제주', '방문', '가든', '메인', '파트', '제외', '육지', '완전', '똑같다', '가든', '파트', '지루하다', '굳이', '제주', '필요', '없다', '같다', '사람', '없다', '편하다', '관람']",Positive,0.7460735440254211
아르떼뮤지엄 제주,제주 제주시 애월읍 어림비로 478,햄붕,비가와서 실내데이트 검색하고 방문했는데직원분들이 친절하고 신기하면서 재밌었어요!안내맵 사진찍고 들어가면 관람하기 편합니다ㅎㅎ,비가와서 실내데이트 검색하고 방문했는데직원분들이 친절하고 신기하면서 재밌었어요!안내맵 사진찍고 들어가면 관람하기 편합니다ㅎㅎ,"['실내', '데이트', '검색', '방문', '직원', '친절하다', '신기하다', '재밌다', '사진', '관람', '편하다']",Positive,0.9703359007835388
