store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,상권읽어주는남자,"초등 3학년 아들과 네살 딸을 두고 있어 전국 웬만한 아쿠아리움은 모두 다녀봤는데요. 수도권에서는 잠실이나 코엑스보다 일산 아쿠아플라넷이 훨씬 좋습니다.아이들은 동물들을 눈앞에서 볼수 있는지, 동물들이 활발하게 움직이는지, 그리고 직접 먹이주기 같은 체험을 할수 있는지 세가지 포인트가 중요한데요. 이 세가지 측면에서 일산 아쿠아플라넷이 가장 앞서 있습니다.상어나 거북이 같이 수족관 내에 있는 친구들은 물론 바다코끼리와 물개, 수달도 눈앞에서 볼수 있고 옥상에는 염소와 양 먹이주기 체험도 있어서 골고루 보고 직접 느낄수 있어 좋습니다.주기적으로 오는데, 올때마다 항상 세네시간 꽉꽉 채워서 놀고 갑니다~","초등 3학년 아들과 네살 딸을 두고 있어 전국 웬만한 아쿠아리움은 모두 다녀봤는데요. 수도권에서는 잠실이나 코엑스보다 일산 아쿠아플라넷이 훨씬 좋습니다.아이들은 동물들을 눈앞에서 볼수 있는지, 동물들이 활발하게 움직이는지, 그리고 직접 먹이주기 같은 체험을 할수 있는지 세가지 포인트가 중요한데요. 이 세가지 측면에서 일산 아쿠아플라넷이 가장 앞서 있습니다.상어나 거북이 같이 수족관 내에 있는 친구들은 물론 바다코끼리와 물개, 수달도 눈앞에서 볼수 있고 옥상에는 염소와 양 먹이주기 체험도 있어서 골고루 보고 직접 느낄수 있어 좋습니다.주기적으로 오는데, 올때마다 항상 세네시간 꽉꽉 채워서 놀고 갑니다","['초등', '학년', '아들', '있다', '전국', '웬만하다', '아쿠아리움', '모두', '수도권', '잠실', '코엑스', '일산', '아쿠아플라넷', '좋다', '아이', '동물', '눈앞', '있다', '동물', '활발하다', '직접', '먹이', '주기', '같다', '체험', '있다', '가지', '포인트', '중요하다', '가지', '측면', '일산', '아쿠아플라넷', '가장', '앞서', '있다', '상어', '거북이', '수족관', '있다', '친구', '바다코끼리', '물개', '수달', '눈앞', '있다', '옥상', '염소', '먹이', '주기', '체험', '있다', '보고', '직접', '있다', '좋다', '기적', '항상', '시간']",Positive,0.9416630864143372
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,바니뷰,"가성비로 짧게 동물들 체험하기 여기보다 좋은 곳이 없는 거 같아요. 일요일 오후 쯤 방문 했습니다. 사실 주말이라 잘 못 볼 걸 기대하고 갔는데, 생각보다 되게 쾌적해서 아이와 좋은 시간 보낼 수 있어서 좋았습니다. 대부분 부모님들이 유모차를 끌고온 가족들이여서 엘베 잡아주는것 부터 서로에 대한 배려로 관람을 하는 것 같아 좋은 방문이었습니다. 엘레베이터가 작은 점 빼곤 가까이에서 해양 동물 부터 다양한 열대 동물친구들, 식물들까지 다 볼 수 있는 곳이라 가성비 좋게 아이와 주말 보낼 수 있어서 추천합니다. 카페 음료도 맛있고 바쿠 빵도 맛있네요.주말에도 쾌적하게 관람 가능합니다. 주저하지 마세요. ㅎㅎㅎ","가성비로 짧게 동물들 체험하기 여기보다 좋은 곳이 없는 거 같아요. 일요일 오후 쯤 방문 했습니다. 사실 주말이라 잘 못 볼 걸 기대하고 갔는데, 생각보다 되게 쾌적해서 아이와 좋은 시간 보낼 수 있어서 좋았습니다. 대부분 부모님들이 유모차를 끌고온 가족들이여서 엘베 잡아주는것 부터 서로에 대한 배려로 관람을 하는 것 같아 좋은 방문이었습니다. 엘레베이터가 작은 점 빼곤 가까이에서 해양 동물 부터 다양한 열대 동물친구들, 식물들까지 다 볼 수 있는 곳이라 가성비 좋게 아이와 주말 보낼 수 있어서 추천합니다. 카페 음료도 맛있고 바쿠 빵도 맛있네요.주말에도 쾌적하게 관람 가능합니다. 주저하지 마세요. ㅎㅎㅎ","['가성', '짧다', '동물', '체험', '여기', '좋다', '없다', '같다', '일요일', '오후', '방문', '사실', '주말', '기대하다', '생각', '쾌적하다', '아이', '좋다', '시간', '있다', '좋다', '대부분', '부모님', '유모차', '고온', '가족', '엘베', '부터', '서로', '대한', '배려', '관람', '같다', '좋다', '방문', '엘레베이터', '작다', '가까이', '해양', '동물', '부터', '다양하다', '열대', '동물', '친구', '식물', '있다', '가성', '좋다', '아이', '주말', '있다', '추천', '카페', '음료', '맛있다', '바쿠', '맛있다', '주말', '쾌적하다', '관람', '가능하다', '주저']",Positive,0.9676340222358704
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,카멜리야,"🐠수족관을 좋아하는 아기랑 같이 방문했어요!! 🚘추석연휴때라 그런지 사람들이 엄청 많았지만, 주차는 야외주차장이 넓어서 그런지 금방 주차했습니다!  규모가 생각보다 크고, 볼거리가 많았어요! 2~5층까지 있고, 2층에는 주로 큰 수조랑 물고기들이 종류별로 많았고 3층에는 펭귄, 바다사자, 물개 등이 있었고 4층에는 동물들 위주로 있어요! 5층은 야외로 당나귀나 작은 포니 양, 토끼 등듣 야외에서 보기 좋은 동물들이 있었어요! 전반적으로 잘 분류되어 정돈되어있는 느낌이었고 꽤 넓어서 보는데 오래 걸렸네요! 특가로 예매해 가격도 괜찮았고, 아이들이랑 가면 정말 좋은곳이에요😉한가지 아쉬운건 유모차는 엘레베이터 이동을 해야하는데, 타기위해서 입구쪽(?)으로 가야해서 다시 돌아가야하는게 좀 아쉬웠네용😅","수족관을 좋아하는 아기랑 같이 방문했어요!! 추석연휴때라 그런지 사람들이 엄청 많았지만, 주차는 야외주차장이 넓어서 그런지 금방 주차했습니다! 규모가 생각보다 크고, 볼거리가 많았어요! 25층까지 있고, 2층에는 주로 큰 수조랑 물고기들이 종류별로 많았고 3층에는 펭귄, 바다사자, 물개 등이 있었고 4층에는 동물들 위주로 있어요! 5층은 야외로 당나귀나 작은 포니 양, 토끼 등듣 야외에서 보기 좋은 동물들이 있었어요! 전반적으로 잘 분류되어 정돈되어있는 느낌이었고 꽤 넓어서 보는데 오래 걸렸네요! 특가로 예매해 가격도 괜찮았고, 아이들이랑 가면 정말 좋은곳이에요한가지 아쉬운건 유모차는 엘레베이터 이동을 해야하는데, 타기위해서 입구쪽?으로 가야해서 다시 돌아가야하는게 좀 아쉬웠네용","['수족관', '좋아하다', '아기', '방문', '추석', '연휴', '그렇다', '사람', '많다', '주차', '야외', '주차', '넓다', '그렇다', '금방', '주차', '규모', '생각', '볼거리', '많다', '있다', '주로', '수조', '물고기', '종류', '별로', '많다', '펭귄', '바다사자', '물개', '있다', '동물', '위주', '있다', '야외', '당나귀', '작다', '포니', '토끼', '야외', '보기', '좋다', '동물', '있다', '전반', '분류', '정돈', '넓다', '특가', '예매', '가격', '괜찮다', '아이', '가면', '정말', '좋다', '한가지', '아쉽다', '유모차', '엘레베이터', '이동', '위해', '입구', '가야', '다시', '아쉽다']",Positive,0.9630669951438904
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,바니뷰,"일산 아쿠아 플래닛에 가실 계획이 있으신 분들은 시간 맞춰서 바다코끼리 쇼 꼭보세요!일단 관객석과 바다 코끼리 사이의 거리가 되게 가까운 편입니다 아기들도 어린이들도 엄마 아빠들도 정말 재밌을거예요. 너무 재밌었습니다❤️시간 잘 맞춰 가면 인어공주 쇼나 다른 볼거리도 많은데 가장 추천하고 싶은 쇼는 바다 코끼리쇼 입니다👍If you visit Aqua Planet Ilsan, don’t miss the walrus show! It’s super fun and close-up — kids and parents will both love it. The best show there! ❤️👍","일산 아쿠아 플래닛에 가실 계획이 있으신 분들은 시간 맞춰서 바다코끼리 쇼 꼭보세요!일단 관객석과 바다 코끼리 사이의 거리가 되게 가까운 편입니다 아기들도 어린이들도 엄마 아빠들도 정말 재밌을거예요. 너무 재밌었습니다시간 잘 맞춰 가면 인어공주 쇼나 다른 볼거리도 많은데 가장 추천하고 싶은 쇼는 바다 코끼리쇼 입니다If you visit Aqua Planet Ilsan, dont miss the walrus show! Its super fun and closeup kids and parents will both love it. The best show there!","['일산', '아쿠아', '플래닛', '계획', '있다', '시간', '바다코끼리', '일단', '관객', '바다', '코끼리', '사이', '거리', '가깝다', '편입', '아기', '어린이', '엄마', '아빠', '정말', '재밌다', '재밌다', '시간', '가면', '인어공주', '다른', '볼거리', '많다', '가장', '추천', '바다', '코끼리', '이다']",Positive,0.9587311744689941
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,바니뷰,아기랑 놀러 오기 진짜 너무 좋아요🩷🙊🫶🏼다양한 물고기랑 바다친구들은 물론 정말 다양한 종류의 생물들 동물친구들을 가까이서 볼 수 있는 곳이에요안전요원분들이 항상 상주에 계시는 점도 좋아요. 이날은 단체 관람객들이 많았던 금요일이었는데 직원 분들이 잘 케어해 주셨어요어린이집에서도 학교에서도 체험학습으로 잔뜩오는데는 다 이유가있네요둘러볼것 많고 매방문이 너무 즐거운 시간들입니다.카페테리아에서 파는 바코빵도 진짜 맛있어요!,아기랑 놀러 오기 진짜 너무 좋아요다양한 물고기랑 바다친구들은 물론 정말 다양한 종류의 생물들 동물친구들을 가까이서 볼 수 있는 곳이에요안전요원분들이 항상 상주에 계시는 점도 좋아요. 이날은 단체 관람객들이 많았던 금요일이었는데 직원 분들이 잘 케어해 주셨어요어린이집에서도 학교에서도 체험학습으로 잔뜩오는데는 다 이유가있네요둘러볼것 많고 매방문이 너무 즐거운 시간들입니다.카페테리아에서 파는 바코빵도 진짜 맛있어요!,"['아기', '오기', '진짜', '좋다', '다양하다', '물고기', '바다', '친구', '정말', '다양하다', '종류', '생물', '동물', '친구', '가까이', '있다', '안전', '요원', '항상', '상주', '계시다', '점도', '좋다', '단체', '관람객', '많다', '금요일', '직원', '케어', '어린이집', '학교', '체험학습', '잔뜩', '이유', '있다', '많다', '방문', '즐겁다', '시간', '카페테리아', '바코빵', '진짜', '맛있다']",Positive,0.9729774594306946
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,꿀맛6487,"다양한 어류와 포유류, 파충류까지 한번에 볼 수 있는 곳 주차 편하고 36개월 미만 무료로 가격도 합리적 식당도 내부에 있어 아이랑 가기 편함 규모는 엄청크다고 보기는 힘들지만 여러 체험도 많고 매직쇼도 볼만합니다","다양한 어류와 포유류, 파충류까지 한번에 볼 수 있는 곳 주차 편하고 36개월 미만 무료로 가격도 합리적 식당도 내부에 있어 아이랑 가기 편함 규모는 엄청크다고 보기는 힘들지만 여러 체험도 많고 매직쇼도 볼만합니다","['다양하다', '어류', '포유류', '파충류', '한번', '있다', '주차', '편하다', '개월', '미만', '무료', '가격', '합리', '식당', '내부', '있다', '아이', '가기', '편하다', '규모', '보기', '힘들다', '여러', '체험', '많다', '매직']",Positive,0.9713806509971619
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,쏘하예,규모가 크고 관리가 잘되어 있어요바다코끼리 생태설명회 너무 재밌게 잘봤구요~바다코끼리가 장난으로 물을 뿌려서 어른 아이 다 신기했고인기도 많았어요아쿠아지만 원숭이랑 앵무새 등 동물도 있고 다양하게 볼수 있어서 좋았어요짧지만 마술쇼도 있고 볼거리 많아서 유익했어요,규모가 크고 관리가 잘되어 있어요바다코끼리 생태설명회 너무 재밌게 잘봤구요바다코끼리가 장난으로 물을 뿌려서 어른 아이 다 신기했고인기도 많았어요아쿠아지만 원숭이랑 앵무새 등 동물도 있고 다양하게 볼수 있어서 좋았어요짧지만 마술쇼도 있고 볼거리 많아서 유익했어요,"['규모', '관리', '있다', '바다코끼리', '생태', '설명', '재밌다', '바다코끼리', '장난', '어른', '아이', '신기하다', '기도', '많다', '아쿠아', '원숭이', '앵무새', '동물', '있다', '다양하다', '있다', '좋다', '짧다', '마술', '있다', '볼거리', '많다', '유익하다']",Positive,0.9738224744796753
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,바니뷰,아쿠아 플래닛인데 다양한 동물도 많아서 더 좋아요 볼거리 정말 많아요. 이층 메인 수족관은 물론이고 삼층 동물 섹션도 볼거리 즐길 거리 정말 많답니다.오늘은 단체 관광객들이 이층에 많아서 삼층을 메인으로 관람 했는데 너무 즐거운 시간이었어요. 원숭이 부터 기니피그 쉽게 볼 수 없는 다양한 동식물들 친구들 볼 수 있어서 너무 좋습니다. 매번 갈 때마다 정말 힐링 하고 와요이층 아쿠아 카페에서 파는 바코 빵도 진짜 맛있고 같이 시킨 아메리카노 맛집이에요!!! 맛있는 커피 한 잔 들고 설렁 설렁 관람하기 너무 좋아요.앞으로도 자주 갈 거예요. 아기 데리고 둘이 시간. 보내기 너무 좋아요. 진짜 최고의 힐링 장소 입니다.🧡😭,아쿠아 플래닛인데 다양한 동물도 많아서 더 좋아요 볼거리 정말 많아요. 이층 메인 수족관은 물론이고 삼층 동물 섹션도 볼거리 즐길 거리 정말 많답니다.오늘은 단체 관광객들이 이층에 많아서 삼층을 메인으로 관람 했는데 너무 즐거운 시간이었어요. 원숭이 부터 기니피그 쉽게 볼 수 없는 다양한 동식물들 친구들 볼 수 있어서 너무 좋습니다. 매번 갈 때마다 정말 힐링 하고 와요이층 아쿠아 카페에서 파는 바코 빵도 진짜 맛있고 같이 시킨 아메리카노 맛집이에요!!! 맛있는 커피 한 잔 들고 설렁 설렁 관람하기 너무 좋아요.앞으로도 자주 갈 거예요. 아기 데리고 둘이 시간. 보내기 너무 좋아요. 진짜 최고의 힐링 장소 입니다.,"['아쿠아', '플래닛', '다양하다', '동물', '많다', '좋다', '볼거리', '정말', '많다', '메인', '수족관', '동물', '섹션', '볼거리', '거리', '정말', '많다', '오늘', '단체', '관광객', '많다', '메인', '관람', '즐겁다', '시간', '원숭이', '부터', '기니피그', '없다', '다양하다', '동식물', '친구', '있다', '좋다', '매번', '정말', '힐링', '아쿠아', '카페', '바코', '진짜', '맛있다', '아메리카노', '맛집', '맛있다', '커피', '설렁', '설렁', '관람', '좋다', '자주', '아기', '데리', '시간', '좋다', '진짜', '최고', '힐링', '장소', '이다']",Positive,0.9714885950088501
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,LSD25,오랫만에 왔는데 전에있던 물범이 또 있어서 재미있었어요메인수조 공연이 저 천막?때문에 가시성이 좀 떨어지긴 하는데  잘 즐기다갑니다,오랫만에 왔는데 전에있던 물범이 또 있어서 재미있었어요메인수조 공연이 저 천막?때문에 가시성이 좀 떨어지긴 하는데 잘 즐기다갑니다,"['있다', '물범', '있다', '재미있다', '메인', '수조', '공연', '천막', '때문', '가시']",Positive,0.9718201756477356
아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282 아쿠아플라넷 일산,ms8****,"아쿠아플라넷 세 번째 방문 입니다.제주 & 코엑스 & 일산 이렇게 세 군데 방문 해 보았는데,동물을 가까이에서 볼 수 있었던 건 일산 지점이 가장 좋았습니다. (물범, 바다코끼리, 미어캣, 펭귄, 원숭이 등)규모 면에서는 일산이 가장 작았습니다.마감 한시간 반 전에 입장 하였음에도 다흑기획전(파충류) 까지둘러보는 게 가능 할 정도 였습니다.그리고 주변 공원에서 가족 바이크를 빌려 즐거운 시간도 보낼 수 있었습니다. 밤이 되니 분수쇼도 해서 볼거리가 가득 했습니다.가족괴 나들이 하기에 적당한 장소 인 것 같습니다.","아쿠아플라넷 세 번째 방문 입니다.제주 코엑스 일산 이렇게 세 군데 방문 해 보았는데,동물을 가까이에서 볼 수 있었던 건 일산 지점이 가장 좋았습니다. 물범, 바다코끼리, 미어캣, 펭귄, 원숭이 등규모 면에서는 일산이 가장 작았습니다.마감 한시간 반 전에 입장 하였음에도 다흑기획전파충류 까지둘러보는 게 가능 할 정도 였습니다.그리고 주변 공원에서 가족 바이크를 빌려 즐거운 시간도 보낼 수 있었습니다. 밤이 되니 분수쇼도 해서 볼거리가 가득 했습니다.가족괴 나들이 하기에 적당한 장소 인 것 같습니다.","['아쿠아플라넷', '방문', '이다', '제주', '코엑스', '일산', '군데', '방문', '동물', '가까이', '있다', '일산', '지점', '가장', '좋다', '물범', '바다코끼리', '미어캣', '펭귄', '원숭이', '규모', '일산', '가장', '작다', '마감', '시간', '입장', '기획전', '파충류', '가능', '정도', '주변', '공원', '가족', '바이크', '즐겁다', '시간', '있다', '분수', '볼거리', '가득', '가족', '나들이', '적당하다', '장소', '같다']",Positive,0.963374674320221
