store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
아홉산숲,부산 기장군 철마면 미동길 31,당산나무66,숲 전체를 걷는 것은 아이들이 힘들어해서대나무숲 근처까지 산책하고 왔어요.완만한 길과 경사진 길이 분리되어 있어취향에 맞춰 선택하면 좋을 듯합니다.입장료가 8000원으로 싼편은 아니라호불호가 갈릴 듯하지만 많은 사람들로붐비지 않아서  조용하게산책할 수 있어 좋았습니다.,숲 전체를 걷는 것은 아이들이 힘들어해서대나무숲 근처까지 산책하고 왔어요.완만한 길과 경사진 길이 분리되어 있어취향에 맞춰 선택하면 좋을 듯합니다.입장료가 8000원으로 싼편은 아니라호불호가 갈릴 듯하지만 많은 사람들로붐비지 않아서 조용하게산책할 수 있어 좋았습니다.,"['전체', '아이', '힘들다', '나무숲', '근처', '산책', '완만', '길이', '분리', '있다', '취향', '선택', '좋다', '입장료', '아니다', '호불호', '갈릴', '많다', '사람', '조용하다', '산책', '있다', '좋다']",Positive,0.9606461524963379
아홉산숲,부산 기장군 철마면 미동길 31,나냐노뇨누니,죽림원이었나요?암튼 느낌이 비슷한데 가격이 너무 비싸서 갑자기. 뭐야?? 왜이렇게 비싸??? 이러면서 들어갔는데 와😍😍너무 멋져요 정말 고집있게 가꾸신게 느껴질정도로 나무들 상태도 좋구 깨끗하고 산책길도 편해서 남편이랑 미친듯이 사진찍고 구경하고 쉬다 나온거 같아요 여행 마지막날 코스였는데 피로가 싹 가셔서 5시간 운전 거뜬하게 했습니다ㅎㅎ처음엔 비싸다..생각에 아까웠는데 다 돌고보니 전혀 아깝지가 않았어요🤗🤗 멋진 숲을 보게 해주셔서 감사해요!!,죽림원이었나요?암튼 느낌이 비슷한데 가격이 너무 비싸서 갑자기. 뭐야?? 왜이렇게 비싸??? 이러면서 들어갔는데 와너무 멋져요 정말 고집있게 가꾸신게 느껴질정도로 나무들 상태도 좋구 깨끗하고 산책길도 편해서 남편이랑 미친듯이 사진찍고 구경하고 쉬다 나온거 같아요 여행 마지막날 코스였는데 피로가 싹 가셔서 5시간 운전 거뜬하게 했습니다ㅎㅎ처음엔 비싸다..생각에 아까웠는데 다 돌고보니 전혀 아깝지가 않았어요 멋진 숲을 보게 해주셔서 감사해요!!,"['죽림', '느낌', '비슷하다', '가격', '비싸다', '갑자기', '비싸다', '멋지다', '정말', '고집', '있다', '정도', '나무', '상태', '좋다', '깨끗하다', '산책길', '편하다', '남편', '미치다', '사진', '구경', '같다', '여행', '마지막', '코스', '피로', '운전', '거뜬하다', '처음', '비싸다', '생각', '아깝다', '전혀', '아깝다', '멋지다']",Positive,0.971617579460144
아홉산숲,부산 기장군 철마면 미동길 31,꺼벙이7267,기장에유명한  아홉산숲에왔어요 벌써 3번째 입니다올때마다 힐링되는곳입니다 바람불때 대나무가부디쳐 소리나는 사각사각소리듣리는데 정말 좋았어요담에도 힐링이 필요할땐 또올거에요^^,기장에유명한 아홉산숲에왔어요 벌써 3번째 입니다올때마다 힐링되는곳입니다 바람불때 대나무가부디쳐 소리나는 사각사각소리듣리는데 정말 좋았어요담에도 힐링이 필요할땐 또올거에요,"['기장', '유명하다', '산숲', '벌써', '이다', '힐링', '이다', '바람', '불때', '대나무', '부디', '리나', '소리', '정말', '좋다', '힐링', '필요하다']",Positive,0.9755556583404541
아홉산숲,부산 기장군 철마면 미동길 31,햄스터의식사,"사유지가 이렇게까지 관리가 잘되었다는게 신기해요!!🌳쾌적한 산책로를 따라서 걷다보면시간이 잠시 멈춘듯이 자연의 힘이 느껴지는 곳입니다 ㅎㅎ쭉쭉 뻗어오른 대나무가 너무 멋있고,대나무가 이룬 숲이 웅장함을 선사합니다!!날씨 좋을 때, 꼭 한번 가볼만한 숲!!💚(대나무 낙서금지🙅‍♀️)","사유지가 이렇게까지 관리가 잘되었다는게 신기해요!!쾌적한 산책로를 따라서 걷다보면시간이 잠시 멈춘듯이 자연의 힘이 느껴지는 곳입니다 ㅎㅎ쭉쭉 뻗어오른 대나무가 너무 멋있고,대나무가 이룬 숲이 웅장함을 선사합니다!!날씨 좋을 때, 꼭 한번 가볼만한 숲!!대나무 낙서금지","['유지', '관리', '신기하다', '쾌적하다', '산책로', '따라서', '시간', '잠시', '자연', '이다', '쭉쭉', '오른', '대나무', '멋있다', '대나무', '웅장', '선사', '날씨', '좋다', '한번', '대나무', '낙서', '금지']",Positive,0.9746793508529663
아홉산숲,부산 기장군 철마면 미동길 31,xow****,400년 동안  비밀의 숲이라고  했는데  맞는듯  ㅎ  나무가  어마어마하게 크다    공기가  끝내준다,400년 동안 비밀의 숲이라고 했는데 맞는듯 ㅎ 나무가 어마어마하게 크다 공기가 끝내준다,"['동안', '비밀', '나무', '어마어마하다', '공기']",Positive,0.9690080881118774
아홉산숲,부산 기장군 철마면 미동길 31,아모르3542,여기 진짜 산책하기 너무 좋네요!물론 사유지이고 입장료가 싼 건 아니지만 그래도 여유롭게 돌아다니고 인생사진 찍기 너무 좋은 곳입니다!항상 담양 대나무숲만 생각하다가 부산에 있는 아홉산숲도 굿입니다!,여기 진짜 산책하기 너무 좋네요!물론 사유지이고 입장료가 싼 건 아니지만 그래도 여유롭게 돌아다니고 인생사진 찍기 너무 좋은 곳입니다!항상 담양 대나무숲만 생각하다가 부산에 있는 아홉산숲도 굿입니다!,"['여기', '진짜', '산책', '좋다', '유지', '입장료', '아니다', '인생', '사진', '찍기', '좋다', '이다', '항상', '담양', '나무숲', '생각', '부산', '있다', '산숲', '이다']",Positive,0.9729984402656555
아홉산숲,부산 기장군 철마면 미동길 31,이미경4531,식사하고 산책겸 운동갔는데너무 좋았어요,식사하고 산책겸 운동갔는데너무 좋았어요,"['식사', '산책', '운동', '좋다']",Positive,0.9718502163887024
아홉산숲,부산 기장군 철마면 미동길 31,다래냥이,예전에 봄에 와보고 가을에 와보긴 첨인데 좋네요~,예전에 봄에 와보고 가을에 와보긴 첨인데 좋네요,"['예전', '보고', '가을', '좋다']",Positive,0.9684874415397644
아홉산숲,부산 기장군 철마면 미동길 31,나야노아,"기장 가볼 만한 곳 아홉산 숲은 골짜기 아홉을 품고 있다는 지명에서 유래된 해발 361m의 나지막한 산으로 이 지역 문 씨 문중이 400년 가까이 가꾸고, 지켜온 자연 생태가 그대로 살아 있는 천연 숲입니다부산 기장 아홉산 숲 코스는 전체적을 크게 돌아 보아도 3.2km 거리에 90% 이상이 나무 그늘 구간으로 되어 있어 무더운 여름에도 걷기 좋은 기장 가볼 만한 곳으로 1시간에서 1시간 30분 정도 소요돼요","기장 가볼 만한 곳 아홉산 숲은 골짜기 아홉을 품고 있다는 지명에서 유래된 해발 361m의 나지막한 산으로 이 지역 문 씨 문중이 400년 가까이 가꾸고, 지켜온 자연 생태가 그대로 살아 있는 천연 숲입니다부산 기장 아홉산 숲 코스는 전체적을 크게 돌아 보아도 3.2km 거리에 90 이상이 나무 그늘 구간으로 되어 있어 무더운 여름에도 걷기 좋은 기장 가볼 만한 곳으로 1시간에서 1시간 30분 정도 소요돼요","['기장', '골짜기', '아홉', '있다', '지명', '유래', '해발', '나지막하다', '지역', '문중', '가까이', '자연', '생태', '그대로', '있다', '천연', '이다', '부산', '기장', '코스', '전체', '크게', '보아', '거리', '이상', '나무', '그늘', '구간', '있다', '무덥다', '여름', '걷기', '좋다', '기장', '정도', '소요']",Positive,0.955247163772583
아홉산숲,부산 기장군 철마면 미동길 31,호랭용,대나무숲이 멋져요. 완만하게 한바퀴 쭉 둘러보긴 좋아요. 급경사도 거의 없구요. 한번쯤 올만해요. 비오는날은 진흙이 많고 미끄러워서 걷기좀 힘듵듯,대나무숲이 멋져요. 완만하게 한바퀴 쭉 둘러보긴 좋아요. 급경사도 거의 없구요. 한번쯤 올만해요. 비오는날은 진흙이 많고 미끄러워서 걷기좀 힘듵듯,"['나무숲', '멋지다', '완만', '바퀴', '좋다', '급경사', '거의', '없다', '한번', '만해', '진흙', '많다', '미끄럽다', '걷기', '힘듵듯']",Positive,0.967627763748169
