store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,은혜ro,"용인 에버랜드에 갔어요.일요일이라 사람들이 많았어도 주차장에서 입구까지 셔틀버스가 자주 자주배차 되어서 빠르게 입장 가능했습니다.어릴때 부모님 손잡고 용인에버랜드에 갔는데,아이들을 데리고 에버랜드에 가니 늘 감회가새롭네요.  놀이기구도 다양하게 많고, 늘 예쁜 꽃이 피는 장미정원과 사파리, 로스트밸리의 동물들도 멋져요. 에버랜드의 입구부터 모든공간이 어른이 되어서도두근두근 설레이고 유쾌하네요. 먹거리도 분식,한식,중식,햄버거등 다양하고간식도 아이스크림, 츄러스, 팝콘등 멀지 않은 동선 곳곳에 있어 너무 편합니다.예쁘고 귀여운 기념품들도 판매합니다.","용인 에버랜드에 갔어요.일요일이라 사람들이 많았어도 주차장에서 입구까지 셔틀버스가 자주 자주배차 되어서 빠르게 입장 가능했습니다.어릴때 부모님 손잡고 용인에버랜드에 갔는데,아이들을 데리고 에버랜드에 가니 늘 감회가새롭네요. 놀이기구도 다양하게 많고, 늘 예쁜 꽃이 피는 장미정원과 사파리, 로스트밸리의 동물들도 멋져요. 에버랜드의 입구부터 모든공간이 어른이 되어서도두근두근 설레이고 유쾌하네요. 먹거리도 분식,한식,중식,햄버거등 다양하고간식도 아이스크림, 츄러스, 팝콘등 멀지 않은 동선 곳곳에 있어 너무 편합니다.예쁘고 귀여운 기념품들도 판매합니다.","['용인', '에버랜드', '일요일', '사람', '많다', '주차장', '입구', '셔틀버스', '자주', '자주', '배차', '빠르다', '입장', '가능하다', '부모님', '용인', '에버랜드', '아이', '데리', '에버랜드', '감회', '새롭다', '놀이기구', '다양하다', '많다', '예쁘다', '장미정원', '사파리', '로스트', '밸리', '동물', '멋지다', '에버랜드', '입구', '공간', '어른', '설레다', '유쾌하다', '먹거리', '분식', '한식', '중식', '햄버거', '다양하다', '간식', '아이스크림', '츄러스', '팝콘', '멀다', '동선', '곳곳', '있다', '편하다', '예쁘다', '귀엽다', '기념품', '판매']",Positive,0.9715566039085388
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,삐뽀핑19,"어느때보다 푸르고, 꿈같은 하루였어요. 스페셜투어를 이끌어주신 이고은 선생님과 사육사 선생님들 너무나 감사했습니다. 모든것들이 기억에 남을만큼 즐겁고 행복해서 어린아이처럼 웃고 울었어요. 평범한 우리 가족에게 마법같은 추억을 선물해주셔서 진심으로 감사드립니다♡","어느때보다 푸르고, 꿈같은 하루였어요. 스페셜투어를 이끌어주신 이고은 선생님과 사육사 선생님들 너무나 감사했습니다. 모든것들이 기억에 남을만큼 즐겁고 행복해서 어린아이처럼 웃고 울었어요. 평범한 우리 가족에게 마법같은 추억을 선물해주셔서 진심으로 감사드립니다","['푸르다', '같다', '하루', '스페셜', '투어', '선생님', '사육사', '선생님', '기억', '즐겁다', '행복하다', '평범하다', '우리', '가족', '마법', '같다', '추억', '선물', '진심', '감사']",Positive,0.97393798828125
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,하모하모66,와이프랑 힐링하러 에버랜드 다녀왔습니다. 비가 오는날이어도 그래도 가자해서 왔고 오히려 사람도 많지않고 넉넉해서 좋앗습니다. 놀이기구는 타기 어려울거같아서 동물원 위주로 구경했고 사파리나 로스트밸리는 역시 재밋네요. 오랜만에 방문했는데 좋은 추억 남기고 갑니다,와이프랑 힐링하러 에버랜드 다녀왔습니다. 비가 오는날이어도 그래도 가자해서 왔고 오히려 사람도 많지않고 넉넉해서 좋앗습니다. 놀이기구는 타기 어려울거같아서 동물원 위주로 구경했고 사파리나 로스트밸리는 역시 재밋네요. 오랜만에 방문했는데 좋은 추억 남기고 갑니다,"['와이프', '힐링', '에버랜드', '이어도', '오히려', '사람', '많다', '넉넉하다', '좋다', '놀이기구', '같다', '동물원', '위주', '구경', '사파리', '로스트', '밸리', '역시', '재밋네', '방문', '좋다', '추억']",Positive,0.970003068447113
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,쭌이사랑행복,겸사겸사 에버랜드 다시 방문요😇😇🍄🥬🍄🥬🍄🥬🍄🥬🍄🥬🍄🥬🍄🥬🍄어머낫~아들이 좋아하는 케이팝~~~열광😍😍요즘 한참 인기있는 케이팝이죠~~~👍🥰😍🍁🍂🍃🍁🍂🍃🍁🍂🍃🍁🍂🍃🍁🍂🍃🍁아들이 줄이 길어도 기다려서 보고가야 한다네요😪😭😱뜨악😱😱기다리는 시간이 1시간을 넘어서 입장요🥹🥹😂🍋‍🟩🍒🍋‍🟩🍒🍋‍🟩🍒🍋‍🟩🍒🍋‍🟩🍒🍋‍🟩🍒🍋‍🟩🍒🍋‍🟩🍒🍋‍🟩🍒🍋‍🟩들어가니.....🤣🤣🤣그냥 좋아요 🤩😍🥰🤣😂😍😅😇🤣😂🥰😍😇😅🤣🥰😍😂😇😅🥰🤣😂😍아드님은 너무 좋았다고 😇😇😇 또 선물까지🥰👍🤩역시 에버는 의자🪑가 필수입니다 🤣🤣🤣🧸🐸🧸🐸🧸🐸🧸🐸🧸🐸🧸🐸🧸🐸🧸아드님과 하루 마무리 즐겁게 잘보내고 왓지요😇😇🌱🌹🐅🦧🐒⚘️🌱🌺💐🌼🌴🪴💐🌳☘️🥀🌲,겸사겸사 에버랜드 다시 방문요어머낫아들이 좋아하는 케이팝열광요즘 한참 인기있는 케이팝이죠아들이 줄이 길어도 기다려서 보고가야 한다네요뜨악기다리는 시간이 1시간을 넘어서 입장요들어가니.....그냥 좋아요 아드님은 너무 좋았다고 또 선물까지역시 에버는 의자가 필수입니다 아드님과 하루 마무리 즐겁게 잘보내고 왓지요,"['겸사겸사', '에버랜드', '다시', '방문', '어머', '아들', '좋아하다', '케이팝', '열광', '요즘', '한참', '인기', '있다', '케이팝', '아들', '보고', '가야', '악기', '시간', '입장', '그냥', '좋다', '아드님', '좋다', '선물', '역시', '에버', '의자', '필수', '이다', '아드님', '하루', '마무리', '즐겁다', '왓지']",Positive,0.9687837958335876
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,thdud1115,"아이가 이제 다 탈수있는 키가되서,평일이라 T익스 3번이나타고 좋네여...................  😵‍💫🤮곰들이 낮잠시간인지 발바닥포개고요염하게 누워있음 😂 ㅋㅋㅋ케데헌 이벤트까정해서 볼거리 즐길거리가많고 불꽃놀이. 항상 안보고 급하게 왔었는데안봤으면 후회할뻔케데헌불꽃놀이 진짜 멋있었어요 👍 👍 👍 케데헌 좋아하는 아이들은 가보세요 강추♡","아이가 이제 다 탈수있는 키가되서,평일이라 T익스 3번이나타고 좋네여................... 곰들이 낮잠시간인지 발바닥포개고요염하게 누워있음 ㅋㅋㅋ케데헌 이벤트까정해서 볼거리 즐길거리가많고 불꽃놀이. 항상 안보고 급하게 왔었는데안봤으면 후회할뻔케데헌불꽃놀이 진짜 멋있었어요 케데헌 좋아하는 아이들은 가보세요 강추","['아이', '이제', '탈수', '있다', '평일', '익스', '타고', '좋다', '낮잠', '시간', '발바닥', '요염', '케데헌', '이벤트', '정해', '볼거리', '거리', '많다', '불꽃놀이', '항상', '안보', '급하다', '후회', '할뻔케', '데헌', '불꽃놀이', '진짜', '멋있다', '케데헌', '좋아하다', '아이', '강추']",Positive,0.9703395962715149
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,미생222,키이스케이프와 콜라보한 방탈출이 있다고 해서 다녀왔는데 너무너무너무 재미있었습니다. 표값이 조금도 아깝지 않을 정도로 너무 재밌게 즐기고 왔습니다 !! 에버랜드에서 이 공간를 잘 활용해서 앞으로도 체험형 방탈출 많이 콜라보해주면 좋겠어요~ 그럼 표 끊어서 또 갈게요~,키이스케이프와 콜라보한 방탈출이 있다고 해서 다녀왔는데 너무너무너무 재미있었습니다. 표값이 조금도 아깝지 않을 정도로 너무 재밌게 즐기고 왔습니다 !! 에버랜드에서 이 공간를 잘 활용해서 앞으로도 체험형 방탈출 많이 콜라보해주면 좋겠어요 그럼 표 끊어서 또 갈게요,"['이스케이프', '콜라보', '탈출', '있다', '재미있다', '표값', '조금', '아깝다', '정도', '재밌다', '에버랜드', '공간', '활용', '체험', '탈출', '콜라보', '좋다', '그렇다']",Positive,0.9738691449165344
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,mission clear,에버랜드 1박2일 가족 나들이~화창한 날씨가 아닌 흐리고 비도 오고 아쉬움이 많긴했지만미리 예약한 3번의  사파리투어를 통해 동물 친구들과 즐거운 시간도 보내고...첫째날은 다행히 비가 오지 않아 야간 퍼레이드도 신나게...우중 놀이기구도 색다른 즐거움을 주는 시간이었어요...기다림이 많은 에버랜드는 큐패스와 부지런히 예약을 하고 온다면 가족들과 알차고 즐겁게 보낼 수 있어욤~가을 맞이 다양한 행사도 많으니 시간이 허락한다면 고고!!!,에버랜드 1박2일 가족 나들이화창한 날씨가 아닌 흐리고 비도 오고 아쉬움이 많긴했지만미리 예약한 3번의 사파리투어를 통해 동물 친구들과 즐거운 시간도 보내고...첫째날은 다행히 비가 오지 않아 야간 퍼레이드도 신나게...우중 놀이기구도 색다른 즐거움을 주는 시간이었어요...기다림이 많은 에버랜드는 큐패스와 부지런히 예약을 하고 온다면 가족들과 알차고 즐겁게 보낼 수 있어욤가을 맞이 다양한 행사도 많으니 시간이 허락한다면 고고!!!,"['에버랜드', '가족', '나들이', '화창하다', '날씨', '아니다', '비도', '아쉬움', '많다', '미리', '예약', '번의', '사파리', '투어', '통해', '동물', '친구', '즐겁다', '시간', '다행하다', '오지', '야간', '퍼레이드', '신나다', '우중', '놀이기구', '색다르다', '즐거움', '시간', '기다림', '많다', '에버랜드', '패스', '부지런하다', '예약', '가족', '알차다', '즐겁다', '있다', '가을', '맞이', '다양하다', '행사', '많다', '시간', '허락', '고고']",Positive,0.9683325886726379
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,삼남매엄마1004,에버랜드에 오랜만에 갔어요^^  오랜만에가니 새로워요 먹거리도 많고 볼거리 놀거리 진짜최고네요  팬더랑 동물 보는데 아이가 너무좋아해서덩달아 행복합니다 시설도 깔끔하고 관리잘되어있고 테마가 있고 추억만들수 있어서또가고싶은 놀이동산이예요 사람이 평일에도 진짜많아서 사진 생각보다 많지가 않네요 ^^ 에버랜드 재미나게  잘다녀왔습니다. !!,에버랜드에 오랜만에 갔어요 오랜만에가니 새로워요 먹거리도 많고 볼거리 놀거리 진짜최고네요 팬더랑 동물 보는데 아이가 너무좋아해서덩달아 행복합니다 시설도 깔끔하고 관리잘되어있고 테마가 있고 추억만들수 있어서또가고싶은 놀이동산이예요 사람이 평일에도 진짜많아서 사진 생각보다 많지가 않네요 에버랜드 재미나게 잘다녀왔습니다. !!,"['에버랜드', '새롭다', '먹거리', '많다', '볼거리', '거리', '진짜', '최고', '팬더', '동물', '아이', '좋아하다', '덩달아', '행복하다', '시설', '깔끔하다', '관리', '테마', '있다', '추억', '있다', '놀이동산', '사람', '평일', '진짜', '많다', '사진', '생각', '많다', '에버랜드', '재미나']",Positive,0.9737256765365601
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,블랙피카츄,"일요일 오후 5시에 방문하니 주차도 수월하고 놀이기구 대기 시간도 짧아 여유롭게 즐겼어요!가을 바람이 살랑이는 포시즌스 가든에서 산책하며 사진도 찍고, 문라이트 퍼레이드와 불꽃놀이까지 알차게 관람했답니다.특히 불꽃놀이는 하늘을 수놓는 빛의 향연이 정말 환상적이었어요!가족, 연인, 아이와 함께라면 포토스팟이 많은 OZ 에메랄드 시티도 꼭 들러보세요!☆☆저녁 산책 겸 알찬 코스☆☆• 5:00-6:00 놀이기구• 6:00-7:00 저녁• 7:00-7:40 포시즌가든 OZ 사진찍기• 7:40 퍼레이드• 8:30 불꽃놀이","일요일 오후 5시에 방문하니 주차도 수월하고 놀이기구 대기 시간도 짧아 여유롭게 즐겼어요!가을 바람이 살랑이는 포시즌스 가든에서 산책하며 사진도 찍고, 문라이트 퍼레이드와 불꽃놀이까지 알차게 관람했답니다.특히 불꽃놀이는 하늘을 수놓는 빛의 향연이 정말 환상적이었어요!가족, 연인, 아이와 함께라면 포토스팟이 많은 OZ 에메랄드 시티도 꼭 들러보세요!저녁 산책 겸 알찬 코스 500600 놀이기구 600700 저녁 700740 포시즌가든 OZ 사진찍기 740 퍼레이드 830 불꽃놀이","['일요일', '오후', '방문', '주차', '수월하다', '놀이기구', '대기', '시간', '짧다', '가을', '바람', '포시즌스', '가든', '산책', '사진', '문라이트', '퍼레이드', '불꽃놀이', '알차다', '관람', '불꽃놀이', '하늘', '향연', '정말', '환상', '가족', '연인', '아이', '포토', '스팟', '많다', '에메랄드', '시티', '저녁', '산책', '알차다', '코스', '놀이기구', '저녁', '시즌', '가든', '사진', '찍기', '퍼레이드', '불꽃놀이']",Positive,0.9657807350158691
에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,빵빵뛰뛰,첫째가 에버랜드 노래 불러서 시골 다녀온 다음날 출동했는데 이렇게 많은 분들이 같은 마음일지 ㅜ 몰랐어요 ㅠ 열심히 기다려 두 개 체험하고 그냥 가긴 너무 아까워 불꽃 축제까지 잘 보고왔어요. 아이들에게 좋은 경험이었을 듯해요~~,첫째가 에버랜드 노래 불러서 시골 다녀온 다음날 출동했는데 이렇게 많은 분들이 같은 마음일지 ㅜ 몰랐어요 ㅠ 열심히 기다려 두 개 체험하고 그냥 가긴 너무 아까워 불꽃 축제까지 잘 보고왔어요. 아이들에게 좋은 경험이었을 듯해요,"['첫째', '에버랜드', '노래', '시골', '다음', '출동', '많다', '같다', '마음', '일지', '체험', '그냥', '아깝다', '불꽃', '축제', '아이', '좋다', '경험']",Positive,0.9724938273429871
