store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,나비 처럼 날아,제법 움추러드는 늦가을의 쌀쌀한 날씨 임에도 삼삼오오 모여 컵라면을 즐기는 외국인들을 보면서 K 문화의 위력을 실감하게 된다.,제법 움추러드는 늦가을의 쌀쌀한 날씨 임에도 삼삼오오 모여 컵라면을 즐기는 외국인들을 보면서 K 문화의 위력을 실감하게 된다.,"['제법', '늦가을', '쌀쌀하다', '날씨', '삼삼오오', '컵라면', '외국인', '문화', '위력', '실감']",Positive,0.9676212668418884
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,smartswarm,"여의도한강공원은 여의도에 자리잡고 있는 시민공원이다여의나루역과 매우 가까워 접근성이 편리해항상 사람들로 북적이는 장소봄에는 벚꽃명소로, 가을에는 세계불꽃축제가 열리는 등 각종 공연과 다양한 행사들이 진행되어 많은 관광객들이 찾아오는 명소또한여의도 한강유람선 연인들에 서울데이트 코스 유명하다여의도한강공원은마지막으로다양한 운동시설이 준비되어 있고 자전거대여도 가능하여 많은이들 즐길수 있는 장소서울시민에게 사랑받고 있는 곳이다10월 추석 연휴 전가족과 저녁 마실 가본다이렇게 아름다운 강을 볼수 있어서울시민은 축복이다세계 어느나라보다이런 아름다운 강을 가지고 있는 우리나라 감사하다여름끝나고 가을 시작하는 10월 초한강은 우리에게 아름다운 시간과 장소를 제공할것이다","여의도한강공원은 여의도에 자리잡고 있는 시민공원이다여의나루역과 매우 가까워 접근성이 편리해항상 사람들로 북적이는 장소봄에는 벚꽃명소로, 가을에는 세계불꽃축제가 열리는 등 각종 공연과 다양한 행사들이 진행되어 많은 관광객들이 찾아오는 명소또한여의도 한강유람선 연인들에 서울데이트 코스 유명하다여의도한강공원은마지막으로다양한 운동시설이 준비되어 있고 자전거대여도 가능하여 많은이들 즐길수 있는 장소서울시민에게 사랑받고 있는 곳이다10월 추석 연휴 전가족과 저녁 마실 가본다이렇게 아름다운 강을 볼수 있어서울시민은 축복이다세계 어느나라보다이런 아름다운 강을 가지고 있는 우리나라 감사하다여름끝나고 가을 시작하는 10월 초한강은 우리에게 아름다운 시간과 장소를 제공할것이다","['여의도', '한강', '공원', '여의도', '자리', '잡고', '있다', '민공', '여의나루역', '매우', '가깝다', '접근성', '편리하다', '항상', '사람', '북적', '장소', '벚꽃', '명소', '가을', '세계', '불꽃', '축제', '각종', '공연', '다양하다', '행사', '진행', '많다', '관광객', '명소', '여의도', '한강', '유람선', '연인', '서울', '데이트', '코스', '유명하다', '여의도', '한강', '공원', '마지막', '다양하다', '운동', '시설', '준비', '있다', '자전거', '대여', '가능하다', '많다', '있다', '장소', '서울', '시민', '있다', '추석', '연휴', '가족', '저녁', '아름답다', '있다', '서울', '시민', '축복', '세계', '나라', '이렇다', '아름답다', '가지', '있다', '우리나라', '여름', '가을', '시작', '한강', '우리', '아름답다', '시간', '장소', '제공']",Positive,0.9637250900268555
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,4 8 8 5,🎇불꽃축제준비로 한창인 여의도 한강공원에 왔습니다!!🎆저도 이 날 불꽃놀이를 보고 싶었는데 그날 다른 일정이 있어 이렇게라도 일찍 와봤는데 벌써 절반 이상은 준비된 느낌이네요제가 가본적은 없지만 작년에 방송으로 봤었을 때는 노래도 좋고 불꽃놀이도 넘 멋지구 환상적인 느낌 가득이라 올해 꼭 가보고 싶었는데 어쩌면 사람이 너무 많아 진빠질 것 같기두 해서 아주 나쁘지만은 않은 것 같기도 하구요그래도 예전에 런던에서 새해기념 폭죽 카운트다운? 그런걸 너무 감명깊게 봤던지라 이번이 아니더라도 언젠간 꼭 직접 보러 가볼 생각입니다국내에서 적당히 하는 것도 아니고스케일 크게하는 ‘세계불꽃축제’니깐요이번 축제도 성황리에 잘 마치고한화도 우승했으면 좋겠습니다 ㅎ우승날에도 다시 폭죽 볼 수 있기를!!🙏,불꽃축제준비로 한창인 여의도 한강공원에 왔습니다!!저도 이 날 불꽃놀이를 보고 싶었는데 그날 다른 일정이 있어 이렇게라도 일찍 와봤는데 벌써 절반 이상은 준비된 느낌이네요제가 가본적은 없지만 작년에 방송으로 봤었을 때는 노래도 좋고 불꽃놀이도 넘 멋지구 환상적인 느낌 가득이라 올해 꼭 가보고 싶었는데 어쩌면 사람이 너무 많아 진빠질 것 같기두 해서 아주 나쁘지만은 않은 것 같기도 하구요그래도 예전에 런던에서 새해기념 폭죽 카운트다운? 그런걸 너무 감명깊게 봤던지라 이번이 아니더라도 언젠간 꼭 직접 보러 가볼 생각입니다국내에서 적당히 하는 것도 아니고스케일 크게하는 세계불꽃축제니깐요이번 축제도 성황리에 잘 마치고한화도 우승했으면 좋겠습니다 ㅎ우승날에도 다시 폭죽 볼 수 있기를!!,"['불꽃', '축제', '준비', '한창', '여의도', '한강', '공원', '불꽃놀이', '보고', '그날', '다른', '일정', '있다', '이렇다', '일찍', '벌써', '절반', '이상은', '준비', '느낌', '없다', '작년', '방송', '노래', '좋다', '불꽃놀이', '멋지다', '환상', '느낌', '가득', '올해', '어쩌면', '사람', '많다', '같다', '아주', '나쁘다', '같다', '예전', '런던', '새해', '기념', '폭죽', '카운트다운', '감명', '깊다', '이번', '아니다', '직접', '생각', '이다', '국내', '적당하다', '아니다', '스케일', '크게', '세계', '불꽃', '축제', '이번', '축제', '성황리', '마치', '한화', '우승하다', '좋다', '우승', '다시', '폭죽', '있다']",Positive,0.9665303826332092
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,행복승화,"와 여의도한강공원에서 여의도불꽃축제❤️서울 세계불꽃축제인만큼 진심 너무 막강한 화력의 불꽃파워👍 진심 너무너무 잊지 못할 힐링입니당! 올해로써 두번째 여의도불꽃축제 참여했는데 작년과 올해 진심 너무너무 기억에 상기될정도로 엄청난 좋은 추억 주신 서울시, 한화 너무너무 감사합니당❤️여의도불꽃축제를 위해 힘써주신 공무원분들, 한화직원분들 너무너무 감사합니당😆 내년에도 시간만 된다면 무조건 다시 올게용👍 복 많이 받으세용 서울, 한화, 대한민국 화이팅!!^^","와 여의도한강공원에서 여의도불꽃축제서울 세계불꽃축제인만큼 진심 너무 막강한 화력의 불꽃파워 진심 너무너무 잊지 못할 힐링입니당! 올해로써 두번째 여의도불꽃축제 참여했는데 작년과 올해 진심 너무너무 기억에 상기될정도로 엄청난 좋은 추억 주신 서울시, 한화 너무너무 감사합니당여의도불꽃축제를 위해 힘써주신 공무원분들, 한화직원분들 너무너무 감사합니당 내년에도 시간만 된다면 무조건 다시 올게용 복 많이 받으세용 서울, 한화, 대한민국 화이팅!!","['여의도', '한강', '공원', '여의도', '불꽃', '축제', '서울', '세계', '불꽃', '축제', '진심', '막강', '불꽃', '파워', '진심', '힐링', '이다', '올해', '로써', '두번째', '여의도', '불꽃', '축제', '참여', '작년', '올해', '진심', '기억', '상기', '정도', '엄청나다', '좋다', '추억', '주신', '서울시', '한화', '여의도', '불꽃', '축제', '위해', '공무원', '한화', '직원', '내년', '시간', '무조건', '다시', '서울', '한화', '대한민국', '화이팅']",Positive,0.9698450565338135
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,먹고걷고햇빛듬뿍,"여러분들의 많은 관심덕분에 리뷰 총조회수가 800만회를넘었고 그래서 네이버리뷰 TOP 100등안으로 올라갔습니다,넘치는 사랑 감사드립니다 앞으로도 많은 관심 부탁드립니다.5호선 여의나루역 3번출구로 나옵니다, 안내 표지판을 보고서아래쪽으로 가서 우측으로 걷다보니 텐트 ⛺️ 그늘막을해도 되는 허용구역이 보이고 쓰레기통의 색상이💚으로되어 있어서 주변하고 어울려보입니다, 63빌딩이 보이는쪽에배달존1이 보이는데, 일회용 용기말고 다회용 용기를 많이쓰자고 하는 캠페인을 합니다, 머물고간 자리도 깨끗하게치우고가고 일회용 용기도 줄이고 하면 좋을것같네요 탁 트인 초록색 💚 공간을 보니 시원합니다, 날은 습하고 더운날이지만 약간의 바람이 기분을 좋게 만드네요, 오늘도보니러닝을 하시는분들이 있네요","여러분들의 많은 관심덕분에 리뷰 총조회수가 800만회를넘었고 그래서 네이버리뷰 TOP 100등안으로 올라갔습니다,넘치는 사랑 감사드립니다 앞으로도 많은 관심 부탁드립니다.5호선 여의나루역 3번출구로 나옵니다, 안내 표지판을 보고서아래쪽으로 가서 우측으로 걷다보니 텐트 그늘막을해도 되는 허용구역이 보이고 쓰레기통의 색상이으로되어 있어서 주변하고 어울려보입니다, 63빌딩이 보이는쪽에배달존1이 보이는데, 일회용 용기말고 다회용 용기를 많이쓰자고 하는 캠페인을 합니다, 머물고간 자리도 깨끗하게치우고가고 일회용 용기도 줄이고 하면 좋을것같네요 탁 트인 초록색 공간을 보니 시원합니다, 날은 습하고 더운날이지만 약간의 바람이 기분을 좋게 만드네요, 오늘도보니러닝을 하시는분들이 있네요","['여러분', '많다', '관심', '덕분', '리뷰', '회수', '네이버', '리뷰', '넘치다', '사랑', '감사', '많다', '관심', '부탁드리다', '호선', '여의나루역', '출구', '안내', '표지판', '보고서', '아래쪽', '우측', '텐트', '그늘', '을해', '허용', '구역', '보이', '쓰레기통', '색상', '있다', '주변', '빌딩', '배달', '일회용', '용기', '회용', '용기', '자고', '캠페인', '고간', '자리', '깨끗하다', '일회용', '용기', '좋다', '같다', '초록색', '공간', '시원하다', '습하다', '덥다', '약간', '바람', '기분', '좋다', '오늘', '도보', '러닝', '있다']",Positive,0.958168625831604
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,백수인,예상보다 드론 쇼 면적이 거대합니다.생각보다 15분이라는 시간이 짧긴 하지만 한번은 와 볼 만합니다,예상보다 드론 쇼 면적이 거대합니다.생각보다 15분이라는 시간이 짧긴 하지만 한번은 와 볼 만합니다,"['예상', '드론', '면적', '거대하다', '생각', '시간', '짧다', '한번']",Positive,0.9693571925163269
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,공원덕후루루,더현대가는길에 한강공원을 들렸는데 드론으로  케데헌앵콜공연을 보게되어 너무 좋았어요행운이 가득한 서울여행이였어요^^,더현대가는길에 한강공원을 들렸는데 드론으로 케데헌앵콜공연을 보게되어 너무 좋았어요행운이 가득한 서울여행이였어요,"['대가', '한강', '공원', '드론', '케데', '앵콜', '공연', '좋다', '행운', '가득하다', '여행']",Positive,0.9747548699378967
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,민 별,"지난주에 이어 이번 주도 한강공원을 찾았는데, 갈 때마다 또 다른 매력이 있어 계속 오게 되네요. 오늘은 특히 방문객들이 많아 활기찬 분위기가 인상적이었어요. 연인, 친구, 가족, 동호회 등 다양한 사람들이 함께 어울리며 즐기는 모습이 보기 좋았습니다. 그 속에서 저도 반려묘와 여유로운 시간을 보내며 한강만의 매력을 다시 한번 느낄 수 있었어요. 🌿🌅한강에서는 움츠리고 있다가 집은 또 어떻게 알고엘레베이터 문 열리자 마자 집 앞에 가서 앉아있네요힘들었는지 바로 침대 위에서 😸","지난주에 이어 이번 주도 한강공원을 찾았는데, 갈 때마다 또 다른 매력이 있어 계속 오게 되네요. 오늘은 특히 방문객들이 많아 활기찬 분위기가 인상적이었어요. 연인, 친구, 가족, 동호회 등 다양한 사람들이 함께 어울리며 즐기는 모습이 보기 좋았습니다. 그 속에서 저도 반려묘와 여유로운 시간을 보내며 한강만의 매력을 다시 한번 느낄 수 있었어요. 한강에서는 움츠리고 있다가 집은 또 어떻게 알고엘레베이터 문 열리자 마자 집 앞에 가서 앉아있네요힘들었는지 바로 침대 위에서","['지난주', '이번', '주도', '한강', '공원', '다른', '매력', '있다', '계속', '오늘', '방문객', '많다', '활기차다', '분위기', '인상', '연인', '친구', '가족', '동호회', '다양하다', '사람', '모습', '보기', '좋다', '반려', '여유', '시간', '한강', '매력', '다시', '한번', '있다', '한강', '있다', '어떻다', '엘레베이터', '마자', '힘들다', '바로', '침대']",Positive,0.9688170552253723
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,추몽가,가을의 정취를 느낄 수 있었음. 공연을 좀 더 많이 허여하였으면 함.  밤도깨비시장도 다시.,가을의 정취를 느낄 수 있었음. 공연을 좀 더 많이 허여하였으면 함. 밤도깨비시장도 다시.,"['가을', '정취', '있다', '공연', '도깨비', '시장', '다시']",Positive,0.9716018438339233
여의도 한강공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,민 별,날씨가 많이 풀린 것 같아서반려묘와 함께 여의도 한강공원을 다녀왔어요☺️탁 트인 강변을 걸으며 선선하게 불어오는 바람을 맞으니 기분이 참 여유롭고 좋았어요!고양이도 낯선 풍경을 신기하게 바라보며 즐거워하는 모습이 너무 사랑스러웠습니다. 도심 속에서도 이렇게 자연을 가까이에서 느낄 수 있어 산책 내내 힐링이 되었어요. 🐾🌿,날씨가 많이 풀린 것 같아서반려묘와 함께 여의도 한강공원을 다녀왔어요탁 트인 강변을 걸으며 선선하게 불어오는 바람을 맞으니 기분이 참 여유롭고 좋았어요!고양이도 낯선 풍경을 신기하게 바라보며 즐거워하는 모습이 너무 사랑스러웠습니다. 도심 속에서도 이렇게 자연을 가까이에서 느낄 수 있어 산책 내내 힐링이 되었어요.,"['날씨', '같다', '반려', '여의도', '한강', '공원', '강변', '선선', '바람', '기분', '여유', '좋다', '고양이', '낯선', '풍경', '신기하다', '즐겁다', '모습', '사랑스럽다', '도심', '자연', '가까이', '있다', '산책', '내내', '힐링']",Positive,0.9698772430419922
