store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
여주프리미엄아울렛,경기 여주시 명품로 360 1층,song7430,굿,굿,[],Positive,0.9277362823486328
여주프리미엄아울렛,경기 여주시 명품로 360 1층,ghj****,여주 아울렛 안에 있는 담아내기 처음 방문했는데깔끔하고 맛도 깊고 맛있어요!! 추천입니다^^,여주 아울렛 안에 있는 담아내기 처음 방문했는데깔끔하고 맛도 깊고 맛있어요!! 추천입니다,"['여주', '아울렛', '있다', '처음', '방문', '깔끔하다', '깊다', '맛있다', '추천', '이다']",Positive,0.9737095236778259
여주프리미엄아울렛,경기 여주시 명품로 360 1층,김현주8287,여주 아울렛 담아네기가츠동 차슈라멘 가성비 뛰어난 메뉴추천합니당♡,여주 아울렛 담아네기가츠동 차슈라멘 가성비 뛰어난 메뉴추천합니당,"['여주', '아울렛', '가츠동', '차슈', '라멘', '가성', '뛰어나다', '메뉴', '추천']",Positive,0.9567325711250305
여주프리미엄아울렛,경기 여주시 명품로 360 1층,codms961220,바베큐라멘이랑 호르몬라멘 먹었는데 둘다 꽤나 매콤해요! 주말 1시 좀 넘어서 방문했는데 많이 대기하지 않고 들어갔어요. 국물 뜨끈하니 겨울에 먹기 딱이에요 맛있어요 !!,바베큐라멘이랑 호르몬라멘 먹었는데 둘다 꽤나 매콤해요! 주말 1시 좀 넘어서 방문했는데 많이 대기하지 않고 들어갔어요. 국물 뜨끈하니 겨울에 먹기 딱이에요 맛있어요 !!,"['바베큐', '라멘', '호르몬', '라멘', '매콤', '주말', '방문', '대기', '국물', '뜨끈하다', '겨울', '먹기', '딱이다', '맛있다']",Positive,0.9722012281417847
여주프리미엄아울렛,경기 여주시 명품로 360 1층,aga****,친절해요,친절해요,['친절하다'],Positive,0.9661136269569397
여주프리미엄아울렛,경기 여주시 명품로 360 1층,불꽃덤보,음식이 예쁘게 나오고 돈가스뿐만 아니라 라멘도 있어서 좋아요 그리고 음식도 맛있습니다 추천,음식이 예쁘게 나오고 돈가스뿐만 아니라 라멘도 있어서 좋아요 그리고 음식도 맛있습니다 추천,"['음식', '예쁘다', '돈가스', '아니다', '라멘', '있다', '좋다', '음식', '맛있다', '추천']",Positive,0.9728035926818848
여주프리미엄아울렛,경기 여주시 명품로 360 1층,ringNIZU,여주아울렛 살것도 많고 세일도 많이 해서 자주 방문하려구요!!!!,여주아울렛 살것도 많고 세일도 많이 해서 자주 방문하려구요!!!!,"['여주', '아울렛', '많다', '일도', '자주', '방문']",Positive,0.9727988839149475
여주프리미엄아울렛,경기 여주시 명품로 360 1층,게임꿈나무,.,.,[],Negative,0.6441146731376648
여주프리미엄아울렛,경기 여주시 명품로 360 1층,heo****,치즈돈까스 양도 많고 부드럽고 맛있어요☺️,치즈돈까스 양도 많고 부드럽고 맛있어요,"['치즈', '돈까스', '양도', '많다', '부드럽다', '맛있다']",Positive,0.971122682094574
여주프리미엄아울렛,경기 여주시 명품로 360 1층,kms****,여주아울렛내에 위치한 맛집이요 스테이크솥밥  든든한 한끼채우고 쇼핑했어요,여주아울렛내에 위치한 맛집이요 스테이크솥밥 든든한 한끼채우고 쇼핑했어요,"['아울렛', '위치', '맛집', '스테이크', '솥밥', '든든하다', '쇼핑']",Positive,0.9077686071395874
여주프리미엄아울렛,경기 여주시 명품로 360 1층,Music 코알라,꼼꼼하게 비교해보면 득템아이템들이 있어요.종류가 많아 볼것도 많은 곳이지요.자주 방문하고 싶은 곳입니다,꼼꼼하게 비교해보면 득템아이템들이 있어요.종류가 많아 볼것도 많은 곳이지요.자주 방문하고 싶은 곳입니다,"['꼼꼼하다', '비교', '득템', '아이템', '있다', '종류', '많다', '많다', '이지', '자주', '방문', '이다']",Positive,0.9751276969909668
여주프리미엄아울렛,경기 여주시 명품로 360 1층,맛있어서킹받넹,골프화 하나 사야했는데50프로라 진짜 잘 건진거 같아용❤️,골프화 하나 사야했는데50프로라 진짜 잘 건진거 같아용,"['골프', '하나', '프로', '진짜', '같다']",Positive,0.968013346195221
여주프리미엄아울렛,경기 여주시 명품로 360 1층,kkm****,매장  직원분들  친절하고   좋아용,매장 직원분들 친절하고 좋아용,"['매장', '직원', '친절하다', '좋다']",Positive,0.9710893630981445
여주프리미엄아울렛,경기 여주시 명품로 360 1층,덕패밀리,쇼핑 중 간식 잘 먹었습니다! (트위첼 아몬드 크림치즈 스틱),쇼핑 중 간식 잘 먹었습니다! 트위첼 아몬드 크림치즈 스틱,"['쇼핑', '간식', '트위첼', '아몬드', '크림', '치즈', '스틱']",Positive,0.9679872989654541
여주프리미엄아울렛,경기 여주시 명품로 360 1층,Agnes000,랄프로렌 가을 신상이 많네요~,랄프로렌 가을 신상이 많네요,"['랄프', '로렌', '가을', '신상', '많다']",Positive,0.9564751982688904
여주프리미엄아울렛,경기 여주시 명품로 360 1층,내가가넷,정말 친절하세요!!!신랑 러닝화 이것저것 신어보고다른곳도 들렸다 오기위해 나갔다왔어요!몇몇 곳은 안사고 나가면 불친절?하게대하는곳도 있었는데 그런 점 하나 없이친절하게 대해주셔서 기분좋게 다녀왔어요!🫶🏻추천도 잘해주시고 웃으면서 응대해주시니서비스 받는 입장에선 굉장히 기분 좋아져요😊👍🏻흥하시길!!,정말 친절하세요!!!신랑 러닝화 이것저것 신어보고다른곳도 들렸다 오기위해 나갔다왔어요!몇몇 곳은 안사고 나가면 불친절?하게대하는곳도 있었는데 그런 점 하나 없이친절하게 대해주셔서 기분좋게 다녀왔어요!추천도 잘해주시고 웃으면서 응대해주시니서비스 받는 입장에선 굉장히 기분 좋아져요흥하시길!!,"['정말', '친절하다', '신랑', '러닝', '어보', '곳도', '오기', '위해', '몇몇', '불친절', '대하', '곳도', '있다', '그렇다', '하나', '친절하다', '대해', '기분', '좋다', '추천', '응대', '서비스', '입장', '굉장하다', '기분', '요흥']",Positive,0.9727178812026978
여주프리미엄아울렛,경기 여주시 명품로 360 1층,꿈꾸는세모집,언제가도 설레는 곳 ㅎㅎ그냥 구경만 하러 갔다가 한봇다리 들고옴헤이딜러 매장에 사이버트럭이 전시되어 좋았어요.,언제가도 설레는 곳 ㅎㅎ그냥 구경만 하러 갔다가 한봇다리 들고옴헤이딜러 매장에 사이버트럭이 전시되어 좋았어요.,"['가도', '설레다', '그냥', '구경만', '다리', '옴헤', '딜러', '매장', '사이버', '트럭', '전시', '좋다']",Positive,0.9721135497093201
여주프리미엄아울렛,경기 여주시 명품로 360 1층,담다디담다디담다디,피크민팝업조어요,피크민팝업조어요,"['피크민', '팝업', '조어']",Positive,0.9725278615951538
여주프리미엄아울렛,경기 여주시 명품로 360 1층,an6****,폴로는 꼭 여주아울엣와서 사요!백화점 보다 훨씬 저렴해요,폴로는 꼭 여주아울엣와서 사요!백화점 보다 훨씬 저렴해요,"['폴로', '여주', '백화점', '저렴하다']",Positive,0.9611831903457642
여주프리미엄아울렛,경기 여주시 명품로 360 1층,모니모니퀸,"몽클레어 ,노비스, 에르노 등 잘 입는 브랜드 많아 구매했어요👍","몽클레어 ,노비스, 에르노 등 잘 입는 브랜드 많아 구매했어요","['몽클레어', '노비', '에르', '브랜드', '많다', '구매']",Positive,0.9047090411186218
여주프리미엄아울렛,경기 여주시 명품로 360 1층,woowuang,좋아용,좋아용,['좋다'],Positive,0.9715167284011841
여주프리미엄아울렛,경기 여주시 명품로 360 1층,EY84,시식으로 받은 젤리먹고 바로 2통결제ㅎㅎㅎㅎㅎ,시식으로 받은 젤리먹고 바로 2통결제ㅎㅎㅎㅎㅎ,"['시식', '젤리', '바로', '결제']",Negative,0.7665488719940186
여주프리미엄아울렛,경기 여주시 명품로 360 1층,나랑너랑22,할인받아 구입했지만 면세점과 가격차이가 많네요 ㅠㅠ,할인받아 구입했지만 면세점과 가격차이가 많네요 ㅠㅠ,"['할인', '구입', '면세점', '가격', '차이', '많다']",Negative,0.9341998100280762
여주프리미엄아울렛,경기 여주시 명품로 360 1층,냠냠후기왕,가성비 좋아요,가성비 좋아요,"['가성', '좋다']",Positive,0.9639557600021362
여주프리미엄아울렛,경기 여주시 명품로 360 1층,co****,가격이 싸진않아요,가격이 싸진않아요,['가격'],Negative,0.7566946148872375
여주프리미엄아울렛,경기 여주시 명품로 360 1층,lge****,처음 방문 했는데 예쁘네요,처음 방문 했는데 예쁘네요,"['처음', '방문', '예쁘다']",Positive,0.9707686305046082
여주프리미엄아울렛,경기 여주시 명품로 360 1층,ho2****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
여주프리미엄아울렛,경기 여주시 명품로 360 1층,woo****,신상은 없지만 그래도 신발종류 꽤 있어요👍,신상은 없지만 그래도 신발종류 꽤 있어요,"['신상', '없다', '신발', '종류', '있다']",Positive,0.652301013469696
여주프리미엄아울렛,경기 여주시 명품로 360 1층,KingDriver,very good,very good,[],Positive,0.9633805155754089
여주프리미엄아울렛,경기 여주시 명품로 360 1층,기다림4120,옷 쇼핑하다가 먹었는데 맛나요,옷 쇼핑하다가 먹었는데 맛나요,['쇼핑'],Positive,0.9699643850326538
여주프리미엄아울렛,경기 여주시 명품로 360 1층,대한민국여성,평일에 가면 최고..,평일에 가면 최고..,"['평일', '가면', '최고']",Positive,0.8536255359649658
여주프리미엄아울렛,경기 여주시 명품로 360 1층,행복하세요1204,슬리퍼를  구매했어요,슬리퍼를 구매했어요,"['슬리퍼', '구매']",Positive,0.5797708630561829
여주프리미엄아울렛,경기 여주시 명품로 360 1층,Lunawaii,굿,굿,[],Positive,0.9277362823486328
여주프리미엄아울렛,경기 여주시 명품로 360 1층,aud****,재밌게 잘 구경했어요,재밌게 잘 구경했어요,"['재밌다', '구경']",Positive,0.9715178608894348
여주프리미엄아울렛,경기 여주시 명품로 360 1층,mnq****,굿,굿,[],Positive,0.9277362823486328
여주프리미엄아울렛,경기 여주시 명품로 360 1층,벌구7220,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
여주프리미엄아울렛,경기 여주시 명품로 360 1층,sally04,혜화에서만 먹던 피자를 여기서두 먹을수있어서 좋아요:) 맛도 똑같이 맛있습니다!!,혜화에서만 먹던 피자를 여기서두 먹을수있어서 좋아요 맛도 똑같이 맛있습니다!!,"['혜화', '피자', '여기', '서두', '좋다', '맛있다']",Positive,0.9728381037712097
여주프리미엄아울렛,경기 여주시 명품로 360 1층,냠냠후기왕,아울렛중에 제일 좋아요,아울렛중에 제일 좋아요,"['아울렛', '제일', '좋다']",Positive,0.9565123915672302
여주프리미엄아울렛,경기 여주시 명품로 360 1층,이이이1577,평일에와서 한가하게 맛있게 먹을수 있었습니다,평일에와서 한가하게 맛있게 먹을수 있었습니다,"['평일', '한가하다', '맛있다', '있다']",Positive,0.6541092395782471
여주프리미엄아울렛,경기 여주시 명품로 360 1층,별하마음v,여주 아울렛 내 있는 아이스크림&츄러스더운날에 시원하게 당충전! 맛있쥬!,여주 아울렛 내 있는 아이스크림츄러스더운날에 시원하게 당충전! 맛있쥬!,"['여주', '아울렛', '있다', '아이스크림', '츄러스', '덥다', '시원하다', '충전', '맛있쥬']",Positive,0.9694573879241943
여주프리미엄아울렛,경기 여주시 명품로 360 1층,젬즈,망해가던 빌리지를 신세계가 인수해서 다시 살아나니 기분이 좋으네요 세인트제임스가 프리미엄아울렛에 없어 들린건데 기분좋게 쇼핑했어요 이벤트로 10만원이상 구입시 빌리지안 cu이용권3000원권주셔서 바로 소진했어요,망해가던 빌리지를 신세계가 인수해서 다시 살아나니 기분이 좋으네요 세인트제임스가 프리미엄아울렛에 없어 들린건데 기분좋게 쇼핑했어요 이벤트로 10만원이상 구입시 빌리지안 cu이용권3000원권주셔서 바로 소진했어요,"['망하다', '신세계', '인수', '다시', '기분', '좋다', '세인트제임스', '프리미엄', '아울렛', '없다', '기분', '좋다', '쇼핑', '이벤트', '입시', '이용권', '바로', '소진']",Positive,0.9665526747703552
여주프리미엄아울렛,경기 여주시 명품로 360 1층,dol****,조아요,조아요,['좋다'],Positive,0.9475513100624084
여주프리미엄아울렛,경기 여주시 명품로 360 1층,Yellowflowers,하리보 매장,하리보 매장,"['하리보', '매장']",Negative,0.9213891625404358
여주프리미엄아울렛,경기 여주시 명품로 360 1층,미남1004,ㆍㆍ,,[],Neutral,0.0
여주프리미엄아울렛,경기 여주시 명품로 360 1층,나나2008,여주프리미엄 아울렛매장에 하리보스토어 생겨서 파우치랑.젤리.컵샀어요,여주프리미엄 아울렛매장에 하리보스토어 생겨서 파우치랑.젤리.컵샀어요,"['여주', '프리미엄', '아울렛', '매장', '하리보', '스토어', '파우치', '젤리']",Positive,0.8028005361557007
여주프리미엄아울렛,경기 여주시 명품로 360 1층,퐁당퐁당춍춍,나이스,나이스,['나이스'],Positive,0.9294384717941284
여주프리미엄아울렛,경기 여주시 명품로 360 1층,피식1331,항상 아울렛올때마다 많이들 시켜먹어서 궁금했는데 역시 맛있어요!!! 최고❣️,항상 아울렛올때마다 많이들 시켜먹어서 궁금했는데 역시 맛있어요!!! 최고,"['항상', '아울렛', '궁금하다', '역시', '맛있다', '최고']",Positive,0.9749724268913269
여주프리미엄아울렛,경기 여주시 명품로 360 1층,도로록2,막신을 슬리퍼 저렴하게 구매했어요!,막신을 슬리퍼 저렴하게 구매했어요!,"['막신', '슬리퍼', '저렴하다', '구매']",Positive,0.9149121642112732
여주프리미엄아울렛,경기 여주시 명품로 360 1층,별똥별쭈,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
여주프리미엄아울렛,경기 여주시 명품로 360 1층,주인12,"여주 아울렛에서 쇼핑하다가 우연히 들어간 ‘핏제리아오’. 여기 마르게리따 피자를 먹어봤는데, 도우가 얇고 진짜 바삭! 토마토 소스와 모짜렐라 치즈 조합이 일품이더라고요. 마지막에 올라간 바질 향까지 정말 만족스러웠어요. 다음에 또 방문하면 꼭 다시 주문할 거예요","여주 아울렛에서 쇼핑하다가 우연히 들어간 핏제리아오. 여기 마르게리따 피자를 먹어봤는데, 도우가 얇고 진짜 바삭! 토마토 소스와 모짜렐라 치즈 조합이 일품이더라고요. 마지막에 올라간 바질 향까지 정말 만족스러웠어요. 다음에 또 방문하면 꼭 다시 주문할 거예요","['여주', '아울렛', '쇼핑', '제리', '여기', '마르', '게리', '피자', '도우', '얇다', '진짜', '바삭', '토마토', '소스', '모짜렐라', '치즈', '조합', '일품', '덥다', '마지막', '바질', '정말', '만족스럽다', '다음', '방문', '다시', '주문']",Positive,0.9721643924713135
여주프리미엄아울렛,경기 여주시 명품로 360 1층,이오공감90,옷이나 신발도 예쁘고 저렴한 편이에요~사장님도 친절해요,옷이나 신발도 예쁘고 저렴한 편이에요사장님도 친절해요,"['신발', '예쁘다', '저렴하다', '편이', '사장', '친절하다']",Positive,0.9656837582588196
여주프리미엄아울렛,경기 여주시 명품로 360 1층,coj****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
여주프리미엄아울렛,경기 여주시 명품로 360 1층,로557,편안하고 물건종류도 다양해요,편안하고 물건종류도 다양해요,"['편안하다', '물건', '종류', '다양하다']",Positive,0.9211928844451904
