store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
웅진플레이도시,경기 부천시 원미구 조마루로 2,소이파파,아이들과 사계절내내 즐길 수 있는 최고의 워터파크^^ 가족끼리 유수 풀만 이용해도 진짜 재밌고ㅋㅋ 120cm 넘는 아이들은 다양한  슬라이드를 즐길 수 있어요. 워터파크 시설 외에 스파도 정말 훌륭합니다. 음식도 생각보다 저렴하고 맛있어요!,아이들과 사계절내내 즐길 수 있는 최고의 워터파크 가족끼리 유수 풀만 이용해도 진짜 재밌고ㅋㅋ 120cm 넘는 아이들은 다양한 슬라이드를 즐길 수 있어요. 워터파크 시설 외에 스파도 정말 훌륭합니다. 음식도 생각보다 저렴하고 맛있어요!,"['아이', '사계절', '내내', '있다', '최고', '워터파크', '가족', '끼리', '유수', '이용', '진짜', '재밌다', '아이', '다양하다', '슬라이드', '있다', '워터파크', '시설', '스파', '정말', '훌륭하다', '음식', '생각', '저렴하다', '맛있다']",Positive,0.9732018709182739
웅진플레이도시,경기 부천시 원미구 조마루로 2,DongDongKoon,수도권에 가격대비 즐길 수 있는 워터파크가 없는데 너무 좋아요~다만 실내 음식뮬 단속은 강력히 해서 좀 더 깨끗한 수질을 유지해주면 좋을 것 같습니다.그리고 푸드코트 음식.. 정말 맛있습니다!!,수도권에 가격대비 즐길 수 있는 워터파크가 없는데 너무 좋아요다만 실내 음식뮬 단속은 강력히 해서 좀 더 깨끗한 수질을 유지해주면 좋을 것 같습니다.그리고 푸드코트 음식.. 정말 맛있습니다!!,"['수도권', '가격', '대비', '있다', '워터파크', '없다', '좋다', '다만', '실내', '음식', '단속', '강력하다', '깨끗하다', '수질', '유지', '좋다', '같다', '푸드코트', '음식', '정말', '맛있다']",Positive,0.9711024165153503
웅진플레이도시,경기 부천시 원미구 조마루로 2,코난콩이마마,아들이커서  여탕을못가고있었는데 갈수있다는방법이있다해서 갔는데 앞에 직원분께서 설명과 방법종이를 주셔서 잘갓다올수있었네요 대신팁을드리자면ㅋㅋㅋ 래쉬가드를 미리 입고가는게 더편해요 엄마아들다! ㅋㅋ 간만에신나게재밌게놀고왓네요,아들이커서 여탕을못가고있었는데 갈수있다는방법이있다해서 갔는데 앞에 직원분께서 설명과 방법종이를 주셔서 잘갓다올수있었네요 대신팁을드리자면ㅋㅋㅋ 래쉬가드를 미리 입고가는게 더편해요 엄마아들다! ㅋㅋ 간만에신나게재밌게놀고왓네요,"['아들', '커서', '여탕', '방법', '있다', '직원', '설명', '방법', '종이', '가드', '미리', '편하다', '엄마', '간만', '신나다', '재밌다']",Positive,0.953034520149231
웅진플레이도시,경기 부천시 원미구 조마루로 2,영수증달인,웅진플레이도시 정말 오래전부터 왔는데 결혼도하고 애도 생겨서 처음으로 애기 데리고 와봤는데 너무 좋네요 ㅎㅎ 나중에 또 계속 올 예정입니다!,웅진플레이도시 정말 오래전부터 왔는데 결혼도하고 애도 생겨서 처음으로 애기 데리고 와봤는데 너무 좋네요 ㅎㅎ 나중에 또 계속 올 예정입니다!,"['웅진', '플레이', '도시', '정말', '부터', '결혼', '도하', '애도', '처음', '애기', '데리', '좋다', '나중', '계속', '예정', '이다']",Positive,0.9707363843917847
웅진플레이도시,경기 부천시 원미구 조마루로 2,맛있으면 또 간집,추석연휴가 길어 아이 데리고 방문했어용물놀이를 워낙 좋아해서 여기저기 막 놀자 가는데저는 애기체력을 따라가질 못 하겠네요🤣🤣어묵우동 모듬튀김떡볶이 소시지돈까스 폭풍 흡입하고 직원분들께서도 친절하시고수질도 깨끗해용또 올게용,추석연휴가 길어 아이 데리고 방문했어용물놀이를 워낙 좋아해서 여기저기 막 놀자 가는데저는 애기체력을 따라가질 못 하겠네요어묵우동 모듬튀김떡볶이 소시지돈까스 폭풍 흡입하고 직원분들께서도 친절하시고수질도 깨끗해용또 올게용,"['추석', '연휴', '길다', '아이', '데리', '방문', '물놀이', '워낙', '좋아하다', '여기저기', '애기', '체력', '어묵', '우동', '튀김', '떡볶이', '소시지', '돈까스', '폭풍', '흡입', '직원', '서도', '친절하다', '수질', '깨끗하다']",Positive,0.969685435295105
웅진플레이도시,경기 부천시 원미구 조마루로 2,결자해지5,"아이의 생일을 맞이하여 방문했는데 정말 즐거운 추억을 선물해 준 곳이었어요. 시설이 잘 되어 있어 아이가 놀기에 안전했고, 다양한 키즈존이 마련되어 있어서 6살 아들이 마음껏 놀 수 있었습니다.특히 물놀이 기구들이 아이 눈높이에 맞춰 잘 준비되어 있어서 겁내지 않고 즐겁게 도전할 수 있었던 점이 가장 좋았어요.","아이의 생일을 맞이하여 방문했는데 정말 즐거운 추억을 선물해 준 곳이었어요. 시설이 잘 되어 있어 아이가 놀기에 안전했고, 다양한 키즈존이 마련되어 있어서 6살 아들이 마음껏 놀 수 있었습니다.특히 물놀이 기구들이 아이 눈높이에 맞춰 잘 준비되어 있어서 겁내지 않고 즐겁게 도전할 수 있었던 점이 가장 좋았어요.","['아이', '생일', '맞이', '방문', '정말', '즐겁다', '추억', '선물', '시설', '있다', '아이', '안전하다', '다양하다', '키즈', '마련', '있다', '아들', '마음껏', '있다', '물놀이', '기구', '아이', '눈높이', '준비', '있다', '내지', '즐겁다', '도전', '있다', '가장', '좋다']",Positive,0.9721541404724121
웅진플레이도시,경기 부천시 원미구 조마루로 2,한송이3686,몇년째 이용중인지 몰랴요~다른곳을 다녀봐도 여러면에서 웅진보다 나은곳을 찾지못했네요가격대비 시설의 다양함 아이들의 안전 재미 모두갖춘곳이에요 어른을위한 스파시설도 잘되어있어서 좋습니다,몇년째 이용중인지 몰랴요다른곳을 다녀봐도 여러면에서 웅진보다 나은곳을 찾지못했네요가격대비 시설의 다양함 아이들의 안전 재미 모두갖춘곳이에요 어른을위한 스파시설도 잘되어있어서 좋습니다,"['이용', '웅진', '나은', '가격', '대비', '시설', '다양하다', '아이', '안전', '재미', '모두', '어른', '스파', '시설', '좋다']",Positive,0.9707450866699219
웅진플레이도시,경기 부천시 원미구 조마루로 2,숭그리당당숭당당당,4년째 연간 하고 있는데 넘 좋네요~~♡,4년째 연간 하고 있는데 넘 좋네요,"['연간', '있다', '좋다']",Positive,0.974000096321106
웅진플레이도시,경기 부천시 원미구 조마루로 2,yum****,"웅진플레이도시 워터파크! 6년전 = 아이 돌 전 아가일때, 무슨 이벤트 만원의 행복 받아서 와봤던 곳 인데요 ㅎㅎ 그때는 애기가 너무 어려서, 워터파크 물놀이 중에 잠들어서 바로 귀가 했었어요 ㅎㅎ 이번에는 거의 만7세 되서 애 체력이 좋아지니 정말 좋아했고 1박 2일로 : 웅플워터파크 + 플랜디 다른날 = 아쿠아리움 + 슬라임카페 어린이 실내 놀거리 복합몰 테마파크 수준이라 여름휴가 여름방학 잘 보내고 갑니다 ^^","웅진플레이도시 워터파크! 6년전 아이 돌 전 아가일때, 무슨 이벤트 만원의 행복 받아서 와봤던 곳 인데요 ㅎㅎ 그때는 애기가 너무 어려서, 워터파크 물놀이 중에 잠들어서 바로 귀가 했었어요 ㅎㅎ 이번에는 거의 만7세 되서 애 체력이 좋아지니 정말 좋아했고 1박 2일로 웅플워터파크 플랜디 다른날 아쿠아리움 슬라임카페 어린이 실내 놀거리 복합몰 테마파크 수준이라 여름휴가 여름방학 잘 보내고 갑니다","['웅진', '플레이', '도시', '워터파크', '아이', '아가', '무슨', '이벤트', '만원', '행복', '그때', '애기', '워터파크', '물놀이', '바로', '귀가', '이번', '거의', '체력', '정말', '좋아하다', '웅플', '워터파크', '플랜', '아쿠아리움', '라임', '카페', '어린이', '실내', '거리', '복합', '테마', '파크', '수준', '여름', '휴가', '여름방학']",Positive,0.957109808921814
웅진플레이도시,경기 부천시 원미구 조마루로 2,DongDongKoon,수도권에 저렴한 가격으로 즐길 수 있는 워터파크 너무 좋아요~ 단지 소수의 사람들이 몰래 반입금지 음식물을 챙겨오는데 잘 관리 되면 좋겠네요~,수도권에 저렴한 가격으로 즐길 수 있는 워터파크 너무 좋아요 단지 소수의 사람들이 몰래 반입금지 음식물을 챙겨오는데 잘 관리 되면 좋겠네요,"['수도권', '저렴하다', '가격', '있다', '워터파크', '좋다', '단지', '소수', '사람', '몰래', '입금', '음식물', '관리', '좋다']",Positive,0.9658938050270081
