store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
웨이브파크,경기 시흥시 거북섬둘레길 42,JULI,"11월의 서핑은 완전 좋네요그동안 배낭여행하면서 서핑을 무작정 실전으로 배우다가 처음으로 국내 서핑해봤는데 비성수기라서 매니아층이 주로 있었어요. 강습은 입문수업만있었는데 강사님도 잘가르쳐주시고, 계속치는 파도가 서핑연습을 계속하게해줘서 좋았어요. 한번은 조류를 못빠져나와서 힘들었는데 라이프가드분이 잘 알려주셔서 탈출했어요. 덕분애 안전하고 즐거운 서핑했습니다!","11월의 서핑은 완전 좋네요그동안 배낭여행하면서 서핑을 무작정 실전으로 배우다가 처음으로 국내 서핑해봤는데 비성수기라서 매니아층이 주로 있었어요. 강습은 입문수업만있었는데 강사님도 잘가르쳐주시고, 계속치는 파도가 서핑연습을 계속하게해줘서 좋았어요. 한번은 조류를 못빠져나와서 힘들었는데 라이프가드분이 잘 알려주셔서 탈출했어요. 덕분애 안전하고 즐거운 서핑했습니다!","['서핑', '완전', '좋다', '그동안', '배낭여행', '서핑', '무작정', '실전', '처음', '국내', '서핑', '비성', '수기', '매니아', '주로', '있다', '강습', '입문', '수업', '있다', '강사', '계속', '파도', '서핑', '연습', '계속', '좋다', '한번', '조류', '힘들다', '라이프가드', '탈출', '덕분', '안전하다', '즐겁다', '서핑']",Positive,0.9709604382514954
웨이브파크,경기 시흥시 거북섬둘레길 42,맛집멋집리뷰,"웨이브파크 입장료 라이브특가로 할인받아서 아이들과 함께 즐거운 시간 보냈답니다.사람들이 많았지만 음식이용 할 수 있는 푸드코트가 곳곳에 있고,피자,햄버거,분식,탕후루 등 다양한 메뉴가 있어서 좋았습니다. 방수팩 없었는데 현장 구매가 가능해서 구입해서 잘 사용 하였습니다. 파도풀이 넓어서 재미있게 놀았습니다.유아풀에 마련된 에어바운서 아이들이 정말 좋아했어요.저녁이 되니 노을지는 풍경이 아주 멋지답니다.아이와 함께 다녀오세요!!! 강추!!!","웨이브파크 입장료 라이브특가로 할인받아서 아이들과 함께 즐거운 시간 보냈답니다.사람들이 많았지만 음식이용 할 수 있는 푸드코트가 곳곳에 있고,피자,햄버거,분식,탕후루 등 다양한 메뉴가 있어서 좋았습니다. 방수팩 없었는데 현장 구매가 가능해서 구입해서 잘 사용 하였습니다. 파도풀이 넓어서 재미있게 놀았습니다.유아풀에 마련된 에어바운서 아이들이 정말 좋아했어요.저녁이 되니 노을지는 풍경이 아주 멋지답니다.아이와 함께 다녀오세요!!! 강추!!!","['웨이브', '파크', '입장료', '라이브', '가로', '할인', '아이', '즐겁다', '시간', '사람', '많다', '음식', '이용', '있다', '푸드코트', '곳곳', '있다', '피자', '햄버거', '분식', '탕후루', '다양하다', '메뉴', '있다', '좋다', '방수', '없다', '현장', '구매', '가능하다', '구입', '사용', '파도풀', '넓다', '재미있다', '유아', '마련', '에어', '바운', '아이', '정말', '좋아하다', '저녁', '노을', '풍경', '아주', '멋지다', '아이', '강추']",Positive,0.9694426655769348
웨이브파크,경기 시흥시 거북섬둘레길 42,당근4625,박민서 강사님 최고에요 너무 친절하게 알려주시고 몸치인 저를 포기하지 않으시고 보드에서 파도타며 일어나게 해주셨어요 !! 다른 옆 학생분들도 한 분도 빠짐없이 친절하게 알려주시고 부모님 모시고 갔는데 저희 가족 모두 덕분에 즐겁게 좋은 추억 만들었습니다처음이라 막막했는데 주변인들 물어보면 적극 추천하려고요 너무 감사합니다 박민서 강사님 ❤️,박민서 강사님 최고에요 너무 친절하게 알려주시고 몸치인 저를 포기하지 않으시고 보드에서 파도타며 일어나게 해주셨어요 !! 다른 옆 학생분들도 한 분도 빠짐없이 친절하게 알려주시고 부모님 모시고 갔는데 저희 가족 모두 덕분에 즐겁게 좋은 추억 만들었습니다처음이라 막막했는데 주변인들 물어보면 적극 추천하려고요 너무 감사합니다 박민서 강사님,"['박민서', '강사', '최고', '친절하다', '치인', '포기', '보드', '파도', '다른', '학생', '분도', '친절하다', '부모님', '모시', '저희', '가족', '모두', '덕분', '즐겁다', '좋다', '추억', '처음', '막막하다', '주변', '적극', '추천', '박민서', '강사']",Positive,0.9720962047576904
웨이브파크,경기 시흥시 거북섬둘레길 42,박여사10,첫 서핑인데 웨이브파크 엄청 깔끔하게 잘 해놨어요.찾아가기도 편하고 주차장도 넓고요.무엇보다 강사님 친절하고 재밌게가르쳐 주셔서 좋았어요.강사님 때문이라도 또 방문하고 싶네요 👍 👍,첫 서핑인데 웨이브파크 엄청 깔끔하게 잘 해놨어요.찾아가기도 편하고 주차장도 넓고요.무엇보다 강사님 친절하고 재밌게가르쳐 주셔서 좋았어요.강사님 때문이라도 또 방문하고 싶네요,"['서핑', '웨이브', '파크', '깔끔하다', '편하다', '주차장', '넓다', '무엇', '강사', '친절하다', '재밌다', '좋다', '강사', '때문', '방문']",Positive,0.9739397168159485
웨이브파크,경기 시흥시 거북섬둘레길 42,kar****,"혼자 인생 첫 웨이브 파크에 다녀왔어요!양양에서 서핑 2번 배우고, 그전에도 체험으로 타보긴했지만 뭐가 다를까하고 기대안하고 갔는데, 파도가 생각보다 많이 쎄요!너무 재밌었습니다! 양양은 파도가 너무 쎈날도 있고,없는날도 있어서 초보자가 배우기에는 운에 맡겨야하는데, 일정간격으로 파도가 와서재미있게 배웠습니다! ✨경기도민은 2만원으로 수트렌탈까지 포함되어있는 프로모션으로 다녀왔어요!! 가격도 저렴한데,정용직 강사님이 엄청 잘 밀어주시고,꼼꼼하고 자세하게 티칭해주셔서 너무 좋았습니다🙏🏻✨단점은, 생각보다 파도가 쎄서앞에서 하는데도 시작점까지 들어가는게 힘들다?체력이 없으면 얕은 물도 힘듭니다 🤣그외에는 단점이 없어요!샤워시설도 너무 잘되어있습니다!무조건 추천이요!","혼자 인생 첫 웨이브 파크에 다녀왔어요!양양에서 서핑 2번 배우고, 그전에도 체험으로 타보긴했지만 뭐가 다를까하고 기대안하고 갔는데, 파도가 생각보다 많이 쎄요!너무 재밌었습니다! 양양은 파도가 너무 쎈날도 있고,없는날도 있어서 초보자가 배우기에는 운에 맡겨야하는데, 일정간격으로 파도가 와서재미있게 배웠습니다! 경기도민은 2만원으로 수트렌탈까지 포함되어있는 프로모션으로 다녀왔어요!! 가격도 저렴한데,정용직 강사님이 엄청 잘 밀어주시고,꼼꼼하고 자세하게 티칭해주셔서 너무 좋았습니다단점은, 생각보다 파도가 쎄서앞에서 하는데도 시작점까지 들어가는게 힘들다?체력이 없으면 얕은 물도 힘듭니다 그외에는 단점이 없어요!샤워시설도 너무 잘되어있습니다!무조건 추천이요!","['혼자', '인생', '웨이브', '파크', '양양', '서핑', '체험', '다르다', '대안', '파도', '생각', '쎄다', '재밌다', '양양', '파도', '쎄다', '있다', '없다', '있다', '초보자', '일정', '간격', '파도', '재미있다', '도민', '수트렌탈', '포함', '프로모션', '가격', '저렴하다', '정용직', '강사', '꼼꼼하다', '자세하다', '티칭', '좋다', '단점', '생각', '파도', '쎄다', '힘들다', '체력', '없다', '얕다', '힘드다', '단점', '없다', '샤워', '시설', '무조건', '추천']",Positive,0.965634286403656
웨이브파크,경기 시흥시 거북섬둘레길 42,JULI,"서퍼초보자이자 혼자 처음방문해서 낯설었는데 직원분들이 다들 친절하게 공간알려주시고, 어떻게 이용하는지 알려주셔서 혼자서도 잘 놀고 왔어요!11월에는 서핑 좋아하는 사람들만 와서 그런건지 한산해서 좋았어요.2018년에 시작했지만1년에 한번 정도만 타서올해 입문레슨을 들었는데 강사쌤이 꼼꼼하게 알려주셔서파도들도 많이 잘 타고 왔어요.테이크오프도 금방 금방 성공하고 즐거웠어요.즐거운 취미생활하고왔습니다","서퍼초보자이자 혼자 처음방문해서 낯설었는데 직원분들이 다들 친절하게 공간알려주시고, 어떻게 이용하는지 알려주셔서 혼자서도 잘 놀고 왔어요!11월에는 서핑 좋아하는 사람들만 와서 그런건지 한산해서 좋았어요.2018년에 시작했지만1년에 한번 정도만 타서올해 입문레슨을 들었는데 강사쌤이 꼼꼼하게 알려주셔서파도들도 많이 잘 타고 왔어요.테이크오프도 금방 금방 성공하고 즐거웠어요.즐거운 취미생활하고왔습니다","['서퍼', '초보자', '이자', '혼자', '처음', '방문', '낯설다', '직원', '친절하다', '공간', '어떻다', '이용', '혼자', '서도', '서핑', '좋아하다', '사람', '한산하다', '좋다', '시작', '한번', '정도', '올해', '입문', '레슨', '강사', '꼼꼼하다', '파도', '타고', '테이크', '오프', '금방', '금방', '성공하다', '즐겁다', '즐겁다', '취미', '생활']",Positive,0.970020592212677
웨이브파크,경기 시흥시 거북섬둘레길 42,woodboard,강사님들에 적극적이고 친절한 설명과 가르침. 한번 기르쳐주고 말법도 할텐데.ㅡ 수업이 끝나는 그시간까지 열정적으로 가르쳐주심에 아이들도 매우 민족!! 다시 또 가겠다는 아이들~~너무나도 값진 시간이였습니다.,강사님들에 적극적이고 친절한 설명과 가르침. 한번 기르쳐주고 말법도 할텐데.ㅡ 수업이 끝나는 그시간까지 열정적으로 가르쳐주심에 아이들도 매우 민족!! 다시 또 가겠다는 아이들너무나도 값진 시간이였습니다.,"['강사', '적극', '친절하다', '설명', '가르침', '한번', '말법', '수업', '시간', '열정', '주심', '아이', '매우', '민족', '다시', '아이', '값지다', '시간']",Positive,0.9742547273635864
웨이브파크,경기 시흥시 거북섬둘레길 42,다슬파더,야외에 있어서 시야가 좋고 사람도 적당해서아이와 즐기기 좋았습니다! 햇빛이 좀 강렬한데 잼나게 놀다보면 크게 문제되지 않았어요ㅎ중간에 온천코스도 있고 몇군데 즐길거리 스팟이 있어서 제법 다양하게 놀 수 있어요~시설이 전체적으로 심플하고 깨끗합니다.,야외에 있어서 시야가 좋고 사람도 적당해서아이와 즐기기 좋았습니다! 햇빛이 좀 강렬한데 잼나게 놀다보면 크게 문제되지 않았어요ㅎ중간에 온천코스도 있고 몇군데 즐길거리 스팟이 있어서 제법 다양하게 놀 수 있어요시설이 전체적으로 심플하고 깨끗합니다.,"['야외', '있다', '시야', '좋다', '사람', '적당하다', '좋다', '햇빛', '강렬하다', '크게', '문제', '중간', '코스', '있다', '군데', '길거리', '스팟', '있다', '제법', '다양하다', '있다', '시설', '전체', '심플', '깨끗하다']",Positive,0.9701189398765564
웨이브파크,경기 시흥시 거북섬둘레길 42,쪼꼬미야,집이랑가까워 여름마다 아이랑가는곳이예요빠지지않고 한번은 꼭와야하는곳 ㅋ아이들놀기잘되있어서 신나게노네요~관리도잘되있고 깨끗하고 너무좋아요10시쯤인가갔는데 이곳저곳 다 만차여서 공영주차장에대고간아쉬움빼고는 다좋았어요~!!!,집이랑가까워 여름마다 아이랑가는곳이예요빠지지않고 한번은 꼭와야하는곳 ㅋ아이들놀기잘되있어서 신나게노네요관리도잘되있고 깨끗하고 너무좋아요10시쯤인가갔는데 이곳저곳 다 만차여서 공영주차장에대고간아쉬움빼고는 다좋았어요!!!,"['가깝다', '여름', '아이', '한번', '야하다', '아이', '신나다', '관리', '깨끗하다', '좋다', '주차장', '대고', '아쉬움', '좋다']",Positive,0.9731359481811523
웨이브파크,경기 시흥시 거북섬둘레길 42,랄랄라붕붕,토요일이라 사람많을 줄 예상은 했는데 9시 전부터 지하주차장은 만차이고 바로옆 임시주차장도 만차라 제2 주차장으로 가라고 하시더라구요..더운데 주차장에서 좀 걸어야해서 불편했어요 일단 파도풀에 들어가니 시원해서 좋았습니다 많이 더운날이라  물이 살짝 미지근 했는데 물놀이하기는 좋았어요파도에 둥실둥실 떠다니는게 재밌었는데 시간이 지날수록 파도가 더 약해지는 느낌이네요.. 50분 파도치고 10분은 파도가 쉬는타임이에요. 그래도 초등아이는 재밌게 잘 놀았어요야외인데 그늘이 부족해서 그늘이 좀 있었으면 좋겠어요썬베드 결제해서 사용했는데 자리를 잘못선택했는지 그늘이 없어져서 남편이 누워 잤는데 피부가 다 익었어요ㅎㅎ 썬크림은 꼭 바르시길! 9시 입장해서 3시에 나왔는데 아이는 재밌다고 또 가고싶다고 합니다.,토요일이라 사람많을 줄 예상은 했는데 9시 전부터 지하주차장은 만차이고 바로옆 임시주차장도 만차라 제2 주차장으로 가라고 하시더라구요..더운데 주차장에서 좀 걸어야해서 불편했어요 일단 파도풀에 들어가니 시원해서 좋았습니다 많이 더운날이라 물이 살짝 미지근 했는데 물놀이하기는 좋았어요파도에 둥실둥실 떠다니는게 재밌었는데 시간이 지날수록 파도가 더 약해지는 느낌이네요.. 50분 파도치고 10분은 파도가 쉬는타임이에요. 그래도 초등아이는 재밌게 잘 놀았어요야외인데 그늘이 부족해서 그늘이 좀 있었으면 좋겠어요썬베드 결제해서 사용했는데 자리를 잘못선택했는지 그늘이 없어져서 남편이 누워 잤는데 피부가 다 익었어요ㅎㅎ 썬크림은 꼭 바르시길! 9시 입장해서 3시에 나왔는데 아이는 재밌다고 또 가고싶다고 합니다.,"['토요일', '사람', '많다', '예상', '지하', '주차장', '차이', '바로', '임시', '주차장', '차라', '주차장', '가라', '덥다', '주차장', '야하다', '불편하다', '일단', '파도풀', '시원하다', '좋다', '덥다', '물이', '살짝', '미지', '물놀이', '좋다', '파도', '둥실둥실', '재밌다', '시간', '파도', '파도', '파도', '타임', '초등', '아이', '재밌다', '야외', '그늘', '부족하다', '그늘', '있다', '좋다', '베드', '결제', '사용', '자리', '잘못', '선택', '그늘', '남편', '피부', '썬크림', '입장', '아이', '재밌다']",Positive,0.9356974363327026
