store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
의왕레일바이크,경기 의왕시 왕송못동로 221,하토리얀,"아빠는 의왕으로 출근하고우리는 의왕으로 놀러가고.한시간 안되는 거리에 좋은곳이 있다는 서치 끝에 도전.먼길싫어 주차싫어때매이 두가지 조건에 안맞으면 아빠없인 어디도 가지 않는데넘 딱맞쟈나!!날도좋고애들이랑 종일 핸드폰만 하긴 아까운 시간.스카이레일이 넘 해보고 싶엇는데,, 바람이 많이불어서인지 운영하지 않아 아쉬운 와중에 레일바이크는 나이스 타이밍으로 기다리지 않고 바로 탔다.호수 한바퀴를 전체 다 도는 길이라 엄청 길기도 하고 발굴러주는 아빠다리가 없어서 예기치못한 유산소 ㅜㅜ그래도 넘 평화롭고 뷰 좋으니 아빠랑 또오자.","아빠는 의왕으로 출근하고우리는 의왕으로 놀러가고.한시간 안되는 거리에 좋은곳이 있다는 서치 끝에 도전.먼길싫어 주차싫어때매이 두가지 조건에 안맞으면 아빠없인 어디도 가지 않는데넘 딱맞쟈나!!날도좋고애들이랑 종일 핸드폰만 하긴 아까운 시간.스카이레일이 넘 해보고 싶엇는데,, 바람이 많이불어서인지 운영하지 않아 아쉬운 와중에 레일바이크는 나이스 타이밍으로 기다리지 않고 바로 탔다.호수 한바퀴를 전체 다 도는 길이라 엄청 길기도 하고 발굴러주는 아빠다리가 없어서 예기치못한 유산소 ㅜㅜ그래도 넘 평화롭고 뷰 좋으니 아빠랑 또오자.","['아빠', '의왕', '출근', '고우리', '의왕', '시간', '안되다', '거리', '좋다', '있다', '서치', '도전', '멀다', '싫다', '주차', '싫다', '어떻다', '가지', '조건', '아빠', '없다', '어디', '가지', '데넘', '딱맞쟈', '좋다', '종일', '핸드폰', '아깝다', '시간', '스카이', '레일', '바람', '불어', '인지', '운영', '아쉽다', '와중', '레일바이크', '나이스', '타이밍', '바로', '호수', '바퀴', '전체', '길이', '길다', '아빠', '다리', '없다', '예기', '산소', '평화', '좋다', '아빠', '오자']",Positive,0.9583520889282227
의왕레일바이크,경기 의왕시 왕송못동로 221,1036gkrcks,"친구랑 왕송호수 레일바이크 타고 왔어요. ^^더위 없이 폐달 밟으니..운동 도 되고 좋았네요.무릎..이 약해졌지만, 운동 겸 타 봤는데...기분~때문인지, ""헐! 나, 무릎아픈 여자, 맞아?""어제만 해도...그렇게 아팠는데.. 뭐냐구요!  😂😅바람 불어주네? 와! 머리카락 날린다! 날려! 🙆‍♀️나랑 붙어사는.. 갱+년+기! 년기야~~??^^너두 바람쐬니, 좋은거구나? 🥲😏🤭😃요즘, 레일바이크! 타기 딱! 좋은계절이군요. 👍👍..","친구랑 왕송호수 레일바이크 타고 왔어요. 더위 없이 폐달 밟으니..운동 도 되고 좋았네요.무릎..이 약해졌지만, 운동 겸 타 봤는데...기분때문인지, 헐! 나, 무릎아픈 여자, 맞아?어제만 해도...그렇게 아팠는데.. 뭐냐구요! 바람 불어주네? 와! 머리카락 날린다! 날려! 나랑 붙어사는.. 갱년기! 년기야??너두 바람쐬니, 좋은거구나? 요즘, 레일바이크! 타기 딱! 좋은계절이군요. ..","['친구', '왕송', '호수', '레일바이크', '타고', '더위', '폐달', '운동', '좋다', '무릎', '운동', '기분', '때문', '무릎', '아프다', '여자', '어제', '해도', '아프다', '바람', '불어', '주네', '머리카락', '갱년기', '년기', '바람', '좋다', '거구', '요즘', '레일바이크', '좋다', '계절', '이군']",Positive,0.8801757097244263
의왕레일바이크,경기 의왕시 왕송못동로 221,디어 르네,"의왕 레일바이크 아이들이 처음 타보는건데 기대보다 훨씬 재밌고 운전이 쉬웠어요. 코스가 긴것 같아보이지만 막상 경치 구경하면서 이야기하면서 타니깐 시간이 정말 금방 지나가서 아이들도 저도 너무 아쉬웠어요. 왕송호수공원도 너무 잘 되어 있어서 레일바이크 타고나서 피크닉하기 좋아요. 주차도 편해요. 주변에 맛집, 카페도 많아서 데이트 코스로도 너무 좋을것 같아요. 아이들이 너무 좋아해서 의왕시 아이랑 가볼만한 곳으로 추천합니다.","의왕 레일바이크 아이들이 처음 타보는건데 기대보다 훨씬 재밌고 운전이 쉬웠어요. 코스가 긴것 같아보이지만 막상 경치 구경하면서 이야기하면서 타니깐 시간이 정말 금방 지나가서 아이들도 저도 너무 아쉬웠어요. 왕송호수공원도 너무 잘 되어 있어서 레일바이크 타고나서 피크닉하기 좋아요. 주차도 편해요. 주변에 맛집, 카페도 많아서 데이트 코스로도 너무 좋을것 같아요. 아이들이 너무 좋아해서 의왕시 아이랑 가볼만한 곳으로 추천합니다.","['의왕', '레일바이크', '아이', '처음', '기대', '재밌다', '운전', '쉽다', '코스', '같다', '보이', '막상', '경치', '구경', '이야기', '시간', '정말', '금방', '아이', '아쉽다', '왕송', '호수', '공원', '있다', '레일바이크', '피크닉', '좋다', '주차', '편하다', '주변', '맛집', '카페', '많다', '데이트', '코스', '좋다', '같다', '아이', '좋아하다', '의왕시', '아이', '추천']",Positive,0.9693813323974609
의왕레일바이크,경기 의왕시 왕송못동로 221,anna7065,두번째방문이라 더 풍경도 둘러보며 재미있게 탔어요. 살짝힘들지만 힐링됩니다,두번째방문이라 더 풍경도 둘러보며 재미있게 탔어요. 살짝힘들지만 힐링됩니다,"['두번째', '방문', '풍경', '재미있다', '살짝', '힘들다', '힐링']",Positive,0.9694772958755493
의왕레일바이크,경기 의왕시 왕송못동로 221,민들레리뷰,드디어 의왕레일바이크를 탔답니다. 처음 생겼을때 너무 인원이 많았지만 의왕 근처 일보고 아이와 추억 담았답니다. 전문 사진사님이 찍은 사진은 너무 잘나와서 액자대로 구입했어요.40분 코스  호수.생태공원.숲길 더웠지만 시원한 바람도 맞으며 달려보았어요,드디어 의왕레일바이크를 탔답니다. 처음 생겼을때 너무 인원이 많았지만 의왕 근처 일보고 아이와 추억 담았답니다. 전문 사진사님이 찍은 사진은 너무 잘나와서 액자대로 구입했어요.40분 코스 호수.생태공원.숲길 더웠지만 시원한 바람도 맞으며 달려보았어요,"['의왕', '레일바이크', '처음', '인원', '많다', '의왕', '근처', '일보', '아이', '추억', '전문', '사진사', '사진', '액자', '구입', '코스', '호수', '생태', '공원', '숲길', '덥다', '시원하다', '바람']",Positive,0.9702461957931519
의왕레일바이크,경기 의왕시 왕송못동로 221,여름421,가족들끼리 모처럼 나들이 잘했어요40분 정도 시간도 적절하고 바람도 많이 불어서 시원했어요,가족들끼리 모처럼 나들이 잘했어요40분 정도 시간도 적절하고 바람도 많이 불어서 시원했어요,"['가족', '끼리', '모처럼', '나들이', '정도', '시간', '적절하다', '바람', '불어', '시원하다']",Positive,0.9723085165023804
의왕레일바이크,경기 의왕시 왕송못동로 221,god****,애초에 4인용이라 4인가격은 가성비 좋을진몰라도 2인 가격으론 좀 불합리적이요ㅜ 그래도 날도좋아 너무 시원하고 힘든줄모르고 너무 만끽했습니다 코스가 넘 짧을정도로 찰라였네요ㅋ,애초에 4인용이라 4인가격은 가성비 좋을진몰라도 2인 가격으론 좀 불합리적이요ㅜ 그래도 날도좋아 너무 시원하고 힘든줄모르고 너무 만끽했습니다 코스가 넘 짧을정도로 찰라였네요ㅋ,"['애초', '인용', '가격', '가성', '좋다', '가격', '불합리', '이요', '좋다', '시원하다', '힘드다', '만끽', '코스', '짧다', '정도']",Negative,0.5360435843467712
의왕레일바이크,경기 의왕시 왕송못동로 221,쏭쏭쭌,"왕송호수 걷다가 계획에 없이 의왕레일바이크를 이용하게 되었는데요. 오르막길 몇번빼고는 운전이 쉬웠고,왼쪽자리앉은 신랑은 나무가지에 몇번 맞았어요^^;코스가 길어서 운동하는 기분으로 레일바이크를 타고, 경치도 구경하고 바람도 쐬고 좋은시간 잘 보냈어요.연꽃이 이뻤는데 걸으면서 지나갈때는 힘들어서 눈에도 안들어 오더니 레일바이크에서 연꽃을 바라보니 얼마나 이쁘던지요^^포토스팟에서 찍어주시는 사진촬영도 생각보다 잘 나왔길래 처음으로 여행지에서 가족사진 구매까지 했네요^^개학전이라 컨디션 관리해야할것 같아서 멀리는 못가고, 계획없이 방문했는데도 알차게 잘 놀다 왔습니다.^^굿굿굿","왕송호수 걷다가 계획에 없이 의왕레일바이크를 이용하게 되었는데요. 오르막길 몇번빼고는 운전이 쉬웠고,왼쪽자리앉은 신랑은 나무가지에 몇번 맞았어요코스가 길어서 운동하는 기분으로 레일바이크를 타고, 경치도 구경하고 바람도 쐬고 좋은시간 잘 보냈어요.연꽃이 이뻤는데 걸으면서 지나갈때는 힘들어서 눈에도 안들어 오더니 레일바이크에서 연꽃을 바라보니 얼마나 이쁘던지요포토스팟에서 찍어주시는 사진촬영도 생각보다 잘 나왔길래 처음으로 여행지에서 가족사진 구매까지 했네요개학전이라 컨디션 관리해야할것 같아서 멀리는 못가고, 계획없이 방문했는데도 알차게 잘 놀다 왔습니다.굿굿굿","['왕송', '호수', '계획', '의왕', '레일바이크', '이용', '오르막', '몇번', '운전', '쉽다', '왼쪽', '신랑', '나무', '가지', '몇번', '코스', '운동', '기분', '레일바이크', '타고', '경치', '구경', '바람', '좋다', '시간', '연꽃', '이쁘다', '힘들다', '레일바이크', '연꽃', '얼마나', '이쁘다', '포토', '스팟', '사진촬영', '생각', '처음', '여행지', '가족사진', '구매', '개학', '전이', '컨디션', '관리', '같다', '멀리', '계획', '방문', '알차다', '굿굿굿']",Positive,0.9641539454460144
의왕레일바이크,경기 의왕시 왕송못동로 221,viviana9129,음.. 코스가 꽤 길어요 체력약하신 분들은 많이 힘드실거고 연인끼리 가면 남자분이 아무것도 안하신다면 여자분 혼자하긴 힘들거예요 부모님 모시고가도.. 부모님 연세가 있으시다면 젊으신분들이 꽤 힘쓰셔야 할거예요 차례로 일렬로 출발하지만 씽씽달릴순 없고 5팀중 맨앞팀이 못가면 차례로 못가고있어서 가다서다 반복됩니다 열심히 밟는사람은 구경은 잘 못하는곳이고 안밟거나 쉽게 얻어가는사람은 구경편하게 할 수 있을거같아요..😇 중간에 오르막길도 있어서 정말 죽을맛😇😇😇 날씨좋을때 선선할때 가세요 생각외로.. 타다보면 더워요🙂,음.. 코스가 꽤 길어요 체력약하신 분들은 많이 힘드실거고 연인끼리 가면 남자분이 아무것도 안하신다면 여자분 혼자하긴 힘들거예요 부모님 모시고가도.. 부모님 연세가 있으시다면 젊으신분들이 꽤 힘쓰셔야 할거예요 차례로 일렬로 출발하지만 씽씽달릴순 없고 5팀중 맨앞팀이 못가면 차례로 못가고있어서 가다서다 반복됩니다 열심히 밟는사람은 구경은 잘 못하는곳이고 안밟거나 쉽게 얻어가는사람은 구경편하게 할 수 있을거같아요.. 중간에 오르막길도 있어서 정말 죽을맛 날씨좋을때 선선할때 가세요 생각외로.. 타다보면 더워요,"['코스', '체력', '약하다', '힘들다', '연인', '끼리', '가면', '남자', '여자', '혼자', '힘들다', '부모님', '모시', '고가도', '부모님', '연세', '있다', '젊다', '신분', '차례', '일렬', '출발', '없다', '앞팀', '차례', '반복', '사람', '구경', '사람', '구경', '편하다', '있다', '같다', '중간', '오르막', '길다', '있다', '정말', '날씨', '좋다', '선선', '가세', '생각', '외로', '덥다']",Negative,0.585232675075531
의왕레일바이크,경기 의왕시 왕송못동로 221,쇼메,4.5/52인 레일바이크 3.5만원여전히 오기 좋은 의왕호수이다.사진도 잘 나와서 구매했다.날씨 좋고 꽃피어있을때는 의왕호수가 짱이다.(대신 교통발달안되서 차타는게 좋음. 아니면 공용자전거 에브리바이크말고 개인자전거로 이동하거나),4.552인 레일바이크 3.5만원여전히 오기 좋은 의왕호수이다.사진도 잘 나와서 구매했다.날씨 좋고 꽃피어있을때는 의왕호수가 짱이다.대신 교통발달안되서 차타는게 좋음. 아니면 공용자전거 에브리바이크말고 개인자전거로 이동하거나,"['레일바이크', '오기', '좋다', '의왕', '호수', '사진', '구매', '날씨', '좋다', '의왕', '호수', '대신', '교통', '발달', '안되다', '좋다', '아니다', '공용', '자전거', '에브리', '바이크', '개인', '자전거', '이동', '거나']",Positive,0.9238410592079163
