store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
이순신공원,경남 통영시 정량동 688-1,미지수m,"일요일 오전 남편이랑 통영RCE세자트라숲 산책길 걸었어요. 통영RCE세자트라숲에서 이순신공원까지 왕복 약 2.9km 거리이고, 시간은 약 1시간 소요되었어요. 이순신공원은 산책로가 잘 되어있고 볼거리가 많아요~~^^","일요일 오전 남편이랑 통영RCE세자트라숲 산책길 걸었어요. 통영RCE세자트라숲에서 이순신공원까지 왕복 약 2.9km 거리이고, 시간은 약 1시간 소요되었어요. 이순신공원은 산책로가 잘 되어있고 볼거리가 많아요","['일요일', '오전', '남편', '통영', '자트', '산책길', '통영', '자트', '이순신', '공원', '왕복', '거리', '시간', '소요', '이순신', '공원', '산책로', '볼거리', '많다']",Positive,0.9409885406494141
이순신공원,경남 통영시 정량동 688-1,하늘호수속으로,"바다 경관이 아름답고 푸르른 산책로가 있어 힐링하기 좋은 곳! 입장료는 없지만 주차료가 있어요. 우리는 30분 정도 이용하니 500원 나왔어요. 주차 후 공원까지 메타세콰이어 길을 따라 언덕을 오르는데 안개비를 분사시켜 주어서 시원하게 걸을 수 있었답니다. 오른쪽에는 유모차나 휠체어도 오를 수 있는 무장애 나눔길도 있구요. 이순신 장군상과 통영의 마스코트 동백이, 넓고 푸르른 바다가 너무도 멋지네요. 단체관광 오신 으르신들 나란히 앉아 뒷모습 사진에 담는 광경들도 해맑고 귀여우시네요. 나의 앞날😁. 산책로를 따라 아래로 내려가면 모래사장도 나오고 바닷물에 발담그는 사람들도 보였어요.경치가 너무 좋은 곳에서 힐링하고 왔네요.","바다 경관이 아름답고 푸르른 산책로가 있어 힐링하기 좋은 곳! 입장료는 없지만 주차료가 있어요. 우리는 30분 정도 이용하니 500원 나왔어요. 주차 후 공원까지 메타세콰이어 길을 따라 언덕을 오르는데 안개비를 분사시켜 주어서 시원하게 걸을 수 있었답니다. 오른쪽에는 유모차나 휠체어도 오를 수 있는 무장애 나눔길도 있구요. 이순신 장군상과 통영의 마스코트 동백이, 넓고 푸르른 바다가 너무도 멋지네요. 단체관광 오신 으르신들 나란히 앉아 뒷모습 사진에 담는 광경들도 해맑고 귀여우시네요. 나의 앞날. 산책로를 따라 아래로 내려가면 모래사장도 나오고 바닷물에 발담그는 사람들도 보였어요.경치가 너무 좋은 곳에서 힐링하고 왔네요.","['바다', '경관', '아름답다', '푸르른', '산책로', '있다', '힐링', '좋다', '입장료', '없다', '주차', '있다', '우리', '정도', '이용', '주차', '공원', '메타세콰이어', '언덕', '안개', '분사', '주어', '시원하다', '있다', '오른쪽', '유모차', '휠체어', '있다', '무장애', '나눔', '길다', '있다', '이순신', '장군', '상과', '통영', '마스코트', '동백', '넓다', '푸르른', '바다', '멋지다', '단체', '관광', '오신', '으르', '신들', '나란하다', '뒷모습', '사진', '광경', '맑다', '귀엽다', '앞날', '산책로', '아래', '모래사장', '바닷물', '사람', '경치', '좋다', '힐링']",Positive,0.9661241769790649
이순신공원,경남 통영시 정량동 688-1,도치필름,"일출이 멋지다고 해서 갔는데 아쉽게도 구름이 껴서 일출은 보지 못했다공원 자체는 넓고 평온한 느낌을 주는 곳이었다. 주차공간도 넓고, 길냥이들도 사람들이 안 해쳐서 그런지 여유롭게 돌아 다녔다.","일출이 멋지다고 해서 갔는데 아쉽게도 구름이 껴서 일출은 보지 못했다공원 자체는 넓고 평온한 느낌을 주는 곳이었다. 주차공간도 넓고, 길냥이들도 사람들이 안 해쳐서 그런지 여유롭게 돌아 다녔다.","['일출', '멋지다', '아쉽다', '구름', '일출', '보지', '공원', '자체', '넓다', '평온하다', '느낌', '주차공간', '넓다', '길냥이', '사람', '그렇다']",Positive,0.9368385672569275
이순신공원,경남 통영시 정량동 688-1,죠아25,바다가좋아산이좋아.공기가좋아나는힐링🥰💝,바다가좋아산이좋아.공기가좋아나는힐링,"['바다', '좋다', '산이', '좋다', '공기', '좋다', '힐링']",Positive,0.8549044728279114
이순신공원,경남 통영시 정량동 688-1,JINJIN84,"통영의 마스코트,귀여운 갈매기 동백이가 반겨주는이순신공원이에요.한려해상이 한눈에 담기는탁트인 뷰가 너무 예쁜 곳이에요.산책길따라 수국도 피어있어서아름다운 자연경관을 볼수있어요.무장애나눔길이 있어서누구나 쉽게 이용할수있습니다.","통영의 마스코트,귀여운 갈매기 동백이가 반겨주는이순신공원이에요.한려해상이 한눈에 담기는탁트인 뷰가 너무 예쁜 곳이에요.산책길따라 수국도 피어있어서아름다운 자연경관을 볼수있어요.무장애나눔길이 있어서누구나 쉽게 이용할수있습니다.","['통영', '마스코트', '귀엽다', '갈매기', '동백', '이순신', '공원', '해상', '한눈', '탁트인', '예쁘다', '산책길', '수국', '아름답다', '자연', '경관', '무장애', '나눔', '길이', '있다', '누구', '이용']",Positive,0.9742932915687561
이순신공원,경남 통영시 정량동 688-1,쎙쎙쎙,생각보다 정말 좋았어요무장애길도 잘 되어 있고 바다도 탁 트여서 잘 보이구요산책하고 걷기 좋았습니다,생각보다 정말 좋았어요무장애길도 잘 되어 있고 바다도 탁 트여서 잘 보이구요산책하고 걷기 좋았습니다,"['생각', '정말', '좋다', '무장애', '길다', '있다', '바다', '산책', '걷기', '좋다']",Positive,0.9715328216552734
이순신공원,경남 통영시 정량동 688-1,656****,친구들에게 추천할만한 여행지입니다~,친구들에게 추천할만한 여행지입니다,"['친구', '추천', '여행지', '이다']",Positive,0.9685168266296387
이순신공원,경남 통영시 정량동 688-1,7번소비자,"통영가면 꼭 가야죠!주차장 넓고, 돌다보면 이렇게나 맑은 바다를 볼 수 있어요.","통영가면 꼭 가야죠!주차장 넓고, 돌다보면 이렇게나 맑은 바다를 볼 수 있어요.","['통영', '가면', '가야', '주차장', '넓다', '이렇다', '맑은', '바다', '있다']",Positive,0.9739148616790771
이순신공원,경남 통영시 정량동 688-1,happydal,산책하기 너무 좋음,산책하기 너무 좋음,"['산책', '좋다']",Positive,0.9721400141716003
이순신공원,경남 통영시 정량동 688-1,브레드님,주차비 유로입니다. 트레킹하기 좋아요. 여름 비추천.,주차비 유로입니다. 트레킹하기 좋아요. 여름 비추천.,"['차비', '유로', '이다', '트레킹', '좋다', '여름', '추천']",Positive,0.8668118119239807
