store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
임실치즈테마파크,전북 임실군 성수면 도인2길 50,여기저기탐험가,"추석 연휴와 치즈축제 기간에는 무료입장이었으나 현재는 국화축제로 입장료를 받고 있어요 조형물없이 국화화분만 정렬되어있고 분수대앞으로 꾸며놓은게 다인데 입장료 부과가 조금 아쉬움.. 작년에 예능  같이 삽시다에서 박원숙 선생님, 혜은이 선생님등이 방문하셨던 방송분이 생각났다는 ㅎㅎ 해마다 여는 치즈축제로 다양한 체험을 할수있고 접근성이 좋고 넓어 가족들과 나들이하기 좋은 장소같아요! 구절초 꽃밭도 조성되어 있어 가을 정취가 더욱 물씬납니다","추석 연휴와 치즈축제 기간에는 무료입장이었으나 현재는 국화축제로 입장료를 받고 있어요 조형물없이 국화화분만 정렬되어있고 분수대앞으로 꾸며놓은게 다인데 입장료 부과가 조금 아쉬움.. 작년에 예능 같이 삽시다에서 박원숙 선생님, 혜은이 선생님등이 방문하셨던 방송분이 생각났다는 ㅎㅎ 해마다 여는 치즈축제로 다양한 체험을 할수있고 접근성이 좋고 넓어 가족들과 나들이하기 좋은 장소같아요! 구절초 꽃밭도 조성되어 있어 가을 정취가 더욱 물씬납니다","['추석', '연휴', '치즈', '축제', '기간', '무료', '입장', '현재', '국화축제', '입장료', '있다', '조형', '국화', '화분', '정렬', '분수', '다인', '입장료', '부과', '조금', '아쉬움', '작년', '예능', '박원숙', '선생님', '혜은이', '선생님', '방문', '방송', '치즈', '축제', '다양하다', '체험', '접근성', '좋다', '넓다', '가족', '나들이', '좋다', '장소', '같다', '구절초', '꽃밭', '조성', '있다', '가을', '정취', '더욱', '물씬']",Positive,0.9664086699485779
임실치즈테마파크,전북 임실군 성수면 도인2길 50,도토리먹는쥐,부모님과 주말 나들이로 임실치즈테마파크 방문!생각보다 넓은규모와 잘 관리된 시설들에 감탄!이곳에서 꽃구경과 점심식사까지 해결하고 갑니다~~동물 친구들도 만나서 즐거웠어요~~!가족단위로 많이 방문하네요.다음에도 또 방문하고싶어요!,부모님과 주말 나들이로 임실치즈테마파크 방문!생각보다 넓은규모와 잘 관리된 시설들에 감탄!이곳에서 꽃구경과 점심식사까지 해결하고 갑니다동물 친구들도 만나서 즐거웠어요!가족단위로 많이 방문하네요.다음에도 또 방문하고싶어요!,"['부모님', '주말', '나들이', '임실', '치즈', '테마', '파크', '방문', '생각', '넓다', '규모', '관리', '시설', '감탄', '구경', '점심식사', '해결', '동물', '친구', '즐겁다', '가족', '위로', '방문', '다음', '방문']",Positive,0.9737246036529541
임실치즈테마파크,전북 임실군 성수면 도인2길 50,서영주강사,"미리 와 본 임실치즈테마파크에 사람이 많아요.오늘이 토요일, 휴일이라선지 축제날처럼 붐비네요.국화꽃도 예쁘고 비온뒤라 날씨도 좋고 넘 좋아요. 우리 아이도 좋아하고 어른들도 기분 좋고 가을 여행으로 딱 좋아요.","미리 와 본 임실치즈테마파크에 사람이 많아요.오늘이 토요일, 휴일이라선지 축제날처럼 붐비네요.국화꽃도 예쁘고 비온뒤라 날씨도 좋고 넘 좋아요. 우리 아이도 좋아하고 어른들도 기분 좋고 가을 여행으로 딱 좋아요.","['미리', '임실', '치즈', '테마', '파크', '사람', '많다', '오늘이', '토요일', '휴일', '선지', '축제', '국화', '예쁘다', '비온뒤', '날씨', '좋다', '좋다', '우리', '아이', '좋아하다', '어른', '기분', '좋다', '가을', '여행', '좋다']",Positive,0.9736636281013489
임실치즈테마파크,전북 임실군 성수면 도인2길 50,YHCR,★월요일에는 치즈박물관등 닫은 곳이 있어서 비추! 어른들끼리 치즈축제기간에 산책겸 다녀왔어요. 체험할 곳등은 닫혀있었지만 카페 식당등은 운영중이라 괜찮았어요. 아이들과 갔을 때는 먼 곳 까지 가지못했는데 멀리까지 가니 트릭아트 미럼틀 양먹이주기 등 체험도있고 포토존 가득이네요.구절초 코스모스 국화꽃 조금 시들었지만 예쁘게 피어있어서 가을 끝자락 꽃놀이잘하고 갑니다. 치즈케잌은 입구 키즈카페 있는카페에서 구매!,월요일에는 치즈박물관등 닫은 곳이 있어서 비추! 어른들끼리 치즈축제기간에 산책겸 다녀왔어요. 체험할 곳등은 닫혀있었지만 카페 식당등은 운영중이라 괜찮았어요. 아이들과 갔을 때는 먼 곳 까지 가지못했는데 멀리까지 가니 트릭아트 미럼틀 양먹이주기 등 체험도있고 포토존 가득이네요.구절초 코스모스 국화꽃 조금 시들었지만 예쁘게 피어있어서 가을 끝자락 꽃놀이잘하고 갑니다. 치즈케잌은 입구 키즈카페 있는카페에서 구매!,"['월요일', '치즈', '박물', '관등', '있다', '어른', '끼리', '치즈', '축제', '기간', '산책', '체험', '곳등', '카페', '식당', '운영', '괜찮다', '아이', '멀다', '멀리', '트릭', '아트', '밉다', '럼틀', '먹이', '주기', '체험', '있다', '포토', '가득', '구절초', '코스모스', '국화', '조금', '예쁘다', '가을', '자락', '꽃놀이', '치즈케잌', '입구', '키즈', '카페', '있다', '카페', '구매']",Positive,0.9601128697395325
임실치즈테마파크,전북 임실군 성수면 도인2길 50,미피9918,추석에 방문한 치즈마을✌️국화축제를 하고있었어요~ 꽃 종류도 다양하고 이쁘게 꾸며져있어~ 아이들과 눈호강을 하고~저녁에도 이쁘다고 해서 갔었는데 LED조명이 켜져있으니 아이들이 엄청 좋아하드라구요~임실가실때 꼭 들려보세요~ 치즈도 맛있어요👍,추석에 방문한 치즈마을국화축제를 하고있었어요 꽃 종류도 다양하고 이쁘게 꾸며져있어 아이들과 눈호강을 하고저녁에도 이쁘다고 해서 갔었는데 LED조명이 켜져있으니 아이들이 엄청 좋아하드라구요임실가실때 꼭 들려보세요 치즈도 맛있어요,"['추석', '방문', '치즈', '마을', '국화축제', '종류', '다양하다', '이쁘다', '아이', '호강', '저녁', '이쁘다', '조명', '아이', '좋다', '하드', '임실', '치즈', '맛있다']",Positive,0.9683455228805542
임실치즈테마파크,전북 임실군 성수면 도인2길 50,sj1148,가족여행으로 마지막 코스에 들린곳~~때마침 국화축제까지 하고있어서  사람들이 정말 많았습니다국화가 정말 이쁘게 형형색색 피어서 눈호강도 하고 사진도 이쁘게 많이 찍었습니다그리고  아이와 함께 하다보니 치즈 구경을 위해 올랐더니 치즈 공정과정도 보고  보관해놓은것도 실제로 볼수있어서 좋았습니다곳곳에 아이들과 즐길거리가 있어  좋았는데 화장실이  좀..많이 더럽고 냄새가 나서 좀 그랬습니다그리고 치즈관에서 아이들 놀거리 체험하다보니 치즈로 피자만들고 치즈에 대한 이야기를 들을수있는 체험공간에 치즈를 올려도 인식이 안되어 대략 난감하고 더 궁금하게 만들어서...답답함이 있긴했지만 일부  한두개만 되어서 다른사람들이 끝내고 나서야 한번 할수있었습니다,가족여행으로 마지막 코스에 들린곳때마침 국화축제까지 하고있어서 사람들이 정말 많았습니다국화가 정말 이쁘게 형형색색 피어서 눈호강도 하고 사진도 이쁘게 많이 찍었습니다그리고 아이와 함께 하다보니 치즈 구경을 위해 올랐더니 치즈 공정과정도 보고 보관해놓은것도 실제로 볼수있어서 좋았습니다곳곳에 아이들과 즐길거리가 있어 좋았는데 화장실이 좀..많이 더럽고 냄새가 나서 좀 그랬습니다그리고 치즈관에서 아이들 놀거리 체험하다보니 치즈로 피자만들고 치즈에 대한 이야기를 들을수있는 체험공간에 치즈를 올려도 인식이 안되어 대략 난감하고 더 궁금하게 만들어서...답답함이 있긴했지만 일부 한두개만 되어서 다른사람들이 끝내고 나서야 한번 할수있었습니다,"['가족', '여행', '마지막', '코스', '때마침', '국화축제', '사람', '정말', '많다', '국화', '정말', '이쁘다', '형형색색', '피어', '호강', '사진', '이쁘다', '아이', '치즈', '구경', '위해', '치즈', '정과정', '보고', '보관', '실제', '좋다', '곳곳', '아이', '거리', '있다', '좋다', '화장실', '더럽다', '냄새', '그렇다', '치즈', '아이', '거리', '체험', '치즈', '피자', '치즈', '대한', '이야기', '체험', '공간', '치즈', '인식', '안되다', '대략', '난감하다', '궁금하다', '답답하다', '있다', '일부', '다른사람', '한번']",Positive,0.9170802235603333
임실치즈테마파크,전북 임실군 성수면 도인2길 50,슈퍼보리,국화전시라 사천원 입장료 내는데 그건 좀.. 국화가 다 타고 죽고 그랬어요.. 어차피 안에 들어가면 체험료도 다 유료여서 아쉽 그 외 다른 구경거리들은 사진 찍고 하긴 좋아요. 안도 커서 다 돌아보기엔 여유 있어야할꺼같아요. 트릭아트관이량 미끄럼틀 재미있습니다.,국화전시라 사천원 입장료 내는데 그건 좀.. 국화가 다 타고 죽고 그랬어요.. 어차피 안에 들어가면 체험료도 다 유료여서 아쉽 그 외 다른 구경거리들은 사진 찍고 하긴 좋아요. 안도 커서 다 돌아보기엔 여유 있어야할꺼같아요. 트릭아트관이량 미끄럼틀 재미있습니다.,"['국화전', '시라', '사천원', '입장료', '국화', '타고', '그렇다', '어차피', '체험', '유료', '아쉽다', '다른', '거리', '사진', '좋다', '안도', '커서', '여유', '있다', '야하다', '같다', '트릭', '아트', '이량', '미끄럼틀', '재미있다']",Positive,0.9608719348907471
임실치즈테마파크,전북 임실군 성수면 도인2길 50,베링87,"축제기간 9시좀 넘어서 도착했지만주차가 헬;; 한시간기다려 셔틀을 탔는데길을 모르시는건지 주차하려고 기다리는 차뒤에서서 거북이 걸음 하다 사람들 빡쳐서 내려달라고우린 애들도 있고 그냥 타고 가려했는데걸어가면 있으니 내리라고 ㅎㅎ어이없어 사진찍어둠!!다른 노란 셔틀버스차 여러번 할때아무도 데려다주지 않고그냥 가버리는...셔틀버스를 운행할꺼면 제대로 하시길!!추가로 ㅎ자연농원 관람료;;,,전주동물원이 성인3000원인데이건 무슨 코미디인가;,갑자기 돈돈돈 ㅎㅎㅎ먹이주기는 그렇다치고 ㅎㅎㅎ여러가지로 실망스럽네요...","축제기간 9시좀 넘어서 도착했지만주차가 헬 한시간기다려 셔틀을 탔는데길을 모르시는건지 주차하려고 기다리는 차뒤에서서 거북이 걸음 하다 사람들 빡쳐서 내려달라고우린 애들도 있고 그냥 타고 가려했는데걸어가면 있으니 내리라고 ㅎㅎ어이없어 사진찍어둠!!다른 노란 셔틀버스차 여러번 할때아무도 데려다주지 않고그냥 가버리는...셔틀버스를 운행할꺼면 제대로 하시길!!추가로 ㅎ자연농원 관람료,,전주동물원이 성인3000원인데이건 무슨 코미디인가,갑자기 돈돈돈 ㅎㅎㅎ먹이주기는 그렇다치고 ㅎㅎㅎ여러가지로 실망스럽네요...","['축제', '기간', '도착', '주차', '시간', '셔틀', '주차', '차뒤', '서서', '거북이', '걸음', '사람', '빡치다', '달라', '우린', '있다', '그냥', '타고', '있다', '어이없다', '사진', '어둠', '다른', '노랗다', '셔틀버스', '무도', '그냥', '셔틀버스', '운행', '제대로', '추가', '자연농원', '관람', '전주동물원', '성인', '무슨', '코미디', '갑자기', '돈돈', '먹이', '주기', '그렇다', '여러가지', '실망', '스럽다']",Negative,0.9143235683441162
임실치즈테마파크,전북 임실군 성수면 도인2길 50,juny94,치즈 좋아하는데 역사관 갔다오니 신기했어요,치즈 좋아하는데 역사관 갔다오니 신기했어요,"['치즈', '좋아하다', '역사관', '신기하다']",Positive,0.9612019062042236
임실치즈테마파크,전북 임실군 성수면 도인2길 50,유하누,추석연휴에 가서 요거트 잔뜩 사고 왔어요꽃은 입장료 받는 거에 비해서 별로에요.근데 65세 이상은 보통 경로우대나 어르신으로 표현하는데 영수증에 노인이라 기재 된 건 충격이네여 ㅋㅋㅋ요거트는 택배도 가능해서 앞으로 시켜 먹을라구요,추석연휴에 가서 요거트 잔뜩 사고 왔어요꽃은 입장료 받는 거에 비해서 별로에요.근데 65세 이상은 보통 경로우대나 어르신으로 표현하는데 영수증에 노인이라 기재 된 건 충격이네여 ㅋㅋㅋ요거트는 택배도 가능해서 앞으로 시켜 먹을라구요,"['추석', '연휴', '요거트', '잔뜩', '사고', '입장료', '별로', '이상은', '보통', '로우', '어르신', '표현', '영수증', '노인', '기재', '충격', '요거트', '택배', '가능하다']",Negative,0.627560555934906
