store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
자라섬,경기 가평군 가평읍 자라섬로 60,이웃집 꾸꾸네 집,자라섬 무료입장이라 편안하게 산책겸 둘러보고 갑니다. 꽃이나 축제는 없는 계절이지만 무료전동차도 운영하고 차가지고 편안하게 들어올수도 있고 주차도 좋았어요.뻥뚫린 자라나루에서 커피도 한잔하고 주변 닭갈비집에서 식사도 하고 갑니다. 가평아가씨 노래도 흥이 나네요.버튼 누르면 음악도 나와요.,자라섬 무료입장이라 편안하게 산책겸 둘러보고 갑니다. 꽃이나 축제는 없는 계절이지만 무료전동차도 운영하고 차가지고 편안하게 들어올수도 있고 주차도 좋았어요.뻥뚫린 자라나루에서 커피도 한잔하고 주변 닭갈비집에서 식사도 하고 갑니다. 가평아가씨 노래도 흥이 나네요.버튼 누르면 음악도 나와요.,"['자라섬', '무료', '입장', '편안하다', '산책', '축제', '없다', '계절', '무료', '전동차', '운영', '차갑다', '편안하다', '있다', '주차', '좋다', '자라', '나루', '커피', '한잔', '주변', '닭갈비', '식사', '가평', '아가씨', '노래', '흥이', '버튼', '음악']",Positive,0.9654941558837891
자라섬,경기 가평군 가평읍 자라섬로 60,김복잘,북한강 위에 떠있는 작은 섬. 물속에서 자라가 머리를 내민 모양처럼 생겼다고 해서 자라섬이라고 불린다는 이곳은 남이섬 바로 옆이라 같이 들르기 좋음.남이섬과는 달리 차로 들어갈 수 있고 캠핑장이 유명함. 계절마다 꽃이 예쁘다는데 11월 첫째주는 이제 단풍이 조금씩 물들어가는 중. 🍁 북한강변을 따라 걷는 길이 힐링길 그 자체.자라섬만 보기엔 짧고 아쉬워서 가평 여행까지 묶어서 세트로 때려버리기.  축제 기간엔 입장료가 있을 때도 있다는데 평소엔 무료라 쓰윽 가서 산책 1시간 정도 하고 오기에 좋음. 남이섬에 비하면 많이 여유로운 편.,북한강 위에 떠있는 작은 섬. 물속에서 자라가 머리를 내민 모양처럼 생겼다고 해서 자라섬이라고 불린다는 이곳은 남이섬 바로 옆이라 같이 들르기 좋음.남이섬과는 달리 차로 들어갈 수 있고 캠핑장이 유명함. 계절마다 꽃이 예쁘다는데 11월 첫째주는 이제 단풍이 조금씩 물들어가는 중. 북한강변을 따라 걷는 길이 힐링길 그 자체.자라섬만 보기엔 짧고 아쉬워서 가평 여행까지 묶어서 세트로 때려버리기. 축제 기간엔 입장료가 있을 때도 있다는데 평소엔 무료라 쓰윽 가서 산책 1시간 정도 하고 오기에 좋음. 남이섬에 비하면 많이 여유로운 편.,"['북한', '작다', '물속', '자라', '머리', '모양', '자라섬', '남이섬', '바로', '좋다', '남이섬', '달리', '차로', '있다', '캠핑장', '유명하다', '계절', '예쁘다', '이제', '단풍', '북한', '강변', '길이', '힐링', '자체', '자라섬', '보기', '짧다', '아쉽다', '가평', '여행', '세트', '축제', '기간', '입장료', '있다', '있다', '평소', '무료', '쓰윽', '산책', '정도', '오기', '좋다', '남이섬', '여유']",Positive,0.9436797499656677
자라섬,경기 가평군 가평읍 자라섬로 60,지장뱃살,자라섬은 어느 계절에 와도 좋지만 가을에 오면 꽃축제도 마침 방문한 날은  곧 있을 재즈 페스티벌 준비로 분주한거같았다.꽃을 좋아하는 할머니 할아버지 들이 많았다. 역시 나이들수록 꽃을 더 좋아하는거 같다. 꽃구경을 하다보니 2만보는거뜬히 걷게된다.,자라섬은 어느 계절에 와도 좋지만 가을에 오면 꽃축제도 마침 방문한 날은 곧 있을 재즈 페스티벌 준비로 분주한거같았다.꽃을 좋아하는 할머니 할아버지 들이 많았다. 역시 나이들수록 꽃을 더 좋아하는거 같다. 꽃구경을 하다보니 2만보는거뜬히 걷게된다.,"['자라섬', '계절', '좋다', '가을', '축제', '마침', '방문', '있다', '재즈', '페스티벌', '준비', '분주하다', '같다', '좋아하다', '할머니', '할아버지', '많다', '역시', '나이', '수록', '좋아하다', '같다', '구경']",Positive,0.9624103307723999
자라섬,경기 가평군 가평읍 자라섬로 60,새근새근코,가평 여행와서 꽃 페스타 보러 자라섬 방문😊 비가 많이 와서 방문객은 몇명 없었어요. 처음 꽃 페스타 왔는데 생각보다 규모도 넓고 꽃도 많고 이뻤어요. 이쁘게 잘 꾸며놓았더라고요😊 게다가 입장료도 아이는 무료였고 어른은 7000원에 5000원은 가평사랑상품권으로 환급해주니 너무 저렴해요🤣 (가평사랑상품권은 하나로마트에서 이용 잘했습니다) 직원분들도 친절하시고요. 비가 와서 아쉬웠지만 붐비지않게 여유있게 구경 잘하고 갑니다😊 날 좋을때 다시 꽃 보러 놀러갈게요🌸🌻🌺🌷💐,가평 여행와서 꽃 페스타 보러 자라섬 방문 비가 많이 와서 방문객은 몇명 없었어요. 처음 꽃 페스타 왔는데 생각보다 규모도 넓고 꽃도 많고 이뻤어요. 이쁘게 잘 꾸며놓았더라고요 게다가 입장료도 아이는 무료였고 어른은 7000원에 5000원은 가평사랑상품권으로 환급해주니 너무 저렴해요 가평사랑상품권은 하나로마트에서 이용 잘했습니다 직원분들도 친절하시고요. 비가 와서 아쉬웠지만 붐비지않게 여유있게 구경 잘하고 갑니다 날 좋을때 다시 꽃 보러 놀러갈게요,"['가평', '여행', '페스', '자라섬', '방문', '방문객', '없다', '처음', '페스', '생각', '규모', '넓다', '많다', '이쁘다', '이쁘다', '게다가', '입장료', '아이', '무료', '어른', '가평', '사랑', '상품권', '환급', '저렴하다', '가평', '사랑', '상품권', '하나로마트', '이용', '직원', '친절하다', '아쉽다', '여유', '있다', '구경', '좋다', '다시']",Positive,0.967369794845581
자라섬,경기 가평군 가평읍 자라섬로 60,hoh****,티비에서 보던것보다 넓고 꽃이 진짜 많아요어딜봐도 꽃이고 어딜 찍어도 이쁘네요벌새도 있고 나비도 많아요자라섬 꽃축제는 처음인데 너무 즐거웠어요주차도 걱정했는데 자라섬찍고 가니 안내도 잘되었어서 주차하기 편했어요생각보다 주차 자리가 넉넉했어요다음에도 가보고싶어요,티비에서 보던것보다 넓고 꽃이 진짜 많아요어딜봐도 꽃이고 어딜 찍어도 이쁘네요벌새도 있고 나비도 많아요자라섬 꽃축제는 처음인데 너무 즐거웠어요주차도 걱정했는데 자라섬찍고 가니 안내도 잘되었어서 주차하기 편했어요생각보다 주차 자리가 넉넉했어요다음에도 가보고싶어요,"['티비', '넓다', '진짜', '많다', '이쁘다', '벌새', '있다', '나비', '많다', '자라섬', '축제', '처음', '즐겁다', '주차', '걱정', '자라섬', '안내', '주차', '편하다', '생각', '주차', '자리', '넉넉하다', '다음']",Positive,0.9727493524551392
자라섬,경기 가평군 가평읍 자라섬로 60,잔무지,"음료와 빵의 맛은 평범하지만 날씨가 좋은 날 시원한 바람과 멋진 풍경을 보며 한가로이 여유를 즐길 수 있는 카페입니다. 주말에는 붐빌 수 있겠지만 평일 한정 1층의 북한강과 자라섬이 바로 보이는 자리도 좋고 2층의 주변이 잘 보이는 자리, 옥상의 탁 트인 하늘을 바라볼 수 있는 공간이 있어 남도꽃정원을 느긋히 산책하고 잠시 쉬며 차 한잔 마시기 좋은 공간이라 생각합니다.","음료와 빵의 맛은 평범하지만 날씨가 좋은 날 시원한 바람과 멋진 풍경을 보며 한가로이 여유를 즐길 수 있는 카페입니다. 주말에는 붐빌 수 있겠지만 평일 한정 1층의 북한강과 자라섬이 바로 보이는 자리도 좋고 2층의 주변이 잘 보이는 자리, 옥상의 탁 트인 하늘을 바라볼 수 있는 공간이 있어 남도꽃정원을 느긋히 산책하고 잠시 쉬며 차 한잔 마시기 좋은 공간이라 생각합니다.","['음료', '평범하다', '날씨', '좋다', '시원하다', '바람', '멋지다', '풍경', '여유', '있다', '카페', '이다', '주말', '있다', '평일', '한정', '북한', '자라섬', '바로', '자리', '좋다', '주변', '자리', '옥상', '하늘', '있다', '공간', '있다', '남도', '정원', '느긋하다', '산책', '잠시', '한잔', '마시기', '좋다', '공간', '생각']",Positive,0.9643484950065613
자라섬,경기 가평군 가평읍 자라섬로 60,HOSU46,"입장료 7,000원 지역상품권으로 5,000원은 돌려받아요입구에 장터가 있는데 그곳에서 물건을 살수 있어요😊백일홍과 코스모스 해바라기 시즌이에요핑크뮬리는 아직이어서 아쉬웠지만 백일홍이 넘무 예뻐서 만족!😍","입장료 7,000원 지역상품권으로 5,000원은 돌려받아요입구에 장터가 있는데 그곳에서 물건을 살수 있어요백일홍과 코스모스 해바라기 시즌이에요핑크뮬리는 아직이어서 아쉬웠지만 백일홍이 넘무 예뻐서 만족!","['입장료', '지역', '상품권', '입구', '장터', '있다', '물건', '살수', '있다', '백일홍', '코스모스', '해바라기', '시즌', '핑크', '뮬리', '아쉽다', '백일홍', '예쁘다', '만족']",Positive,0.9659545421600342
자라섬,경기 가평군 가평읍 자라섬로 60,TTTTTTTz,"자라섬 꽃 페스타기간(9/13~10/12)이여서 처음으로 자라섬에 방문했습니다!다양한 식물들이 매우 예쁘게 피어있고, 아기자기하게 잘 꾸며져 있었습니다!🌼🌻🌹산책하기에 코스들도 너무 잘 짜여져 있습니다!입장료는 7000원이었지만 5000원은 가평사랑상품권으로 환급해줘서 페스타도 구경하고 주변에서 식사를 할때 상품권을 사용할수 있어서 좋았습니다!날씨가 좋아서 사진 찍기도 좋고, 사진을 찍을수 있는 포토스팟도 곳곳에 있어서, 가족들과 나들이 오기도 그리고 연인들의 데이트코스로도 좋을 것 같습니다!날이 좀더 선선해지면서 바람 솔솔 부는 코스길을 따라 산책하면 더 좋을거 같습니다!😄","자라섬 꽃 페스타기간9131012이여서 처음으로 자라섬에 방문했습니다!다양한 식물들이 매우 예쁘게 피어있고, 아기자기하게 잘 꾸며져 있었습니다!산책하기에 코스들도 너무 잘 짜여져 있습니다!입장료는 7000원이었지만 5000원은 가평사랑상품권으로 환급해줘서 페스타도 구경하고 주변에서 식사를 할때 상품권을 사용할수 있어서 좋았습니다!날씨가 좋아서 사진 찍기도 좋고, 사진을 찍을수 있는 포토스팟도 곳곳에 있어서, 가족들과 나들이 오기도 그리고 연인들의 데이트코스로도 좋을 것 같습니다!날이 좀더 선선해지면서 바람 솔솔 부는 코스길을 따라 산책하면 더 좋을거 같습니다!","['자라섬', '페스', '기간', '처음', '자라섬', '방문', '다양하다', '식물', '매우', '예쁘다', '아기자기하다', '있다', '산책', '코스', '있다', '입장료', '가평', '사랑', '상품권', '환급', '페스', '타도', '구경', '주변', '식사', '상품권', '사용', '있다', '좋다', '날씨', '좋다', '사진', '찍기', '좋다', '사진', '있다', '포토', '스팟', '곳곳', '있다', '가족', '나들이', '오기', '연인', '데이트', '코스', '좋다', '같다', '좀더', '선선해지다', '바람', '솔솔', '코스', '산책', '좋다', '같다']",Positive,0.9627876281738281
자라섬,경기 가평군 가평읍 자라섬로 60,후추냐옹,"연인산 나들이 왔다가 바로 옆에 있는 남이섬은 줄이길고, 자라섬 잠깐 들렸어요☺️주차장도 잘 되어 있고, 산책로도 잘 정리되어 있고, 꽃도 예뻐서 들리길 너무 잘한거 같아요🥰갑자기 비가와서 많이 둘러보진 못했지만, 핑크뮬리, 백일홍, 코스모스, 국화, 홍피 등 많은 식물로 섬이 예쁘게 꾸며져 있어서 어디서 찍든 인생샷이었어요👍날이 좋으면 출렁다리까지 구경하면 좋을 것 같아요🥰유모차 끌고 다니기에도 나쁘지 않은 도로였어요☺️","연인산 나들이 왔다가 바로 옆에 있는 남이섬은 줄이길고, 자라섬 잠깐 들렸어요주차장도 잘 되어 있고, 산책로도 잘 정리되어 있고, 꽃도 예뻐서 들리길 너무 잘한거 같아요갑자기 비가와서 많이 둘러보진 못했지만, 핑크뮬리, 백일홍, 코스모스, 국화, 홍피 등 많은 식물로 섬이 예쁘게 꾸며져 있어서 어디서 찍든 인생샷이었어요날이 좋으면 출렁다리까지 구경하면 좋을 것 같아요유모차 끌고 다니기에도 나쁘지 않은 도로였어요","['연인산', '나들이', '바로', '있다', '남이섬', '길다', '자라섬', '잠깐', '주차장', '있다', '산책로', '정리', '있다', '예쁘다', '같다', '갑자기', '핑크', '뮬리', '백일홍', '코스모스', '국화', '홍피', '많다', '식물', '예쁘다', '있다', '인생', '좋다', '다리', '구경', '좋다', '같다', '유모차', '나쁘다', '도로']",Positive,0.9682980179786682
자라섬,경기 가평군 가평읍 자라섬로 60,zzbb지지베베,자라섬 남도 꽃정원에 다녀왔어요.가을이랑 꽃축제를 시작했는데 꽃도 엄청 많고구경하고 사진찍기 너무 좋았어요.정원 끝에 머리에 자라나루에서 유람선도 탈수 있고너무 좋았어요.연휴라 사람도 많았어요.정말 잘 구경하고 갑니다.입장료 7천원인데 가평상품권 5천원권도 같이줘요.진짜 재미있었어요😀😃,자라섬 남도 꽃정원에 다녀왔어요.가을이랑 꽃축제를 시작했는데 꽃도 엄청 많고구경하고 사진찍기 너무 좋았어요.정원 끝에 머리에 자라나루에서 유람선도 탈수 있고너무 좋았어요.연휴라 사람도 많았어요.정말 잘 구경하고 갑니다.입장료 7천원인데 가평상품권 5천원권도 같이줘요.진짜 재미있었어요,"['자라섬', '남도', '정원', '가을', '축제', '시작', '많다', '구경', '사진', '찍기', '좋다', '정원', '머리', '자라', '나루', '유람선', '탈수', '있다', '좋다', '연휴', '사람', '많다', '정말', '구경', '입장료', '가평', '상품권', '같다', '진짜', '재미있다']",Positive,0.9724524021148682
