store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
정방폭포,제주 서귀포시 칠십리로214번길 37,yoo****,"정방폭포는 언제 와도 아름다운 곳이고, 외국관광객들로 늘 붐비는 곳이에요. 폭포수가 뭍에서 바로 바다로 떨어지는 곳은 국내에서도 오직 하나 밖에 없다고 하네요. 정방폭포의 벼랑에는 알 수 없는 그림같은 것이 그려져 있는데, 진시황때 서불이 이곳을 지나가면서 새긴 것이라는 말이 있다고 해요. 산책로도 아름답고 참 좋았어요.","정방폭포는 언제 와도 아름다운 곳이고, 외국관광객들로 늘 붐비는 곳이에요. 폭포수가 뭍에서 바로 바다로 떨어지는 곳은 국내에서도 오직 하나 밖에 없다고 하네요. 정방폭포의 벼랑에는 알 수 없는 그림같은 것이 그려져 있는데, 진시황때 서불이 이곳을 지나가면서 새긴 것이라는 말이 있다고 해요. 산책로도 아름답고 참 좋았어요.","['정방폭포', '언제', '아름답다', '외국', '관광객', '폭포수', '바로', '바다로', '국내', '오직', '하나', '없다', '정방폭포', '벼랑', '없다', '그림', '같다', '있다', '진시황', '서불', '있다', '산책로', '아름답다', '좋다']",Positive,0.9723301529884338
정방폭포,제주 서귀포시 칠십리로214번길 37,캠프왕 멕반장 맛집 여행기,제주여행에 빠질 수 없는 정방폭포 다녀옵니다 제주3대 폭포라고 많은 여행객들이 다녀가고 저 역시 이번에 첨 가봤는데요 너무 아름다그ㅡ 멋졌습니당👏👏😁😁,제주여행에 빠질 수 없는 정방폭포 다녀옵니다 제주3대 폭포라고 많은 여행객들이 다녀가고 저 역시 이번에 첨 가봤는데요 너무 아름다그ㅡ 멋졌습니당,"['여행', '없다', '정방폭포', '제주', '폭포', '많다', '여행객', '역시', '이번', '아름', '다그', '멋지다']",Positive,0.9744322896003723
정방폭포,제주 서귀포시 칠십리로214번길 37,당산동순이주인,2025년 11월26일 기준오후5시5분까지 입장 가능.,2025년 11월26일 기준오후5시5분까지 입장 가능.,"['기준', '오후', '입장', '가능']",Negative,0.6344597935676575
정방폭포,제주 서귀포시 칠십리로214번길 37,luc****,웅장하고 멋지고자연경관이 너무 아름다웠던 정방폭포 바다 주장절리 폭포  바위까지 그냥 보고만 있어도 좋았던 정방폭포,웅장하고 멋지고자연경관이 너무 아름다웠던 정방폭포 바다 주장절리 폭포 바위까지 그냥 보고만 있어도 좋았던 정방폭포,"['웅장', '멋지다', '자연', '경관', '아름답다', '정방폭포', '바다', '주장', '절리', '폭포', '바위', '그냥', '보고', '있다', '좋다', '정방폭포']",Positive,0.971176266670227
정방폭포,제주 서귀포시 칠십리로214번길 37,lovei1004you,정말 좋은 제주도 관광지!! 빼놓을 수 없는 정방폭포!! 매년 올때마다 사진 찍기 너무 좋고 식사하고 들려서 눈 호강하고 산책하기 좋아요😍,정말 좋은 제주도 관광지!! 빼놓을 수 없는 정방폭포!! 매년 올때마다 사진 찍기 너무 좋고 식사하고 들려서 눈 호강하고 산책하기 좋아요,"['정말', '좋다', '제주도', '관광지', '없다', '정방폭포', '매년', '사진', '찍기', '좋다', '식사', '호강', '산책', '좋다']",Positive,0.9735573530197144
정방폭포,제주 서귀포시 칠십리로214번길 37,맛있는 인센,제주도 오면 항상 들리는 정방폭포... 장관입니다.... 윤슬도 너무이쁘게 비춰서...  보러 오는 맛이있어요... 너무 더웠는데 폭포 앞은 너무 시원하네요,제주도 오면 항상 들리는 정방폭포... 장관입니다.... 윤슬도 너무이쁘게 비춰서... 보러 오는 맛이있어요... 너무 더웠는데 폭포 앞은 너무 시원하네요,"['제주도', '항상', '정방폭포', '장관', '이다', '윤슬', '이쁘다', '있다', '덥다', '폭포', '시원하다']",Positive,0.9722121357917786
정방폭포,제주 서귀포시 칠십리로214번길 37,keemjena,해녀식당도 있고 폭포가 생각보다 컸어요! 돌밭이라 걸어다닐 때 주의가 필요하고 사진은 정말 잘 나와요!,해녀식당도 있고 폭포가 생각보다 컸어요! 돌밭이라 걸어다닐 때 주의가 필요하고 사진은 정말 잘 나와요!,"['해녀', '식당', '있다', '폭포', '생각', '돌밭', '주의', '필요하다', '사진', '정말']",Positive,0.9706399440765381
정방폭포,제주 서귀포시 칠십리로214번길 37,유땅2,부모님이랑 거대한 폭포 구경 잘 하다 갑니다 ㅎㅎ엄청나더라구요 💗👍🏻,부모님이랑 거대한 폭포 구경 잘 하다 갑니다 ㅎㅎ엄청나더라구요,"['부모님', '거대하다', '폭포', '구경', '엄청나다']",Positive,0.974083662033081
정방폭포,제주 서귀포시 칠십리로214번길 37,맛항,정말 아름다운 곳이었어요🩵💙,정말 아름다운 곳이었어요,"['정말', '아름답다']",Positive,0.9733676314353943
정방폭포,제주 서귀포시 칠십리로214번길 37,Presentti,왕복 20분 컷으로 볼 수 있는 곳이에요! 더운 날에 방문하면 시원해서 좋습니다~ 대신 계단을 좀 많이 내려가야해요! 입구쪽에 기념품샵도 있고 화장실도 있어서 가법게 방문하기 좋아요~,왕복 20분 컷으로 볼 수 있는 곳이에요! 더운 날에 방문하면 시원해서 좋습니다 대신 계단을 좀 많이 내려가야해요! 입구쪽에 기념품샵도 있고 화장실도 있어서 가법게 방문하기 좋아요,"['왕복', '있다', '덥다', '방문', '시원하다', '좋다', '대신', '계단', '입구', '기념품', '있다', '화장실', '있다', '가법', '방문', '좋다']",Positive,0.960647463798523
