store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,웃음꽃7731,"장소가 정말 정말 넓어서 깜짝 놀랐어여화장실 인테리어 생애 첫 경험하는 대단한 곳인게특히, 세면대가 가마솥이라서 눈이 번쩍 띄었구요빵 종류가 어마어마 한데 맛있어여점심을 배 터지게 먹고 왔는데도 맛있어서 내가 컨텍한 빵을 혼자 다 먹었지요자리 자리 마다 테마가 다 다르고소품이 고대 부터 현대까지 다양하여 눈이 호강 합니다.가족 모두 만족하는 공간과 시간에 흡족한 시간을 보낼 수 있어서 좋았습니다버스대절하여 단체 손님이 올 만큼 세계적으로 유명세를 타는 곳 같습니다.외국인들이 지나치게 많아서 놀람 그 자체였지요.세상은 넓고 볼거리가 많은 지금의 이 시간이감사함으로 다가왔습니다","장소가 정말 정말 넓어서 깜짝 놀랐어여화장실 인테리어 생애 첫 경험하는 대단한 곳인게특히, 세면대가 가마솥이라서 눈이 번쩍 띄었구요빵 종류가 어마어마 한데 맛있어여점심을 배 터지게 먹고 왔는데도 맛있어서 내가 컨텍한 빵을 혼자 다 먹었지요자리 자리 마다 테마가 다 다르고소품이 고대 부터 현대까지 다양하여 눈이 호강 합니다.가족 모두 만족하는 공간과 시간에 흡족한 시간을 보낼 수 있어서 좋았습니다버스대절하여 단체 손님이 올 만큼 세계적으로 유명세를 타는 곳 같습니다.외국인들이 지나치게 많아서 놀람 그 자체였지요.세상은 넓고 볼거리가 많은 지금의 이 시간이감사함으로 다가왔습니다","['장소', '정말', '정말', '넓다', '깜짝', '화장실', '인테리어', '생애', '경험', '대단하다', '세면대', '가마솥', '번쩍', '종류', '맛있다', '점심', '맛있다', '컨텍', '혼자', '자리', '자리', '마다', '테마', '다르다', '소품', '고대', '부터', '현대', '다양하다', '호강', '가족', '모두', '만족하다', '공간', '시간', '흡족하다', '시간', '있다', '좋다', '버스', '대절', '단체', '손님', '만큼', '세계', '유명', '같다', '외국인', '많다', '놀람', '자체', '세상', '넓다', '볼거리', '많다', '지금', '시간']",Positive,0.9704325199127197
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,퍼니진,강도9지진이 나도 여기서 빵과 커피를 먹을 수 있을걸요.우리나라최초 공장이어서 이렇게 오래되고 낡았는데도 내진설계가 돼있다네요..ㅋㅋ곳곳이 박물괏이고 레트로하고 진짜진짜 엔틱한 디자인과 요소로 가득한곳..하루에 온것만으로도 다 즐길순 없을것 같아다시 와야할것 같네요신랑과 간만에 오붓한 데이트 잘보냈어요~~,강도9지진이 나도 여기서 빵과 커피를 먹을 수 있을걸요.우리나라최초 공장이어서 이렇게 오래되고 낡았는데도 내진설계가 돼있다네요..ㅋㅋ곳곳이 박물괏이고 레트로하고 진짜진짜 엔틱한 디자인과 요소로 가득한곳..하루에 온것만으로도 다 즐길순 없을것 같아다시 와야할것 같네요신랑과 간만에 오붓한 데이트 잘보냈어요,"['강도', '지진', '여기', '커피', '있다', '우리나라', '최초', '공장', '오래되다', '낡다', '진설', '곳곳이', '박물괏', '레트로', '진짜진짜', '엔틱', '디자인', '요소', '가득하다', '하루', '없다', '같다', '야하다', '같다', '신랑', '간만', '오붓하다', '데이트']",Positive,0.9723027348518372
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,트러플모카,어머니 모시고 강화 장 구경갔다가 방문했어요. 주차장에서 정문 가는 길이 좀 멀어서 입구에 일행분들 다 내려주시고 주차하러 들어가시길 추천 드립니다. 커피와 음료 주문하고 베이커리는 옆에가서 따로 주문해야 합니다. 실내가 매우 넓고 정원도 볼거리가 많아 구석 구석 구경하는 맛이 있습니다. 소품 하나 하나 스토리텔링이 있어 세대간의 이야기 거리도 풍부하고 좋네요. 가족끼리 방문하시면 더욱 좋겠습니다.,어머니 모시고 강화 장 구경갔다가 방문했어요. 주차장에서 정문 가는 길이 좀 멀어서 입구에 일행분들 다 내려주시고 주차하러 들어가시길 추천 드립니다. 커피와 음료 주문하고 베이커리는 옆에가서 따로 주문해야 합니다. 실내가 매우 넓고 정원도 볼거리가 많아 구석 구석 구경하는 맛이 있습니다. 소품 하나 하나 스토리텔링이 있어 세대간의 이야기 거리도 풍부하고 좋네요. 가족끼리 방문하시면 더욱 좋겠습니다.,"['어머니', '모시', '강화', '구경', '방문', '주차장', '정문', '길이', '멀다', '입구', '일행', '주차', '추천', '커피', '음료', '주문', '베이커리', '주문', '실내', '매우', '넓다', '정원', '볼거리', '많다', '구석', '구석', '구경', '있다', '소품', '하나', '하나', '스토리텔링', '있다', '세대', '이야기', '거리', '풍부하다', '좋다', '가족', '끼리', '방문', '더욱', '좋다']",Positive,0.9642770886421204
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,아이러뷰우팅,"강화도 당일치기 왔는데 볼거리, 먹을거리 많네요 ㅎ조양방직까페 유명하다고 해 들렸는데 너무 좋았어요^^아이들도 옛날 물건 보면서 신기해했고 ㅎ 소금빵성지라는데 맞네요 !생크림 들어있는 천사의 유혹빵도 맛있어요😋","강화도 당일치기 왔는데 볼거리, 먹을거리 많네요 ㅎ조양방직까페 유명하다고 해 들렸는데 너무 좋았어요아이들도 옛날 물건 보면서 신기해했고 ㅎ 소금빵성지라는데 맞네요 !생크림 들어있는 천사의 유혹빵도 맛있어요","['강화도', '당일치기', '볼거리', '많다', '방직', '까페', '유명하다', '좋다', '아이', '옛날', '물건', '신기하다', '소금', '생크림', '천사', '유혹', '맛있다']",Positive,0.9733578562736511
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,happyrich,"직장동료 추천으로 방문하게 되었어요.규모가 정말 크고, 신기하고 예쁜 소품들로 볼거리가 많아요.아이들과 함께 방문하면 박물관 구경하는 느낌일거 같아요.상호도 ""신문리 미술관 조양방직""이에요.정말 넓어서 하루에 구경하기 어려워요.재방문은 필수입니다^^","직장동료 추천으로 방문하게 되었어요.규모가 정말 크고, 신기하고 예쁜 소품들로 볼거리가 많아요.아이들과 함께 방문하면 박물관 구경하는 느낌일거 같아요.상호도 신문리 미술관 조양방직이에요.정말 넓어서 하루에 구경하기 어려워요.재방문은 필수입니다","['직장', '동료', '추천', '방문', '규모', '정말', '신기하다', '예쁘다', '소품', '볼거리', '많다', '아이', '방문', '박물관', '구경', '느낌', '같다', '상호', '신문', '미술관', '방직', '정말', '넓다', '하루', '구경', '어렵다', '방문', '필수', '이다']",Positive,0.9739804267883301
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,맛있으면우는꿀순이,"워낙유명하지만 우연히 들려볼까? 해서 들어갔는데 정말 멋진 공간이더라구요 유명할만했습니다. 강화도에와서 여기를 들려보다니 럭키걸 ~ 소금빵은 워낙유명한것 같고, 맛은 바삭하고 아는맛. 여러 빵중 쫀득이빵이맛나보여 먹었는데 치즈맛이 은은하고 쫀득해서 의외로 맛낫습니다. 명장의 빵이라하니 다른빵들도 궁금해집니다~ 야외는 약간 빈티지하고, 볼거리많네~ 정도인데 실내 메인 홀에 들어가니 눈이 휘둥그레.. 마치 동화속에 온 것 처럼 멋진곳이였습니다~! 외국인들도 정말 많았습니다 ^^","워낙유명하지만 우연히 들려볼까? 해서 들어갔는데 정말 멋진 공간이더라구요 유명할만했습니다. 강화도에와서 여기를 들려보다니 럭키걸 소금빵은 워낙유명한것 같고, 맛은 바삭하고 아는맛. 여러 빵중 쫀득이빵이맛나보여 먹었는데 치즈맛이 은은하고 쫀득해서 의외로 맛낫습니다. 명장의 빵이라하니 다른빵들도 궁금해집니다 야외는 약간 빈티지하고, 볼거리많네 정도인데 실내 메인 홀에 들어가니 눈이 휘둥그레.. 마치 동화속에 온 것 처럼 멋진곳이였습니다! 외국인들도 정말 많았습니다","['워낙', '유명하다', '정말', '멋지다', '공간', '덥다', '유명하다', '강화도', '여기', '럭키걸', '소금', '워낙', '유명하다', '같다', '바삭', '여러', '쫀득', '치즈', '은은하다', '쫀득해', '명장', '하니', '궁금하다', '야외', '약간', '빈티', '지하', '볼거리', '많다', '정도', '실내', '메인', '휘둥그레', '마치', '동화', '처럼', '멋지다', '외국인', '정말', '많다']",Positive,0.9724351763725281
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,축다,"카페라기엔 근대박물관에 가깝다고 생각이 들었습니다.볼거리가 매우 많고. 신기한 물건, 풍경이 가득합니다.어르신 분들은 추억의 물건에 감탄하며,어린이들은 신기한 물품에 감탄합니다.먹는 것도 주요하지만 이것은 눈으로도 먹는 느낌이라매우 좋습니다. 그리고 엄청 넓어요.연인 그리고 가족과 함께라면 더 좋아보입니다.특히 부모님과 오시면 좋어하실겁니다.","카페라기엔 근대박물관에 가깝다고 생각이 들었습니다.볼거리가 매우 많고. 신기한 물건, 풍경이 가득합니다.어르신 분들은 추억의 물건에 감탄하며,어린이들은 신기한 물품에 감탄합니다.먹는 것도 주요하지만 이것은 눈으로도 먹는 느낌이라매우 좋습니다. 그리고 엄청 넓어요.연인 그리고 가족과 함께라면 더 좋아보입니다.특히 부모님과 오시면 좋어하실겁니다.","['카페', '박물관', '가깝다', '생각', '볼거리', '매우', '많다', '신기하다', '물건', '풍경', '가득하다', '어르신', '추억', '물건', '감탄', '어린이', '신기하다', '물품', '감탄', '주요하다', '느낌', '매우', '좋다', '넓다', '연인', '가족', '좋다', '부모님', '오시', '좋다']",Positive,0.9723553657531738
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,soso가람,여행 중 찾아간 조양방직 카페.옛날 물건들을 접할 기회가 없는 조카들이‘이건 뭐에요?‘라며 관심을 보이며타보기도 하고 만져볼 수 있는 곳이었어요~방직 공장이어서 공간 자체가 넓다보니 쉴 수 있는 공간도 넉넉했답니다.‘휴식을 취할 수 있는 공간이 이런곳이구나‘할 정도로 편안하게 쉬다 올 수 있는 곳이었어요☕️,여행 중 찾아간 조양방직 카페.옛날 물건들을 접할 기회가 없는 조카들이이건 뭐에요?라며 관심을 보이며타보기도 하고 만져볼 수 있는 곳이었어요방직 공장이어서 공간 자체가 넓다보니 쉴 수 있는 공간도 넉넉했답니다.휴식을 취할 수 있는 공간이 이런곳이구나할 정도로 편안하게 쉬다 올 수 있는 곳이었어요,"['여행', '방직', '카페', '옛날', '물건', '기회', '없다', '조카', '이건', '라며', '관심', '보이', '보기', '있다', '방직', '공장', '공간', '자체', '넓다', '있다', '공간', '넉넉하다', '휴식', '취할', '있다', '공간', '정도', '편안하다', '있다']",Positive,0.9661570191383362
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,Fantastic Cu,"“파괴된 시간의 전시”조양방직은 오래된 물건들을 독특한 컨셉으로 기획한 공간이예요! 음료, 베이커리는 많이 아쉽지만 연령대가 다소 높다면 지난 시간을 상기하며 만족할 만한 경험을 갖을 수 있을 것 같고 연령대가 낮다면 새롭고 독특한 공간의 체험을 할 수 있을 것 같아요!","파괴된 시간의 전시조양방직은 오래된 물건들을 독특한 컨셉으로 기획한 공간이예요! 음료, 베이커리는 많이 아쉽지만 연령대가 다소 높다면 지난 시간을 상기하며 만족할 만한 경험을 갖을 수 있을 것 같고 연령대가 낮다면 새롭고 독특한 공간의 체험을 할 수 있을 것 같아요!","['파괴', '시간', '시조', '방직', '오래되다', '물건', '독특하다', '컨셉', '기획', '공간', '음료', '베이커리', '아쉽다', '연령', '대가', '다소', '높다', '지난', '시간', '상기', '만족하다', '경험', '있다', '같다', '연령', '대가', '낮다', '독특하다', '공간', '체험', '있다', '같다']",Positive,0.9588445425033569
조양방직,인천 강화군 강화읍 향나무길5번길 12 조양방직,먹을때 행복한 배뚠뚠,"부모님 모시고 갔는데 포토존 많아서 좋아하셨어요명절이라 사람많아서 줄서서 들어갔지만 여유있게 좋은 시간 보내고옴!! 근데 화장실 물이 냉수, 온수 조절안되고 뜨거운물만 나와서 손 화상입을뻔 ㅜ 너무 뜨거워서 손을 씻을수가 없던데 왜그런건지?????","부모님 모시고 갔는데 포토존 많아서 좋아하셨어요명절이라 사람많아서 줄서서 들어갔지만 여유있게 좋은 시간 보내고옴!! 근데 화장실 물이 냉수, 온수 조절안되고 뜨거운물만 나와서 손 화상입을뻔 ㅜ 너무 뜨거워서 손을 씻을수가 없던데 왜그런건지?????","['부모님', '모시', '포토', '많다', '좋아하다', '명절', '사람', '많다', '서서', '여유', '있다', '좋다', '시간', '화장실', '물이', '냉수', '온수', '조절', '안되다', '뜨겁다', '화상', '뜨겁다', '없다']",Positive,0.6747018098831177
