store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
중앙시장,대전 동구 중앙로 200-1,jay****,.,.,[],Negative,0.6441146731376648
중앙시장,대전 동구 중앙로 200-1,나무1118,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,향기로운나무9,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,csa****,코레일은 잘하고있어요,코레일은 잘하고있어요,['코레일'],Positive,0.9611218571662903
중앙시장,대전 동구 중앙로 200-1,jinhooo,굳,굳,['굳다'],Positive,0.9499149918556213
중앙시장,대전 동구 중앙로 200-1,car****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,ssj****,친절해요,친절해요,['친절하다'],Positive,0.9661136269569397
중앙시장,대전 동구 중앙로 200-1,SOONA,꽃게 싱싱하고 맛잇었어요 !,꽃게 싱싱하고 맛잇었어요 !,"['꽃게', '싱싱하다']",Positive,0.9741144776344299
중앙시장,대전 동구 중앙로 200-1,미미373,친절해요,친절해요,['친절하다'],Positive,0.9661136269569397
중앙시장,대전 동구 중앙로 200-1,car****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,gus****,구경하기좋아요,구경하기좋아요,"['구경', '좋다']",Positive,0.9535910487174988
중앙시장,대전 동구 중앙로 200-1,car****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,Hily라라,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,마른때지,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,car****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,car****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,당고눈나,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,녹용총명,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,wj****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,정희석79,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,쩡이1278,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,car****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,tiger2750,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,샤리리링,ㆍ,,[],Neutral,0.0
중앙시장,대전 동구 중앙로 200-1,mye****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,이쁘니이2,친절 해요,친절 해요,['친절'],Positive,0.9665484428405762
중앙시장,대전 동구 중앙로 200-1,순수청춘,친절하고 자세한 설명,친절하고 자세한 설명,"['친절하다', '자세하다', '설명']",Positive,0.9724605679512024
중앙시장,대전 동구 중앙로 200-1,축복의통로사랑맘,ㅇ,ㅇ,[],Negative,0.7833418846130371
중앙시장,대전 동구 중앙로 200-1,dpr****,ㅋ,ㅋ,[],Positive,0.8443016409873962
중앙시장,대전 동구 중앙로 200-1,bks****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,예디홀릭,👍🏻,,[],Neutral,0.0
중앙시장,대전 동구 중앙로 200-1,비기너86,중앙시장,중앙시장,['중앙시장'],Negative,0.710593044757843
중앙시장,대전 동구 중앙로 200-1,TO,영미네생선에서 고등어 구매했어요! 맛있습니다^^,영미네생선에서 고등어 구매했어요! 맛있습니다,"['미네', '생선', '고등어', '구매', '맛있다']",Positive,0.9695417284965515
중앙시장,대전 동구 중앙로 200-1,펭구당,ㅈㅇ,ㅈㅇ,[],Negative,0.851646900177002
중앙시장,대전 동구 중앙로 200-1,cud****,중앙시장 구경하려고 주차비 투척,중앙시장 구경하려고 주차비 투척,"['중앙시장', '구경', '차비', '투척']",Negative,0.9353367686271667
중앙시장,대전 동구 중앙로 200-1,mooahee,친절해요,친절해요,['친절하다'],Positive,0.9661136269569397
중앙시장,대전 동구 중앙로 200-1,onesix,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,cha****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,프리지아3314,자주옵니다^^,자주옵니다,[],Positive,0.9671452641487122
중앙시장,대전 동구 중앙로 200-1,푸른풀밭2,주차하기 편해요,주차하기 편해요,"['주차', '편하다']",Positive,0.9663429856300354
중앙시장,대전 동구 중앙로 200-1,mooahee,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,sun****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,내가제일잘나가1468,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,윰님88,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,우아마미쫑쫑쫑,주차장인데…경차 할인은 어떻게 하는건지…나가는 차가 줄줄이 막혀서… 상주인력이 있어야할듯!,주차장인데경차 할인은 어떻게 하는건지나가는 차가 줄줄이 막혀서 상주인력이 있어야할듯!,"['주차장', '경차', '할인', '어떻다', '차갑다', '줄줄이', '상주', '인력', '있다', '야하다']",Negative,0.9129350781440735
중앙시장,대전 동구 중앙로 200-1,청마지기69,좋아요 ~~~~,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,90수진,👍,,[],Neutral,0.0
중앙시장,대전 동구 중앙로 200-1,하랑둥2,한시간에 1300원 저렴해요,한시간에 1300원 저렴해요,"['시간', '저렴하다']",Positive,0.8683478236198425
중앙시장,대전 동구 중앙로 200-1,jes****,편리해요,편리해요,['편리하다'],Positive,0.9695680737495422
중앙시장,대전 동구 중앙로 200-1,달언니v,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,유성홍반장,시설굿,시설굿,['시설'],Positive,0.9641386866569519
중앙시장,대전 동구 중앙로 200-1,쿄쿄1058,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,소금빵과케이크,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,143****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,윤쭌,ㅣ,ㅣ,[],Negative,0.7810990810394287
중앙시장,대전 동구 중앙로 200-1,여민선92,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,Mongde,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,쩡98,맛있어요,맛있어요,['맛있다'],Positive,0.9722048044204712
중앙시장,대전 동구 중앙로 200-1,햇님382,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,신궁,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,Poiuytree,조아요,조아요,['좋다'],Positive,0.9475513100624084
중앙시장,대전 동구 중앙로 200-1,딸아들두아이맘,간장쫄닭..맛있어요^^,간장쫄닭..맛있어요,"['간장', '쫄닭', '맛있다']",Positive,0.971997082233429
중앙시장,대전 동구 중앙로 200-1,ehd****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,lms****,졸라맛있다,졸라맛있다,"['졸라', '맛있다']",Positive,0.9722260236740112
중앙시장,대전 동구 중앙로 200-1,메뉴고민중,그냥 그랫,그냥 그랫,"['그냥', '그랫']",Negative,0.9155387282371521
중앙시장,대전 동구 중앙로 200-1,Daisy3877,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,jungeunk78,주차요금이 싸요,주차요금이 싸요,"['주차', '요금']",Positive,0.710597813129425
중앙시장,대전 동구 중앙로 200-1,Neko0124,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,kin****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,꽃45,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,freeks1220,조음,조음,['조음'],Positive,0.966959536075592
중앙시장,대전 동구 중앙로 200-1,dbsehdtlr0,싸고 맛있어요,싸고 맛있어요,['맛있다'],Positive,0.9658334255218506
중앙시장,대전 동구 중앙로 200-1,어러려,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,팡쿵,맛있어요,맛있어요,['맛있다'],Positive,0.9722048044204712
중앙시장,대전 동구 중앙로 200-1,ahk****,😁,,[],Neutral,0.0
중앙시장,대전 동구 중앙로 200-1,비상16,😊,,[],Neutral,0.0
중앙시장,대전 동구 중앙로 200-1,몽몽멍멍왈왈,🎟🎟🎟🎟🎟🎍🎟,,[],Neutral,0.0
중앙시장,대전 동구 중앙로 200-1,hay****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,지금이순간5443,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,hola07,ㅇㅇ,ㅇㅇ,[],Positive,0.7879194617271423
중앙시장,대전 동구 중앙로 200-1,77****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,soo****,ㅎㅎ,ㅎㅎ,[],Positive,0.9530797004699707
중앙시장,대전 동구 중앙로 200-1,freeks1220,조음,조음,['조음'],Positive,0.966959536075592
중앙시장,대전 동구 중앙로 200-1,생각은 몸을 지배한다,전기구이 촉촉하고 값도 저렴하고 맛있어요!,전기구이 촉촉하고 값도 저렴하고 맛있어요!,"['전기', '구이', '촉촉하다', '저렴하다', '맛있다']",Positive,0.9733981490135193
중앙시장,대전 동구 중앙로 200-1,mis****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,우아한그녀50,주문받는 젊은 남자분 아들인듯친절함은 1도 없는 돌아 나가고 싶은 맘 억누르고 후라이드치킨은 튀김옷은 괜찬지만 치킨은 좀 싱겁고마땡치킨은 중화요리 깐풍기 생각하심 될듯..특별한맛 없는 평범하다가격이 너무 비싸네요두번은 안올듯,주문받는 젊은 남자분 아들인듯친절함은 1도 없는 돌아 나가고 싶은 맘 억누르고 후라이드치킨은 튀김옷은 괜찬지만 치킨은 좀 싱겁고마땡치킨은 중화요리 깐풍기 생각하심 될듯..특별한맛 없는 평범하다가격이 너무 비싸네요두번은 안올듯,"['주문', '젊다', '남자', '아들', '친절하다', '없다', '후라이드', '치킨', '튀김', '괜찬', '치킨', '싱겁다', '치킨', '중화요리', '깐풍기', '생각', '특별하다', '없다', '평범하다', '가격', '비싸다', '번은']",Negative,0.9502294063568115
중앙시장,대전 동구 중앙로 200-1,예배드림,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,그랑2,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,sun****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,까르륵,굳,굳,['굳다'],Positive,0.9499149918556213
중앙시장,대전 동구 중앙로 200-1,kim****,친절해요,친절해요,['친절하다'],Positive,0.9661136269569397
중앙시장,대전 동구 중앙로 200-1,mac****,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,Happyhe,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
중앙시장,대전 동구 중앙로 200-1,jisoo0617,ㄱㄱ,ㄱㄱ,[],Positive,0.8115635514259338
중앙시장,대전 동구 중앙로 200-1,페르디난트,뽕따이~*,뽕따이,[],Positive,0.7019686102867126
중앙시장,대전 동구 중앙로 200-1,120****,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,흑기사6040,ㅇ,ㅇ,[],Negative,0.7833418846130371
중앙시장,대전 동구 중앙로 200-1,Sun6602,😃,,[],Neutral,0.0
중앙시장,대전 동구 중앙로 200-1,벼리깡,굿,굿,[],Positive,0.9277362823486328
중앙시장,대전 동구 중앙로 200-1,kms****,좋아,좋아,['좋다'],Positive,0.9337608814239502
중앙시장,대전 동구 중앙로 200-1,쏭쏭찐,ㅇ,ㅇ,[],Negative,0.7833418846130371
