store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
차이나타운,인천 중구 차이나타운로26번길 12-17,소소짱11,"늦은 시간까지 여기저기 돌아 다녔는데 중간중간에 간식거리랑애들 좋아하는 소품샵, 장난감 가게들이 많아 애들이 너무 좋아했네요^^ 차이나타운 첫 방문인데 앞으로 1년에 한번씩은 찾을듯 합니다.♡♡","늦은 시간까지 여기저기 돌아 다녔는데 중간중간에 간식거리랑애들 좋아하는 소품샵, 장난감 가게들이 많아 애들이 너무 좋아했네요 차이나타운 첫 방문인데 앞으로 1년에 한번씩은 찾을듯 합니다.","['시간', '여기저기', '중간', '중간', '간식', '거리', '좋아하다', '소품', '장난감', '가게', '많다', '좋아하다', '차이나타운', '방문', '한번']",Positive,0.9684417843818665
차이나타운,인천 중구 차이나타운로26번길 12-17,먹고걷고햇빛듬뿍,"오늘은 인천역 인근 투어입니다, 1번출구로 나가서 앞쪽에있는 횡단보도를 건너면 제1패루가 보입니다,패루를 지나서위쪽 좌우측으로 길게 뻗어져있는 길들이 차이나타운 이라고부릅니다, 월요일,화요일은 쉬는매장들이 조금씩 있습니다,어느관광지나 주말위주로 장사를 많이 합니다,여러분들의 많은 관심덕분에 리뷰 총조회수가 830만회가되었고 그래서 네이버리뷰 순위가 TOP 100등 되었습니다넘치는 사랑 감사드립니다 앞으로도 많은 관심 부탁드립니다.❤1)유튜버 검색: 음식먹고햇빛듬뿍 💚핸들:  @Lets-Eat-Sunshine 💚영상주제: 음식점,카페 소개❤2)유튜버 검색: 걸으면서햇빛가득💚핸들:  @Lets-Walk-Sunshine 💚영상주제: 도시풍경 & 둘레길풍경","오늘은 인천역 인근 투어입니다, 1번출구로 나가서 앞쪽에있는 횡단보도를 건너면 제1패루가 보입니다,패루를 지나서위쪽 좌우측으로 길게 뻗어져있는 길들이 차이나타운 이라고부릅니다, 월요일,화요일은 쉬는매장들이 조금씩 있습니다,어느관광지나 주말위주로 장사를 많이 합니다,여러분들의 많은 관심덕분에 리뷰 총조회수가 830만회가되었고 그래서 네이버리뷰 순위가 TOP 100등 되었습니다넘치는 사랑 감사드립니다 앞으로도 많은 관심 부탁드립니다.1유튜버 검색 음식먹고햇빛듬뿍 핸들 LetsEatSunshine 영상주제 음식점,카페 소개2유튜버 검색 걸으면서햇빛가득핸들 LetsWalkSunshine 영상주제 도시풍경 둘레길풍경","['오늘', '인천', '인근', '투어', '이다', '출구', '앞쪽', '있다', '횡단보도', '패루', '패루', '위쪽', '좌우', '길다', '차이나타운', '월요일', '화요일', '매장', '있다', '관광지', '주말', '위주', '장사', '여러분', '많다', '관심', '덕분', '리뷰', '회수', '네이버', '리뷰', '순위', '넘치다', '사랑', '감사', '많다', '관심', '부탁드리다', '유튜버', '검색', '음식', '햇빛', '듬뿍', '핸들', '영상', '주제', '음식점', '카페', '소개', '유튜버', '검색', '햇빛', '가득', '핸들', '영상', '주제', '도시', '풍경', '둘레길', '풍경']",Positive,0.9200766086578369
차이나타운,인천 중구 차이나타운로26번길 12-17,먹죽귀,인천 차이나타운에 다녀왔어요붉은 등과 중식풍 간판들로 꾸며진거리부터 이국적인 분위기가물씬 느껴졌습니다1883년 인천항 개항 이후 중국인들이정착하면서 형성된 이 거리는 지금도중화요리를 즐기러 많은 사람들이찾는 명소입니다오늘은 평일 낮이라 관광객이많지 않아 조용히 구경할 수 있었어요신승반점에서 유니짜장을 먹고 뒤이어근처에 있는 공갈빵 가게에 들러 바삭하고속이 빈 독특한 빵도 즐겼습니다거리 중간중간에 한중문화관3.1운동 기념비 등 역사적인 장소들도있어 단순한 먹거리 관광을 넘어문화와 역사까지 함께 느낄 수 있는 곳입니다다만 평일 일부 가게가 영업 준비 중이거나쉬는 경우가 있어서 맛집이나 디저트를노리고 방문할 땐 영업시간 확인이꼭 필요하겠더라고요,인천 차이나타운에 다녀왔어요붉은 등과 중식풍 간판들로 꾸며진거리부터 이국적인 분위기가물씬 느껴졌습니다1883년 인천항 개항 이후 중국인들이정착하면서 형성된 이 거리는 지금도중화요리를 즐기러 많은 사람들이찾는 명소입니다오늘은 평일 낮이라 관광객이많지 않아 조용히 구경할 수 있었어요신승반점에서 유니짜장을 먹고 뒤이어근처에 있는 공갈빵 가게에 들러 바삭하고속이 빈 독특한 빵도 즐겼습니다거리 중간중간에 한중문화관3.1운동 기념비 등 역사적인 장소들도있어 단순한 먹거리 관광을 넘어문화와 역사까지 함께 느낄 수 있는 곳입니다다만 평일 일부 가게가 영업 준비 중이거나쉬는 경우가 있어서 맛집이나 디저트를노리고 방문할 땐 영업시간 확인이꼭 필요하겠더라고요,"['인천', '차이나타운', '붉다', '중식', '간판', '거리', '국적', '분위기', '물씬', '인천', '개항', '이후', '중국', '이정', '착하다', '형성', '거리', '금도', '중화요리', '많다', '사람', '명소', '이다', '평일', '관광객', '많다', '조용하다', '구경', '있다', '반점', '유니짜장', '근처', '있다', '공갈빵', '가게', '바삭', '독특하다', '거리', '중간', '중간', '한중', '화관', '운동', '기념비', '역사', '장소', '있다', '단순하다', '먹거리', '관광', '문화', '역사', '있다', '이다', '평일', '일부', '가게', '영업', '준비', '중이', '거나', '경우', '있다', '맛집', '디저트', '노리', '방문', '영업', '시간', '확인', '필요하다']",Positive,0.9581543803215027
차이나타운,인천 중구 차이나타운로26번길 12-17,맛다시맛다시다,"날씨가 좋아서 사진이 이뻤습니다주말이라 어딜 가나 방문객들로 붐볐어여인천역에서 바로 진입할수 있어 접근성이 좋아여가을쯤 월미바다역에서 기차를 타면, 시간만 잘  맞는다면  아름다운 서해낙조를 감상할수 있겠네요.다음엔 일본인가옥거리>삼국지벽화거리>중국음식거리 순서대로 구경해보아야겠네요 :)","날씨가 좋아서 사진이 이뻤습니다주말이라 어딜 가나 방문객들로 붐볐어여인천역에서 바로 진입할수 있어 접근성이 좋아여가을쯤 월미바다역에서 기차를 타면, 시간만 잘 맞는다면 아름다운 서해낙조를 감상할수 있겠네요.다음엔 일본인가옥거리삼국지벽화거리중국음식거리 순서대로 구경해보아야겠네요","['날씨', '좋다', '사진', '이쁘다', '주말', '가나', '방문객', '인천', '바로', '진입', '있다', '접근성', '좋다', '가을', '밉다', '바다', '기차', '시간', '아름답다', '서해', '감상', '있다', '다음', '일본인', '가옥', '거리', '삼국지', '벽화', '거리', '중국음식', '거리', '순서대로', '구경']",Positive,0.9515952467918396
차이나타운,인천 중구 차이나타운로26번길 12-17,실버스톤과루피맘,인천 차이나타운인천의 대표 관광명소중국 음식점들로 가득한 거리길거리 음식들 걸어다니며 즐기는곳,인천 차이나타운인천의 대표 관광명소중국 음식점들로 가득한 거리길거리 음식들 걸어다니며 즐기는곳,"['인천', '차이나타운', '인천', '대표', '관광명소', '중국', '음식점', '가득하다', '거리', '길거리', '음식']",Negative,0.6842016577720642
차이나타운,인천 중구 차이나타운로26번길 12-17,paekku666,황제의 계단과 공원까지 구경거리 많고 먹을거리 많은 차이나티운 너무 좋아요,황제의 계단과 공원까지 구경거리 많고 먹을거리 많은 차이나티운 너무 좋아요,"['황제', '계단', '공원', '구경', '거리', '많다', '많다', '차이', '나티', '좋다']",Positive,0.9730509519577026
차이나타운,인천 중구 차이나타운로26번길 12-17,샤방샤방엘리스,상상플랫폼에 무료주차하고 워터축제 하길래 구경 좀 하다  하얀짜장 먹으러 차이나타운 갔어요차이나타운 가면  붉은색으로 치장된  건물들이 화려하고 중국음식점들도 많고 하얀짜장 공갈빵 화덕만두등 다양한 먹거리가 많아요동화마을 짜장박물관 삼국자벽화거리황제의 계단쪽으로 올라가서선린문으로 가면 자유공원도 있어아이들과 나들이 데이트 하기 좋은관광지코스로 좋아요,상상플랫폼에 무료주차하고 워터축제 하길래 구경 좀 하다 하얀짜장 먹으러 차이나타운 갔어요차이나타운 가면 붉은색으로 치장된 건물들이 화려하고 중국음식점들도 많고 하얀짜장 공갈빵 화덕만두등 다양한 먹거리가 많아요동화마을 짜장박물관 삼국자벽화거리황제의 계단쪽으로 올라가서선린문으로 가면 자유공원도 있어아이들과 나들이 데이트 하기 좋은관광지코스로 좋아요,"['상상', '플랫폼', '무료', '주차', '워터', '축제', '구경', '하얗다', '짜장', '차이나타운', '차이나타운', '가면', '붉다', '은색', '치장', '건물', '화려하다', '중국', '음식점', '많다', '하얗다', '짜장', '공갈빵', '화덕', '다양하다', '먹거리', '많다', '동화', '마을', '짜장', '박물관', '삼국', '벽화', '거리', '황제', '계단', '선린문', '가면', '자유', '공원', '있다', '아이', '나들이', '데이트', '좋다', '관광지', '코스', '좋다']",Positive,0.928119421005249
차이나타운,인천 중구 차이나타운로26번길 12-17,필립자이언트,"오랜만에 인천 차이나타운에 왔습니다.차이나타운은 한국과 중국의 문화가 공존하는 한국 속의 작은 중국이라고 할수 있으며, 개항 당시 청국 영사관이 설치된 후 중국인들이 모여 살며 그들만의 문화가 형성된 지역이라고 합니다.수많은 중국 음식점 외에도 삼국지, 초한지 벽화거리등먹거리만큼이나 다양한 볼거리가 가득한 곳입니다.차이나타운에서 유명한 공갈빵 !오랫동안 기다린 끝에 구매한 후, 맛있게 먹으면서 관광 했습니다.오늘은 운이 좋게도 멋진 가수의 버스킹 공연도 직관하는 호사도 누렸네요. 같이 온 가족들도 너무 만족하고 즐거워해서 행복한 주말 오후를 보내고 갑니다.","오랜만에 인천 차이나타운에 왔습니다.차이나타운은 한국과 중국의 문화가 공존하는 한국 속의 작은 중국이라고 할수 있으며, 개항 당시 청국 영사관이 설치된 후 중국인들이 모여 살며 그들만의 문화가 형성된 지역이라고 합니다.수많은 중국 음식점 외에도 삼국지, 초한지 벽화거리등먹거리만큼이나 다양한 볼거리가 가득한 곳입니다.차이나타운에서 유명한 공갈빵 !오랫동안 기다린 끝에 구매한 후, 맛있게 먹으면서 관광 했습니다.오늘은 운이 좋게도 멋진 가수의 버스킹 공연도 직관하는 호사도 누렸네요. 같이 온 가족들도 너무 만족하고 즐거워해서 행복한 주말 오후를 보내고 갑니다.","['인천', '차이나타운', '차이나타운', '한국', '중국', '문화', '공존', '한국', '작다', '중국', '있다', '개항', '당시', '청국', '영사관', '설치', '중국인', '문화', '형성', '지역', '수많다', '중국', '음식점', '삼국지', '초한지', '벽화', '거리', '먹거리', '다양하다', '볼거리', '가득하다', '이다', '차이나타운', '유명하다', '공갈빵', '구매', '맛있다', '관광', '오늘', '좋다', '멋지다', '가수', '버스킹', '공연', '직관', '호사', '가족', '만족하다', '즐겁다', '행복하다', '주말', '오후']",Positive,0.9645225405693054
차이나타운,인천 중구 차이나타운로26번길 12-17,플레이스70,잘 이용 햇어요,잘 이용 햇어요,['이용'],Positive,0.9334874749183655
차이나타운,인천 중구 차이나타운로26번길 12-17,앨리스9421,날씨가 선선해져서 놀 러왔어요,날씨가 선선해져서 놀 러왔어요,"['날씨', '선선해지다', '러왔어']",Negative,0.5936138033866882
