store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
창경궁,서울 종로구 창경궁로 185 창경궁,엄마랑 노는 딸래미의 일상,"나무가 많아 단풍이 아름다운 창경궁입니다~4대궁으로 단풍을 보러 작년과 올해 몇 번이고 방문했는데요,덕수궁과 창경궁이 여러 포인트를 즐길 수 있어서 좋아요창덕궁에서 창경궁으로 넘어오셔서 쭉 가시면큰 계단이 나오는데, 그 곳에서 보는 기와지붕과 단풍의 조화가 아주 좋구요~대춘당지가 울긋불긋 물들어서 진짜 예뻐요~대춘당지로 가는 길도 예쁘고원래 궐내각사가 있던 자리도(지금은 거의 전각이 없어, 나무가 많지요)큰 몇몇의 나무들이 아름다운 곳이에요~작년보다 올해의 단풍이 더 예뻐요~","나무가 많아 단풍이 아름다운 창경궁입니다4대궁으로 단풍을 보러 작년과 올해 몇 번이고 방문했는데요,덕수궁과 창경궁이 여러 포인트를 즐길 수 있어서 좋아요창덕궁에서 창경궁으로 넘어오셔서 쭉 가시면큰 계단이 나오는데, 그 곳에서 보는 기와지붕과 단풍의 조화가 아주 좋구요대춘당지가 울긋불긋 물들어서 진짜 예뻐요대춘당지로 가는 길도 예쁘고원래 궐내각사가 있던 자리도지금은 거의 전각이 없어, 나무가 많지요큰 몇몇의 나무들이 아름다운 곳이에요작년보다 올해의 단풍이 더 예뻐요","['나무', '많다', '단풍', '아름답다', '창경궁', '이다', '대궁', '단풍', '작년', '올해', '방문', '덕수궁', '창경궁', '여러', '포인트', '있다', '좋다', '창덕궁', '창경궁', '가시', '계단', '기와', '지붕', '단풍', '조화', '아주', '좋다', '당지', '울긋불긋', '진짜', '예쁘다', '당지', '길다', '예쁘다', '고원', '궐내', '사가', '있다', '자리', '도지', '금은', '거의', '전각', '없다', '나무', '많다', '몇몇', '나무', '아름답다', '작년', '올해', '단풍', '예쁘다']",Positive,0.9701224565505981
창경궁,서울 종로구 창경궁로 185 창경궁,Kieh,"창덕궁에서 창경궁으로 넘어갔더니아직도 단풍이 빨갛게 물들어 있어 예뻐서 감탄이 절로 나와요.명정전 통명전 양화당 영춘헌을 둘러보고대온실로 갔더니외관부터 유럽식 하얀 유리 온실로 넘 예뻐요. 양치식물과 빨간 꽃이 활짝 핀 겨울동백,  열대지방 식물과 각종 식물들이 많아요.작은 연못에는 금붕어들이 있어 아이들이  좋아서 웃음이 함박입니다.춘당지는 공사중이네요.가을 끝자락인데도 단풍을 볼수있는넓은 창경궁을 산책하고 힐링의 시간였습니다.","창덕궁에서 창경궁으로 넘어갔더니아직도 단풍이 빨갛게 물들어 있어 예뻐서 감탄이 절로 나와요.명정전 통명전 양화당 영춘헌을 둘러보고대온실로 갔더니외관부터 유럽식 하얀 유리 온실로 넘 예뻐요. 양치식물과 빨간 꽃이 활짝 핀 겨울동백, 열대지방 식물과 각종 식물들이 많아요.작은 연못에는 금붕어들이 있어 아이들이 좋아서 웃음이 함박입니다.춘당지는 공사중이네요.가을 끝자락인데도 단풍을 볼수있는넓은 창경궁을 산책하고 힐링의 시간였습니다.","['창덕궁', '창경궁', '단풍', '빨갛다', '있다', '예쁘다', '감탄', '절로', '명정전', '통명전', '양화', '온실', '외관', '유럽', '하얗다', '유리', '온실', '예쁘다', '양치식물', '빨갛다', '활짝', '겨울', '동백', '열대지방', '식물', '각종', '식물', '많다', '작다', '연못', '금붕어', '있다', '아이', '좋다', '웃음', '함박', '이다', '당지', '중이', '가을', '자락', '단풍', '넓다', '창경궁', '산책', '힐링', '시간']",Positive,0.970977783203125
창경궁,서울 종로구 창경궁로 185 창경궁,바부야15,창경궁 의 정전인 명정전은 임진왜란 때 소실 됐다가  1616년 광해군 때 재건 된 건물로서 궁궐의 정전 가운데 가장 오래 된 건물이란다.왕비의 침전이던 통명전과 양화당은 월대위에 건물이 올려지고 마당에는 박석을 깔아 창경궁의 건물 중 가장 우아하고 기품있는 건물이다.양화당 옆 계단위 언덕에서 내려다 보면 창경궁의 주요 전각이 한눈에 들어와 궁궐 배치의 파악이 용이하다.오늘은 오랜만에 가을 풍경이 아름다운 춘당지를 한바퀴 돌았다.수많은 내외국인 관광객들에게 가장 각광받는 명소가 되어 있었다.푸른 하늘과 그런 하늘을 받아 담은 호수와 하늘과 호수를 경계짓는 울긋불긋 아름다운 숲.창경궁은 봄에 아름답다고들 하지만 지금도 못지않게 아름답다.,창경궁 의 정전인 명정전은 임진왜란 때 소실 됐다가 1616년 광해군 때 재건 된 건물로서 궁궐의 정전 가운데 가장 오래 된 건물이란다.왕비의 침전이던 통명전과 양화당은 월대위에 건물이 올려지고 마당에는 박석을 깔아 창경궁의 건물 중 가장 우아하고 기품있는 건물이다.양화당 옆 계단위 언덕에서 내려다 보면 창경궁의 주요 전각이 한눈에 들어와 궁궐 배치의 파악이 용이하다.오늘은 오랜만에 가을 풍경이 아름다운 춘당지를 한바퀴 돌았다.수많은 내외국인 관광객들에게 가장 각광받는 명소가 되어 있었다.푸른 하늘과 그런 하늘을 받아 담은 호수와 하늘과 호수를 경계짓는 울긋불긋 아름다운 숲.창경궁은 봄에 아름답다고들 하지만 지금도 못지않게 아름답다.,"['창경궁', '정전', '명정전', '임진왜란', '소실', '광해군', '재건', '건물', '로서', '궁궐', '정전', '가운데', '가장', '건물', '왕비', '침전', '통명전', '양화', '대위', '건물', '마당', '박석', '창경궁', '건물', '가장', '우아하다', '기품', '있다', '건물', '양화', '계단', '언덕', '창경궁', '주요', '전각', '한눈', '궁궐', '배치', '파악', '용이하다', '오늘', '가을', '풍경', '아름답다', '당지', '바퀴', '수많다', '외국인', '관광객', '가장', '각광', '명소', '있다', '푸른', '하늘', '그렇다', '하늘', '호수', '하늘', '호수', '경계', '울긋불긋', '아름답다', '창경궁', '아름답다', '지금', '못지않다', '아름답다']",Positive,0.9634928107261658
창경궁,서울 종로구 창경궁로 185 창경궁,몰킹,"창경궁에 가을이 완연하네요.조선 5대 궁궐(경복, 창덕, 창경, 경희, 덕수)정전 중가장 오래된 정전인 명정전부터 봅니다.경건한 마음으로 600년 세월을 느껴봅니다.춘당지로 가는 산책길에 접어드니단풍나무, 버드나무, 향나무 등이 어우러진창경궁 후원이 펼쳐지네요.단풍이 조금 졌지만 여전히 아름답습니다.특히 맑은 가을 하늘 아래 춘당지는 어찌나 예쁜지!하루종일 있고 싶었습니다.연못 위 작은 섬 정원이 특히 기억에 남네요.회화나무, 느티나무가 뒤엉킨창경궁 정원 연리지 고목도늘 그렇듯 신비로웠고요.한국인보다 외국인이 더 많네요.조용하게 궁을 거닐려고 했는데대한민국 인기를 과소평가했더라고요^^다신 돌아오지 않을 2025년 가을이네요.이 가을을 오래도록 기억할 것 같습니다.","창경궁에 가을이 완연하네요.조선 5대 궁궐경복, 창덕, 창경, 경희, 덕수정전 중가장 오래된 정전인 명정전부터 봅니다.경건한 마음으로 600년 세월을 느껴봅니다.춘당지로 가는 산책길에 접어드니단풍나무, 버드나무, 향나무 등이 어우러진창경궁 후원이 펼쳐지네요.단풍이 조금 졌지만 여전히 아름답습니다.특히 맑은 가을 하늘 아래 춘당지는 어찌나 예쁜지!하루종일 있고 싶었습니다.연못 위 작은 섬 정원이 특히 기억에 남네요.회화나무, 느티나무가 뒤엉킨창경궁 정원 연리지 고목도늘 그렇듯 신비로웠고요.한국인보다 외국인이 더 많네요.조용하게 궁을 거닐려고 했는데대한민국 인기를 과소평가했더라고요다신 돌아오지 않을 2025년 가을이네요.이 가을을 오래도록 기억할 것 같습니다.","['창경궁', '가을', '완연', '조선', '궁궐', '경복', '창덕', '창경', '경희', '수정전', '가장', '오래되다', '정전', '명정전', '경건하다', '마음', '세월', '당지', '산책길', '드니', '단풍나무', '버드나무', '향나무', '창경궁', '후원', '단풍', '조금', '여전하다', '아름답다', '맑은', '가을', '하늘', '아래', '당지', '예쁘다', '하루', '종일', '있다', '연못', '작다', '정원', '기억', '회화나무', '느티나무', '엉킨', '창경궁', '정원', '연리지', '고목', '그렇다', '신비롭다', '한국인', '외국인', '많다', '조용하다', '대한민국', '인기', '과소', '평가', '가을', '가을', '기억', '같다']",Positive,0.971362829208374
창경궁,서울 종로구 창경궁로 185 창경궁,ㅁㄴㅇ2735,조선시대의 궁궐중유일하게 동향으로 지어진 궁궐별궁으로 지어져서 그렇다해요양화당 뒤에 계단으로 올라가서왕의 산책로따라가면단풍이 말도안되게 예쁩니다특히 춘당지 주변으로 진짜 절경이예요여기만 빙글빙글 돌아도안지겨울듯 ㅋㅋ입장료 천원이고한복입으면 무료입장창덕궁이랑 이어지는 함양문에서도티켓 구매 가능해요,조선시대의 궁궐중유일하게 동향으로 지어진 궁궐별궁으로 지어져서 그렇다해요양화당 뒤에 계단으로 올라가서왕의 산책로따라가면단풍이 말도안되게 예쁩니다특히 춘당지 주변으로 진짜 절경이예요여기만 빙글빙글 돌아도안지겨울듯 ㅋㅋ입장료 천원이고한복입으면 무료입장창덕궁이랑 이어지는 함양문에서도티켓 구매 가능해요,"['조선시대', '궁궐', '유일하다', '동향', '궁궐', '그렇다', '다해', '양화', '계단', '산책로', '단풍', '안되다', '예쁘다', '당지', '주변', '진짜', '절경', '기만', '도안', '겨울', '입장료', '천원', '한복', '무료', '입장', '창덕궁', '함양', '티켓', '구매', '가능하다']",Positive,0.9633196592330933
창경궁,서울 종로구 창경궁로 185 창경궁,찬뷰,"가버린 줄만 알았던 가을이 아직 떠나지 않고 아직 여기 있어요하며 기다려줘서 감사함을 느끼는 가을 밤.그 선선한 가을 공기와 밝고 은은하게 창경궁을 비추는 불빛들이 아름답고 조화롭습니다.규모는 경복궁, 창덕궁들에 비해 아담하지만 조선시대 궁궐이 주는 위대한 느낌은 간직한 아름다운 궁궐 입니다.조선시대 왕실사람들이 이곳을 거닐었다 생각을 하니 감회가 새롭고 신기한 마음 입니다. 낮에는 어떤 모습일지 또 궁금하고 가고 싶어 지는 것같습니다. 정말 추천드립니다.","가버린 줄만 알았던 가을이 아직 떠나지 않고 아직 여기 있어요하며 기다려줘서 감사함을 느끼는 가을 밤.그 선선한 가을 공기와 밝고 은은하게 창경궁을 비추는 불빛들이 아름답고 조화롭습니다.규모는 경복궁, 창덕궁들에 비해 아담하지만 조선시대 궁궐이 주는 위대한 느낌은 간직한 아름다운 궁궐 입니다.조선시대 왕실사람들이 이곳을 거닐었다 생각을 하니 감회가 새롭고 신기한 마음 입니다. 낮에는 어떤 모습일지 또 궁금하고 가고 싶어 지는 것같습니다. 정말 추천드립니다.","['가을', '여기', '있다', '요하', '가을', '선선', '가을', '공기', '은은하다', '창경궁', '불빛', '아름답다', '조화롭다', '규모', '경복궁', '창덕궁', '아담하다', '조선시대', '궁궐', '위대하다', '느낌', '간직', '아름답다', '궁궐', '이다', '조선시대', '왕실', '사람', '생각', '하니', '감회', '신기하다', '마음', '이다', '어떻다', '모습', '일지', '궁금하다', '같다', '정말', '추천']",Positive,0.9712158441543579
창경궁,서울 종로구 창경궁로 185 창경궁,ㅁㄴㅇ2735,"창덕궁, 종묘와 연결되어있는 조선의 궁궐전각구경만하고다녔지산책로는 잘몰랐었는데이번에 왕의 산책로 알고 방문춘당지 정말 예쁘네요소춘당지와 대춘당지 두곳으로 만들어진인공연못주변 나무들이랑 석찹이 연못에 비친 모습이엄청 아름다우니창경궁 방문하면 꼭 들러볼것춘당지에서 더 올라가면 온실도 있어서이국적인 풍경도 볼수있고전각들도 많아서구경하기 좋아요입장료 천원한복입으면 무료입장","창덕궁, 종묘와 연결되어있는 조선의 궁궐전각구경만하고다녔지산책로는 잘몰랐었는데이번에 왕의 산책로 알고 방문춘당지 정말 예쁘네요소춘당지와 대춘당지 두곳으로 만들어진인공연못주변 나무들이랑 석찹이 연못에 비친 모습이엄청 아름다우니창경궁 방문하면 꼭 들러볼것춘당지에서 더 올라가면 온실도 있어서이국적인 풍경도 볼수있고전각들도 많아서구경하기 좋아요입장료 천원한복입으면 무료입장","['창덕궁', '종묘', '연결', '조선', '궁궐', '구경만', '산책로', '이번', '산책로', '방문', '당지', '정말', '예쁘다', '소춘', '당지', '당지', '인공', '연못', '주변', '나무', '연못', '모습', '아름답다', '창경궁', '방문', '당지', '온실', '있다', '국적', '풍경', '전각', '많다', '구경', '좋다', '입장료', '한복', '무료', '입장']",Positive,0.969096302986145
창경궁,서울 종로구 창경궁로 185 창경궁,MoonShot9,"창경궁 물빛연화(야간 야외 미디어아트) 대춘당지 프로그램 마지막 날 방문했어요! 고즈넉한 궁 풍경을 기대했지만 사람이 정말 많았어요ㅎㅎ 그래도 공연은 아주 멋졌습니다! 춘당지 물빛에 비친 꽃잎🪷🌸🌲, 날아오르는 용🐲🐉, 왕궁의 상징들, 춤추는 궁인들 등 너무나 아름다웠어요. (공연은 뒷사람 관람 방해하지 않기 위해 촬영X) 정말 많은 사람들이 있었지만 다들 공연에 집중하느라 사람수 대비 조용했어요. 이렇게 멋진 공연을 무료로 볼 수 있는 점도 좋았습니다. 운영진들도 혹시 모를 사고에 대비해 안전관리를 철저히 해주시고 또 공연보기 좋은 좌석도 안내해 주시는 등 주최측의 노력이 돋보였습니다. 공연 없이 방문해도 멋진 창경궁인데 미디어아트 공연으로 특히 멋진 시간 보냈어요. 내년에도 방문하고 싶습니다🏞","창경궁 물빛연화야간 야외 미디어아트 대춘당지 프로그램 마지막 날 방문했어요! 고즈넉한 궁 풍경을 기대했지만 사람이 정말 많았어요ㅎㅎ 그래도 공연은 아주 멋졌습니다! 춘당지 물빛에 비친 꽃잎, 날아오르는 용, 왕궁의 상징들, 춤추는 궁인들 등 너무나 아름다웠어요. 공연은 뒷사람 관람 방해하지 않기 위해 촬영X 정말 많은 사람들이 있었지만 다들 공연에 집중하느라 사람수 대비 조용했어요. 이렇게 멋진 공연을 무료로 볼 수 있는 점도 좋았습니다. 운영진들도 혹시 모를 사고에 대비해 안전관리를 철저히 해주시고 또 공연보기 좋은 좌석도 안내해 주시는 등 주최측의 노력이 돋보였습니다. 공연 없이 방문해도 멋진 창경궁인데 미디어아트 공연으로 특히 멋진 시간 보냈어요. 내년에도 방문하고 싶습니다","['창경궁', '물빛', '연화', '야간', '야외', '미디어아트', '당지', '프로그램', '마지막', '방문', '풍경', '기대하다', '사람', '정말', '많다', '공연', '아주', '멋지다', '당지', '물빛', '꽃잎', '왕궁', '상징', '아름답다', '공연', '사람', '관람', '방해', '위해', '촬영', '정말', '많다', '사람', '있다', '공연', '집중', '사람', '대비', '조용하다', '멋지다', '공연', '무료', '있다', '점도', '좋다', '운영', '혹시', '사고', '대비', '안전', '관리', '철저하다', '해주시', '공연', '보기', '좋다', '좌석', '안내', '주시', '주최', '노력', '공연', '방문', '멋지다', '창경궁', '미디어아트', '공연', '멋지다', '시간', '내년', '방문']",Positive,0.9701428413391113
창경궁,서울 종로구 창경궁로 185 창경궁,Tomek,종묘에 들른 김에 창경궁도 들렀습니다. 가을의 절정을 향해가는 기간이라 하늘과 낙엽과 고궁이 참으로 미려하게 어우러져 있습니다. 빽빽한 도심에서 그나마 한 숨 돌릴 수 있는 공간으로서도 훌륭합니다. 어렸을 때 이곳에 동물을 넣어놓고 놀이기구를 들여놓아 창경원이라 불렸던 치욕의 역사 또한 기억해야 할 것입니다.,종묘에 들른 김에 창경궁도 들렀습니다. 가을의 절정을 향해가는 기간이라 하늘과 낙엽과 고궁이 참으로 미려하게 어우러져 있습니다. 빽빽한 도심에서 그나마 한 숨 돌릴 수 있는 공간으로서도 훌륭합니다. 어렸을 때 이곳에 동물을 넣어놓고 놀이기구를 들여놓아 창경원이라 불렸던 치욕의 역사 또한 기억해야 할 것입니다.,"['종묘', '창경궁', '가을', '절정', '기간', '하늘', '낙엽', '고궁', '참으로', '미려', '있다', '빽빽하다', '도심', '있다', '공간', '훌륭하다', '동물', '놀이기구', '창경원', '치욕', '역사', '또한', '기억', '이다']",Positive,0.9697462916374207
창경궁,서울 종로구 창경궁로 185 창경궁,smartswarm,효심으로 지어지고백성을 생각하는군주의 마음이 살아 숨쉬던 곳왕의 발길따라 역사 산책창경궁 야간산책 중이다창경궁은성종이 세 명의 대비를 위해 옛 수강궁에 창건한 궁이다창경궁은 원래 1418년(세종 즉위) 세종이 상왕 태종을 위해 창건한 수강궁 있던 자리이기도하다창경궁은 창덕궁과 경계 없이 동궐이라는 하나의 궁궐 영역이었으며주로 왕실 가족들의 생활공간으로 사용하였다1911년 일제에 의해 창경원으로 격하됐고 동물원과 식물원이 설치되었다가 1983년부터 동물원을 이전하고 이름도 다시 창경궁으로 부르기 시작한 아픔 과거 있는곳이다창경궁 야간개장 물빛연화 관람객 가득하다최고의 한국적 아름다움 창경궁이 가을 느껴보길 바란다,효심으로 지어지고백성을 생각하는군주의 마음이 살아 숨쉬던 곳왕의 발길따라 역사 산책창경궁 야간산책 중이다창경궁은성종이 세 명의 대비를 위해 옛 수강궁에 창건한 궁이다창경궁은 원래 1418년세종 즉위 세종이 상왕 태종을 위해 창건한 수강궁 있던 자리이기도하다창경궁은 창덕궁과 경계 없이 동궐이라는 하나의 궁궐 영역이었으며주로 왕실 가족들의 생활공간으로 사용하였다1911년 일제에 의해 창경원으로 격하됐고 동물원과 식물원이 설치되었다가 1983년부터 동물원을 이전하고 이름도 다시 창경궁으로 부르기 시작한 아픔 과거 있는곳이다창경궁 야간개장 물빛연화 관람객 가득하다최고의 한국적 아름다움 창경궁이 가을 느껴보길 바란다,"['효심', '백성', '생각', '주의', '마음', '발길', '역사', '산책', '창경궁', '야간', '산책', '중이', '창경궁', '종이', '명의', '대비', '위해', '수강', '창건', '창경궁', '원래', '즉위', '세종', '상왕', '태종', '위해', '창건', '수강', '있다', '자리', '창경궁', '창덕궁', '경계', '동궐', '하나', '궁궐', '영역', '주로', '왕실', '가족', '생활', '공간', '사용', '일제', '의하다', '창경원', '격하됐', '동물원', '식물원', '설치', '동물원', '이전', '이름', '다시', '창경궁', '시작', '아픔', '과거', '있다', '창경궁', '야간', '개장', '물빛', '연화', '관람객', '가득하다', '최고', '한국', '아름답다', '창경궁', '가을']",Positive,0.9440717697143555
