store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,옥다방미쓰리,수목원 후원회의날 겸 침엽수원 첫 공개라 기대하고 갔어요.이전에 보았던 곳과 보지 못했던 곳이 있었는데 이전 후원회의 날처럼 사람이 너무 북적거리비 않게 타이별로 팀이 나누어져 있어서 좋았던거 같아요. 안내해 주시는 분과 도와주시는분이 한팀이 되어 다니시는것도 좋았고 설명들으면서 향을 맡으면서 가을을 느끼고 왔네요.,수목원 후원회의날 겸 침엽수원 첫 공개라 기대하고 갔어요.이전에 보았던 곳과 보지 못했던 곳이 있었는데 이전 후원회의 날처럼 사람이 너무 북적거리비 않게 타이별로 팀이 나누어져 있어서 좋았던거 같아요. 안내해 주시는 분과 도와주시는분이 한팀이 되어 다니시는것도 좋았고 설명들으면서 향을 맡으면서 가을을 느끼고 왔네요.,"['수목원', '후원', '회의', '침엽수', '공개', '기대하다', '이전', '보지', '있다', '이전', '후원', '회의', '사람', '북적', '거리', '이별', '있다', '좋다', '같다', '안내', '주시', '분과', '좋다', '설명', '가을']",Positive,0.965461790561676
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,sulolb,"11월 2일 가족들이랑 방문했습니다. 거의 두 시간 정도 걸린 듯해요.식물들이 다양하고 많아서 구경하기에 좋았어요. 봄~여름에 방문하면 더 예쁘고 좋을 것 같아요.중간중간 꽃들도 있고, 포토존이나 벤치도 있어서 쉬어가기 좋았어요. 핑크 뮬리는 출구 쪽에 억새랑 같이 있는데 한곳에 모여 있는 게 아니라 많아 보이지는 않아요.연못 있는 '민병갈 기념관' 쪽에 오리들도 있는데 너무 귀여워요..🥺💛","11월 2일 가족들이랑 방문했습니다. 거의 두 시간 정도 걸린 듯해요.식물들이 다양하고 많아서 구경하기에 좋았어요. 봄여름에 방문하면 더 예쁘고 좋을 것 같아요.중간중간 꽃들도 있고, 포토존이나 벤치도 있어서 쉬어가기 좋았어요. 핑크 뮬리는 출구 쪽에 억새랑 같이 있는데 한곳에 모여 있는 게 아니라 많아 보이지는 않아요.연못 있는 민병갈 기념관 쪽에 오리들도 있는데 너무 귀여워요..","['가족', '방문', '거의', '시간', '정도', '식물', '다양하다', '많다', '구경', '좋다', '여름', '방문', '예쁘다', '좋다', '같다', '중간', '중간', '있다', '포토', '벤치', '있다', '좋다', '핑크', '뮬리', '출구', '억새', '있다', '있다', '아니다', '많다', '보이', '연못', '있다', '민병갈', '기념관', '오리', '있다', '귀엽다']",Positive,0.9711227416992188
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,쪽둘리,"국내 최초 민간 수목원으로 국내에서 최다 식물종을 보유한 천리포수목원🌳🌿넓은 야외에 7개 지역으로 나누어져 있는데 입장할때 지도 받아서 관람 동선 잘맞추며 알차게 다 보면 좋을 것 같아요.거의 모든곳 다 둘러 봤고 두시간 정도 걸렸습니다.쉼터도 많고 카페도 있고 식물들이 많아서 싱그러운 느낌이였어요.바닷가를 따라 걷는 노을길도 있어서 해질녘에도 예쁠듯.곳곳에 포토스팟이 있고SNS업로드나 낱말맞추기 이벤트도 있어요.다만 하루종일 보슬비가 내리는 날에 관람해서 아쉬웠어요ㅠ날 좋을땐 훨씬 사진이 잘 나올듯.사설이라 입장료(12,000)는 비싼감이 있는데 한번쯤 가볼만한 곳이에요.네이버에서 하루전까지 온라인 예매시 1,000원 할인되니 미리 구매하세요!가족단위로 많이 오는 것 같습니다.","국내 최초 민간 수목원으로 국내에서 최다 식물종을 보유한 천리포수목원넓은 야외에 7개 지역으로 나누어져 있는데 입장할때 지도 받아서 관람 동선 잘맞추며 알차게 다 보면 좋을 것 같아요.거의 모든곳 다 둘러 봤고 두시간 정도 걸렸습니다.쉼터도 많고 카페도 있고 식물들이 많아서 싱그러운 느낌이였어요.바닷가를 따라 걷는 노을길도 있어서 해질녘에도 예쁠듯.곳곳에 포토스팟이 있고SNS업로드나 낱말맞추기 이벤트도 있어요.다만 하루종일 보슬비가 내리는 날에 관람해서 아쉬웠어요ㅠ날 좋을땐 훨씬 사진이 잘 나올듯.사설이라 입장료12,000는 비싼감이 있는데 한번쯤 가볼만한 곳이에요.네이버에서 하루전까지 온라인 예매시 1,000원 할인되니 미리 구매하세요!가족단위로 많이 오는 것 같습니다.","['국내', '최초', '민간', '수목원', '국내', '식물', '보유', '천리', '포수', '목원', '넓다', '야외', '지역', '있다', '입장', '지도', '관람', '동선', '알차다', '좋다', '같다', '거의', '시간', '정도', '많다', '카페', '있다', '식물', '많다', '싱그럽다', '바닷가', '노을길', '있다', '해질녘', '예쁘다', '곳곳', '포토', '스팟', '있다', '업로드', '낱말', '이벤트', '있다', '다만', '하루', '종일', '보슬비', '관람', '아쉽다', '좋다', '사진', '사설', '입장료', '비싸다', '있다', '한번', '네이버', '하루', '온라인', '예매', '할인', '미리', '구매', '가족', '위로', '같다']",Positive,0.9697710871696472
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,채채녀,천리포수목원은  만리포해수욕장과 묶어서 바다보고숲길 산책하고 가을 감성을 마음껏 느꼈어요후원의날 행사로 비개방숲길을  해설을 들으면서 걸었는데보여주는 수목원을 위한 보이지않는  정성과 기다림의 시간을 본거같았어요조금 더 자주 천리포수목원  산책을 하고 싶어졌어요추천!!,천리포수목원은 만리포해수욕장과 묶어서 바다보고숲길 산책하고 가을 감성을 마음껏 느꼈어요후원의날 행사로 비개방숲길을 해설을 들으면서 걸었는데보여주는 수목원을 위한 보이지않는 정성과 기다림의 시간을 본거같았어요조금 더 자주 천리포수목원 산책을 하고 싶어졌어요추천!!,"['천리', '포수', '목원', '만리', '해수욕장', '바다', '보고', '숲길', '산책', '가을', '감성', '마음껏', '후원', '행사', '개방', '숲길', '해설', '수목원', '보이지', '정성', '기다림', '시간', '같다', '조금', '자주', '천리', '포수', '목원', '산책', '추천']",Positive,0.9711363911628723
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,KakaO,계절이 계절이다보니 꽃들은 보기 힘들었고ㅜ 내부가 어떻게 생겼는지 구경만 하다왔어요.. 햇살은 좋았고 저수지 말고도 바닷가 쪽으로 사진 찍을 수 있는 스팟도 있더라구요~ 열심히 일?하고 있는 오리도 귀여웠습니다 ㅎㅎ,계절이 계절이다보니 꽃들은 보기 힘들었고ㅜ 내부가 어떻게 생겼는지 구경만 하다왔어요.. 햇살은 좋았고 저수지 말고도 바닷가 쪽으로 사진 찍을 수 있는 스팟도 있더라구요 열심히 일?하고 있는 오리도 귀여웠습니다 ㅎㅎ,"['계절', '계절', '보기', '힘들다', '내부', '어떻다', '구경만', '햇살', '좋다', '저수지', '바닷가', '사진', '있다', '스팟', '있다', '있다', '오리', '귀엽다']",Positive,0.9538661241531372
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,사진인65,봉사자 나들이로 ...태안 천리포 수목원을 방문 가볍게 산책하기 너무 좋아요.삼삼오오 모여 사진찍을 곳도 많고 작년에도 왔다갔는데 이번에는 단체로 와서 기념 사진 찍느라..하늘의 구름도 이쁘고 적당히 바람도 불어주니 오늘은  오리들의 합창에 다들 꺄르륵..동네 지인들과 정을 나누는 하루였습니다.,봉사자 나들이로 ...태안 천리포 수목원을 방문 가볍게 산책하기 너무 좋아요.삼삼오오 모여 사진찍을 곳도 많고 작년에도 왔다갔는데 이번에는 단체로 와서 기념 사진 찍느라..하늘의 구름도 이쁘고 적당히 바람도 불어주니 오늘은 오리들의 합창에 다들 꺄르륵..동네 지인들과 정을 나누는 하루였습니다.,"['봉사자', '나들이', '태안', '천리', '수목원', '방문', '가볍다', '산책', '좋다', '삼삼오오', '사진', '곳도', '많다', '작년', '이번', '단체', '기념', '사진', '하늘', '구름', '이쁘다', '적당하다', '바람', '불어', '주니', '오늘', '오리', '합창', '꺄르륵', '동네', '지인', '하루']",Positive,0.967888593673706
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,강지우43,그동안 가보지 못했던 공간을 갈 수 있어서 좋았습니다! 목련 시즌에 갔을때와는 다른 공간을 볼 수 있어서 좋았어요. 다만 수목원이 처음이다! 이런 프로그램이 처음이다! 하면 추천드리지는 않습니다. 이미 천리포 수목원을 기본으로 다녀와 보고~ 목련 시즌도 다녀와보고~ 이런 분이라면 만족하실 수 있을것 같아요. 얕은 등산로 코스라 물 한병과 편한 옷이 필요하고 해양성 기후라 단풍 보다는 천리포 수목원이 어떤 일을 하고 평소에 보지 못하는 나무에 대한 설명과 나무들을 볼 수 있어서 저는 개인적으로 만족했지만 화사한 꽃을 기대한다면 아쉬운 프로그램이 될 수는 있습니다. 숲과 나무를 좋아한다면 정말 만족할 수 있는 프로그램이라고 생각합니다~! 자연과 자연을 위한 인공적인 손질이 보이는 독특한 숲이에요.,그동안 가보지 못했던 공간을 갈 수 있어서 좋았습니다! 목련 시즌에 갔을때와는 다른 공간을 볼 수 있어서 좋았어요. 다만 수목원이 처음이다! 이런 프로그램이 처음이다! 하면 추천드리지는 않습니다. 이미 천리포 수목원을 기본으로 다녀와 보고 목련 시즌도 다녀와보고 이런 분이라면 만족하실 수 있을것 같아요. 얕은 등산로 코스라 물 한병과 편한 옷이 필요하고 해양성 기후라 단풍 보다는 천리포 수목원이 어떤 일을 하고 평소에 보지 못하는 나무에 대한 설명과 나무들을 볼 수 있어서 저는 개인적으로 만족했지만 화사한 꽃을 기대한다면 아쉬운 프로그램이 될 수는 있습니다. 숲과 나무를 좋아한다면 정말 만족할 수 있는 프로그램이라고 생각합니다! 자연과 자연을 위한 인공적인 손질이 보이는 독특한 숲이에요.,"['그동안', '공간', '있다', '좋다', '목련', '시즌', '다른', '공간', '있다', '좋다', '다만', '수목원', '처음', '이렇다', '프로그램', '처음', '추천', '천리', '수목원', '기본', '보고', '목련', '시즌', '보고', '이렇다', '만족하다', '있다', '같다', '얕다', '등산로', '코스', '병과', '편하다', '필요하다', '해양', '기후', '단풍', '천리', '수목원', '어떻다', '평소', '보지', '나무', '대한', '설명', '나무', '있다', '개인', '만족하다', '화사하다', '기대하다', '아쉽다', '프로그램', '있다', '나무', '좋아하다', '정말', '만족하다', '있다', '프로그램', '생각', '자연', '자연', '인공', '손질', '독특하다']",Positive,0.9606948494911194
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,kbm****,숙소에서자보기도하고계절마다가게되는곳입니다.작년엔에코힐링센터에서자고해설자따라다니며설명도듣고좋아서지인분들과물론지인친구계속추천해서바뀌지만ㅋ 좋네요산책하기에도좋고생각정리하기에도좋은곳 새로운식물들도많고 행복한시간보내게되는곳입니다.,숙소에서자보기도하고계절마다가게되는곳입니다.작년엔에코힐링센터에서자고해설자따라다니며설명도듣고좋아서지인분들과물론지인친구계속추천해서바뀌지만ㅋ 좋네요산책하기에도좋고생각정리하기에도좋은곳 새로운식물들도많고 행복한시간보내게되는곳입니다.,"['숙소', '서자', '보기', '도하', '계절', '가게', '이다', '작년', '에코', '힐링', '센터', '자고', '해설', '설명', '좋다', '지인', '지인', '친구', '계속', '추천', '좋다', '산책', '좋다', '생각', '정리', '좋다', '새롭다', '식물', '많다', '행복하다', '시간', '이다']",Positive,0.9728127121925354
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,칼언니julia97,바닷가 바로 옆에 숙소가 있어서 방에서 옥상에서 바다를 볼 수 있어요. 산책길도 잘되어 있어요. 다양한 식물들이 많아요.,바닷가 바로 옆에 숙소가 있어서 방에서 옥상에서 바다를 볼 수 있어요. 산책길도 잘되어 있어요. 다양한 식물들이 많아요.,"['바닷가', '바로', '숙소', '있다', '옥상', '바다', '있다', '산책길', '있다', '다양하다', '식물', '많다']",Positive,0.971057653427124
천리포수목원,충남 태안군 소원면 천리포1길 187 천리포수목원,lhj****,가을 축제에 처음으로 참여 하게 되었어요.같은 팀원들의 열의 덕분에 참 많은 것을 알게 되었네요.비개방 지역이 보물과 같았네요.소수만 볼수 있어 안타깝다고 해야 할지~~해설사 선생님께서도 아주 편안하고 재미있게 설명도 잘 해 주셔서 감사 했습니다.내년 봄 나들이도 기대해 봅니다.,가을 축제에 처음으로 참여 하게 되었어요.같은 팀원들의 열의 덕분에 참 많은 것을 알게 되었네요.비개방 지역이 보물과 같았네요.소수만 볼수 있어 안타깝다고 해야 할지해설사 선생님께서도 아주 편안하고 재미있게 설명도 잘 해 주셔서 감사 했습니다.내년 봄 나들이도 기대해 봅니다.,"['가을', '축제', '처음', '참여', '같다', '팀원', '열의', '덕분', '많다', '개방', '지역', '보물', '같다', '소수만', '있다', '안타깝다', '설사', '선생님', '서도', '아주', '편안하다', '재미있다', '설명', '감사', '내년', '나들이', '기대하다']",Positive,0.9735697507858276
