store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
첨성대,경북 경주시 인왕동 839-1,플레이스 TOP30 리뷰어 최해경,"겨울과 가을 사이, 첨성대에서 만난 늦가을의 따스한 여운경주의 상징인 첨성대는 계절의 경계선에서 언제 봐도 특별하지만, 늦가을의 풍경 속에서는 더욱 강렬한 매력을 뽐냅니다. 가을빛을 머금은 노란 단풍과 가지마다 탐스럽게 매달린 모과 향이 은근하게 퍼지며, 마치 목련이 가을옷을 갈아입은 듯한 분위기를 만들어줍니다. 차가워지는 공기 속에서도 남아 있는 따뜻한 색감들이 이곳을 한층 더 감성적인 공간으로 바꿔놓습니다.산책로를 걷다 보면 첨성대를 배경으로 사진을 남기는 사람들의 모습이 끊이지 않습니다. 늦가을 햇살이 비스듬히 비치는 순간, 첨성대의 돌빛은 부드럽게 물들어 주변의 나무들과 함께 하나의 풍경화처럼 펼쳐집니다. 가만히 바라보고만 있어도 마음이 차분해지고, 지나온 계절이 고스란히 떠오르는 느낌입니다.","겨울과 가을 사이, 첨성대에서 만난 늦가을의 따스한 여운경주의 상징인 첨성대는 계절의 경계선에서 언제 봐도 특별하지만, 늦가을의 풍경 속에서는 더욱 강렬한 매력을 뽐냅니다. 가을빛을 머금은 노란 단풍과 가지마다 탐스럽게 매달린 모과 향이 은근하게 퍼지며, 마치 목련이 가을옷을 갈아입은 듯한 분위기를 만들어줍니다. 차가워지는 공기 속에서도 남아 있는 따뜻한 색감들이 이곳을 한층 더 감성적인 공간으로 바꿔놓습니다.산책로를 걷다 보면 첨성대를 배경으로 사진을 남기는 사람들의 모습이 끊이지 않습니다. 늦가을 햇살이 비스듬히 비치는 순간, 첨성대의 돌빛은 부드럽게 물들어 주변의 나무들과 함께 하나의 풍경화처럼 펼쳐집니다. 가만히 바라보고만 있어도 마음이 차분해지고, 지나온 계절이 고스란히 떠오르는 느낌입니다.","['겨울', '가을', '사이', '첨성대', '만난', '늦가을', '따스하다', '여운', '주의', '상징', '첨성대', '계절', '경계', '언제', '특별하다', '늦가을', '풍경', '더욱', '강렬하다', '매력', '가을', '금은', '노랗다', '단풍', '가지', '모과', '은근', '마치', '목련', '가을', '분위기', '공기', '남아', '있다', '따뜻하다', '색감', '한층', '감성', '공간', '산책로', '첨성대', '배경', '사진', '사람', '모습', '늦가을', '햇살', '순간', '첨성대', '돌빛', '부드럽다', '주변', '나무', '하나', '풍경화', '있다', '마음', '지나', '계절', '고스', '느낌', '이다']",Positive,0.9652785062789917
첨성대,경북 경주시 인왕동 839-1,yoo****,"경주 놀러왔다가 첨성대 보러 왔는데, 늘 주변을 예쁘게 조성해놓아서 볼거리가 많아요. 외국 관광객들도 많네요. 지금이 젤 예쁜 시기 같아요. 핑크뮬리, 억새, 팜파스, 백일홍, 코스모스, 국화, 칸나, 백접초등 넘 화려해서  부모님 모시고, 친구들과도, 아이들 데리고, 연인끼리도 나들이하기 최고에요~🥰","경주 놀러왔다가 첨성대 보러 왔는데, 늘 주변을 예쁘게 조성해놓아서 볼거리가 많아요. 외국 관광객들도 많네요. 지금이 젤 예쁜 시기 같아요. 핑크뮬리, 억새, 팜파스, 백일홍, 코스모스, 국화, 칸나, 백접초등 넘 화려해서 부모님 모시고, 친구들과도, 아이들 데리고, 연인끼리도 나들이하기 최고에요","['경주', '첨성대', '주변', '예쁘다', '조성', '볼거리', '많다', '외국', '관광객', '많다', '지금', '예쁘다', '시기', '같다', '핑크', '뮬리', '억새', '팜파스', '백일홍', '코스모스', '국화', '칸나', '접초등', '화려하다', '부모님', '모시', '친구', '아이', '데리', '연인', '끼리', '나들이', '최고']",Positive,0.9675860404968262
첨성대,경북 경주시 인왕동 839-1,플레이스 TOP30 리뷰어 최해경,"가을경주, 단풍 속 게장 탐방부터 첨성대까지가족 단위로 나들이 나온 이들, 연인과 함께 추억을 남기려는 이들, 또 사진 촬영에 열중하는 관광객들까지 어우러져 고즈넉한 문화유산 앞은 어느 때보다도 활기를 띠고 있었습니다. 오랜 세월 신라의 하늘을 바라보던 첨성대는 여전히 그 자리에 굳건히 서 있었고, 그 앞에 서 있는 수많은 발걸음과 웃음소리는 명절의 따뜻한 정취를 더해주었습니다.첨성대 주변 동부사적지는 이미 가을빛으로 물들고 있었습니다. 울긋불긋 피어난 계절의 꽃들이 방문객을 반기고, 분홍빛으로 물든 핑크뮬리가 바람에 살랑이며 몽환적인 풍경을 만들어냈습니다. 억새 군락이 길게 늘어서 가을의 깊이를 더했고, 햇살이 구름 사이로 스며들 때마다 핑크빛과 은빛이 어우러진 가을 풍경에 탄성이 절ㄹ","가을경주, 단풍 속 게장 탐방부터 첨성대까지가족 단위로 나들이 나온 이들, 연인과 함께 추억을 남기려는 이들, 또 사진 촬영에 열중하는 관광객들까지 어우러져 고즈넉한 문화유산 앞은 어느 때보다도 활기를 띠고 있었습니다. 오랜 세월 신라의 하늘을 바라보던 첨성대는 여전히 그 자리에 굳건히 서 있었고, 그 앞에 서 있는 수많은 발걸음과 웃음소리는 명절의 따뜻한 정취를 더해주었습니다.첨성대 주변 동부사적지는 이미 가을빛으로 물들고 있었습니다. 울긋불긋 피어난 계절의 꽃들이 방문객을 반기고, 분홍빛으로 물든 핑크뮬리가 바람에 살랑이며 몽환적인 풍경을 만들어냈습니다. 억새 군락이 길게 늘어서 가을의 깊이를 더했고, 햇살이 구름 사이로 스며들 때마다 핑크빛과 은빛이 어우러진 가을 풍경에 탄성이 절ㄹ","['가을', '경주', '단풍', '게장', '탐방', '첨성대', '가족', '단위', '나들이', '연인', '추억', '사진', '촬영', '열중', '관광객', '문화유산', '활기', '있다', '세월', '신라', '하늘', '첨성대', '여전하다', '자리', '굳다', '있다', '있다', '수많다', '발걸음', '웃음소리', '명절', '따뜻하다', '정취', '첨성대', '주변', '부사', '가을', '있다', '울긋불긋', '피어', '계절', '꽃들이', '방문객', '반기', '분홍', '물든', '핑크', '리가', '바람', '살랑', '몽환', '풍경', '억새', '군락', '길다', '가을', '깊이', '더하다', '햇살', '구름', '사이', '핑크', '빛과', '은빛', '가을', '풍경', '탄성']",Positive,0.9633091688156128
첨성대,경북 경주시 인왕동 839-1,까칠한 맛집 감정사,"30년전 수학여행때와보고 와이프와 아이들과 간만에 추억의여행삼아 첨성대방문.첨성대가 만들어진역사에<삼국유사>를 보면 신라 선덕여왕 2년, 즉 633년에 만들었다고 적혀 있다). 360여 개의 돌을 쌓아 만든 첨성대는 높이가 9m 남짓의 병모양을 하고 있다. 아래 지름은 5m, 위 지름은 3m, 위로 올라 갈수록 가늘어지는 원통형 또는 병모양을 하고 있는 첨성대는 잘 살펴 보면 위에 사각형의 돌이 놓여 있고, 사실은 아래 부분도 사각형의 돌단이 있다. 또 그 한 가운데에 남쪽을 향한 창이 하나 있는데, 그 크기는 가로와 세로가 각기 1m쯤이다. 창 아래와 위를 모두 12단씩 돌을 쌓아 만들었다.아이들의 역사공부를 위해서라도 한번씩 방문해보시기를 추천합니다.야간에는 더 아름답다고하네요.재방문의사 있음.","30년전 수학여행때와보고 와이프와 아이들과 간만에 추억의여행삼아 첨성대방문.첨성대가 만들어진역사에삼국유사를 보면 신라 선덕여왕 2년, 즉 633년에 만들었다고 적혀 있다. 360여 개의 돌을 쌓아 만든 첨성대는 높이가 9m 남짓의 병모양을 하고 있다. 아래 지름은 5m, 위 지름은 3m, 위로 올라 갈수록 가늘어지는 원통형 또는 병모양을 하고 있는 첨성대는 잘 살펴 보면 위에 사각형의 돌이 놓여 있고, 사실은 아래 부분도 사각형의 돌단이 있다. 또 그 한 가운데에 남쪽을 향한 창이 하나 있는데, 그 크기는 가로와 세로가 각기 1m쯤이다. 창 아래와 위를 모두 12단씩 돌을 쌓아 만들었다.아이들의 역사공부를 위해서라도 한번씩 방문해보시기를 추천합니다.야간에는 더 아름답다고하네요.재방문의사 있음.","['수학여행', '보고', '와이프', '아이', '간만', '추억', '여행', '첨성대', '방문', '첨성대', '역사', '삼국유사', '신라', '선덕여왕', '있다', '첨성대', '높이', '남짓', '모양', '있다', '아래', '지름', '지름', '위로', '갈수록', '원통', '모양', '있다', '첨성대', '사각형', '돌이', '있다', '사실', '아래', '부분', '사각형', '있다', '가운데', '남쪽', '하나', '있다', '크기', '가로', '세로', '각기', '아래', '모두', '아이', '역사', '공부', '한번', '방문', '추천', '야간', '아름답다', '방문', '의사', '있다']",Positive,0.8301514387130737
첨성대,경북 경주시 인왕동 839-1,SeoulnuNa102,"3년만에 방문한 첨성대는 새옷을 입었더라구요. 핑크뮬리 해바라기 코스모스 백일향이 장관을 이뤘어요. 중요한 행사를 앞두고 좀 더 조경에 신경을 쓴것같았어요.언어는 영어 중국어 일본어 무료가이드가 제공되고 있었고, 어느 언어가 투어가능한지 표시가 되어있어요.옛날 복고스타일 교복을 입고 환하게 웃으며 사진을 찍으시는 소녀감성 중년여성분들 신라시대스타일 한복을 입고 첨성대를 즐기시는분등 다양했습니다.첨성대 주변은 펜스로 둘러쌓여있지만 충분히 잘 보였어요. 전체적으로 꽃밭이 넓고 아름다워서 잠시 산책만으로도 힐링이 될거에요. 핑크뮬리도 지금 한창이어서 사진 찍기 딱입니다.","3년만에 방문한 첨성대는 새옷을 입었더라구요. 핑크뮬리 해바라기 코스모스 백일향이 장관을 이뤘어요. 중요한 행사를 앞두고 좀 더 조경에 신경을 쓴것같았어요.언어는 영어 중국어 일본어 무료가이드가 제공되고 있었고, 어느 언어가 투어가능한지 표시가 되어있어요.옛날 복고스타일 교복을 입고 환하게 웃으며 사진을 찍으시는 소녀감성 중년여성분들 신라시대스타일 한복을 입고 첨성대를 즐기시는분등 다양했습니다.첨성대 주변은 펜스로 둘러쌓여있지만 충분히 잘 보였어요. 전체적으로 꽃밭이 넓고 아름다워서 잠시 산책만으로도 힐링이 될거에요. 핑크뮬리도 지금 한창이어서 사진 찍기 딱입니다.","['방문', '첨성대', '핑크', '뮬리', '해바라기', '코스모스', '일향', '장관', '중요하다', '행사', '조경', '신경', '같다', '언어', '영어', '중국어', '일본어', '무료', '가이드', '제공', '있다', '언어', '투어', '가능하다', '표시', '옛날', '복고', '스타일', '교복', '환하다', '사진', '소녀', '감성', '중년', '여성', '신라시대', '스타일', '한복', '첨성대', '분등', '다양하다', '첨성대', '주변', '펜스', '있다', '충분하다', '전체', '꽃밭', '넓다', '아름답다', '잠시', '산책', '힐링', '핑크', '리도', '지금', '한창', '사진', '찍기', '딱이다']",Positive,0.9616286754608154
첨성대,경북 경주시 인왕동 839-1,여행하는 민호씨,"# 민호씨 Pick 경주시 명소한국인이라면 한번 쯤 봤었을 경주 대표 문화재 첨성대. 거의 20년만에 방문해봤어요. 다시 보면 작아보이기 마련인데 생각보다 컸네요. 대릉원과 접해있어 겸사겸사 들르기 좋았습니다.* 무료 입장, 유료 노상주차* 비단벌레기차로 일대 해설투어 가능600년대 준공돼 현존 세계에서 가장 오래된 천문대라고 해요. 용도에 대해서는 논란이 좀 있었지만 현재까지는 정황상 천문대가 맞다는 게 정설이라고 하네요. 꼭대기단에 누각이 있었다는 의견도 있던데 흥미롭게 생각해볼만 한 것 같습니다.7~10월경 오신다면 첨성대 옆 황금정원도 보고가세요. 해바라기나 핑크뮬리가 단조로울 수 있는 첨성대 공간에 색조를 덧입힌듯 사진찍기 좋았습니다. 밤에 조명을 투영해 야간에도 방문할만 합니다.","민호씨 Pick 경주시 명소한국인이라면 한번 쯤 봤었을 경주 대표 문화재 첨성대. 거의 20년만에 방문해봤어요. 다시 보면 작아보이기 마련인데 생각보다 컸네요. 대릉원과 접해있어 겸사겸사 들르기 좋았습니다. 무료 입장, 유료 노상주차 비단벌레기차로 일대 해설투어 가능600년대 준공돼 현존 세계에서 가장 오래된 천문대라고 해요. 용도에 대해서는 논란이 좀 있었지만 현재까지는 정황상 천문대가 맞다는 게 정설이라고 하네요. 꼭대기단에 누각이 있었다는 의견도 있던데 흥미롭게 생각해볼만 한 것 같습니다.710월경 오신다면 첨성대 옆 황금정원도 보고가세요. 해바라기나 핑크뮬리가 단조로울 수 있는 첨성대 공간에 색조를 덧입힌듯 사진찍기 좋았습니다. 밤에 조명을 투영해 야간에도 방문할만 합니다.","['민호', '경주시', '명소', '한국인', '라면', '한번', '경주', '대표', '문화재', '첨성대', '거의', '방문', '다시', '아보', '이기', '마련', '생각', '대릉', '겸사겸사', '좋다', '무료', '입장', '유료', '노상', '주차', '비단벌레', '차로', '일대', '해설', '투어', '가능', '준공', '세계', '가장', '오래되다', '천문대', '용도', '대해', '논란', '있다', '현재', '황상', '천문대', '정설', '꼭대기', '누각', '있다', '의견', '있다', '흥미롭다', '생각', '같다', '첨성대', '황금정', '해바라기', '핑크', '리가', '단조롭다', '있다', '첨성대', '공간', '색조', '사진', '찍기', '좋다', '조명', '투영', '야간', '방문']",Positive,0.970770537853241
첨성대,경북 경주시 인왕동 839-1,불곰과 여왕벌,경북 경주 꼭가봐야할 세계적인 명소 국보 첨성대.추석명절을 맞이하여 관광객들이 많아요 특히 아이들과 함께 가족동반객이 많고유구한 역사의 신라 천년유적을 느끼고 있네요주위에 핑크뮬리등 꽃밭이 조성되어 가을정취를조금씩 느낄수 있어 좋고 푸르런 잔디밭에서연날리기등 아이들에게는 즐거움을 주네요특히 야경이 더 이쁘고 멋져요,경북 경주 꼭가봐야할 세계적인 명소 국보 첨성대.추석명절을 맞이하여 관광객들이 많아요 특히 아이들과 함께 가족동반객이 많고유구한 역사의 신라 천년유적을 느끼고 있네요주위에 핑크뮬리등 꽃밭이 조성되어 가을정취를조금씩 느낄수 있어 좋고 푸르런 잔디밭에서연날리기등 아이들에게는 즐거움을 주네요특히 야경이 더 이쁘고 멋져요,"['경북', '경주', '야하다', '세계', '명소', '국보', '첨성대', '추석', '명절', '맞이', '관광객', '많다', '아이', '가족', '많다', '유구', '역사', '신라', '천년', '유적', '있다', '주위', '핑크', '뮬리등', '꽃밭', '조성', '가을', '정취', '있다', '좋다', '푸르런', '잔디밭', '연날리기', '아이', '즐거움', '주네', '야경', '이쁘다', '멋지다']",Positive,0.9729908108711243
첨성대,경북 경주시 인왕동 839-1,쥬갱이,첨성대 가을 꽃구경 다녀왔는데 국화가 정말 예쁘게 펴있네요 메밀꽃 아스타국화 촛불멘드라미 다양하게 많았어요 핑크뮬리는 아직 초록빛이 가득해서 아쉬웠지만 다른 꽃들도 예쁘게 펴있어서 구경하기 좋았어요 해바라기도 막 펴서 예뻐요❤️주차는 황남공영주차장 이용했는데 주차장 뒤편에 완전 넓은 황금빛 백일홍 꽃밭이 있더라고요 정말 아름다워요 꼭 같이 구경 다녀오세요~~,첨성대 가을 꽃구경 다녀왔는데 국화가 정말 예쁘게 펴있네요 메밀꽃 아스타국화 촛불멘드라미 다양하게 많았어요 핑크뮬리는 아직 초록빛이 가득해서 아쉬웠지만 다른 꽃들도 예쁘게 펴있어서 구경하기 좋았어요 해바라기도 막 펴서 예뻐요주차는 황남공영주차장 이용했는데 주차장 뒤편에 완전 넓은 황금빛 백일홍 꽃밭이 있더라고요 정말 아름다워요 꼭 같이 구경 다녀오세요,"['첨성대', '가을', '구경', '국화', '정말', '예쁘다', '메밀', '아스타', '국화', '촛불', '멘드', '라미', '다양하다', '많다', '핑크뮬리', '초록빛', '가득하다', '아쉽다', '다른', '예쁘다', '구경', '좋다', '해바라기', '예쁘다', '주차', '황남', '주차장', '이용', '주차장', '뒤편', '완전', '넓다', '황금', '백일홍', '꽃밭', '있다', '정말', '아름답다', '구경']",Positive,0.9706215262413025
첨성대,경북 경주시 인왕동 839-1,진진진888,"신라 천년의 신비를 간직한 첨성대,보면 볼수록 신비하고 아름다워요. **세계에서 가장 오래 된 천문대의 하나다(<삼국유사>를 보면 신라 선덕여왕 2년, 즉 633년에 만들었다고 적혀 있다). 360여 개의 돌을 쌓아 만든 첨성대는 높이가 9m 남짓의 병모양을 하고 있다. 아래 지름은 5m, 위 지름은 3m, 위로 올라 갈수록 가늘어지는 원통형 또는 병모양을 하고 있는 첨성대는 잘 살펴 보면 위에 사각형의 돌이 놓여 있고, 사실은 아래 부분도 사각형의 돌단이 있다. 또 그 한 가운데에 남쪽을 향한 창이 하나 있는데, 그 크기는 가로와 세로가 각기 1m쯤이다. 창 아래와 위를 모두 12단씩 돌을 쌓아 만들었다.","신라 천년의 신비를 간직한 첨성대,보면 볼수록 신비하고 아름다워요. 세계에서 가장 오래 된 천문대의 하나다삼국유사를 보면 신라 선덕여왕 2년, 즉 633년에 만들었다고 적혀 있다. 360여 개의 돌을 쌓아 만든 첨성대는 높이가 9m 남짓의 병모양을 하고 있다. 아래 지름은 5m, 위 지름은 3m, 위로 올라 갈수록 가늘어지는 원통형 또는 병모양을 하고 있는 첨성대는 잘 살펴 보면 위에 사각형의 돌이 놓여 있고, 사실은 아래 부분도 사각형의 돌단이 있다. 또 그 한 가운데에 남쪽을 향한 창이 하나 있는데, 그 크기는 가로와 세로가 각기 1m쯤이다. 창 아래와 위를 모두 12단씩 돌을 쌓아 만들었다.","['신라', '천년', '신비', '간직', '첨성대', '신비하다', '아름답다', '세계', '가장', '천문대', '하나', '삼국유사', '신라', '선덕여왕', '있다', '첨성대', '높이', '남짓', '모양', '있다', '아래', '지름', '지름', '위로', '갈수록', '원통', '모양', '있다', '첨성대', '사각형', '돌이', '있다', '사실', '아래', '부분', '사각형', '있다', '가운데', '남쪽', '하나', '있다', '크기', '가로', '세로', '각기', '아래', '모두']",Positive,0.7774651050567627
첨성대,경북 경주시 인왕동 839-1,진파리다,"경주 첨성대는 신라 시대 천문관측소로, 우리나라뿐 아니라 동양에서도 가장 오래된 천문대라고 해요. 생각보다 크진 않지만 세련된 곡선과 균형 잡힌 돌무더기가 주는 아름다움이 인상적입니다. 낮에는 주변의 푸른 잔디와 어우러져 고즈넉하고, 밤에는 조명이 켜져 환상적인 분위기를 자아내요. 역사적 의미를 알고 보면 단순한 돌탑이 아니라 신라인들의 지혜와 과학기술이 담긴 유산임을 느낄 수 있습니다. 주변에 대릉원, 동궁과 월지, 황리단길이 가까워 산책 코스로도 좋고, 사진 찍기에도 정말 멋진 장소예요.","경주 첨성대는 신라 시대 천문관측소로, 우리나라뿐 아니라 동양에서도 가장 오래된 천문대라고 해요. 생각보다 크진 않지만 세련된 곡선과 균형 잡힌 돌무더기가 주는 아름다움이 인상적입니다. 낮에는 주변의 푸른 잔디와 어우러져 고즈넉하고, 밤에는 조명이 켜져 환상적인 분위기를 자아내요. 역사적 의미를 알고 보면 단순한 돌탑이 아니라 신라인들의 지혜와 과학기술이 담긴 유산임을 느낄 수 있습니다. 주변에 대릉원, 동궁과 월지, 황리단길이 가까워 산책 코스로도 좋고, 사진 찍기에도 정말 멋진 장소예요.","['경주', '첨성대', '신라', '시대', '천문관', '소로', '우리나라', '아니다', '동양', '가장', '오래되다', '천문대', '생각', '세련되다', '곡선', '균형', '무더기', '아름답다', '인상', '이다', '주변', '푸른', '잔디', '조명', '환상', '분위기', '역사', '의미', '단순하다', '돌탑', '아니다', '라인', '지혜', '과학기술', '유산', '있다', '주변', '대릉', '동궁', '월지', '황리', '길이', '가깝다', '산책', '코스', '좋다', '사진', '찍기', '정말', '멋지다', '장소']",Positive,0.9686891436576843
