store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,누리오씨,"케이블카를 타고 오른 비봉산 꼭대기에선 멀게 보였던 청풍대교가 손에 잡힐 듯 가깝다. 이 동네를 물 속에 잠그면서 대피시켜 놓은 문화재들이 호반의 빛바른 언덕에 나란하다. 팔영루, 금남루, 청풍 한벽루, 향교, 관아, 석불까지 수몰을 피한 국가유산이 점점이 자리잡았다. 한 때 청풍초등학교의 교문으로 쓰이기도 했다는 게 금남루의 특이한 이력이다. 누각 2층에서 내려다 보고 계시는 학생주임 선생의 모습을 합성해 보며 하릴없이 키득거린다. 망월루 가는 마지막 계단이 힘에 부친다는 마나님의 불평이시다.","케이블카를 타고 오른 비봉산 꼭대기에선 멀게 보였던 청풍대교가 손에 잡힐 듯 가깝다. 이 동네를 물 속에 잠그면서 대피시켜 놓은 문화재들이 호반의 빛바른 언덕에 나란하다. 팔영루, 금남루, 청풍 한벽루, 향교, 관아, 석불까지 수몰을 피한 국가유산이 점점이 자리잡았다. 한 때 청풍초등학교의 교문으로 쓰이기도 했다는 게 금남루의 특이한 이력이다. 누각 2층에서 내려다 보고 계시는 학생주임 선생의 모습을 합성해 보며 하릴없이 키득거린다. 망월루 가는 마지막 계단이 힘에 부친다는 마나님의 불평이시다.","['케이블카', '타고', '오른', '비봉', '꼭대기', '멀다', '청풍대교', '가깝다', '동네', '대피', '문화재', '호반', '언덕', '나란하다', '남루', '청풍', '한벽루', '향교', '관아', '석불', '국가', '유산', '점점이', '자리', '청풍', '초등학교', '교문', '남루', '특이하다', '이력', '누각', '보고', '계시다', '학생', '주임', '선생', '모습', '합성', '망월', '마지막', '계단', '마나', '불평']",Positive,0.9502536058425903
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,내생에봄날,"다지니영향으로 들려본곳...생각보다 되게 깔끔하고 예쁨. 구경하면서 걷기만 해도 힐링되는 느낌? 뭔가 과하게 꾸미지 않은 분위기라 더 편함~ 미니민속촌이 맞는듯^^돌아다니다 보면 조용해서 잠깐 머리도 비워지고, 그냥 산책하기 딱 좋았고~큰 기대 없이 갔다가 마음이 편안해져서 기분 좋게 돌아오는 곳이라 기냥 추천!!👍👍","다지니영향으로 들려본곳...생각보다 되게 깔끔하고 예쁨. 구경하면서 걷기만 해도 힐링되는 느낌? 뭔가 과하게 꾸미지 않은 분위기라 더 편함 미니민속촌이 맞는듯돌아다니다 보면 조용해서 잠깐 머리도 비워지고, 그냥 산책하기 딱 좋았고큰 기대 없이 갔다가 마음이 편안해져서 기분 좋게 돌아오는 곳이라 기냥 추천!!","['영향', '생각', '깔끔하다', '예쁘다', '구경', '걷기', '해도', '힐링', '느낌', '뭔가', '분위기', '편하다', '미니', '민속촌', '조용하다', '잠깐', '머리', '그냥', '산책', '좋다', '기대', '마음', '편안하다', '기분', '좋다', '추천']",Positive,0.9719619750976562
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,햄토오올,"간단하게 보려고 했는데, 생각보다 관리가 엄청 잘되어있고 넓고 볼것도 많고 포토존도 많았어요~ 관람 잘하고 추억도 잘 만들고 갑니다~^^","간단하게 보려고 했는데, 생각보다 관리가 엄청 잘되어있고 넓고 볼것도 많고 포토존도 많았어요 관람 잘하고 추억도 잘 만들고 갑니다","['간단하다', '생각', '관리', '넓다', '많다', '포토', '많다', '관람', '추억']",Positive,0.9713925719261169
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,미라클승유니,모임에서 제천에 있는청풍문화유산단지에 다녀왔어요주차장도 넓어서 좋았구요깔끔하게 정돈되어 있고 볼거리가 많았어요날씨가 너무 더워서 야외에서는숨쉬기도 힘들었어요 ㅠ제천 유물전시관에 들어가니까 에어컨 바람에시원해서 밖으로 나가기가 싫었답니다 ㅋ구경할곳은 많은데 더워서 패스했네요 ㅠ어쨋든 관람은 시원한 계절에 해야할것 같아요,모임에서 제천에 있는청풍문화유산단지에 다녀왔어요주차장도 넓어서 좋았구요깔끔하게 정돈되어 있고 볼거리가 많았어요날씨가 너무 더워서 야외에서는숨쉬기도 힘들었어요 ㅠ제천 유물전시관에 들어가니까 에어컨 바람에시원해서 밖으로 나가기가 싫었답니다 ㅋ구경할곳은 많은데 더워서 패스했네요 ㅠ어쨋든 관람은 시원한 계절에 해야할것 같아요,"['모임', '제천', '있다', '청풍', '문화유산', '단지', '주차장', '넓다', '좋다', '깔끔하다', '정돈', '있다', '볼거리', '많다', '날씨', '덥다', '야외', '숨쉬기', '힘들다', '제천', '유물', '전시관', '에어컨', '바람', '시원하다', '싫다', '구경', '많다', '덥다', '패스', '어쨋', '관람', '시원하다', '계절', '같다']",Positive,0.9576088786125183
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,불어오는바람따라,"청풍명월 제천. 청풍문화유산단지 망월루에서 내려다본 저멀리 청풍대교, 잔잔한 청풍호와 주변 산세가 예쁘네요. 산책하기 너무 좋아요. 옛초가집, 기와집 거닐고 집내부에 옛물건 사용설명도 있어서 궁금즘이 해소됐어요. 연리지소나무 포함해서 오래되고 신기한형태의 소나무 군락지가 인상깊었어요.🌲","청풍명월 제천. 청풍문화유산단지 망월루에서 내려다본 저멀리 청풍대교, 잔잔한 청풍호와 주변 산세가 예쁘네요. 산책하기 너무 좋아요. 옛초가집, 기와집 거닐고 집내부에 옛물건 사용설명도 있어서 궁금즘이 해소됐어요. 연리지소나무 포함해서 오래되고 신기한형태의 소나무 군락지가 인상깊었어요.","['청풍명월', '제천', '청풍', '문화유산', '단지', '망월루', '멀리', '청풍대교', '잔잔하다', '청풍호', '주변', '산세', '예쁘다', '산책', '좋다', '초가집', '기와집', '내부', '물건', '사용', '설명', '있다', '궁금즘', '해소', '연리지', '소나무', '포함', '오래되다', '신기하다', '형태', '소나무', '군락', '인상', '깊다']",Positive,0.972997784614563
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,leeyj8060,산책으로 정원을 한바퀴 걷는 느낌이었습니다   아직 단풍의 지각으로 단풍은 볼수없었지만 잠깐 산책정도로 만족합니다.,산책으로 정원을 한바퀴 걷는 느낌이었습니다 아직 단풍의 지각으로 단풍은 볼수없었지만 잠깐 산책정도로 만족합니다.,"['산책', '정원', '바퀴', '단풍', '지각', '단풍', '없다', '잠깐', '산책', '정도', '만족하다']",Positive,0.9530696272850037
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,지행추,제천에 가면 꼭 들러보세요.청풍 문화유산단지  멋져요~~입장료 3000원은 있지만 아깝지 않아요.👍👍👍,제천에 가면 꼭 들러보세요.청풍 문화유산단지 멋져요입장료 3000원은 있지만 아깝지 않아요.,"['제천', '가면', '청풍', '문화유산', '단지', '멋지다', '입장료', '있다', '아깝다']",Positive,0.975119948387146
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,고잉홈,"입장료 3천원, 규모가 크고 산책하기도 좋아요!박물관도 있어서 볼거리가 많아요","입장료 3천원, 규모가 크고 산책하기도 좋아요!박물관도 있어서 볼거리가 많아요","['입장료', '규모', '산책', '좋다', '박물관', '있다', '볼거리', '많다']",Positive,0.9735079407691956
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,바나바01,오랜만에 방문했는데 경치하고 조경이 잘되어 있네요.방문을 추천합니다.,오랜만에 방문했는데 경치하고 조경이 잘되어 있네요.방문을 추천합니다.,"['방문', '경치', '조경이', '있다', '방문', '추천']",Positive,0.9709472060203552
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,아미코짱,아이들과 함께 둘러보기에도 괜찮은곳인듯합니다.안에서 어르신들이 공연도 하시던데.. 저희는 둘러보기만하고 공연은 안봤네요. 민속촌같은 느낌,아이들과 함께 둘러보기에도 괜찮은곳인듯합니다.안에서 어르신들이 공연도 하시던데.. 저희는 둘러보기만하고 공연은 안봤네요. 민속촌같은 느낌,"['아이', '둘러보기', '괜찮다', '어르신', '공연', '저희', '둘러보기', '공연', '민속촌', '같다', '느낌']",Positive,0.970975935459137
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,anny112641,다이루어질지니에 나온곳이라해서 왔는데 풍경이 정말 예뻐요,다이루어질지니에 나온곳이라해서 왔는데 풍경이 정말 예뻐요,"['풍경', '정말', '예쁘다']",Positive,0.9723941683769226
청풍문화유산단지,충북 제천시 청풍면 청풍호로 2048 청풍문화유산단지,맛다시맛다시다,"청풍호가 생기면서 수몰된 동네 여러곳의 문화유산들을 따로 모아 재건하며 만들어낸 유산단지입니다옛 마을의 정취가 고스란히 느껴지고, 청풍호가 네려다보여 경관도 좋습니다.유물전시관, 수몰역사관도 운영중이라 교육적 가치도 좋습니다.제천여행시 방문할 필수코스입니다 :)","청풍호가 생기면서 수몰된 동네 여러곳의 문화유산들을 따로 모아 재건하며 만들어낸 유산단지입니다옛 마을의 정취가 고스란히 느껴지고, 청풍호가 네려다보여 경관도 좋습니다.유물전시관, 수몰역사관도 운영중이라 교육적 가치도 좋습니다.제천여행시 방문할 필수코스입니다","['청풍호', '동네', '문화유산', '재건', '유산', '단지', '이다', '마을', '정취', '고스', '청풍호', '경관', '좋다', '유물', '전시관', '역사관', '운영', '교육', '가치', '좋다', '행시', '방문', '필수', '코스', '이다']",Positive,0.97259122133255
