store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,안녕헤이즐넛,"• 충주호 유람선임• 당일 예약으로 방문• 비가오다 다행이 그쳐 우산없이 3층에 탑승• 오히려 사람이 적어 한산하고 좋았고, 햇빛이 없어 선선했지만 타지않았음• 상류로 먼저 올라가면서 단양 팔경 명소를 찾아 볼 수 있게 설명해줬으며 유래도 잘 설명해줘서 유익함• 멋진 풍경에 사진이 멋지게 나오고 좀 더 지나서 단풍이 물들면 장관일 것 같음🍁🍂• 상쾌해서 좋았음.","충주호 유람선임 당일 예약으로 방문 비가오다 다행이 그쳐 우산없이 3층에 탑승 오히려 사람이 적어 한산하고 좋았고, 햇빛이 없어 선선했지만 타지않았음 상류로 먼저 올라가면서 단양 팔경 명소를 찾아 볼 수 있게 설명해줬으며 유래도 잘 설명해줘서 유익함 멋진 풍경에 사진이 멋지게 나오고 좀 더 지나서 단풍이 물들면 장관일 것 같음 상쾌해서 좋았음.","['충주호', '유람', '선임', '당일', '예약', '방문', '다행', '우산', '탑승', '오히려', '사람', '한산하다', '좋다', '햇빛', '없다', '선선', '타지', '상류', '먼저', '단양', '팔경', '명소', '있다', '설명', '유래', '설명', '유익하다', '멋지다', '풍경', '사진', '멋지다', '단풍', '장관', '같다', '상쾌하다', '좋다']",Positive,0.9712920784950256
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,물고기삼촌0,"와이프 친구모임 부부 동반으로 다같이 금욜휴가내고 단양,제천 여행코스 생각하다 단양 고급펜션  슈빌라움 예약 후 코로나 때 와이프랑 둘이 왔던 장회나루 유람선 코스가 생각나 다시 찾았네요.ㅎㅎ같이온 일행들이 청풍호 유람선 처음 타 본다고, 풍경이 너무 멋지고 아름답고 속이 뻥 뷰라고 다들 매우 만족 해 하네요^^선택 잘한 듯 합니다.  추천 합니다ㅎ다음 코스는 흔들 다리로 고고씽~~~~","와이프 친구모임 부부 동반으로 다같이 금욜휴가내고 단양,제천 여행코스 생각하다 단양 고급펜션 슈빌라움 예약 후 코로나 때 와이프랑 둘이 왔던 장회나루 유람선 코스가 생각나 다시 찾았네요.ㅎㅎ같이온 일행들이 청풍호 유람선 처음 타 본다고, 풍경이 너무 멋지고 아름답고 속이 뻥 뷰라고 다들 매우 만족 해 하네요선택 잘한 듯 합니다. 추천 합니다ㅎ다음 코스는 흔들 다리로 고고씽","['와이프', '친구', '모임', '부부', '동반', '금욜', '휴가', '단양', '제천', '여행', '코스', '생각', '단양', '고급', '펜션', '슈빌', '예약', '코로나', '와이프', '장회', '나루', '유람선', '코스', '다시', '같다', '이온', '일행', '청풍호', '유람선', '처음', '풍경', '멋지다', '아름답다', '매우', '만족', '선택', '추천', '다음', '코스', '다리', '고고씽']",Positive,0.9588155150413513
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,wm0****,단양에  단풍이 절정이라길래 여행오면서 날 맑을때 유람선을 꼭 타보라고 친구가 추천해주더라구요 ㅎㅎ직원분들 모두 너무 친절하시고 감성가득한 노래도 틀어주시고 풍경설명도 (햄버거 바위라던가 ㅋㅋㅋㅋㅋ)해주셔서 유익하고 유쾌하고 상쾌한 일정이었어요단양에서 좋은 추억 하나 더 쌓을 수 있어서 좋았습니다 ! 단양오신다면 꼭 한번쯤은 와서 타보세요 배타면서 풍경보면서 가족들이랑 햇빛쬐는 순간이 얼마나 힐링되는지 몰라요~~~,단양에 단풍이 절정이라길래 여행오면서 날 맑을때 유람선을 꼭 타보라고 친구가 추천해주더라구요 ㅎㅎ직원분들 모두 너무 친절하시고 감성가득한 노래도 틀어주시고 풍경설명도 햄버거 바위라던가 ㅋㅋㅋㅋㅋ해주셔서 유익하고 유쾌하고 상쾌한 일정이었어요단양에서 좋은 추억 하나 더 쌓을 수 있어서 좋았습니다 ! 단양오신다면 꼭 한번쯤은 와서 타보세요 배타면서 풍경보면서 가족들이랑 햇빛쬐는 순간이 얼마나 힐링되는지 몰라요,"['단양', '단풍', '절정', '여행', '맑다', '유람선', '타보라', '친구', '추천', '직원', '모두', '친절하다', '감성', '가득하다', '노래', '풍경', '설명', '햄버거', '바위', '유익하다', '유쾌하다', '상쾌하다', '일정', '단양', '좋다', '추억', '하나', '있다', '좋다', '단양', '한번', '배타', '면서', '풍경', '가족', '햇빛', '순간', '얼마나', '힐링']",Positive,0.9709404706954956
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,yer****,가족모임으로 갔는데 어른분들이 너무 좋아하시고  이동가방이있으면 애견동반도 되고 뷰가 너무 멋져요! 그냥 바위인줄알았는데 설명을 너무 잘해주셔서 바위 하나하나에 의미가 있어서 신기했어요!,가족모임으로 갔는데 어른분들이 너무 좋아하시고 이동가방이있으면 애견동반도 되고 뷰가 너무 멋져요! 그냥 바위인줄알았는데 설명을 너무 잘해주셔서 바위 하나하나에 의미가 있어서 신기했어요!,"['가족', '모임', '어른', '좋아하다', '가방', '있다', '애견', '동반', '멋지다', '그냥', '바위', '설명', '바위', '하나', '하나', '의미', '있다', '신기하다']",Positive,0.9726839065551758
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,sammy0308,"꽤 긴 시간인데도 볼거리가 많고, 풍경이 너무 아름다워서 시간 가는 줄 몰랐아요! 특히 옥순봉은 이름처럼 정말 아름다워요.. 3층이 진짜 보기가 편하니 서서 보실거라면 3층에서 보세요! 우리나라에 이런 아름다운 자연환경이 있음에 너무 감사한 마음까지 드네요! 마음에 여유 느끼고 갑니다🫶","꽤 긴 시간인데도 볼거리가 많고, 풍경이 너무 아름다워서 시간 가는 줄 몰랐아요! 특히 옥순봉은 이름처럼 정말 아름다워요.. 3층이 진짜 보기가 편하니 서서 보실거라면 3층에서 보세요! 우리나라에 이런 아름다운 자연환경이 있음에 너무 감사한 마음까지 드네요! 마음에 여유 느끼고 갑니다","['시간', '볼거리', '많다', '풍경', '아름답다', '시간', '이름', '정말', '아름답다', '진짜', '보기', '편하다', '서서', '우리나라', '이렇다', '아름답다', '자연환경', '있다', '마음', '드네', '마음', '여유']",Positive,0.9736666083335876
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,달덩295,가족끼리 충주여행 처음왓어요 ~ 충주를 한눈에 느껴보고 싶어 유람선 예약했는데 잘한 선택같아요 ! 가이드 설명 들으면서 관람할수 있었고 뱃머리에서 단체사진도 잘찍어주셔서 좋은 추억남기고 갑니다 🫶,가족끼리 충주여행 처음왓어요 충주를 한눈에 느껴보고 싶어 유람선 예약했는데 잘한 선택같아요 ! 가이드 설명 들으면서 관람할수 있었고 뱃머리에서 단체사진도 잘찍어주셔서 좋은 추억남기고 갑니다,"['가족', '끼리', '충주', '여행', '처음', '충주', '한눈', '보고', '유람선', '예약', '선택', '같다', '가이드', '설명', '관람', '있다', '뱃머리', '단체사진', '좋다', '추억']",Positive,0.9727444648742676
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,pho****,"장회나루 유람선 따봉~~!!!유람선 타길 너무 잘한거 같아요~^^매표소 직원분, 안내해주시는 아저씨들,유람선 설명해주시는 가이드분 너무 친절하시고 기분좋은 여행 만들어주셨어요~~단양여행 너무 좋았어요^^","장회나루 유람선 따봉!!!유람선 타길 너무 잘한거 같아요매표소 직원분, 안내해주시는 아저씨들,유람선 설명해주시는 가이드분 너무 친절하시고 기분좋은 여행 만들어주셨어요단양여행 너무 좋았어요","['장회', '나루', '유람선', '유람선', '같다', '매표소', '직원', '안내', '아저씨', '유람선', '설명', '가이드', '친절하다', '기분', '좋다', '여행', '단양', '여행', '좋다']",Positive,0.9726160168647766
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,아로양,"충주호 유람선 탑승중에 리뷰남겨요~ 아저씨의 입담을 기대했는데, 입담은없고 녹음된 방송이 나와서 살짝 아쉬웠지만 그래도 행복한 뱃놀이 했습니다~^^!! 바람도시원하고, 고속이 아니라서 여유있게 풍경보기좋았어요~","충주호 유람선 탑승중에 리뷰남겨요 아저씨의 입담을 기대했는데, 입담은없고 녹음된 방송이 나와서 살짝 아쉬웠지만 그래도 행복한 뱃놀이 했습니다!! 바람도시원하고, 고속이 아니라서 여유있게 풍경보기좋았어요","['충주호', '유람선', '탑승', '리뷰', '아저씨', '입담', '기대하다', '입담', '없다', '녹음', '방송', '살짝', '아쉽다', '행복하다', '뱃놀이', '바람', '시원하다', '고속', '아니다', '여유', '있다', '풍경', '보기', '좋다']",Positive,0.9725931286811829
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,후리지아69,너무 멋진 곳입니다. 이번 여행 중 단연 👍 👍 👍 바로 200미터 옆에도 선착장이 있네요.1시간이 지루하지 않습니다. 강추.그 풍광이 사진에 담기지 않아요.눈으로 봐야합니다.단점은 설명이 외부에서는 잘 들리지 않아요.,너무 멋진 곳입니다. 이번 여행 중 단연 바로 200미터 옆에도 선착장이 있네요.1시간이 지루하지 않습니다. 강추.그 풍광이 사진에 담기지 않아요.눈으로 봐야합니다.단점은 설명이 외부에서는 잘 들리지 않아요.,"['멋지다', '이다', '이번', '여행', '단연', '바로', '미터', '선착장', '있다', '지루하다', '강추', '사진', '야하다', '단점', '설명', '외부']",Positive,0.9730480313301086
충주호유람선 장회나루,충북 단양군 단성면 월악로 3811-19,로켓빙봉,전화로 문의했을때도 굉장히. 친절 하셨고주차 자리를 잘못 알고 갔는데요  알려주신 젊은 학생같은분도 너무 친절해서 출발전부터 기분이 좋았습니다유람선에 탑승후 설명도 잘해주시고 여러설명들로 더 뜻깊은 날이였습니다 다음에 또 와도 재미 있을꺼같아요~,전화로 문의했을때도 굉장히. 친절 하셨고주차 자리를 잘못 알고 갔는데요 알려주신 젊은 학생같은분도 너무 친절해서 출발전부터 기분이 좋았습니다유람선에 탑승후 설명도 잘해주시고 여러설명들로 더 뜻깊은 날이였습니다 다음에 또 와도 재미 있을꺼같아요,"['전화', '문의', '굉장하다', '친절', '주차', '자리', '잘못', '젊다', '학생', '같다', '분도', '친절하다', '출발', '기분', '좋다', '유람선', '탑승', '설명', '설명', '깊다', '다음', '재미', '있다', '같다']",Positive,0.9737377762794495
