store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
태종대,부산 영도구 전망로 24,열정팩토리,"오늘 아침부터 모처럼 날씨도 좋을 겸해서 부산에서 힐링할 수 있는 여행지들을 찾아 보다가 영도에 있는 태종대유원지를 찾았던 만큼 다녀 왔었습니다ㅎㅎ 태종대는 새로 생긴 짚라인부터 영화관, 카페, 맛집 등 여러 가지 체험거리들이 많이 마련 되어져 있어 몇 년 전에 왔었을 때와 느낌들이 많이 달랐고 도보 걸어서 태종대유원지 한 바퀴 돌려고 했으나 보다 편리하게 태종대 여러 스팟들을 갈 수 있는 다누비열차를 타고 가섰어요ㅎㅎ 안개가 끼지 않은 맑은 날이라 그런지 영도 드넓은 바다 풍경들을 선명하게 감상할 수 있어 좋았고 요즘 한창 가을 단풍 시즌이라 빨갛게 노랗게 물들어 있는 단풍도 너무 예쁘더라구요!! 그래서 만약 부산 가을 힐링 여행지들을 찾는다면 가족, 연인, 친구끼리 다같이 영도 태종대에 방문하면 좋아요~","오늘 아침부터 모처럼 날씨도 좋을 겸해서 부산에서 힐링할 수 있는 여행지들을 찾아 보다가 영도에 있는 태종대유원지를 찾았던 만큼 다녀 왔었습니다ㅎㅎ 태종대는 새로 생긴 짚라인부터 영화관, 카페, 맛집 등 여러 가지 체험거리들이 많이 마련 되어져 있어 몇 년 전에 왔었을 때와 느낌들이 많이 달랐고 도보 걸어서 태종대유원지 한 바퀴 돌려고 했으나 보다 편리하게 태종대 여러 스팟들을 갈 수 있는 다누비열차를 타고 가섰어요ㅎㅎ 안개가 끼지 않은 맑은 날이라 그런지 영도 드넓은 바다 풍경들을 선명하게 감상할 수 있어 좋았고 요즘 한창 가을 단풍 시즌이라 빨갛게 노랗게 물들어 있는 단풍도 너무 예쁘더라구요!! 그래서 만약 부산 가을 힐링 여행지들을 찾는다면 가족, 연인, 친구끼리 다같이 영도 태종대에 방문하면 좋아요","['오늘', '아침', '모처럼', '날씨', '좋다', '부산', '힐링', '있다', '여행지', '영도', '있다', '태종대', '유원지', '만큼', '태종대', '새롭다', '짚라인', '영화관', '카페', '맛집', '여러', '가지', '체험', '거리', '마련', '있다', '느낌', '다르다', '도보', '태종대', '유원지', '바퀴', '편리하다', '태종대', '여러', '스팟', '있다', '누비', '열차', '타고', '안개', '맑은', '그렇다', '영도', '드넓다', '바다', '풍경', '선명하다', '감상', '있다', '좋다', '요즘', '한창', '가을', '단풍', '시즌', '빨갛다', '노랗다', '있다', '단풍', '예쁘다', '만약', '부산', '가을', '힐링', '여행지', '가족', '연인', '친구', '끼리', '영도', '태종대', '방문', '좋다']",Positive,0.9575035572052002
태종대,부산 영도구 전망로 24,pea****,유람선을 타고 보았습니다. 바람이 불어 파도가 세서 손잡이를 잡아야했고 햇빛은 따뜻했습니다. 태종대테서 열차로 10분타고 40분 걸으면 안에만 산책하는 거고 유람선을 타면 35분정도 구경을 할 수 있으며 갈매기에게 새우깡을 줄 수도 있어 외국인분들이 많이 하셨습니다. 그래도 유람선을 타고 오륙도도 보고 저는 좋았습니다.,유람선을 타고 보았습니다. 바람이 불어 파도가 세서 손잡이를 잡아야했고 햇빛은 따뜻했습니다. 태종대테서 열차로 10분타고 40분 걸으면 안에만 산책하는 거고 유람선을 타면 35분정도 구경을 할 수 있으며 갈매기에게 새우깡을 줄 수도 있어 외국인분들이 많이 하셨습니다. 그래도 유람선을 타고 오륙도도 보고 저는 좋았습니다.,"['유람선', '타고', '바람', '불어', '파도', '손잡이', '야하다', '햇빛', '따뜻하다', '태종대', '열차', '산책', '유람선', '구경', '있다', '갈매기', '새우깡', '수도', '있다', '외국인', '유람선', '타고', '오륙도', '보고', '좋다']",Positive,0.9635177254676819
태종대,부산 영도구 전망로 24,쑥93님,"태종대^^10년 만에 다시 찾은 태종대 등대^^순환기차도 타고 이동했음~~ㅋㅋ바다 향기와 시원한 바람이 그대로 반겨줘서 너무 좋았어요 ~!!good^^내려가고 올라오며 꽤 긴 코스였지만, 이번엔 힘든 줄도 모르겠다는!이건 순전히 나의 체력 덕분이죠~ 💪😆보통은 꽤 힘든 길이지만, 풍경이 모든 걸 잊게 해주는 힐링 코스예요^^이번에도 당근당근넘넘 좋았답니다^^","태종대10년 만에 다시 찾은 태종대 등대순환기차도 타고 이동했음ㅋㅋ바다 향기와 시원한 바람이 그대로 반겨줘서 너무 좋았어요 !!good내려가고 올라오며 꽤 긴 코스였지만, 이번엔 힘든 줄도 모르겠다는!이건 순전히 나의 체력 덕분이죠 보통은 꽤 힘든 길이지만, 풍경이 모든 걸 잊게 해주는 힐링 코스예요이번에도 당근당근넘넘 좋았답니다","['태종대', '다시', '태종대', '등대', '순환기', '차도', '타고', '이동', '바다', '향기', '시원하다', '바람', '그대로', '좋다', '코스', '이번', '힘드다', '이건', '순전하다', '체력', '덕분', '보통', '힘드다', '길이', '풍경', '모든', '힐링', '코스', '이번', '당근', '좋다']",Positive,0.9721418619155884
태종대,부산 영도구 전망로 24,코드앤코딩,태종대 입구의 매표소에서 태조대 다누비 왕복 승차권 2000원을 구매하여 전망대 및 명소를 다녀왔어요~ 가을 겨을 주말 나들이로 2시간 정도 바람쐬고오기 좋은 곳이라 힐링되어요~ 바다와 하늘의 수평선을 감상하고 여유를  즐겼답니다^^ 참고로 전망대는  오래도록 계단을 올라야하여 힘이들지만 오륙도및 360도 부산 경관을 볼 수있어 의미있었답니다^^,태종대 입구의 매표소에서 태조대 다누비 왕복 승차권 2000원을 구매하여 전망대 및 명소를 다녀왔어요 가을 겨을 주말 나들이로 2시간 정도 바람쐬고오기 좋은 곳이라 힐링되어요 바다와 하늘의 수평선을 감상하고 여유를 즐겼답니다 참고로 전망대는 오래도록 계단을 올라야하여 힘이들지만 오륙도및 360도 부산 경관을 볼 수있어 의미있었답니다,"['태종대', '입구', '매표소', '태조', '다누', '왕복', '승차권', '구매', '전망대', '명소', '가을', '주말', '나들이', '정도', '바람', '좋다', '힐링', '바다', '하늘', '수평선', '감상', '여유', '참고', '전망대', '계단', '야하다', '오륙도', '부산', '경관', '있다', '의미', '있다']",Positive,0.9664596915245056
태종대,부산 영도구 전망로 24,joseph0606,"아들과 함께한 태종대 여행은 주차하는데 시간이 오래 걸렸어요. 제5 주차장에서 깜빡이 켜고 기다려서 주차 할 수 있었어요. 주차 후 다누비열차를 타러 이동했고, 이동우 전망대까지 올라 사진도 찍고 즐거운 시간을 보내고 다누비 지원 버스를 타고 내려 오며 즐거운 추억을 하나 추가 했답니다. 감사합니다.","아들과 함께한 태종대 여행은 주차하는데 시간이 오래 걸렸어요. 제5 주차장에서 깜빡이 켜고 기다려서 주차 할 수 있었어요. 주차 후 다누비열차를 타러 이동했고, 이동우 전망대까지 올라 사진도 찍고 즐거운 시간을 보내고 다누비 지원 버스를 타고 내려 오며 즐거운 추억을 하나 추가 했답니다. 감사합니다.","['아들', '태종대', '여행', '주차', '시간', '주차장', '주차', '있다', '주차', '누비', '열차', '이동', '이동우', '전망대', '사진', '즐겁다', '시간', '다누', '지원', '버스', '타고', '즐겁다', '추억', '하나', '추가']",Positive,0.9387810826301575
태종대,부산 영도구 전망로 24,yoo****,"해마다 오는 태종대 수국축제~~태종대는 산책로가 아름답기로 유명한데 지금은 더워서 걷기는 지치고,  다누비열차 타고 수국축제 즐기러 왔어요.  축제 시작한지 하루밖에 되지 않아서 아직 만개는 되지 않았는데 여전히 아름답네요, 좀더 많은 의자들과 포토존을 만들어놓았어요.지금은 좀 아쉽고  일주일 뒤면 훨씬 더 화사해질 것 같아요.~~날이 더워서 해질 무렵 시원할 때 가세요~~","해마다 오는 태종대 수국축제태종대는 산책로가 아름답기로 유명한데 지금은 더워서 걷기는 지치고, 다누비열차 타고 수국축제 즐기러 왔어요. 축제 시작한지 하루밖에 되지 않아서 아직 만개는 되지 않았는데 여전히 아름답네요, 좀더 많은 의자들과 포토존을 만들어놓았어요.지금은 좀 아쉽고 일주일 뒤면 훨씬 더 화사해질 것 같아요.날이 더워서 해질 무렵 시원할 때 가세요","['태종대', '수국', '축제', '태종대', '산책로', '아름답다', '유명하다', '지금', '덥다', '걷기', '다누', '열차', '타고', '수국', '축제', '축제', '시작', '한지', '하루', '여전하다', '아름답다', '좀더', '많다', '의자', '포토', '지금', '아쉽다', '일주일', '화사하다', '같다', '덥다', '무렵', '시원하다', '가세']",Positive,0.9577808976173401
태종대,부산 영도구 전망로 24,금손곰돌이,"태종대 주차장에 주차하자마자 유람선 영업하는 분 계십니다. 너무 영업이라 탈지말지 고민했는데 타고 도는게 편할 것 같아서 탑승 결정했습니다. 배타고 보길 잘 했다는 생각도 들었고 위에서 볼 수 없던 절벽을 눈으로 볼 수 있어서 좋았습니다. 다누비 열차는 에어컨이 없다고 이야기해서 봤더니 옛날 버스에 있는 동글한 에어컨은 있었습니다. 그래도 대기하는 장소에서 열로 데워지고 있는 열차를 보고 차마 탈 수가 없었어요.유람선 금액은 인당 15,000원 이었고 3층에 어닝이 없어서 영상이랑 사진찍기 좋았습니다. 여름 끝물이라 햇살은 조금 세도 바람은 너무 시원했고 갈매기에 해안절벽이 늘어서 있어 눈이 너무 즐거운 시간이라 추천하지만 유람선 출발은 인원이 어느정도 차야해서 기다리는 시간은 복불복이라는 단점이 있습니다","태종대 주차장에 주차하자마자 유람선 영업하는 분 계십니다. 너무 영업이라 탈지말지 고민했는데 타고 도는게 편할 것 같아서 탑승 결정했습니다. 배타고 보길 잘 했다는 생각도 들었고 위에서 볼 수 없던 절벽을 눈으로 볼 수 있어서 좋았습니다. 다누비 열차는 에어컨이 없다고 이야기해서 봤더니 옛날 버스에 있는 동글한 에어컨은 있었습니다. 그래도 대기하는 장소에서 열로 데워지고 있는 열차를 보고 차마 탈 수가 없었어요.유람선 금액은 인당 15,000원 이었고 3층에 어닝이 없어서 영상이랑 사진찍기 좋았습니다. 여름 끝물이라 햇살은 조금 세도 바람은 너무 시원했고 갈매기에 해안절벽이 늘어서 있어 눈이 너무 즐거운 시간이라 추천하지만 유람선 출발은 인원이 어느정도 차야해서 기다리는 시간은 복불복이라는 단점이 있습니다","['태종대', '주차장', '주차', '자마자', '유람선', '영업', '계시다', '영업', '고민', '타고', '편하다', '같다', '탑승', '결정', '배타', '생각', '없다', '절벽', '있다', '좋다', '다누', '열차', '에어컨', '없다', '이야기', '옛날', '버스', '있다', '에어컨', '있다', '대기', '장소', '있다', '열차', '보고', '차마', '수가', '없다', '유람선', '금액', '어닝', '없다', '영상', '사진', '찍기', '좋다', '여름', '끝물', '햇살', '조금', '세도', '바람', '시원하다', '갈매기', '해안', '절벽', '있다', '즐겁다', '시간', '추천', '유람선', '출발', '인원', '정도', '차야', '시간', '복불복', '단점', '있다']",Positive,0.9184300899505615
태종대,부산 영도구 전망로 24,comment,"다누비 열차 타고 태종대 둘러봤습니다. 전망대에서 본 탁 트인 바다뷰도 좋았고 등대쪽 신선바위, 망부석도 멋지네요. 너무 너무 뜨거운 날이었지만 그래도 구경 잘 했습니다. 🥵","다누비 열차 타고 태종대 둘러봤습니다. 전망대에서 본 탁 트인 바다뷰도 좋았고 등대쪽 신선바위, 망부석도 멋지네요. 너무 너무 뜨거운 날이었지만 그래도 구경 잘 했습니다.","['다누', '열차', '타고', '태종대', '전망대', '바다', '좋다', '등대', '선바위', '망부석', '멋지다', '뜨겁다', '구경']",Positive,0.9722961187362671
태종대,부산 영도구 전망로 24,고칼로리야호,지금 태종대는 이쁜 수국으로 물들어있습니다! 더운 여름이라 나들이가 망설였지만 그늘이 군데군데있어서 덥지만 시원하고 눈은 즐겁고 좋은 나들이였습니다 다누리열차를 타고 태종사에 하차하여 이번 여름 이쁜 추억남기길 추천합니다^^,지금 태종대는 이쁜 수국으로 물들어있습니다! 더운 여름이라 나들이가 망설였지만 그늘이 군데군데있어서 덥지만 시원하고 눈은 즐겁고 좋은 나들이였습니다 다누리열차를 타고 태종사에 하차하여 이번 여름 이쁜 추억남기길 추천합니다,"['지금', '태종대', '이쁘다', '수국', '덥다', '여름', '나들이', '그늘', '군데군데', '있다', '덥다', '시원하다', '즐겁다', '좋다', '나들이', '다누리', '열차', '타고', '태종', '하차', '이번', '여름', '이쁘다', '추억', '추천']",Positive,0.9730294942855835
태종대,부산 영도구 전망로 24,NeMeSiS,태종대 자갈마당 왔는데 바다빛이 정말 예쁘네요 ㅎㅎ😀,태종대 자갈마당 왔는데 바다빛이 정말 예쁘네요 ㅎㅎ,"['태종대', '자갈', '마당', '바다', '정말', '예쁘다']",Positive,0.971634566783905
