store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
평화광장,전남 목포시 평화로 82,향기로운뜰,쿠폰 선물이 있어서 들렸는데다행히 자리가 있어오래 기다리지 않고 음료와 불루베리치지케잌을 먹을수 있었어요딸기라떼는 조금 아쉽네요진하지 않고 조금 약해요치즈케잌은 맛있어요2층에서 바라보는 뷰는 좋아요~,쿠폰 선물이 있어서 들렸는데다행히 자리가 있어오래 기다리지 않고 음료와 불루베리치지케잌을 먹을수 있었어요딸기라떼는 조금 아쉽네요진하지 않고 조금 약해요치즈케잌은 맛있어요2층에서 바라보는 뷰는 좋아요,"['쿠폰', '선물', '있다', '다행하다', '자리', '있다', '음료', '루베', '리치', '케잌', '있다', '딸기', '라떼', '조금', '아쉽다', '진하다', '조금', '약하다', '치즈케잌', '맛있다', '좋다']",Positive,0.9260922074317932
평화광장,전남 목포시 평화로 82,해피러키비키,매장이엄청넓고뷰가좋아요!  산책로도좋고요♡♡♡♡♡♡♡ 대신 젊은알바분이  불친절하시네요:),매장이엄청넓고뷰가좋아요! 산책로도좋고요 대신 젊은알바분이 불친절하시네요,"['매장', '넓다', '좋다', '산책로', '좋다', '대신', '젊다', '알바', '불친절하다']",Positive,0.9257912039756775
평화광장,전남 목포시 평화로 82,스왈로우16,"뷰도 좋고 커피,음료들도 맛있어요.음악분수와 불꽂쇼 환상.굳!","뷰도 좋고 커피,음료들도 맛있어요.음악분수와 불꽂쇼 환상.굳!","['좋다', '커피', '음료', '맛있다', '음악분수', '환상', '굳다']",Positive,0.9740927219390869
평화광장,전남 목포시 평화로 82,rin****,와웅더운날실내에서. 시원하게. 둥둥~~딩가딩가~쿠폰사용했는데케이크가없어서다른메뉴로 친절히변경도와주셨어요물론추가금액 더내고요~사람 너무너무너무많아서 후탁마시고나왔네요---;;;;;;또갈께용~~~안녕히계실께용~[[[[,와웅더운날실내에서. 시원하게. 둥둥딩가딩가쿠폰사용했는데케이크가없어서다른메뉴로 친절히변경도와주셨어요물론추가금액 더내고요사람 너무너무너무많아서 후탁마시고나왔네요또갈께용안녕히계실께용,"['덥다', '실내', '시원하다', '둥둥', '딩가딩', '쿠폰', '사용', '케이크', '없다', '메뉴', '친절하다', '변경', '추가', '금액', '덥다', '사람', '많다', '탁마', '안녕하다']",Positive,0.9384524822235107
평화광장,전남 목포시 평화로 82,다 가진 남자ㅎㅎ,커피가 너무 좋아요,커피가 너무 좋아요,"['커피', '좋다']",Positive,0.9711021780967712
평화광장,전남 목포시 평화로 82,하늘호수속으로,"올해 두번째로 진행된 해상 W쇼 보러 방문한 평화광장! 올해 해상 W쇼는 4/26, 5/31, 7/26, 8/16, 10/3 다섯차례이고 시간은 저녁 8시~9시입니다. 우와~! 도착하자마자 입이 떡~😲 그동안 여러번 다녀봤지만 오늘이 역대급으로 사람이 많았어요. 초대가수로 김경호님이 오셨는데 진심 콘서트 저리가라였음! 본인곡 뿐만 아니라 아모르파티, 퀸의 나의 최애곡인 I want to break free, 라스트로 고신해철님의 곡까지 너무 멋진 공연이었어요. 김경호님 멘트 날릴 때마다 전라도 사투리 장난 아니심ㅋㅋ! 나이불문 흔들어대면서 때창부르고 너무 즐거웠어요. 그리고 이어진 사람이 물감으로는 낼 수 없는 영롱한 빛깔의 불꽃놀이까지 아주 행복한 5월의 마지막 밤이었어요.","올해 두번째로 진행된 해상 W쇼 보러 방문한 평화광장! 올해 해상 W쇼는 426, 531, 726, 816, 103 다섯차례이고 시간은 저녁 8시9시입니다. 우와! 도착하자마자 입이 떡 그동안 여러번 다녀봤지만 오늘이 역대급으로 사람이 많았어요. 초대가수로 김경호님이 오셨는데 진심 콘서트 저리가라였음! 본인곡 뿐만 아니라 아모르파티, 퀸의 나의 최애곡인 I want to break free, 라스트로 고신해철님의 곡까지 너무 멋진 공연이었어요. 김경호님 멘트 날릴 때마다 전라도 사투리 장난 아니심ㅋㅋ! 나이불문 흔들어대면서 때창부르고 너무 즐거웠어요. 그리고 이어진 사람이 물감으로는 낼 수 없는 영롱한 빛깔의 불꽃놀이까지 아주 행복한 5월의 마지막 밤이었어요.","['올해', '두번째', '진행', '해상', '방문', '평화', '광장', '올해', '해상', '차례', '시간', '저녁', '도착', '자마자', '그동안', '오늘이', '역대', '사람', '많다', '초대', '가수', '김경호', '진심', '콘서트', '저리', '본인', '아니다', '파티', '최애', '라스트', '신해철', '멋지다', '공연', '김경호', '멘트', '전라도', '사투리', '장난', '아니다', '나이', '불문', '대면', '때창', '즐겁다', '이어진', '사람', '물감', '없다', '영롱하다', '빛깔', '불꽃놀이', '아주', '행복하다', '마지막']",Positive,0.9683672189712524
평화광장,전남 목포시 평화로 82,된다맘,"아메리카노 바닐라 초콜릿모카,  와우 방문객 많아요.","아메리카노 바닐라 초콜릿모카, 와우 방문객 많아요.","['아메리카노', '바닐라', '초콜릿', '모카', '와우', '방문객', '많다']",Positive,0.9458901882171631
평화광장,전남 목포시 평화로 82,Beverley,목포 밤 평화광장,목포 밤 평화광장,"['목포', '평화', '광장']",Positive,0.8760537505149841
평화광장,전남 목포시 평화로 82,우와오아우,"후애애애애애앵 ㅠ 몇개월에 한번 먹을 까 말까 하는 커피, 정신차려야겠다 싶어서 정말 오랜만에 마시러갔는데 예쁜마음덕분에  제 마음도 함께 충전됐어요. 처음엔 프린팅인가 했는데 직접쓰셨더라구요. ~~ 좋은마음 받아 주변에도 열심히 좋은마음 나눴습니다. ㅎㅎ 감사합니다♡","후애애애애애앵 ㅠ 몇개월에 한번 먹을 까 말까 하는 커피, 정신차려야겠다 싶어서 정말 오랜만에 마시러갔는데 예쁜마음덕분에 제 마음도 함께 충전됐어요. 처음엔 프린팅인가 했는데 직접쓰셨더라구요. 좋은마음 받아 주변에도 열심히 좋은마음 나눴습니다. ㅎㅎ 감사합니다","['후애', '애애애애', '몇개', '한번', '커피', '정신차리다', '정말', '예쁘다', '음덕', '마음', '충전', '처음', '프린팅', '직접', '좋다', '마음', '주변', '좋다', '마음']",Positive,0.9689666628837585
평화광장,전남 목포시 평화로 82,딱따구리사랑,"평화광장 산책하기 좋아요 😀 근처에 볼거리, 먹거리가 많아요😎","평화광장 산책하기 좋아요 근처에 볼거리, 먹거리가 많아요","['평화', '광장', '산책', '좋다', '근처', '볼거리', '먹거리', '많다']",Positive,0.9734039306640625
평화광장,전남 목포시 평화로 82,쩨리4,"평화광장에서 불꽃축제를 한다고 해서 목포에 방문했습니다. 종종 오는 곳인데 오늘따라 사람이 매우 많고 축제준비도 한창이었습니다. 바다 무대 위 데크는 선착순 1500명만 앉을 수 있다고 하였는데 축제 1시간 전에도 입장 팔찌를 받으면 충분히 입장이 가능했고, 그렇지 않으면 근처 잔디밭에 돗자리를 깔거나 광장에도 의자가 많이 설치되어 편하게 볼 수 있었습니다. 북적북적한 축제 분위기도 좋았고 현장 질서를 위해 경찰분들과 행사요원들께서 정리해주셔서 사고없이 많은 사람들이 불꽃놀이를 관람할 수 있었습니다. 초대가수로 김경호밴드가 왔는데 오랜시간 즐거운 추억을 만들어주었습니다. 아이가 매우 좋아해서 다음 축제때도 방문해보고 싶습니다.","평화광장에서 불꽃축제를 한다고 해서 목포에 방문했습니다. 종종 오는 곳인데 오늘따라 사람이 매우 많고 축제준비도 한창이었습니다. 바다 무대 위 데크는 선착순 1500명만 앉을 수 있다고 하였는데 축제 1시간 전에도 입장 팔찌를 받으면 충분히 입장이 가능했고, 그렇지 않으면 근처 잔디밭에 돗자리를 깔거나 광장에도 의자가 많이 설치되어 편하게 볼 수 있었습니다. 북적북적한 축제 분위기도 좋았고 현장 질서를 위해 경찰분들과 행사요원들께서 정리해주셔서 사고없이 많은 사람들이 불꽃놀이를 관람할 수 있었습니다. 초대가수로 김경호밴드가 왔는데 오랜시간 즐거운 추억을 만들어주었습니다. 아이가 매우 좋아해서 다음 축제때도 방문해보고 싶습니다.","['평화', '광장', '불꽃', '축제', '목포', '방문', '종종', '오늘', '사람', '매우', '많다', '축제', '준비', '한창', '바다', '무대', '데크', '선착순', '있다', '축제', '입장', '팔찌', '충분하다', '입장', '가능하다', '그렇다', '근처', '잔디밭', '돗자리', '광장', '의자', '설치', '편하다', '있다', '북적', '북적', '축제', '분위기', '좋다', '현장', '질서', '위해', '경찰', '행사', '요원', '정리', '사고', '많다', '사람', '불꽃놀이', '관람', '있다', '초대', '가수', '김경호', '밴드', '시간', '즐겁다', '추억', '아이', '매우', '좋아하다', '다음', '축제', '방문']",Positive,0.9651829600334167
평화광장,전남 목포시 평화로 82,Be HappY,목포 평화광장 불꽃놀이 정말 멋있어요!그만큼 사람도 많고 주차할 곳도 없지만ㅠㅠ부모님 모시고 다녀왔는데 만족하셨어요~,목포 평화광장 불꽃놀이 정말 멋있어요!그만큼 사람도 많고 주차할 곳도 없지만ㅠㅠ부모님 모시고 다녀왔는데 만족하셨어요,"['목포', '평화', '광장', '불꽃놀이', '정말', '멋있다', '사람', '많다', '주차', '곳도', '없다', '부모님', '모시', '만족하다']",Positive,0.9728534817695618
평화광장,전남 목포시 평화로 82,3인가족,매장이 쾌적해요,매장이 쾌적해요,"['매장', '쾌적하다']",Positive,0.8728157877922058
평화광장,전남 목포시 평화로 82,white289700,운동하고 더워서 벅스 방문.아이들이랑 시원한 음료 한 잔씩~~ 👍 👍 👍 카드지갑 이뻐용,운동하고 더워서 벅스 방문.아이들이랑 시원한 음료 한 잔씩 카드지갑 이뻐용,"['운동', '덥다', '벅스', '방문', '아이', '시원하다', '음료', '카드', '지갑', '이쁘다']",Positive,0.9490676522254944
평화광장,전남 목포시 평화로 82,모모케루,목포 평화광장 리듬 분수는 밤 8:00 8:30 9:00에 하는데 하루전에 메시지 신청 할수 있음,목포 평화광장 리듬 분수는 밤 800 830 900에 하는데 하루전에 메시지 신청 할수 있음,"['목포', '평화', '광장', '리듬', '분수', '하루', '메시지', '신청', '있다']",Positive,0.6658978462219238
평화광장,전남 목포시 평화로 82,다빛의 플레이스,"갓바위를 다녀온 뒤, 평화광장 쪽으로 산책하다가 음악 소리에 이끌려 가보게 되었습니다. 환경의 날 기념 '지속 가능한 목포 만들기' 행사가 있었네요.","갓바위를 다녀온 뒤, 평화광장 쪽으로 산책하다가 음악 소리에 이끌려 가보게 되었습니다. 환경의 날 기념 지속 가능한 목포 만들기 행사가 있었네요.","['갓바위', '평화', '광장', '산책', '음악', '소리', '환경', '기념', '지속', '가능하다', '목포', '만들기', '행사', '있다']",Positive,0.9705677032470703
평화광장,전남 목포시 평화로 82,푸딩8213,목포여행중 들렀어요.커피맛 좋아요.,목포여행중 들렀어요.커피맛 좋아요.,"['목포', '여행', '커피', '좋다']",Positive,0.9727608561515808
평화광장,전남 목포시 평화로 82,해피러키비키,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
평화광장,전남 목포시 평화로 82,리치강,좋아요,좋아요,['좋다'],Positive,0.9396566152572632
평화광장,전남 목포시 평화로 82,pk****,굿,굿,[],Positive,0.9277362823486328
평화광장,전남 목포시 평화로 82,Ben N2,목포에 문상갔다가 기차 기다리는 시간에스벅가서 아이스 베르가못 마셨네요😘,목포에 문상갔다가 기차 기다리는 시간에스벅가서 아이스 베르가못 마셨네요,"['목포', '문상', '기차', '시간', '에스', '아이스', '베르가']",Negative,0.7906236052513123
평화광장,전남 목포시 평화로 82,우와오아우,기대안했는데 맛있고 좋았어요! 재방문의사 있습니다 😊😊,기대안했는데 맛있고 좋았어요! 재방문의사 있습니다,"['대안', '맛있다', '좋다', '방문', '의사', '있다']",Positive,0.9734198451042175
평화광장,전남 목포시 평화로 82,Monchef,가성비 좋은 스벅 디저트,가성비 좋은 스벅 디저트,"['가성', '좋다', '스벅', '디저트']",Positive,0.6878543496131897
평화광장,전남 목포시 평화로 82,박마녀,사람많을때 주차자리 없음,사람많을때 주차자리 없음,"['사람', '많다', '주차', '없다']",Negative,0.8309151530265808
평화광장,전남 목포시 평화로 82,들꽃향기 Lee,😀 👍,,[],Neutral,0.0
평화광장,전남 목포시 평화로 82,살찌름길,목포 평화광장의 분수쇼. 퀄리티가 생각보다 좋아서 재미있게 즐겼습니다!,목포 평화광장의 분수쇼. 퀄리티가 생각보다 좋아서 재미있게 즐겼습니다!,"['목포', '평화', '광장', '분수', '퀄리티', '생각', '좋다', '재미있다']",Positive,0.9743374586105347
평화광장,전남 목포시 평화로 82,딱따구리사랑,벚꽃으로 만발한 평화광장😁😄😀나의 벗들과 저녁식사를 하고 산책했어요😊😊😊목포나들이 오면 꼭 방문한답니다🤗🤗🤗,벚꽃으로 만발한 평화광장나의 벗들과 저녁식사를 하고 산책했어요목포나들이 오면 꼭 방문한답니다,"['벚꽃', '만발', '평화', '광장', '저녁식사', '산책', '목포', '나들이', '방문']",Positive,0.9703211784362793
평화광장,전남 목포시 평화로 82,먹대장23,시원한 바닷바람에 분수쇼 보고 기분전환하고 가요 😙,시원한 바닷바람에 분수쇼 보고 기분전환하고 가요,"['시원하다', '바람', '분수', '보고', '기분', '전환', '가요']",Positive,0.6606075167655945
평화광장,전남 목포시 평화로 82,긍정적으로살자,분수쇼 좋고 노래하는 사람도 좋고,분수쇼 좋고 노래하는 사람도 좋고,"['분수', '좋다', '노래', '사람', '좋다']",Positive,0.971481442451477
평화광장,전남 목포시 평화로 82,moon2712,오랜만에가족들과 운동겸 걷기후 스타벅스갔어요~~그런데 말차라떼 생크림을 안해주셨더라구요~~ㅠ 그래도 맛있게 먹었습니다~~^^!,오랜만에가족들과 운동겸 걷기후 스타벅스갔어요그런데 말차라떼 생크림을 안해주셨더라구요ㅠ 그래도 맛있게 먹었습니다!,"['가족', '운동', '걷기', '스타벅스', '말차', '라떼', '생크림', '맛있다']",Positive,0.9645107984542847
평화광장,전남 목포시 평화로 82,스왈로우16,뷰가 좋고 친절해서 자주가요.디카페인커피는 스타벅스가 제일 맛있는것 같아요.대부분 다들 쿠폰으로 주문하시는것 같네요.스타벅스는 커피나 음료 쿠폰이 매출 많이 올려주는것 같네요.,뷰가 좋고 친절해서 자주가요.디카페인커피는 스타벅스가 제일 맛있는것 같아요.대부분 다들 쿠폰으로 주문하시는것 같네요.스타벅스는 커피나 음료 쿠폰이 매출 많이 올려주는것 같네요.,"['좋다', '친절하다', '자주', '가요', '디카', '페인', '커피', '스타벅스', '제일', '맛있다', '같다', '대부분', '쿠폰', '주문', '같다', '스타벅스', '커피', '음료', '쿠폰', '매출', '같다']",Positive,0.9607574939727783
평화광장,전남 목포시 평화로 82,강아지7750,친절 ㅋ,친절 ㅋ,['친절'],Positive,0.9119433164596558
평화광장,전남 목포시 평화로 82,이뿐냥냥,아기목마르대서 스벅들렸어요^^관리잘되있고 붐비지않아좋아요!,아기목마르대서 스벅들렸어요관리잘되있고 붐비지않아좋아요!,"['아기', '마르', '스벅', '관리', '되다', '좋다']",Positive,0.9724188446998596
평화광장,전남 목포시 평화로 82,친구친구94,바로앞억바닷가라뷰가좋아요,바로앞억바닷가라뷰가좋아요,"['바로', '바닷가', '좋다']",Positive,0.9650605916976929
