store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,까만안경1,작년에 황매산가다가 보니깐 차들이 진짜많아서 궁금했는데오늘 드뎌 갔다왔음 대인5천원 입장료있고 생각보다 좀컸고청와대세트장까지 도보로 이동하면 가파른계단도 있고해서운동되고 좋은듯 일욜이라 사람들 진짜많았고 애들이진짜 좋아하는듯 모노레일도있고 옛날세트장보니옛날생각도나고ㅎㅎ 안가봤으면 한번은 가볼만한듯,작년에 황매산가다가 보니깐 차들이 진짜많아서 궁금했는데오늘 드뎌 갔다왔음 대인5천원 입장료있고 생각보다 좀컸고청와대세트장까지 도보로 이동하면 가파른계단도 있고해서운동되고 좋은듯 일욜이라 사람들 진짜많았고 애들이진짜 좋아하는듯 모노레일도있고 옛날세트장보니옛날생각도나고ㅎㅎ 안가봤으면 한번은 가볼만한듯,"['작년', '황매산', '가다가', '진짜', '많다', '궁금하다', '오늘', '드뎌', '대인', '입장료', '있다', '생각', '청와대', '세트', '도보', '이동', '가파른계단', '있다', '서운동', '좋다', '일욜', '사람', '진짜', '많다', '진짜', '좋아하다', '모노레일', '있다', '옛날', '세트', '장보', '옛날', '생각', '도나', '한번']",Positive,0.9706436395645142
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,jujutop,"우연히들른 영화세트장ㅎ영화에 관심이 많은분들은 볼거리 가득한곳같습니다 리얼한 세트장과옛날감성의 사진관,분식집,백화점등등 눈요깃거리가 많은곳인듯해요모노레일을 타고 이동하면 정말 청와대를 축소해놓은 리틀청와대도구경가능합니다ㅎ 깨끗하고 친절하시고 너무 덥지않을때 방문하면 산책도하기에 정말 좋을듯합니다","우연히들른 영화세트장ㅎ영화에 관심이 많은분들은 볼거리 가득한곳같습니다 리얼한 세트장과옛날감성의 사진관,분식집,백화점등등 눈요깃거리가 많은곳인듯해요모노레일을 타고 이동하면 정말 청와대를 축소해놓은 리틀청와대도구경가능합니다ㅎ 깨끗하고 친절하시고 너무 덥지않을때 방문하면 산책도하기에 정말 좋을듯합니다","['영화', '세트', '영화', '관심', '많다', '볼거리', '가득하다', '같다', '리얼', '세트', '옛날', '감성', '사진관', '분식집', '백화점', '등등', '거리', '많다', '듯해', '모노레일', '타고', '이동', '정말', '청와대', '축소', '리틀', '청와대', '구경', '가능하다', '깨끗하다', '친절하다', '덥다', '방문', '산책', '정말', '좋다']",Positive,0.9722240567207336
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,레서팬더,여기 나온 드라마를 알면 더 재미있을 것 같은데... 여름엔 고스트하우스?에 많이 집중되어있는 것 같아요. 사진찍고 한바퀴 돌기 좋아요. 모노레일 대기실이 시원해서 좋았어요. 모노레일에서도 에어컨 빵빵! 청와대도 꼭 가보세요. 청와대 아래쪽에도 볼 것이 있는 것 같던데 너무 더워서 못가봤어요. 주말인데 날이 더워 그런지 사람이 엄청 많지는 않아서 좋았어요.,여기 나온 드라마를 알면 더 재미있을 것 같은데... 여름엔 고스트하우스?에 많이 집중되어있는 것 같아요. 사진찍고 한바퀴 돌기 좋아요. 모노레일 대기실이 시원해서 좋았어요. 모노레일에서도 에어컨 빵빵! 청와대도 꼭 가보세요. 청와대 아래쪽에도 볼 것이 있는 것 같던데 너무 더워서 못가봤어요. 주말인데 날이 더워 그런지 사람이 엄청 많지는 않아서 좋았어요.,"['여기', '드라마', '재미있다', '같다', '여름', '고스트', '하우스', '집중', '같다', '사진', '바퀴', '돌기', '좋다', '모노레일', '대기실', '시원하다', '좋다', '모노레일', '에어컨', '빵빵', '청와대', '청와대', '아래쪽', '있다', '같다', '덥다', '주말', '덥다', '그렇다', '사람', '많다', '좋다']",Positive,0.9724193811416626
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,yongii,촬영장 규모가 크고 볼거리가 많습니다. 청와대도 볼수 있어서 좋았습니다.촬영했던 드라마 장면 생각하며 다니니 더욱 재밌게 즐길수 있었습니다.,촬영장 규모가 크고 볼거리가 많습니다. 청와대도 볼수 있어서 좋았습니다.촬영했던 드라마 장면 생각하며 다니니 더욱 재밌게 즐길수 있었습니다.,"['촬영장', '규모', '볼거리', '많다', '청와대', '있다', '좋다', '촬영', '드라마', '장면', '생각', '더욱', '재밌다', '있다']",Positive,0.9739156365394592
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,dbsk68,과거로의 시간여행,과거로의 시간여행,"['과거', '시간여행']",Negative,0.8239247798919678
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,122222,처음가봤는데 볼거리도 많고 모노레일타고 편하게 부모님 모시고 다녀왔습니다! 지나가다가 한번씩 들러보세요~~,처음가봤는데 볼거리도 많고 모노레일타고 편하게 부모님 모시고 다녀왔습니다! 지나가다가 한번씩 들러보세요,"['처음', '볼거리', '많다', '모노레일', '타고', '편하다', '부모님', '모시', '한번']",Positive,0.9752506613731384
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,lee****,"영화나 드라마에서  보았던 장소가 여기저기 많이 보이고,사진찍기 바쁘게 볼거리가 아주 많아요.청와대 세트장도 관리가 너무 잘되어 있어요.","영화나 드라마에서 보았던 장소가 여기저기 많이 보이고,사진찍기 바쁘게 볼거리가 아주 많아요.청와대 세트장도 관리가 너무 잘되어 있어요.","['영화', '드라마', '장소', '여기저기', '보이', '사진', '찍기', '바쁘다', '볼거리', '아주', '많다', '청와대', '세트', '장도', '관리', '있다']",Positive,0.9728788733482361
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,야수바알39,오늘은 합천 영상테마파크를 갔다왔는데 볼거리도 많고 다양한 옛거리들이 잘 셋팅되어서 즐겁게 잘 돌아봤구요.평일인데도 관광객들이 엄청 많네요. 파크내에 음식점과 주전부리할수 있는곳도 있으니 가보시는건 좋은 추억이 될듯 싶습니다.적절한 장소에 적절한 나무와 조화도 참 보기 좋았습니다.더 많은 부지에 새롭게 공사중인 건물들도 있으니 가면 갈수록 더 좋아지겠죠..이렇게 사람들이 많이 찾는 관광지인데 버스 배차가 너무 길어 어렵네요..웬만해서 안타는 택시를 이용할수밖에 없는 구조라..아쉬웠습니다.진짜..볼거리는 짱입니다..언제나 행복하고 즐거운 여행하소서.,오늘은 합천 영상테마파크를 갔다왔는데 볼거리도 많고 다양한 옛거리들이 잘 셋팅되어서 즐겁게 잘 돌아봤구요.평일인데도 관광객들이 엄청 많네요. 파크내에 음식점과 주전부리할수 있는곳도 있으니 가보시는건 좋은 추억이 될듯 싶습니다.적절한 장소에 적절한 나무와 조화도 참 보기 좋았습니다.더 많은 부지에 새롭게 공사중인 건물들도 있으니 가면 갈수록 더 좋아지겠죠..이렇게 사람들이 많이 찾는 관광지인데 버스 배차가 너무 길어 어렵네요..웬만해서 안타는 택시를 이용할수밖에 없는 구조라..아쉬웠습니다.진짜..볼거리는 짱입니다..언제나 행복하고 즐거운 여행하소서.,"['오늘', '합천', '영상', '테마', '파크', '볼거리', '많다', '다양하다', '거리', '셋팅', '즐겁다', '평일', '관광객', '많다', '파크', '음식점', '주전부리', '있다', '곳도', '있다', '좋다', '추억', '적절하다', '장소', '적절하다', '나무', '조화', '보기', '좋다', '많다', '부지', '새롭다', '공사', '건물', '있다', '가면', '갈수록', '사람', '관광지', '버스', '배차', '길다', '어렵다', '웬만하다', '안타', '택시', '이용', '없다', '구조', '아쉽다', '진짜', '볼거리', '이다', '행복하다', '즐겁다', '여행', '소서']",Positive,0.9706653952598572
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,희동맛집러,너무너무너무 더워요. 에어컨이 안돼요.. 군에서 운영하는게 맞는지 의심스러워요..다시 환불받고 싶어짐..! 그냥저냥 대충보고 언능 나왔어요,너무너무너무 더워요. 에어컨이 안돼요.. 군에서 운영하는게 맞는지 의심스러워요..다시 환불받고 싶어짐..! 그냥저냥 대충보고 언능 나왔어요,"['덥다', '에어컨', '운영', '의심스럽다', '다시', '환불', '대충', '보고']",Negative,0.9550164937973022
합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,뚱이2022823,너무 더워서 사진은 못 찍구 구경만 하고 왔어요 봄 가을에 사진찍고 나들이 하기 딱 좋을거 같아요~ 지금하는 드라마 백번의 추억 촬영한다고 페인트칠이랑 새로 보수공사하고 있었나봐요~~~^^,너무 더워서 사진은 못 찍구 구경만 하고 왔어요 봄 가을에 사진찍고 나들이 하기 딱 좋을거 같아요 지금하는 드라마 백번의 추억 촬영한다고 페인트칠이랑 새로 보수공사하고 있었나봐요,"['덥다', '사진', '구경만', '가을', '사진', '나들이', '좋다', '같다', '지금', '드라마', '번의', '추억', '촬영', '페인트', '칠이', '새롭다', '보수', '공사', '있다']",Positive,0.8957265615463257
