store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
해운대,부산 해운대구 우동,열정팩토리,"오랜만에 모처럼 주말이었던 만큼 부산의 가을 바다 풍경들을 즐기면서 여유로운 시간들을 보내기 위해 일광, 임랑, 송정, 해운대, 광안리와 같은 동부산권, 다대포, 송정과 같은 서부산권으로 알아보다가 부산의 대표적인 바다라고 하면 해운대라고 할 수 있는 만큼 갔다 왔었어요ㅎㅎ 해운대해수욕장 가기 전 동백섬도 들려 산책하면서 아름다운 해운대해수욕장 풍경들을 감상하기 좋았던 것들을 비롯하여 지금은 수영은 안되지만 버스킹, 공연, 황톳길, 수국길 등 여러 가지 체험들이 마련되어 있는 만큼 우리나라 내국인 관광객 뿐만 아니라 해외 외국인 관광객들이 정말 많이 보였어요^^ 그래서 만약 부산여행하는 분들이 부산의 대표적인 바다, 핫플레이스가 가고 싶다면 가족, 연인, 친구끼리 같이 방문해서 즐거운 추억들을 남겨보세요ㅎㅎ","오랜만에 모처럼 주말이었던 만큼 부산의 가을 바다 풍경들을 즐기면서 여유로운 시간들을 보내기 위해 일광, 임랑, 송정, 해운대, 광안리와 같은 동부산권, 다대포, 송정과 같은 서부산권으로 알아보다가 부산의 대표적인 바다라고 하면 해운대라고 할 수 있는 만큼 갔다 왔었어요ㅎㅎ 해운대해수욕장 가기 전 동백섬도 들려 산책하면서 아름다운 해운대해수욕장 풍경들을 감상하기 좋았던 것들을 비롯하여 지금은 수영은 안되지만 버스킹, 공연, 황톳길, 수국길 등 여러 가지 체험들이 마련되어 있는 만큼 우리나라 내국인 관광객 뿐만 아니라 해외 외국인 관광객들이 정말 많이 보였어요 그래서 만약 부산여행하는 분들이 부산의 대표적인 바다, 핫플레이스가 가고 싶다면 가족, 연인, 친구끼리 같이 방문해서 즐거운 추억들을 남겨보세요ㅎㅎ","['모처럼', '주말', '만큼', '부산', '가을', '바다', '풍경', '여유', '시간', '위해', '일광', '송정', '해운대', '광안', '같다', '부산', '다대', '송정', '같다', '부산', '부산', '대표', '바다', '해운대', '있다', '만큼', '해운대해수욕장', '가기', '동백섬', '산책', '아름답다', '해운대해수욕장', '풍경', '감상', '좋다', '비롯', '지금', '수영', '안되다', '버스킹', '공연', '황톳길', '수국', '여러', '가지', '체험', '마련', '있다', '만큼', '우리나라', '관광객', '아니다', '해외', '외국인', '관광객', '정말', '만약', '부산여행', '부산', '대표', '바다', '레이스', '가족', '연인', '친구', '끼리', '방문', '즐겁다', '추억']",Positive,0.9291046261787415
해운대,부산 해운대구 우동,pea****,"숙소에서 가까운 해운대해수욕장. 오늘 일출을 보려고 일찍 일어났습니다. 일출 보는 사람은 많지 않았고 러닝하시는 분들이 많이 계셨습니다. 일출 뜨는 광경이 너무 멋졌습니다. 일출을 보면서 올 한해도 수고하고, 고맙다는 나에게 칭찬과 내년에 희망을 갖고 생활하자라는 소망을 담았습니다.","숙소에서 가까운 해운대해수욕장. 오늘 일출을 보려고 일찍 일어났습니다. 일출 보는 사람은 많지 않았고 러닝하시는 분들이 많이 계셨습니다. 일출 뜨는 광경이 너무 멋졌습니다. 일출을 보면서 올 한해도 수고하고, 고맙다는 나에게 칭찬과 내년에 희망을 갖고 생활하자라는 소망을 담았습니다.","['숙소', '가깝다', '해운대해수욕장', '오늘', '일출', '일찍', '일출', '사람', '많다', '러닝', '계시다', '일출', '광경', '멋지다', '일출', '한해', '수고', '고맙다', '칭찬', '내년', '희망', '생활', '소망']",Positive,0.9683845639228821
해운대,부산 해운대구 우동,만보이선생,"해운대 엘시티 레지던스(미포항, 달맞이고개 뷰)55층에서 1박하며, 밤에 바다(3분거리)에 들어가고, 방에서 일출도 봤습니다.아내와 딸이 숙소를 좋아해서 그 많은 카페와 맛집도 못갔습니다.해운대와 해운대 해수욕장을 즐기기 좋아 숙소도 추천드립니다.","해운대 엘시티 레지던스미포항, 달맞이고개 뷰55층에서 1박하며, 밤에 바다3분거리에 들어가고, 방에서 일출도 봤습니다.아내와 딸이 숙소를 좋아해서 그 많은 카페와 맛집도 못갔습니다.해운대와 해운대 해수욕장을 즐기기 좋아 숙소도 추천드립니다.","['해운대', '시티', '포항', '달맞이고개', '박하다', '바다', '일출', '아내', '숙소', '좋아하다', '많다', '카페', '맛집', '해운대', '해운대', '해수욕장', '좋다', '숙소', '추천']",Positive,0.9244528412818909
해운대,부산 해운대구 우동,MoonShot9,"대한민국 대표 바다 해운대 입니다 🏖🌅 아주 넓고 관리가 잘되어 있어요. 파도도 크게 쳐서 멋지구요 🌊🌊 산책로가 널찍하고 산책로 너머에는 노천카페, 펍도 많아서 분위기가 좋습니다. 고급호텔, 현대적인 빌딩들이 늘어서 세련된 분위기가 멋져요. 러너, 반려견 산책, 가족, 친구, 연인 등 누구나 찾아와서 이 아름다운 해변을 즐길 수 있어요. 노을 지는 풍경이 특히 아름답습니다. 이후 밤이 되면 호텔 1층 레스토랑의 아늑한 불빛이 분위기를 더합니다. 마침 방문한 날 전국체육대회 기념 문화예술축전 무대가 꾸며져 우리 가락이 흐르네요. 연중 다양한 행사와 볼거리가 있고 해운대역 쪽으로는 먹거리 놀거리도 엄청 많습니다. 국제적인 관광지로 손색이 없네요. 그래서인지 내국인보다 외국인이 훨씬 많은듯 했습니다.","대한민국 대표 바다 해운대 입니다 아주 넓고 관리가 잘되어 있어요. 파도도 크게 쳐서 멋지구요 산책로가 널찍하고 산책로 너머에는 노천카페, 펍도 많아서 분위기가 좋습니다. 고급호텔, 현대적인 빌딩들이 늘어서 세련된 분위기가 멋져요. 러너, 반려견 산책, 가족, 친구, 연인 등 누구나 찾아와서 이 아름다운 해변을 즐길 수 있어요. 노을 지는 풍경이 특히 아름답습니다. 이후 밤이 되면 호텔 1층 레스토랑의 아늑한 불빛이 분위기를 더합니다. 마침 방문한 날 전국체육대회 기념 문화예술축전 무대가 꾸며져 우리 가락이 흐르네요. 연중 다양한 행사와 볼거리가 있고 해운대역 쪽으로는 먹거리 놀거리도 엄청 많습니다. 국제적인 관광지로 손색이 없네요. 그래서인지 내국인보다 외국인이 훨씬 많은듯 했습니다.","['대한민국', '대표', '바다', '해운대', '이다', '아주', '넓다', '관리', '있다', '파도', '크게', '멋지다', '산책로', '널찍하다', '산책로', '너머', '노천', '카페', '많다', '분위기', '좋다', '고급', '호텔', '현대', '빌딩', '세련되다', '분위기', '멋지다', '러너', '반려견', '산책', '가족', '친구', '연인', '누구', '아름답다', '해변', '있다', '노을', '풍경', '아름답다', '이후', '호텔', '레스토랑', '아늑하다', '불빛', '분위기', '더하다', '마침', '방문', '전국체육대회', '기념', '문화', '예술', '축전', '무대', '우리', '가락', '연중', '다양하다', '행사', '볼거리', '있다', '해운대역', '먹거리', '거리', '많다', '국제', '관광지', '손색', '없다', '래서', '외국인', '많다']",Positive,0.9676432609558105
해운대,부산 해운대구 우동,써니네,친구들과 10월1~2일 짧은 부산여행.  방문 올때마다 뭔가가 더 새롭게 변하는 부산해운대~맛있는 맛집도 카페도 너무 많아서  좋은 미래신도시 부산.  운좋게도 저녁늦게  KTX 타러간  부산역 앞에서 열정적으로  공연하는 코요테도 멀리서 나마 보는 행운도 얻었네여.,친구들과 10월12일 짧은 부산여행. 방문 올때마다 뭔가가 더 새롭게 변하는 부산해운대맛있는 맛집도 카페도 너무 많아서 좋은 미래신도시 부산. 운좋게도 저녁늦게 KTX 타러간 부산역 앞에서 열정적으로 공연하는 코요테도 멀리서 나마 보는 행운도 얻었네여.,"['친구', '짧다', '부산여행', '방문', '뭔가', '새롭다', '변하다', '부산하다', '맛있다', '맛집', '카페', '많다', '좋다', '미래', '신도시', '부산', '좋다', '저녁', '부산', '열정', '공연', '코요테', '멀리', '나마', '행운']",Positive,0.9699325561523438
해운대,부산 해운대구 우동,오케이쿡,"해운대는 오랜만인데사람많고 특히 외국인이 정말 많았어요. 주말마다 행사같은것도 하는것 같았구요요가(?)하시는분들이 사진찍어주는 그런 행사도 조촐하게 하는것 같았어요. 어린이들 춤추는 공연도 있고,조금더 이른시간에 가면볼거리가 더욱 풍성할것 같네요😆","해운대는 오랜만인데사람많고 특히 외국인이 정말 많았어요. 주말마다 행사같은것도 하는것 같았구요요가?하시는분들이 사진찍어주는 그런 행사도 조촐하게 하는것 같았어요. 어린이들 춤추는 공연도 있고,조금더 이른시간에 가면볼거리가 더욱 풍성할것 같네요","['해운대', '사람', '많다', '외국인', '정말', '많다', '주말', '행사', '같다', '같다', '요가', '사진', '그렇다', '행사', '조촐하다', '같다', '어린이', '공연', '있다', '조금', '시간', '가면', '볼거리', '더욱', '성하다', '같다']",Positive,0.9575610160827637
해운대,부산 해운대구 우동,천번째,영상 12도의 날씨 !한가롭게 해변에서 햇빛을 쬐요! 갈매기가.해운대는 지금 빛축제 준비중!우리는 바다로 갈 준비중!,영상 12도의 날씨 !한가롭게 해변에서 햇빛을 쬐요! 갈매기가.해운대는 지금 빛축제 준비중!우리는 바다로 갈 준비중!,"['영상', '도의', '날씨', '한가롭다', '해변', '햇빛', '갈매기', '해운대', '지금', '축제', '준비', '우리', '바다로', '준비']",Positive,0.8734711408615112
해운대,부산 해운대구 우동,소소한날의기록,비수기 평일 복잡하진 않지만 충분한 사람들이 있어 관광지 느낌은 나고 편안한 느낌 좋아요.다음주 빛축제인데 시험가동 중인것도 볼만하네요,비수기 평일 복잡하진 않지만 충분한 사람들이 있어 관광지 느낌은 나고 편안한 느낌 좋아요.다음주 빛축제인데 시험가동 중인것도 볼만하네요,"['수기', '평일', '복잡하다', '충분하다', '사람', '있다', '관광지', '느낌', '편안하다', '느낌', '좋다', '다음주', '축제', '시험', '가동', '중인']",Positive,0.9707785248756409
해운대,부산 해운대구 우동,소소한날의기록,해운대 해수욕자 비수기 평일 주차비도 저렴해지고 복잡하지도 않고 볼거리도 많고 조금더 쌀쌀해지기전 둘러보기 좋네요.다음주 불빛축제 준비중인듯  한데 테스트 불빛도 볼만하네요,해운대 해수욕자 비수기 평일 주차비도 저렴해지고 복잡하지도 않고 볼거리도 많고 조금더 쌀쌀해지기전 둘러보기 좋네요.다음주 불빛축제 준비중인듯 한데 테스트 불빛도 볼만하네요,"['해운대', '해수욕', '수기', '평일', '주차', '비도', '저렴하다', '복잡하다', '볼거리', '많다', '조금', '쌀쌀하다', '기전', '둘러보기', '좋다', '다음주', '불빛', '축제', '준비', '테스트', '불빛']",Positive,0.9709290862083435
해운대,부산 해운대구 우동,어디든맛집go필프레디,"10월 28일, 부부 두 팀이 해운대 해변을 찾은 즐거운 방문이었다. 🌊 아직 날씨가 춥지 않아 맨발로 모래사장을 거닐며 바다를 만끽할 수 있었다. 갈매기들에게 새우깡을 주니 신나게 날아와 먹는 모습이 장관이었다. 🐦 한참 동안 먼 바다를 멍하니 바라보며 힐링하는 시간을 가졌다. 더 추워지기 전에 꼭 다시 오고 싶은 곳이다. 해운대 바다는 언제 와도 최고이다! 👍#해운대 #해운대해변 #부산여행 #갈매기먹이주기 #힐링여행 #가족여행 #10월여행","10월 28일, 부부 두 팀이 해운대 해변을 찾은 즐거운 방문이었다. 아직 날씨가 춥지 않아 맨발로 모래사장을 거닐며 바다를 만끽할 수 있었다. 갈매기들에게 새우깡을 주니 신나게 날아와 먹는 모습이 장관이었다. 한참 동안 먼 바다를 멍하니 바라보며 힐링하는 시간을 가졌다. 더 추워지기 전에 꼭 다시 오고 싶은 곳이다. 해운대 바다는 언제 와도 최고이다! 해운대 해운대해변 부산여행 갈매기먹이주기 힐링여행 가족여행 10월여행","['부부', '해운대', '해변', '즐겁다', '방문', '날씨', '맨발', '모래사장', '바다', '만끽', '있다', '갈매기', '새우깡', '주니', '신나다', '모습', '장관', '한참', '동안', '멀다', '바다', '멍하니', '힐링', '시간', '다시', '해운대', '바다', '언제', '최고', '해운대', '해운대', '해변', '부산여행', '갈매기', '먹이', '주기', '힐링', '여행', '가족', '여행']",Positive,0.9669793844223022
