store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,metoy,"미술관, 박물관 등 볼거리가 다양하고, 이쁜 카페도 곳곳에 있어요. 오전에 일찍가면 붐비지 않아 산책하기 좋아요.단풍이 물들기 시작해서 가을나들이 장소로 좋을것 같아요. 주차장도 여러곳에 있어 편해요.","미술관, 박물관 등 볼거리가 다양하고, 이쁜 카페도 곳곳에 있어요. 오전에 일찍가면 붐비지 않아 산책하기 좋아요.단풍이 물들기 시작해서 가을나들이 장소로 좋을것 같아요. 주차장도 여러곳에 있어 편해요.","['미술관', '박물관', '볼거리', '다양하다', '이쁘다', '카페', '곳곳', '있다', '오전', '일찍', '가면', '산책', '좋다', '단풍', '시작', '가을', '나들이', '장소', '좋다', '같다', '주차장', '있다', '편하다']",Positive,0.9717730283737183
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,홍탐정 먹탐방,국내 최대 규모의 예술마을답게 규모가 엄청나요🎄1998년에 오픈하여 다양한 예술인들이 참여해 여러 예술 전시품들과 건물들을 볼 수 있어요🥹수도권 근교라 아이들하고 오기 좋고 주변 아울렛 맛집 카페도 많아 여행 코스로 딱이에요🩷자연과 예술이 어우러진 힐링 공간답게 다양한 박물관과 갤러리에서 문화 체험 코스도 많았어요‼️입장료는 무료이고 주차장도 넓어서 초보주차분들도 걱정없어요~ 🚗 자유로하고 가까워서 접근성도 좋고 대중교통은 2200번 타시면 합정역에서 바로 연결되더라고요😉곳곳에 화장실도 많았고 편의시설도 잘 되어있어 불편함 없이 둘러볼 수 있었어요💕한바퀴 도는데 한시간 반정도는 기본이고 맛집이나 갤러리 구경하시면 3시간정도 잡고 오세요🙏🏻다음에 또 오고싶은 여행지에요🔥,국내 최대 규모의 예술마을답게 규모가 엄청나요1998년에 오픈하여 다양한 예술인들이 참여해 여러 예술 전시품들과 건물들을 볼 수 있어요수도권 근교라 아이들하고 오기 좋고 주변 아울렛 맛집 카페도 많아 여행 코스로 딱이에요자연과 예술이 어우러진 힐링 공간답게 다양한 박물관과 갤러리에서 문화 체험 코스도 많았어요입장료는 무료이고 주차장도 넓어서 초보주차분들도 걱정없어요 자유로하고 가까워서 접근성도 좋고 대중교통은 2200번 타시면 합정역에서 바로 연결되더라고요곳곳에 화장실도 많았고 편의시설도 잘 되어있어 불편함 없이 둘러볼 수 있었어요한바퀴 도는데 한시간 반정도는 기본이고 맛집이나 갤러리 구경하시면 3시간정도 잡고 오세요다음에 또 오고싶은 여행지에요,"['국내', '최대', '규모', '예술', '마을', '규모', '엄청나다', '오픈', '다양하다', '예술인', '참여', '여러', '예술', '전시품', '건물', '있다', '수도권', '근교', '아이', '오기', '좋다', '주변', '아울렛', '맛집', '카페', '많다', '여행', '코스', '딱이다', '자연', '예술', '힐링', '공간', '다양하다', '박물관', '갤러리', '문화', '체험', '코스', '많다', '입장료', '무료', '주차장', '넓다', '초보', '주차', '걱정', '없다', '자유로', '가깝다', '접근성', '좋다', '대중교통', '합정역', '바로', '연결', '곳곳', '화장실', '많다', '편의', '시설', '불편하다', '있다', '바퀴', '시간', '정도', '기본', '맛집', '갤러리', '구경', '잡고', '요다음', '여행지']",Positive,0.9625813961029053
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,실버스톤과루피맘,"파주 헤이리 예술마을통일동산 관광특구내에 위치해 있다.규모는 15만평에 달한다.다양한 분야의 예술가들이 마을을 이루고멋있는 건물들을 짓고 살아가고 있다.많은 갤러리, 박물관, 전시관, 공연장들이 있고카페와 맛집들도 많아 즐기기 좋은곳.한적하게 거닐며 여유로움도 즐기기 좋다.주차장 무료로 이용할수 있다.","파주 헤이리 예술마을통일동산 관광특구내에 위치해 있다.규모는 15만평에 달한다.다양한 분야의 예술가들이 마을을 이루고멋있는 건물들을 짓고 살아가고 있다.많은 갤러리, 박물관, 전시관, 공연장들이 있고카페와 맛집들도 많아 즐기기 좋은곳.한적하게 거닐며 여유로움도 즐기기 좋다.주차장 무료로 이용할수 있다.","['파주', '헤이리', '예술', '마을', '통일', '동산', '관광', '구내', '위치', '있다', '규모', '다양하다', '분야', '예술가', '마을', '멋있다', '건물', '있다', '많다', '갤러리', '박물관', '전시관', '공연장', '있다', '카페', '맛집', '많다', '좋다', '한적하다', '여유', '로움', '좋다', '주차장', '무료', '이용', '있다']",Positive,0.9651496410369873
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,식도락 여행 복권이,"오랫만에 헤이리마을에 다녀왔는데, 조용하고 사람들도 많이 없었어요.","오랫만에 헤이리마을에 다녀왔는데, 조용하고 사람들도 많이 없었어요.","['마을', '조용하다', '사람', '없다']",Positive,0.9527050256729126
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,별이474,먹거리와 까페도 많지만 소품샵도 꽤 있어서 아이와 오기 좋습니다. 강아지와 산책하기도 괜찮아요,먹거리와 까페도 많지만 소품샵도 꽤 있어서 아이와 오기 좋습니다. 강아지와 산책하기도 괜찮아요,"['먹거리', '까페', '많다', '소품', '있다', '아이', '오기', '좋다', '강아지', '산책', '괜찮다']",Positive,0.971750020980835
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,햄찌와그레텔,"🫠 예술과 일상의 경계에서 한가롭게 머물러봐요🌷 가는 곳곳마다 능소화가 한창이에요📸 건물 하나, 간판 하나도 사진이 되는 곳👀 웨딩촬영하는 분들도 있었어요☕️ 감성적인 로스터리 카페와🍽 골라 먹는 재미가 있는 식당들, 🏛 작은 전시 공간이 곳곳에 숨어 있고🧸 소품샵, 플리마켓 구경 쏠쏠해요⚠️ 소소하게 지르기 좋은 곳. 지갑 주의👀 빈 가게도 은근 많아 더 조용한 느낌. 오랜만에 오니 아는 가게 몇곳이 또 빠졌어요🅿️ 주차장 곳곳에 많아요. 흙바닥인 곳이 많아 오늘같이 비오는 날은 웅덩이가 많았어요🚗 게이트가 여러 개니 목적지가 있다면 도착 전에 확인해요🗺 여행스테이션에 책자가 마련되어 있지만 잠깐씩 지도켜고 보는게 나았어요","예술과 일상의 경계에서 한가롭게 머물러봐요 가는 곳곳마다 능소화가 한창이에요 건물 하나, 간판 하나도 사진이 되는 곳 웨딩촬영하는 분들도 있었어요 감성적인 로스터리 카페와 골라 먹는 재미가 있는 식당들, 작은 전시 공간이 곳곳에 숨어 있고 소품샵, 플리마켓 구경 쏠쏠해요 소소하게 지르기 좋은 곳. 지갑 주의 빈 가게도 은근 많아 더 조용한 느낌. 오랜만에 오니 아는 가게 몇곳이 또 빠졌어요 주차장 곳곳에 많아요. 흙바닥인 곳이 많아 오늘같이 비오는 날은 웅덩이가 많았어요 게이트가 여러 개니 목적지가 있다면 도착 전에 확인해요 여행스테이션에 책자가 마련되어 있지만 잠깐씩 지도켜고 보는게 나았어요","['예술', '일상', '경계', '한가롭다', '곳곳', '능소화', '한창', '건물', '하나', '간판', '하나', '사진', '웨딩촬영', '있다', '감성', '로스', '터리', '카페', '재미', '있다', '식당', '작다', '전시', '공간', '곳곳', '있다', '소품', '플리', '마켓', '구경', '쏠쏠하다', '소소하다', '좋다', '지갑', '주의', '가게', '은근', '많다', '조용하다', '느낌', '오니', '가게', '주차장', '곳곳', '많다', '바닥', '많다', '오늘', '웅덩이', '많다', '게이트', '여러', '목적지', '있다', '도착', '확인', '여행', '스테이션', '책자', '마련', '있다', '잠깐', '지도']",Positive,0.9522536396980286
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,4 8 8 5,어쩌다 또 오게 된 헤이리마을입니다 오늘은 국립민속박물관을 먼저 둘러봤어요토요일인데 주차자리 널널해서 편했구요전부 둘러보지는 못해 나중에 제대로 다시 와봐야겠습니다무료라서 좋구 건물도 크고 멋져용근처에서 점심으로 돈까스 먹고난다음으로는 게임박물관이었나 거기로 갔어요예전에 근처다른전시관에서 봤던 몇몇 영화캐릭터모형이 여기에서 보여야지구 반갑기도하면서 거기가 없어진걸로 알고있어서 조금은 안타까웠네요그 다음은 날씨가 오늘도 역시 구름껴야지구 덥지도않고 딱 좋았었어서 공원에서 좀 앉아서 쉬구 카페를 갔습니다음료는 첫맛이 ?였지만 마실수록 괜찮았어요카페도 넓고 친절하셔서 좋았구요박물관•식당•카페 일일이 따로 리뷰하기엔 힘들기도하고 어차피 다 헤이리마을 안이니 합쳐서 올립니당😛,어쩌다 또 오게 된 헤이리마을입니다 오늘은 국립민속박물관을 먼저 둘러봤어요토요일인데 주차자리 널널해서 편했구요전부 둘러보지는 못해 나중에 제대로 다시 와봐야겠습니다무료라서 좋구 건물도 크고 멋져용근처에서 점심으로 돈까스 먹고난다음으로는 게임박물관이었나 거기로 갔어요예전에 근처다른전시관에서 봤던 몇몇 영화캐릭터모형이 여기에서 보여야지구 반갑기도하면서 거기가 없어진걸로 알고있어서 조금은 안타까웠네요그 다음은 날씨가 오늘도 역시 구름껴야지구 덥지도않고 딱 좋았었어서 공원에서 좀 앉아서 쉬구 카페를 갔습니다음료는 첫맛이 ?였지만 마실수록 괜찮았어요카페도 넓고 친절하셔서 좋았구요박물관식당카페 일일이 따로 리뷰하기엔 힘들기도하고 어차피 다 헤이리마을 안이니 합쳐서 올립니당,"['마을', '이다', '오늘', '국립', '민속', '박물관', '먼저', '토요일', '주차', '널널', '편하다', '전부', '나중', '제대로', '다시', '무료', '좋다', '건물', '멋지다', '근처', '점심', '돈까스', '다음', '게임', '박물관', '거기', '예전', '근처', '전시관', '몇몇', '영화', '캐릭터', '모형', '여기', '반갑다', '기도', '거기', '조금', '안타깝다', '다음', '날씨', '오늘', '역시', '구름', '덥다', '좋다', '공원', '카페', '음료', '괜찮다', '카페', '넓다', '친절하다', '좋다', '박물관', '카페', '일일이', '리뷰', '힘들다', '기도', '어차피', '마을', '안이']",Positive,0.966265857219696
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,93hsj,파주 헤이리 가을풍경 너무 아름다워요,파주 헤이리 가을풍경 너무 아름다워요,"['파주', '헤이리', '가을', '풍경', '아름답다']",Positive,0.9736557602882385
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,조미용1108,헤이리 마을에도 가을이 온다,헤이리 마을에도 가을이 온다,"['헤이리', '마을', '가을']",Positive,0.8903660774230957
헤이리 예술마을,경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장,여행하는 민호씨,"헤이리 주요 갈만한 곳- 뮤지엄 헤이, 국립민속박물관, 갤러리 헤이리스- 근현대사박물관, 옛날물건박물관, 93뮤지엄, 트릭아트- 아스카게임박물관, 세계광물보석박물관, 미니어처박물관- 카메라타뮤직스페이스, 콜라박물관, 한길책박물관헤이리 주요 체험활동- 앤드엣 (터프팅 공방), 하담 (가죽 공방) - 디스이즘 (반지 공방), 헤이리캔들공방Luz- 마루공방 (미니어처 만들기), 나요91 (그릇 공방)- 헤이리도자기체험학교, 사파리체험테마파크국내 저명한 아티스트들이 모여 만든 문화예술단지에요. 관광이 결합되면서 경험 위주의 다양한 콘텐츠로 똘똘 뭉친 이색 여행지가 되었습니다. 박물관, 미술관, 공방, 식당, 카페, 갤러리, 각종 전시 등 즐길거리가 다양합니다. 가격은 사진 참고하세요!!","헤이리 주요 갈만한 곳 뮤지엄 헤이, 국립민속박물관, 갤러리 헤이리스 근현대사박물관, 옛날물건박물관, 93뮤지엄, 트릭아트 아스카게임박물관, 세계광물보석박물관, 미니어처박물관 카메라타뮤직스페이스, 콜라박물관, 한길책박물관헤이리 주요 체험활동 앤드엣 터프팅 공방, 하담 가죽 공방 디스이즘 반지 공방, 헤이리캔들공방Luz 마루공방 미니어처 만들기, 나요91 그릇 공방 헤이리도자기체험학교, 사파리체험테마파크국내 저명한 아티스트들이 모여 만든 문화예술단지에요. 관광이 결합되면서 경험 위주의 다양한 콘텐츠로 똘똘 뭉친 이색 여행지가 되었습니다. 박물관, 미술관, 공방, 식당, 카페, 갤러리, 각종 전시 등 즐길거리가 다양합니다. 가격은 사진 참고하세요!!","['헤이리', '주요', '지엄', '헤이', '국립', '민속', '박물관', '갤러리', '이리스', '근현대사', '박물관', '옛날', '물건', '박물관', '지엄', '트릭', '아트', '아스카', '게임', '박물관', '세계', '광물', '보석', '박물관', '미니어처', '박물관', '카메라타', '뮤직', '스페이스', '콜라', '박물관', '한길', '박물관', '주요', '체험', '활동', '앤드', '터프팅', '가죽', '디스', '이즘', '반지', '캔들', '마루', '미니어처', '만들기', '그릇', '도자기', '체험', '학교', '사파리', '체험', '테마', '파크', '국내', '저명하다', '아티스트', '문화', '예술', '단지', '관광', '면서', '경험', '위주', '다양하다', '콘텐츠', '똘똘', '이색', '여행지', '박물관', '미술관', '식당', '카페', '갤러리', '각종', '전시', '거리', '다양하다', '가격', '사진', '참고']",Positive,0.8899424076080322
