store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,미니민1209,좋아요^_^,좋아요,['좋다'],Positive,0.9396566152572632
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,리뷰마녀 북극곰의 다이빙,넘 귀욤지자나~인형은 패스! 먹는걸로 선택. 😅😁🤩포장이 이뻐서 먹을수가 없는게 문제?!🤣🥰😍🎶,넘 귀욤지자나인형은 패스! 먹는걸로 선택. 포장이 이뻐서 먹을수가 없는게 문제?!,"['지자', '나인', '패스', '는걸', '선택', '포장', '이쁘다', '없다', '문제']",Positive,0.7399117946624756
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,qks****,생각보다 그냥 그래요,생각보다 그냥 그래요,"['생각', '그냥', '그렇다']",Negative,0.8175758123397827
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,yej****,라멘 넘 맛잇어요!!! 고민하다가 골랐는데 잘 골랐네용,라멘 넘 맛잇어요!!! 고민하다가 골랐는데 잘 골랐네용,"['라멘', '고민']",Positive,0.9734147787094116
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,하늘공주6,가격은 비싸지만 예쁜 옷이 많아요,가격은 비싸지만 예쁜 옷이 많아요,"['가격', '비싸다', '예쁘다', '많다']",Positive,0.9640023708343506
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,jk1****,분위기도 힙하고 음료도 맛있어요,분위기도 힙하고 음료도 맛있어요,"['분위기', '음료', '맛있다']",Positive,0.974133312702179
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,che****,새로오픈해서 왔어요. 깨끗하고 천장높아서 개방감 있어요. 더현대서울6층 넓어서 식사 후 운동겸 걷기도 좋고 잘먹었습니다 ~~!!!,새로오픈해서 왔어요. 깨끗하고 천장높아서 개방감 있어요. 더현대서울6층 넓어서 식사 후 운동겸 걷기도 좋고 잘먹었습니다 !!!,"['새롭다', '오픈', '깨끗하다', '천장', '높다', '개방', '있다', '현대', '서울', '넓다', '식사', '운동', '걷기', '좋다']",Positive,0.9724835157394409
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,세민7694,맛싯습니다 더 현대 오면 밥은 여기서만 먹을라구여 카레 메뉴 마싯어영,맛싯습니다 더 현대 오면 밥은 여기서만 먹을라구여 카레 메뉴 마싯어영,"['맛싯습니', '현대', '여기', '카레', '메뉴']",Positive,0.9709256291389465
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,abc338887,종류가 엄청 다양하네요,종류가 엄청 다양하네요,"['종류', '다양하다']",Negative,0.8694909811019897
현대백화점 더현대 서울,서울 영등포구 여의대로 108 더현대 서울,eun****,굿,굿,[],Positive,0.9277362823486328
