store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,tongtongws,협재해수욕장은 모래가 곱고 물이 얕아서 아이들과 함께 가기 넘 좋아요🥰물도 맑고 멀리 비양도까지 보이니 정말 최고🥰🥰바닷물에 발도 담그고 노을까지 보고 왔어요🥰🥰🥰아이들은 물고기 잡는 재미도 있어요,협재해수욕장은 모래가 곱고 물이 얕아서 아이들과 함께 가기 넘 좋아요물도 맑고 멀리 비양도까지 보이니 정말 최고바닷물에 발도 담그고 노을까지 보고 왔어요아이들은 물고기 잡는 재미도 있어요,"['협재해수욕장', '모래', '물이', '얕다', '아이', '가기', '좋다', '요물', '맑다', '멀리', '비양도', '정말', '최고', '바닷물', '발도', '노을', '보고', '아이', '물고기', '재미', '있다']",Positive,0.9733436107635498
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,ssukjaengi,혼자 떠난 제주여행바다는 꼭 봐야지하고 찾아간 협재해수욕장바다는 여전히 에메랄드빛 넘 좋았어요외국인관광객이 좀 많아 정신이 없긴했는데끝쪽은 그래도 좀 조용해서 바다보기 좋았어요,혼자 떠난 제주여행바다는 꼭 봐야지하고 찾아간 협재해수욕장바다는 여전히 에메랄드빛 넘 좋았어요외국인관광객이 좀 많아 정신이 없긴했는데끝쪽은 그래도 좀 조용해서 바다보기 좋았어요,"['혼자', '여행', '바다', '협재해수욕장', '바다', '여전하다', '에메랄드', '좋다', '외국인', '관광객', '많다', '정신', '없다', '끝쪽', '조용하다', '바다', '보기', '좋다']",Positive,0.9687957763671875
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,노는여자1,협재해수욕장 ~🍀🍀🍏🍏이부근 숙소가 있어서 아침에 숙소서나오면서 바닷가 한번 둘러 보러 왔어요여름이 이제  가는거 같아요선선하고 가을이 있는거 같네요오랜만에 협재 해변 왔어요아침부터 낙시하는 사람도 있네요맞은편에는 비양도가 떠있는 모습이 더 멋진곳 협재바다 인거 같아요🍓🍓부근에는 한림공원도 있고남쪽으로는 금릉해수욕장이 이어진다고 하네요에메랄드빛 물색을 자람하는 협재해수욕장 ~제주 협재바다 보고 왔어요 ㅎㅎ😀😀,협재해수욕장 이부근 숙소가 있어서 아침에 숙소서나오면서 바닷가 한번 둘러 보러 왔어요여름이 이제 가는거 같아요선선하고 가을이 있는거 같네요오랜만에 협재 해변 왔어요아침부터 낙시하는 사람도 있네요맞은편에는 비양도가 떠있는 모습이 더 멋진곳 협재바다 인거 같아요부근에는 한림공원도 있고남쪽으로는 금릉해수욕장이 이어진다고 하네요에메랄드빛 물색을 자람하는 협재해수욕장 제주 협재바다 보고 왔어요 ㅎㅎ,"['협재해수욕장', '부근', '숙소', '있다', '아침', '숙소', '바닷가', '한번', '여름', '이제', '같다', '선선', '가을', '있다', '같다', '협재', '해변', '아침', '낙시', '사람', '있다', '맞은편', '비양도', '모습', '멋지다', '협재바', '같다', '부근', '한림', '공원', '있다', '남쪽', '금릉', '해수욕장', '에메랄드', '물색', '협재해수욕장', '제주', '협재바', '보고']",Positive,0.9700554609298706
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,Cobaltb,"지나는 길에 잠시 바다 보러 왔어요.^^파도가 세고 바람이 많이 불어 서 있기 힘드네요.잔잔한 협재 바다도 좋지만, 흐린 날도  나름 매력이 있네요.^^","지나는 길에 잠시 바다 보러 왔어요.파도가 세고 바람이 많이 불어 서 있기 힘드네요.잔잔한 협재 바다도 좋지만, 흐린 날도 나름 매력이 있네요.","['잠시', '바다', '파도', '세고', '바람', '불어', '있다', '힘드다', '잔잔하다', '협재', '바다', '좋다', '나름', '매력', '있다']",Positive,0.9023269414901733
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,명예 제주도민,"역시 협재👍👍 오전~낮, 간조 2~3시간 전후가 제일 예쁜듯함","역시 협재 오전낮, 간조 23시간 전후가 제일 예쁜듯함","['역시', '협재', '오전', '간조', '전후', '제일', '예쁘다']",Negative,0.6676610112190247
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,mk jeong,"제주 가을하늘에 에머랄드빛 바다, 저 멀리 비양도가 어우러져 멋진 풍경. 협재해수욕장 여름 뿐 아니라 가을 에도 바다 여행에 최고!","제주 가을하늘에 에머랄드빛 바다, 저 멀리 비양도가 어우러져 멋진 풍경. 협재해수욕장 여름 뿐 아니라 가을 에도 바다 여행에 최고!","['제주', '가을', '하늘', '에머랄드', '바다', '멀리', '비양도', '멋지다', '풍경', '협재해수욕장', '여름', '아니다', '가을', '바다', '여행', '최고']",Positive,0.9731497168540955
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,네오샤인,제주도 도착후에 바로 찾은 해수욕장입니다 날이 개고 바람이 시원해서 좋아요👍 아이들은 모래놀이에 푹 빠졌어요,제주도 도착후에 바로 찾은 해수욕장입니다 날이 개고 바람이 시원해서 좋아요 아이들은 모래놀이에 푹 빠졌어요,"['제주도', '도착', '바로', '해수욕장', '이다', '바람', '시원하다', '좋다', '아이', '모래']",Positive,0.97441565990448
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,똘똘한맘,"에메랄드빛의 맑은 바닷물이 너무 예쁜 협재해수욕장~  방문했을때 바람이 잘 불어서 파도가 놀기 딱 좋아서 신나게 튜브타고 놀았네요~ 물이 빠졌을때는 바위사이사이로 여러가지 생물들이 있어서 _꽃게,소라게,고동등.. 아이들과 한참 잡고 놀았네요~ 모래가 고와서 맨발로도 걸어다니가 좋아요~  물도 완만해서 아이들하고 놀기도 좋고 안전요원들도 여기저기 많아서 안전해요~ 근처에 먹거리도 많고 편의점도 가까이에 있어서 편하게 이용했어요~ 평상/파라솔등도 빌릴수 있는데 가격도 합리적인거 같고~요즘은 바가지요금 없어서 굿굿!! 협재회관으로 들어가면 평상등 빌리는 매표소있고 옆으로 샤워장있어요~ 너무 예쁜 협재해수욕정~~  완전 굿입니다~","에메랄드빛의 맑은 바닷물이 너무 예쁜 협재해수욕장 방문했을때 바람이 잘 불어서 파도가 놀기 딱 좋아서 신나게 튜브타고 놀았네요 물이 빠졌을때는 바위사이사이로 여러가지 생물들이 있어서 꽃게,소라게,고동등.. 아이들과 한참 잡고 놀았네요 모래가 고와서 맨발로도 걸어다니가 좋아요 물도 완만해서 아이들하고 놀기도 좋고 안전요원들도 여기저기 많아서 안전해요 근처에 먹거리도 많고 편의점도 가까이에 있어서 편하게 이용했어요 평상파라솔등도 빌릴수 있는데 가격도 합리적인거 같고요즘은 바가지요금 없어서 굿굿!! 협재회관으로 들어가면 평상등 빌리는 매표소있고 옆으로 샤워장있어요 너무 예쁜 협재해수욕정 완전 굿입니다","['에메랄드', '맑은', '바닷물', '예쁘다', '협재해수욕장', '방문', '바람', '불어', '파도', '좋다', '신나다', '튜브', '타고', '물이', '바위', '사이사이', '여러가지', '생물', '있다', '꽃게', '소라게', '동등', '아이', '한참', '잡고', '모래', '맨발', '좋다', '완만', '아이', '좋다', '안전', '요원', '여기저기', '많다', '안전하다', '근처', '먹거리', '많다', '편의점', '가까이', '있다', '편하다', '이용', '평상', '파라솔', '있다', '가격', '합리', '같다', '요즘', '바가지요금', '없다', '굿굿', '협재회관', '평상', '매표소', '있다', '샤워', '있다', '예쁘다', '협재', '해수', '욕정', '완전', '이다']",Positive,0.9679132699966431
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,딱 이만큼만,"지금 여름의 제주 푸른 바다가 미친듯이 살아숨쉬는 해수욕장입니다. 불볕더위에 바닷물도 미지근해요. 좀더 들어가야 깊이가 느껴집니다. 해수욕하는 사람들 정말 많네요. 주차장은 만차로 근처 한림공원 주차장 이용했어요. 사람들 장난아니게 많네요. 모래가 진짜 고와요. 샤워시설도 있고 하지만 어딜 가나 만나는 흔한 평범한 시설입니다. ㅎㅎ 바다 너머로 풍차들도 신기하고, 화산암으로 이뤄진 언덕같은 곳 한쪽엔 선착장도 있어서 제트보트나 바나나보트 등을 타기도 하네요. 가격은 문의하시길요. 파라솔 대여는 3만원이네요. ㅎㅎ 근처 음식점도 카페도 많아서 접근성은 좋아요. 즐거운 여름 휴가 되시길요~^^","지금 여름의 제주 푸른 바다가 미친듯이 살아숨쉬는 해수욕장입니다. 불볕더위에 바닷물도 미지근해요. 좀더 들어가야 깊이가 느껴집니다. 해수욕하는 사람들 정말 많네요. 주차장은 만차로 근처 한림공원 주차장 이용했어요. 사람들 장난아니게 많네요. 모래가 진짜 고와요. 샤워시설도 있고 하지만 어딜 가나 만나는 흔한 평범한 시설입니다. ㅎㅎ 바다 너머로 풍차들도 신기하고, 화산암으로 이뤄진 언덕같은 곳 한쪽엔 선착장도 있어서 제트보트나 바나나보트 등을 타기도 하네요. 가격은 문의하시길요. 파라솔 대여는 3만원이네요. ㅎㅎ 근처 음식점도 카페도 많아서 접근성은 좋아요. 즐거운 여름 휴가 되시길요","['지금', '여름', '제주', '푸른', '바다', '미치다', '해수욕장', '이다', '불볕', '더위', '바닷물', '미지근하다', '좀더', '깊이', '해수욕', '사람', '정말', '많다', '주차장', '차로', '근처', '한림', '공원', '주차장', '이용', '사람', '장난', '아니다', '많다', '모래', '진짜', '샤워', '시설', '있다', '가나', '흔하다', '평범하다', '시설', '이다', '바다', '너머', '풍차', '신기하다', '화산암', '언덕', '같다', '한쪽', '선착장', '있다', '제트', '보트', '바나나보트', '기도', '가격', '문의', '파라솔', '대여', '근처', '음식점', '카페', '많다', '접근성', '좋다', '즐겁다', '여름', '휴가']",Positive,0.9521352052688599
협재해수욕장,제주 제주시 한림읍 협재리 2497-1,채똥언니,예쁘긴 진짜 예쁘더라구요낮에는 포카리색 바닷물이 예술이고저녁엔 노을이 예술이에요보말도 많아서 아이들이 잡고 놀기 좋았어요문어 잡으셨다는 분도 있더라구요그런데 해파리도 봤어요동전처럼 생긴..독성 있다니 주의하세요,예쁘긴 진짜 예쁘더라구요낮에는 포카리색 바닷물이 예술이고저녁엔 노을이 예술이에요보말도 많아서 아이들이 잡고 놀기 좋았어요문어 잡으셨다는 분도 있더라구요그런데 해파리도 봤어요동전처럼 생긴..독성 있다니 주의하세요,"['예쁘다', '진짜', '예쁘다', '포카리', '바닷물', '예술', '저녁', '노을', '예술', '많다', '아이', '잡고', '좋다', '문어', '분도', '있다', '해파리', '동전', '독성', '있다', '주의']",Positive,0.955291748046875
