store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
호미곶,경북 포항시 남구 호미곶면 대보리,플레이스 TOP30 리뷰어 최해경,"호미곶은 한반도의 가장 동쪽 끝, 호랑이 꼬리에 비유되는 상징적인 지형으로 유명한 곳입니다. 이곳은 예로부터 동외곶, 장기곶 등 다양한 이름으로 불려왔으며, 해안선을 따라 발달한 암석해안과 해식애가 독특한 풍경을 만들어냅니다. 특히 넓게 펼쳐진 푸른 바다와 함께 자리한 상생의 손 조형물은 방문객들이 반드시 찾는 포토존으로, 사진을 찍으며 추억을 남기기에 제격입니다. 시원한 바닷바람과 파도 소리에 더위도 잊을 만큼 상쾌했고, 가족과 연인, 친구들이 함께 와 즐기는 모습이 활기차 보였습니다. 탁 트인 전망과 상징적인 의미가 어우러져, 호미곶은 일출 명소를 넘어 사계절 언제 찾아도 특별한 매력을 느낄 수 있는 여행지라 생각됩니다.근처에 등대박물관, 호미곶해맞이광장 있음","호미곶은 한반도의 가장 동쪽 끝, 호랑이 꼬리에 비유되는 상징적인 지형으로 유명한 곳입니다. 이곳은 예로부터 동외곶, 장기곶 등 다양한 이름으로 불려왔으며, 해안선을 따라 발달한 암석해안과 해식애가 독특한 풍경을 만들어냅니다. 특히 넓게 펼쳐진 푸른 바다와 함께 자리한 상생의 손 조형물은 방문객들이 반드시 찾는 포토존으로, 사진을 찍으며 추억을 남기기에 제격입니다. 시원한 바닷바람과 파도 소리에 더위도 잊을 만큼 상쾌했고, 가족과 연인, 친구들이 함께 와 즐기는 모습이 활기차 보였습니다. 탁 트인 전망과 상징적인 의미가 어우러져, 호미곶은 일출 명소를 넘어 사계절 언제 찾아도 특별한 매력을 느낄 수 있는 여행지라 생각됩니다.근처에 등대박물관, 호미곶해맞이광장 있음","['호미곶', '한반도', '가장', '동쪽', '호랑이', '꼬리', '비유', '상징', '지형', '유명하다', '이다', '로부터', '동외곶', '장기곶', '다양하다', '이름', '해안선', '발달', '암석해안', '해식애', '독특하다', '풍경', '넓다', '푸른', '바다', '자리', '상생', '조형', '방문객', '반드시', '포토', '사진', '추억', '제격', '이다', '시원하다', '바람', '파도', '소리', '더위', '만큼', '상쾌하다', '가족', '연인', '친구', '모습', '활기차다', '전망', '상징', '의미', '호미곶', '일출', '명소', '사계절', '언제', '특별하다', '매력', '있다', '여행지', '생각', '근처', '등대', '박물관', '호미곶', '맞이', '광장', '있다']",Positive,0.9637683629989624
호미곶,경북 포항시 남구 호미곶면 대보리,라면맨9,"가을에 오면 멋진 손과 멋진 등대, 멋진 바다뷰와 갈매기를 볼 수 있는 멋진 호미곶","가을에 오면 멋진 손과 멋진 등대, 멋진 바다뷰와 갈매기를 볼 수 있는 멋진 호미곶","['가을', '멋지다', '멋지다', '등대', '멋지다', '바다', '갈매기', '있다', '멋지다', '호미곶']",Positive,0.9724857807159424
호미곶,경북 포항시 남구 호미곶면 대보리,햇살강릉,몇십년만에 방문한 포항 호미곶이네요.맑고 화창한날 많은 방문객들과 바다와 조형물을 보며 또 하나의 추억을 만들고 갑니다,몇십년만에 방문한 포항 호미곶이네요.맑고 화창한날 많은 방문객들과 바다와 조형물을 보며 또 하나의 추억을 만들고 갑니다,"['십년', '방문', '포항', '호미곶', '맑다', '화창하다', '많다', '방문객', '바다', '조형', '하나', '추억']",Positive,0.9744276404380798
호미곶,경북 포항시 남구 호미곶면 대보리,장기빅맨,"몸이찌부둥해서 집에만 있을 수가 없었다비가오는 날 임에도 불구하고 오천에서 자전거로 호미곶까지 가봤다올해초 설날즈음에는 친구랑 차타고 왔었는데 또 다른 느낌이다 조금 힘이들지만 비맞고 달리니 시원하다길이 구불구불하고 연휴라 차들이 많이 다녀 위험하지만 방구석에 오래앉아있으니 너무 힘들었다이웃나라 태풍의 영향인듯 파도가 굉장하다상생의 손에 손가락에 갈매기5마리 앉으면 행운이들어온다는 걸 얼핏들은 것 같은데 오늘이 그날이다. 내게도 분명 좋은 날임에 틀림없다.여기저기 전기 사발이 미니카를 타는 사람, 쥐포구이파는사람 사는사람, 바다위 전망대에서 바다를 바라보는 사람들 모두들 얼굴에는 미소가득하다 친구 연인 가족 동료 외국인까지 사람이 정말많았다 오늘은 주차하기 힘들겠구나 풍광을 뒤로하고 집으로...","몸이찌부둥해서 집에만 있을 수가 없었다비가오는 날 임에도 불구하고 오천에서 자전거로 호미곶까지 가봤다올해초 설날즈음에는 친구랑 차타고 왔었는데 또 다른 느낌이다 조금 힘이들지만 비맞고 달리니 시원하다길이 구불구불하고 연휴라 차들이 많이 다녀 위험하지만 방구석에 오래앉아있으니 너무 힘들었다이웃나라 태풍의 영향인듯 파도가 굉장하다상생의 손에 손가락에 갈매기5마리 앉으면 행운이들어온다는 걸 얼핏들은 것 같은데 오늘이 그날이다. 내게도 분명 좋은 날임에 틀림없다.여기저기 전기 사발이 미니카를 타는 사람, 쥐포구이파는사람 사는사람, 바다위 전망대에서 바다를 바라보는 사람들 모두들 얼굴에는 미소가득하다 친구 연인 가족 동료 외국인까지 사람이 정말많았다 오늘은 주차하기 힘들겠구나 풍광을 뒤로하고 집으로...","['몸이찌부둥해', '있다', '수가', '없다', '다비', '가오', '불구', '오천', '자전거', '호미곶', '해초', '설날', '즈음', '친구', '타고', '다른', '느낌', '조금', '시원하다', '길이', '구불구불하다', '연휴', '위험하다', '구석', '힘들다', '이웃', '태풍', '영향', '파도', '굉장하다', '상생', '손가락', '갈매기', '마리', '행운', '얼핏들', '같다', '오늘이', '그날', '분명', '좋다', '날임', '틀림없다', '여기저기', '전기', '사발', '미니카', '사람', '쥐포', '구이', '사람', '사람', '바다', '전망대', '바다', '사람', '모두', '얼굴', '미소', '가득하다', '친구', '연인', '가족', '동료', '외국인', '사람', '정말', '많다', '오늘', '주차', '힘들다', '뒤로']",Positive,0.9671136140823364
호미곶,경북 포항시 남구 호미곶면 대보리,고기세끼,"첫 포항 여행 마지막 날에 들려본 호미곶일단 근처에 있는 주차장이 정말 넓고 편했어요. 무료였어요!귀여운 고양이들이 주변에 몇 마리 있었고, 틈 사이사이를 잘 찾아보니 작은 게도 있었어요!날이 조금 흐렸지만 너무 멋있게 잘 보고 왔어요.커플끼리 가신 분은 커플 기념 사진 찍기에 딱!하트 사진 도전해 보세요! 저는 실패. 😂","첫 포항 여행 마지막 날에 들려본 호미곶일단 근처에 있는 주차장이 정말 넓고 편했어요. 무료였어요!귀여운 고양이들이 주변에 몇 마리 있었고, 틈 사이사이를 잘 찾아보니 작은 게도 있었어요!날이 조금 흐렸지만 너무 멋있게 잘 보고 왔어요.커플끼리 가신 분은 커플 기념 사진 찍기에 딱!하트 사진 도전해 보세요! 저는 실패.","['포항', '여행', '마지막', '호미곶', '일단', '근처', '있다', '주차장', '정말', '넓다', '편하다', '무료', '귀엽다', '고양이', '주변', '마리', '있다', '사이사이', '작다', '있다', '조금', '멋있다', '보고', '커플', '끼리', '가신', '커플', '기념', '사진', '찍기', '하트', '사진', '도전', '실패']",Positive,0.970176100730896
호미곶,경북 포항시 남구 호미곶면 대보리,돌파구1223,포항하면 손 조형물이 있는 호미곶이 유명하죠!일출사진명소로 잘 알려진 곳이지만 일몰사진을 찍었답니다,포항하면 손 조형물이 있는 호미곶이 유명하죠!일출사진명소로 잘 알려진 곳이지만 일몰사진을 찍었답니다,"['포항', '조형', '물이', '있다', '호미곶', '유명하다', '일출', '사진', '명소', '일몰', '사진']",Positive,0.9504720568656921
호미곶,경북 포항시 남구 호미곶면 대보리,불곰과 여왕벌,경북 포항 대표적인 관광명소이면서 한반도에서 가장 먼저 해가 뜨는 일출명소. 호미곶.화합의 상징인 상생의 손은 포토존으로 정말 유명하고요육지의 왼손과 바다의 오른손은 화합을 상징하네요한여름에 찾은 호미곶은 바다바람이 생각보다 시원하고바다뷰도 갈매기뷰도 좋고 상생의 손은 더 멋지네요,경북 포항 대표적인 관광명소이면서 한반도에서 가장 먼저 해가 뜨는 일출명소. 호미곶.화합의 상징인 상생의 손은 포토존으로 정말 유명하고요육지의 왼손과 바다의 오른손은 화합을 상징하네요한여름에 찾은 호미곶은 바다바람이 생각보다 시원하고바다뷰도 갈매기뷰도 좋고 상생의 손은 더 멋지네요,"['경북', '포항', '대표', '관광명소', '면서', '한반도', '가장', '먼저', '일출명소', '호미곶', '화합', '상징', '상생', '포토', '정말', '유명하다', '육지', '왼손', '바다', '오른손', '화합', '상징', '한여름', '호미곶', '바다', '바람', '생각', '시원하다', '바다', '갈매기', '좋다', '상생', '멋지다']",Positive,0.9679644107818604
호미곶,경북 포항시 남구 호미곶면 대보리,SnackSnitch,"호미곶에 오랜만에 왔는데 꽃밭 조성도 잘 되어 있고, 무슨 골프장 언덕같은 구조물이 새로 생겼네요.ㅎㅎ 아이들은 신나서 올라가네요. 무슨 의도로 지어진 건지 모르겠지만 안전에만 유의하면 특별한 놀이터 없어도 재밌게 시간보낼 것 같아요.호미곶간이라는 농산품 파는 곳도 생겼는데 오후 4시까지만 영업한다네요.","호미곶에 오랜만에 왔는데 꽃밭 조성도 잘 되어 있고, 무슨 골프장 언덕같은 구조물이 새로 생겼네요.ㅎㅎ 아이들은 신나서 올라가네요. 무슨 의도로 지어진 건지 모르겠지만 안전에만 유의하면 특별한 놀이터 없어도 재밌게 시간보낼 것 같아요.호미곶간이라는 농산품 파는 곳도 생겼는데 오후 4시까지만 영업한다네요.","['호미곶', '꽃밭', '조성도', '있다', '무슨', '골프장', '언덕', '같다', '구조', '물이', '새롭다', '아이', '신나다', '무슨', '의도', '안전', '유의', '특별하다', '놀이터', '없다', '재밌다', '시간', '같다', '호미곶', '농산품', '곳도', '오후', '영업']",Positive,0.9337977766990662
호미곶,경북 포항시 남구 호미곶면 대보리,HEE1987,해돋이 명소~ 포항의 명소~ 호미곶!!무박여행으로 제일 먼저 찾은곳 호미곶!!가습이 뻥~~~뚫리는 넓은 바다보며 잡생각 버려버리고 왔네요!!!!맛진 포항!! 잘 놀고갑니다!!^^,해돋이 명소 포항의 명소 호미곶!!무박여행으로 제일 먼저 찾은곳 호미곶!!가습이 뻥뚫리는 넓은 바다보며 잡생각 버려버리고 왔네요!!!!맛진 포항!! 잘 놀고갑니다!!,"['해돋이', '명소', '포항', '명소', '호미곶', '무박', '여행', '제일', '먼저', '호미곶', '넓다', '바다', '생각', '맛진', '포항']",Positive,0.9739561080932617
호미곶,경북 포항시 남구 호미곶면 대보리,부의마스터,"호미곶 해맞이광장 솔직 리뷰포항의 상징이자 한반도에서 해가 가장 먼저 뜨는 곳, 호미곶 해맞이광장은 그 명성만큼이나 인상적인 곳입니다. 드넓은 광장과 푸른 동해 바다가 어우러져 시원하고 웅장한 느낌을 줍니다.특히 바다 위에 우뚝 솟은 상생의 손 조형물은 호미곶의 대표적인 포토존으로, 많은 방문객들이 기념사진을 남기는 명소입니다. 해맞이 명소인 만큼 일출 시간에 맞춰 방문하면 잊지 못할 장관을 경험할 수 있습니다. 동해의 기운을 느끼며 특별한 추억을 만들고 싶은 분들께 호미곶 해맞이광장을 강력 추천합니다.","호미곶 해맞이광장 솔직 리뷰포항의 상징이자 한반도에서 해가 가장 먼저 뜨는 곳, 호미곶 해맞이광장은 그 명성만큼이나 인상적인 곳입니다. 드넓은 광장과 푸른 동해 바다가 어우러져 시원하고 웅장한 느낌을 줍니다.특히 바다 위에 우뚝 솟은 상생의 손 조형물은 호미곶의 대표적인 포토존으로, 많은 방문객들이 기념사진을 남기는 명소입니다. 해맞이 명소인 만큼 일출 시간에 맞춰 방문하면 잊지 못할 장관을 경험할 수 있습니다. 동해의 기운을 느끼며 특별한 추억을 만들고 싶은 분들께 호미곶 해맞이광장을 강력 추천합니다.","['호미곶', '맞이', '광장', '솔직', '리뷰', '포항', '상징', '이자', '한반도', '가장', '먼저', '호미곶', '맞이', '광장', '명성', '인상', '이다', '드넓다', '광장', '푸른', '동해', '바다', '시원하다', '웅장', '느낌', '바다', '우뚝', '상생', '조형', '호미곶', '대표', '포토', '많다', '방문객', '기념', '사진', '명소', '이다', '맞이', '명소', '만큼', '일출', '시간', '방문', '장관', '경험', '있다', '동해', '기운', '특별하다', '추억', '호미곶', '맞이', '광장', '강력', '추천']",Positive,0.9621624946594238
